ID	CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEMANTIC_CLASS	PHONETIC_CLASS	KARLGREN_ID	CONCEPT
195	矛	máo	Old_Chinese	Classical Old Chinese	mu	110	1109	1109 a-b	
196	矛	máo	Late_Han_Chinese	Eastern Han Chinese	mǝw	110	1109	1109 a-b	
197	矛	máo	Middle_Chinese	Middle Chinese	mǝw	110	1109	1109 a-b	
198	饒	ráo	Old_Chinese	Classical Old Chinese	ŋew	184	1164	1164 o	
199	饒	ráo	Late_Han_Chinese	Eastern Han Chinese	ńaw	184	1164	1164 o	
200	饒	ráo	Middle_Chinese	Middle Chinese	ńew	184	1164	1164 o	
201	魏	wèi	Old_Chinese	Classical Old Chinese	ŋwǝj	194	0569	0569 k	
202	魏	wèi	Late_Han_Chinese	Eastern Han Chinese	ŋwǝj	194	0569	0569 k	
203	魏	wèi	Middle_Chinese	Middle Chinese	ŋwɨj	194	0569	0569 k	
204	冀	jì	Old_Chinese	Classical Old Chinese	krǝjh	12	0603	0603 a-b	
205	冀	jì	Late_Han_Chinese	Eastern Han Chinese	krǝś	12	0603	0603 a-b	
206	冀	jì	Middle_Chinese	Middle Chinese	kì	12	0603	0603 a-b	
207	潔	jié	Old_Chinese	Classical Old Chinese	kēt	85	0279	0279 j	
208	潔	jié	Late_Han_Chinese	Eastern Han Chinese	kiāt	85	0279	0279 j	
209	潔	jié	Middle_Chinese	Middle Chinese	kiet	85	0279	0279 j	
210	辱	rǔ	Old_Chinese	Classical Old Chinese	nok	161	1223	1223 a	
211	辱	rǔ	Late_Han_Chinese	Eastern Han Chinese	ńok	161	1223	1223 a	
212	辱	rǔ	Middle_Chinese	Middle Chinese	ńöuk	161	1223	1223 a	
213	歿	mò	Old_Chinese	Classical Old Chinese	mhǝ̄t	78	0492	0492 c, 503 k	
214	歿	mò	Late_Han_Chinese	Eastern Han Chinese	mhǝ̄t	78	0492	0492 c, 503 k	
215	歿	mò	Middle_Chinese	Middle Chinese	mot	78	0492	0492 c, 503 k	
216	巡	xún	Old_Chinese	Classical Old Chinese	lhwǝn	47	0462	0462 e	
217	巡	xún	Late_Han_Chinese	Eastern Han Chinese	zhwǝn	47	0462	0462 e	
218	巡	xún	Middle_Chinese	Middle Chinese	zjwin	47	0462	0462 e	
