ID	CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEMANTIC_CLASS	PHONETIC_CLASS	KARLGREN_ID	CONCEPT
300	被	bèi	Late_Han_Chinese	Eastern Han Chinese	bháj	145	0025	0025 e	
301	被	bèi	Middle_Chinese	Middle Chinese	bé	145	0025	0025 e	
302	禿	tū	Old_Chinese	Classical Old Chinese	(s)l̥ōk	115	1205	1205 a	
303	禿	tū	Late_Han_Chinese	Eastern Han Chinese	l̥ōk	115	1205	1205 a	
304	禿	tū	Middle_Chinese	Middle Chinese	thuk	115	1205	1205 a	
305	駾	tú	Old_Chinese	Classical Old Chinese	ƛ(h)wāć	187	0324	0324 d	
306	駾	tú	Late_Han_Chinese	Eastern Han Chinese	l̥wāś	187	0324	0324 d	
307	駾	tú	Middle_Chinese	Middle Chinese	thwầj	187	0324	0324 d	
308	仁	rén	Old_Chinese	Classical Old Chinese	nin	9	0388	0388 f-g	
309	仁	rén	Late_Han_Chinese	Eastern Han Chinese	ń́ǝn	9	0388	0388 f-g	
310	仁	rén	Middle_Chinese	Middle Chinese	ńin	9	0388	0388 f-g	
311	出	chū	Old_Chinese	Classical Old Chinese	thwǝt	17	0496	0496 a-e	
312	出	chū	Late_Han_Chinese	Eastern Han Chinese	ćhwǝt	17	0496	0496 a-e	
313	出	chū	Middle_Chinese	Middle Chinese	ćhwit	17	0496	0496 a-e	
314	襟	jīn	Old_Chinese	Classical Old Chinese	krǝm	145	0655	0655 l	
315	襟	jīn	Late_Han_Chinese	Eastern Han Chinese	krǝm	145	0655	0655 l	
316	襟	jīn	Middle_Chinese	Middle Chinese	kim	145	0655	0655 l	
317	淋	lín	Old_Chinese	Classical Old Chinese	rǝm	85	0655	0655 e	
318	淋	lín	Late_Han_Chinese	Eastern Han Chinese	rǝm	85	0655	0655 e	
319	淋	lín	Middle_Chinese	Middle Chinese	lim	85	0655	0655 e	
320	譁	huá	Old_Chinese	Classical Old Chinese	w̥rāj	149	0044	0044 d	
321	譁	huá	Late_Han_Chinese	Eastern Han Chinese	w̥rǟ	149	0044	0044 d	
322	譁	huá	Middle_Chinese	Middle Chinese	xwạ	149	0044	0044 d	
323	西	xī	Old_Chinese	Classical Old Chinese	sǝ̄n	146	0594	0594 a-e	
324	西	xī	Late_Han_Chinese	Eastern Han Chinese	sǝ̄n	146	0594	0594 a-e	
325	西	xī	Middle_Chinese	Middle Chinese	siej	146	0594	0594 a-e	
326	唯	wéi	Old_Chinese	Classical Old Chinese	wij	30	0575	0575 i-l	
327	唯	wéi	Late_Han_Chinese	Eastern Han Chinese	źwǝj	30	0575	0575 i-l	
328	唯	wéi	Middle_Chinese	Middle Chinese	jwi	30	0575	0575 i-l	
329	咳	ké	Old_Chinese	Classical Old Chinese	khǝ̄h	30	0937	0937 g	
330	咳	ké	Late_Han_Chinese	Eastern Han Chinese	khǝ̄h	30	0937	0937 g	
331	咳	ké	Middle_Chinese	Middle Chinese	khл̀j	30	0937	0937 g	
332	格	gé	Old_Chinese	Classical Old Chinese	krāk	75	0766	0766 z	
333	格	gé	Late_Han_Chinese	Eastern Han Chinese	krāk	75	0766	0766 z	
334	格	gé	Middle_Chinese	Middle Chinese	kạ̈ik	75	0766	0766 z	
335	訖	qì	Old_Chinese	Classical Old Chinese	kǝt	149	0517	0517 h	
336	訖	qì	Late_Han_Chinese	Eastern Han Chinese	kǝt	149	0517	0517 h	
337	訖	qì	Middle_Chinese	Middle Chinese	kɨt	149	0517	0517 h	
338	搔	sāo	Old_Chinese	Classical Old Chinese	sū	64	1112	1112 f	
339	搔	sāo	Late_Han_Chinese	Eastern Han Chinese	sǝ̄w	64	1112	1112 f	
340	搔	sāo	Middle_Chinese	Middle Chinese	sâw	64	1112	1112 f	
341	送	sòng	Old_Chinese	Classical Old Chinese	sōŋh	162	1179	1179 a	
342	送	sòng	Late_Han_Chinese	Eastern Han Chinese	sōŋh	162	1179	1179 a	
343	送	sòng	Middle_Chinese	Middle Chinese	sùŋ	162	1179	1179 a	
344	等	děng	Old_Chinese	Classical Old Chinese	tǝ̄́ŋ	118	0961	0961 |i ́	
345	等	děng	Late_Han_Chinese	Eastern Han Chinese	tǝ̄́ŋ	118	0961	0961 |i ́	
346	等	děng	Middle_Chinese	Middle Chinese	tʌ́ŋ	118	0961	0961 |i ́	
347	吁	xū yū	Old_Chinese	Classical Old Chinese	w̥a	30	0097	0097 t	
348	吁	xū yū	Late_Han_Chinese	Eastern Han Chinese	hjwa	30	0097	0097 t	
349	吁	xū yū	Middle_Chinese	Middle Chinese	xü	30	0097	0097 t	
350	郡	jùn	Old_Chinese	Classical Old Chinese	gwǝnh	163	0459	0459 g	
351	郡	jùn	Late_Han_Chinese	Eastern Han Chinese	gwǝnh	163	0459	0459 g	
352	郡	jùn	Middle_Chinese	Middle Chinese	gǜn	163	0459	0459 g	
353	管	guǎn	Old_Chinese	Classical Old Chinese	kwā́n	118	0157	0157 h	
354	管	guǎn	Late_Han_Chinese	Eastern Han Chinese	kwā́n	118	0157	0157 h	
355	管	guǎn	Middle_Chinese	Middle Chinese	kwấn	118	0157	0157 h	
356	咄	duō	Old_Chinese	Classical Old Chinese	twǝ̄t	30	0496	0496 h	
357	咄	duō	Late_Han_Chinese	Eastern Han Chinese	twǝ̄t	30	0496	0496 h	
358	咄	duō	Middle_Chinese	Middle Chinese	tot	30	0496	0496 h	
359	鈇	fū	Old_Chinese	Classical Old Chinese	pa	167	0101	0101 e	
360	鈇	fū	Late_Han_Chinese	Eastern Han Chinese	pwa	167	0101	0101 e	
361	鈇	fū	Middle_Chinese	Middle Chinese	pü	167	0101	0101 e	
362	迂	yū	Old_Chinese	Classical Old Chinese	ʔwa	162	0097	0097 p	
363	迂	yū	Late_Han_Chinese	Eastern Han Chinese	ʔwa	162	0097	0097 p	
364	迂	yū	Middle_Chinese	Middle Chinese	ʔü	162	0097	0097 p	
365	姜	jiāng	Old_Chinese	Classical Old Chinese	kaŋ	38	0711	0711 a-b	
366	姜	jiāng	Late_Han_Chinese	Eastern Han Chinese	kaŋ	38	0711	0711 a-b	
367	姜	jiāng	Middle_Chinese	Middle Chinese	kaŋ	38	0711	0711 a-b	
368	酬	chóu	Old_Chinese	Classical Old Chinese	dhu	164	1086	1086 e	
369	酬	chóu	Late_Han_Chinese	Eastern Han Chinese	ʒhǝw	164	1086	1086 e	
370	酬	chóu	Middle_Chinese	Middle Chinese	ʒ́ǝw	164	1086	1086 e	
371	簾	lián	Old_Chinese	Classical Old Chinese	rem	118			
372	簾	lián	Late_Han_Chinese	Eastern Han Chinese	ram	118			
373	簾	lián	Middle_Chinese	Middle Chinese	lem	118			
374	桁	héng	Old_Chinese	Classical Old Chinese	g(h)rāŋ	0	0748	0748 f	
375	桁	héng	Late_Han_Chinese	Eastern Han Chinese	grēŋ (~ ɣ-)	0	0748	0748 f	
376	桁	héng	Middle_Chinese	Middle Chinese	ɣạ̈iŋ	0	0748	0748 f	
377	杭	háng	Old_Chinese	Classical Old Chinese	ghāŋ	75	0698	0698 e	
378	杭	háng	Late_Han_Chinese	Eastern Han Chinese	ɣāŋ	75	0698	0698 e	
379	杭	háng	Middle_Chinese	Middle Chinese	ɣâŋ	75	0698	0698 e	
380	神	shén	Old_Chinese	Classical Old Chinese	lin	113	0385	0385 j-k	
381	神	shén	Late_Han_Chinese	Eastern Han Chinese	źǝn	113	0385	0385 j-k	
382	神	shén	Middle_Chinese	Middle Chinese	źin	113	0385	0385 j-k	
383	浮	fú	Old_Chinese	Classical Old Chinese	bhu	85	1233	1233 l-m	
384	浮	fú	Late_Han_Chinese	Eastern Han Chinese	bhǝw	85	1233	1233 l-m	
385	浮	fú	Middle_Chinese	Middle Chinese	bǝw	85	1233	1233 l-m	
386	憲	xiàn	Old_Chinese	Classical Old Chinese	hanh	61	0250	0250 a-b	
387	憲	xiàn	Late_Han_Chinese	Eastern Han Chinese	hanh	61	0250	0250 a-b	
388	憲	xiàn	Middle_Chinese	Middle Chinese	xǝ̀n	61	0250	0250 a-b	
389	鷹	yīng	Old_Chinese	Classical Old Chinese	ʔǝŋ	196	0890	0890 c	
390	鷹	yīng	Late_Han_Chinese	Eastern Han Chinese	ʔǝŋ	196	0890	0890 c	
391	鷹	yīng	Middle_Chinese	Middle Chinese	ʔiŋ	196	0890	0890 c	
392	酉	yǒu	Old_Chinese	Classical Old Chinese	lú	164	1096	1096 a-g	
393	酉	yǒu	Late_Han_Chinese	Eastern Han Chinese	źǝ́w	164	1096	1096 a-g	
394	酉	yǒu	Middle_Chinese	Middle Chinese	jǝ́w	164	1096	1096 a-g	
395	廬	lú	Old_Chinese	Classical Old Chinese	r(h)a	53	0069	0069 q	
396	廬	lú	Late_Han_Chinese	Eastern Han Chinese	r(h)a	53	0069	0069 q	
397	廬	lú	Middle_Chinese	Middle Chinese	lö	53	0069	0069 q	
398	逮	dài	Old_Chinese	Classical Old Chinese	lhǝ̄ć	162	0509	0509 c-d	
399	逮	dài	Late_Han_Chinese	Eastern Han Chinese	lhǝ̄ś	162	0509	0509 c-d	
400	逮	dài	Middle_Chinese	Middle Chinese	dʌ̀j	162	0509	0509 c-d	
401	配	pèi	Old_Chinese	Classical Old Chinese	phǝ̄ć	164			
402	配	pèi	Late_Han_Chinese	Eastern Han Chinese	phǝ̄ś	164			
403	配	pèi	Middle_Chinese	Middle Chinese	phòj	164			
404	布	bù	Old_Chinese	Classical Old Chinese	pāh	50	0102	0102 j-l	
405	布	bù	Late_Han_Chinese	Eastern Han Chinese	pāh	50	0102	0102 j-l	
406	布	bù	Middle_Chinese	Middle Chinese	pò	50	0102	0102 j-l	
407	益	yì	Old_Chinese	Classical Old Chinese	ʔek	108	0849	0849 a-b	
408	益	yì	Late_Han_Chinese	Eastern Han Chinese	ʔjek	108	0849	0849 a-b	
409	益	yì	Middle_Chinese	Middle Chinese	ʔjek	108	0849	0849 a-b	
410	屎	shǐ	Old_Chinese	Classical Old Chinese	ƛíj	44	0561	0561 d	
411	屎	shǐ	Late_Han_Chinese	Eastern Han Chinese	śǝ́j	44	0561	0561 d	
412	屎	shǐ	Middle_Chinese	Middle Chinese	śí	44	0561	0561 d	
413	忍	rěn	Old_Chinese	Classical Old Chinese	nǝ́n	61	0456	0456 c	
414	忍	rěn	Late_Han_Chinese	Eastern Han Chinese	ńǝ́n	61	0456	0456 c	
415	忍	rěn	Middle_Chinese	Middle Chinese	ńín	61	0456	0456 c	
416	娑	suō	Old_Chinese	Classical Old Chinese	sāj	38	0016	0016 e	
