ID	CHARACTER_ID	GROUP	CHARACTER	PINYIN	DOCULECT	RADICAL	PHONETIC	FANQIE	RHYME	CHAPTER	IMAGE
1867	w0600041	1659	對	duì	Old_Chinese					v05	103b-01
1868	w0610010	1660	菐	pú	Old_Chinese			蒲沃	三	v05	103b-02
1869	w0610020	1661	僕	pú	Old_Chinese			蒲沃	三	v05	103b-03
1870	w0610021	1661	䑑	䑑	Old_Chinese					v05	103b-04
1871	w0610030	1662	𠔯	𠔯	Old_Chinese				二	v05	103b-05
1872	w0620010	1663	𠬞	𠬞	Old_Chinese				三	v05	103b-06
1873	w0620011	1663	𢪒	𢪒	Old_Chinese					v05	103b-07
1874	w0620020	1664	奉	fèng	Old_Chinese			扶隴	九	v05	103b-08
1875	w0620030	1665	丞	chéng	Old_Chinese				六	v05	104a-01
1876	w0620040	1666	奐	huàn	Old_Chinese				四	v05	104a-02
1877	w0620050	1667	弇	yǎn	Old_Chinese	廾	合		七	v05	104a-03
1878	w0620051	1667	𢍔	𢍔	Old_Chinese					v05	104a-04
1879	w0620060	1668	𢍰	𢍰	Old_Chinese	廾	睪	羊益	五	v05	104a-05
1880	w0620070	1669	𢍁	𢍁	Old_Chinese	廾	由			v05	104a-06
1881	w0620080	1670	异	yì	Old_Chinese	廾	㠯	羊吏	一	v05	104a-07
1882	w0620090	1671	弄	nòng	Old_Chinese			盧貢	九	v05	104a-08
1883	w0620100	1672	𢌻	𢌻	Old_Chinese	廾	圥	余六		v05	104b-01
1884	w0620110	1673	𢍏	𢍏	Old_Chinese	廾	釆	俱劵	四	v05	104b-02
1885	w0620120	1674	𢌳	𢌳	Old_Chinese	廾	肉			v05	104b-03
1886	w0620130	1675	戒	jiè	Old_Chinese				五	v05	104b-04
1887	w0620140	1676	兵	bīng	Old_Chinese			補明	十	v05	104b-05
1888	w0620141	1676	𠉔	𠉔	Old_Chinese					v05	104b-06
1889	w0620142	1676	𠬿	𠬿	Old_Chinese					v05	104b-07
1890	w0620150	1677	龏	gōng	Old_Chinese	廾	龍	紀庸	九	v05	104b-08
1891	w0620160	1678	弈	yì	Old_Chinese	廾	亦	羊益	五	v05	104b-09
1892	w0620170	1679	具	jù	Old_Chinese				四	v05	104b-10
1893	w0630010	1680	𠬜	𠬜	Old_Chinese				四	v05	104b-11
1894	w0630011	1680	𢸅	𢸅	Old_Chinese					v05	104b-12
1895	w0630020	1681	樊	fán	Old_Chinese			附袁	四	v05	104b-13
1896	w0630030	1682	奱	luán	Old_Chinese			吕貟	四	v05	105a-01
1897	w0640010	1683	共	gòng	Old_Chinese				九	v05	105a-02
1898	w0640011	1683	𦱹	𦱹	Old_Chinese					v05	105a-03
1899	w0640020	1684	龔	gōng	Old_Chinese	共	龍	俱容	九	v05	105a-04
1900	w0650010	1685	異	yì	Old_Chinese				一	v05	105a-05
1901	w0650020	1686	戴	dài	Old_Chinese	異	𢦒	都代	一	v05	105a-06
1902	w0650021	1686	𢎑	𢎑	Old_Chinese				一	v05	105a-07
1903	w0660010	1687	舁	yú	Old_Chinese			以諸	五	v05	105b-01
1904	w0660020	1688	𢍱	𢍱	Old_Chinese	舁	囟		四	v05	105b-02
1905	w0660021	1688	𠨧	𠨧	Old_Chinese					v05	105b-03
1906	w0660022	1688	𢍹	𢍹	Old_Chinese					v05	105b-04
1907	w0660030	1689	與	yǔ	Old_Chinese				五	v05	105b-05
1908	w0660031	1689	𢌱	𢌱	Old_Chinese					v05	105b-06
1909	w0660040	1690	興	xìng	Old_Chinese				六	v05	105b-07
1910	w0670010	1691	𦥑	𦥑	Old_Chinese				三	v05	105b-08
1911	w0670020	1692	𦥺	𦥺	Old_Chinese				二	v05	105b-09
1912	w0670021	1692	𡢗	𡢗	Old_Chinese					v05	105b-10
