ID	DOCULECT	DOCULECT_ID	CONCEPT	CONCEPT_CHINESE	CONCEPTICON_ID	CHARACTERS	VALUE	TOKENS	SAMPA	PAGE
3052	Xi_an	6	fly	飛	1441	飛	fei²¹	f e i ²¹	fei21	47
3053	Chengdu	7	fly	飛	1441	飛	fei⁴⁵	f e i ⁴⁵	fei45	47
3054	Nanjing	8	fly	飛	1441	飛	fei³¹	f e i ³¹	fei31	47
3055	Jixi	9	fly	飛	1441	飛	fi⁵⁵⁵	f i ⁵⁵⁵	fi555	47
3056	Suzhou	10	fly	飛	1441	飛	fi⁴⁴	f i ⁴⁴	fi44	47
3057	Wenzhou	11	fly	飛	1441	飛	fei⁴⁴	f e i ⁴⁴	fei44	47
3058	Changsha	12	fly	飛	1441	飛	fei³³	f e i ³³	fei33	47
3059	Loudi	13	fly	飛	1441	飛	xui⁴⁴	x u i ⁴⁴	xui44	47
3060	Nanchang	14	fly	飛	1441	飛	fɨi⁴²	f ɨ i ⁴²	f1i42	47
3061	Meixian	15	fly	飛	1441	飛	fi³³	f i ³³	fi33	47
3062	Guilin	16	fly	飛	1441	飛	fei⁴²	f e i ⁴²	fei42	47
3063	Guangzhou	17	fly	飛	1441	飛	fei⁵³	f e i ⁵³	fei53	47
3064	Fuzhou	18	fly	飛	1441	飛	puoi⁵⁵	p u o i ⁵⁵	puoi55	47
3065	Xiamen	19	fly	飛	1441	飛	pe⁵⁵	p e ⁵⁵	pe55	47
1521	Beijing	1	fog	霧	249	霧	u⁵¹	u ⁵¹	u51	107
1522	Ha_erbin	2	fog	霧	249	霧	u⁵³	u ⁵³	u53	107
1523	Jinan	3	fog	霧	249	霧	u³¹	u ³¹	u31	107
1524	Rongcheng	4	fog	霧	249	霧	u³³⁴	u ³³⁴	u334	107
1525	Taiyuan	5	fog	霧	249	霧	u⁴⁵	u ⁴⁵	u45	107
1526	Xi_an	6	fog	霧	249	霧	vu⁴⁴	v u ⁴⁴	vu44	107
1527	Chengdu	7	fog	霧	249	霧	u²¹³	u ²¹³	u213	107
1528	Nanjing	8	fog	霧	249	霧	u⁴⁴	u ⁴⁴	u44	107
1529	Jixi	9	fog	霧	249	霧	vu³¹	v u ³¹	vu31	107
1530	Suzhou	10	fog	霧	249	迷露	mi¹³¯²²+ləu²³¹	m i ¹³¯²² + l ə u ²³¹	mi13-22 l@u231	107
1531	Wenzhou	11	fog	霧	249	?	mø²²	m ø ²²	mø22	107
1532	Changsha	12	fog	霧	249	??	ʦau⁵⁵+ʦɿœ	ʦ a u ⁵⁵ + ʦ ɿ œ	tsau55 tsi_z9	107
1533	Loudi	13	fog	霧	249	霧	u¹¹	u ¹¹	u11	107
1534	Nanchang	14	fog	霧	249	霧	u²¹	u ²¹	u21	107
1535	Meixian	15	fog	霧	249	??	muŋ¹¹+sa³³	m u ŋ ¹¹ +s a ³³	muN11 sa33	107
1536	Guilin	16	fog	霧	249	霧氣	u²¹+ʨʰi⁴²¯²²	u ²¹ + ʨʰ i ⁴²¯²²	u21 tc\_hi42-22	107
1537	Guangzhou	17	fog	霧	249	霧	mou²²	m o u ²²	mou22	107
1538	Fuzhou	18	fog	霧	249	霧	muo⁵³	m u o ⁵³	muo53	107
1539	Xiamen	19	fog	霧	249	霧	bu²²	b u ²²	bu22	107
3741	Beijing	1	foot	腳	1301	腳	ʨiɑu²¹⁴	ʨ i ɑ u ²¹⁴	tc\iAu214	64
3742	Ha_erbin	2	foot	腳	1301	腳	+ʨiau²¹³	+ ʨ i a u ²¹³	(1) tc\iau213	64
3743	Ha_erbin	2	foot	腳	1301	腳丫子	+ʨiau²¹³¯²¹+ia⁴⁴+ʦɿ⁰	+ ʨ i a u ²¹³¯²¹ + i a ⁴⁴ + ʦ ɿ ⁰	(2) tc\iau213-21 ia44 tsi_z0	64
3744	Jinan	3	foot	腳	1301	腳	ʨyɤ²¹⁴	ʨ y ɤ ²¹⁴	tc\y7214	64
3745	Rongcheng	4	foot	腳	1301	腳	cyɔ²¹⁴	c y ɔ ²¹⁴	cyO214	64
3746	Taiyuan	5	foot	腳	1301	腳	ʨiau⁵³	ʨ i a u ⁵³	tc\iau53	64
3747	Xi_an	6	foot	腳	1301	腳	ʨyo²¹	ʨ y o ²¹	tc\yo21	64
3748	Chengdu	7	foot	腳	1301	腳板兒	ʨyo²¹¯⁵⁵+pər⁵³	ʨ y o ²¹¯⁵⁵ + p ə r ⁵³	tc\yo21-55 p@r53	64
3749	Nanjing	8	foot	腳	1301	腳	ʨioʔ⁵	ʨ i o ʔ ⁵	tc\io?5	64
3750	Jixi	9	foot	腳	1301	腳	ʨyoʔ³²	ʨ y o ʔ ³²	tc\yo?32_	64
3751	Suzhou	10	foot	腳	1301	腳	ʨiɑʔ⁴	ʨ i ɑ ʔ ⁴	tc\iA?4	64
3752	Wenzhou	11	foot	腳	1301	腳	ʨia⁴¹	ʨ i a ⁴¹	tc\ia41	64
3753	Changsha	12	foot	腳	1301	腳	ʨio²⁴	ʨ i o ²⁴	tc\io24	64
3754	Loudi	13	foot	腳	1301	腳	dio¹³	d i o ¹³	dio13	64
3755	Nanchang	14	foot	腳	1301	腳	ʨioʔ⁵	ʨ i o ʔ ⁵	tc\io?5	64
3756	Meixian	15	foot	腳	1301	腳[指整個下肢]	kiok¹	k i o k ¹	kiok1	64
3757	Guilin	16	foot	腳	1301	膝囗	ɕy⁵⁵+te²²	ɕ y ⁵⁵ + t e ²²	c\y55 te22	64
3758	Guangzhou	17	foot	腳	1301	腳	kœj³	k œ j ³	k9j3	64
3759	Fuzhou	18	foot	腳	1301	骹	kʰa⁵⁵	kʰ a ⁵⁵	k_ha55	64
3760	Xiamen	19	foot	腳	1301	骹	kʰa⁵⁵	kʰ a ⁵⁵	k_ha55	64
1059	Beijing	1	four	四	1500	四	sɿ⁵¹	s ɿ ⁵¹	si_z51	96
1060	Ha_erbin	2	four	四	1500	四	sɿ⁵³	s ɿ ⁵³	si_z53	96
1061	Jinan	3	four	四	1500	四	sɿ³¹	s ɿ ³¹	si_z31	96
1062	Rongcheng	4	four	四	1500	四	sɿ³³⁴	s ɿ ³³⁴	si_z334	96
1063	Taiyuan	5	four	四	1500	四	sɿ⁴⁵	s ɿ ⁴⁵	si_z45	96
1064	Xi_an	6	four	四	1500	四	sɿ⁴⁵	s ɿ ⁴⁵	si_z45	96
1065	Chengdu	7	four	四	1500	四	sɿ⁴⁴	s ɿ ⁴⁴	si_z44	96
1066	Nanjing	8	four	四	1500	四	sɿ²¹³	s ɿ ²¹³	si_z213	96
1067	Jixi	9	four	四	1500	四	sɿ⁴⁴	s ɿ ⁴⁴	si_z44	96
1068	Suzhou	10	four	四	1500	四	sɿ³⁵	s ɿ ³⁵	si_z35	96
1069	Wenzhou	11	four	四	1500	四	sɿ⁴¹²	s ɿ ⁴¹²	si_z412	96
1070	Changsha	12	four	四	1500	四	sɿ⁵¹	s ɿ ⁵¹	si_z51	96
1071	Loudi	13	four	四	1500	四	sɿ⁵⁵	s ɿ ⁵⁵	si_z55	96
1072	Nanchang	14	four	四	1500	四	sɿ³⁵	s ɿ ³⁵	si_z35	96
1073	Meixian	15	four	四	1500	四	sɿ⁴⁵	s ɿ ⁴⁵	si_z45	96
1074	Guilin	16	four	四	1500	四	si⁵³	s i ⁵³	si53	96
1075	Guangzhou	17	four	四	1500	四	sei³³	s e i ³³	sei33	96
1076	Fuzhou	18	four	四	1500	四	sɛi²¹²	s ɛ i ²¹²	sEi212	96
1077	Xiamen	19	four	四	1500	四	si²¹	s i ²¹	si21	96
3761	Beijing	1	freeze	結冰	1431	結冰	ʨiɛ³⁵+piŋ⁵⁵	ʨ i ɛ ³⁵ + p i ŋ ⁵⁵	tc\iE35 piN55	64
3762	Ha_erbin	2	freeze	結冰	1431	凍冰	tuŋ⁵³+piŋ⁴⁴	t u ŋ ⁵³ + p i ŋ ⁴⁴	tuN53 piN44	64
3763	Jinan	3	freeze	結冰	1431	結冰	ʨiə²¹⁴¯²³+piŋ²¹⁴	ʨ i ə ²¹⁴¯²³ + p i ŋ ²¹⁴	tc\i@214-23 piN214	64
3764	Rongcheng	4	freeze	結冰	1431	結冰	ciɛ²¹⁴¯²¹+piŋ⁵²	c i ɛ ²¹⁴¯²¹ + p i ŋ ⁵²	ciE214-21 piN52	64
3765	Taiyuan	5	freeze	結冰	1431	結冰	ʨiəʔ²¯⁵⁴+piŋ²¹	ʨ i ə ʔ ²¯⁵⁴ + p i ŋ ²¹	tc\i@?2-54 piN21	64
3766	Xi_an	6	freeze	結冰	1431	結冰	ʨiɛ²¹¯²⁴+piŋ²¹	ʨ i ɛ ²¹¯²⁴ + p i ŋ ²¹	tc\iE21-24 piN21	64
3767	Chengdu	7	freeze	結冰	1431	結冰	ʨie²¹¯⁵⁵+pin⁴⁵	ʨ i e ²¹¯⁵⁵ + p i n ⁴⁵	tc\ie21-55 pin45	64
3768	Nanjing	8	freeze	結冰	1431	結冰	ʨieʔ⁵+pin³¹	ʨ i e ʔ ⁵ + p i n ³¹	tc\ie?5 pin31	64
3769	Jixi	9	freeze	結冰	1431	結冰	ʨiaʔ³²+piɑ̃⁵⁵	ʨ i a ʔ ³² + p i ɑ̃ ∼ ⁵⁵	tc\ia?32_ piA~55	64
3770	Suzhou	10	freeze	結冰	1431	結冰	tciəʔ⁴+pin⁴⁴	t c i ə ʔ ⁴ + p i n ⁴⁴	tci@?4 pin44	64
3771	Wenzhou	11	freeze	結冰	1431	結冰	ʨi⁴¹¯²+peŋ⁴⁴	ʨ i ⁴¹¯² + p e ŋ ⁴⁴	tc\i41-2 peN44	64
3772	Changsha	12	freeze	結冰	1431	結冰	+ʨie²⁴+pin³³	+ ʨ i e ²⁴ + p i n ³³	(1) tc\ie24 pin33	64
3773	Changsha	12	freeze	結冰	1431	下凜	+ɕia¹¹+lin¹³	+ɕ i a ¹¹ + l i n ¹³	(2) c\ia11 lin13	64
3774	Changsha	12	freeze	結冰	1431		+kəu⁵⁵¯⁴¹+lin¹³	+ k ə u ⁵⁵¯⁴¹ + l i n ¹³	(3) k@u55-41 lin13	64
3775	Loudi	13	freeze	結冰	1431	扯鉤	ʨʰiɔ⁴²+kɤ³⁵	ʨʰ i ɔ ⁴² + k ɤ ³⁵	tc\_hiO42 k735	64
3776	Nanchang	14	freeze	結冰	1431	結冰	ʨiɛt⁵+pin⁴²	ʨ i ɛ t ⁵ + p i n ⁴²	tc\iEt5 pin42	64
3777	Meixian	15	freeze	結冰	1431	結冰	ket¹+pen³³	k e t ¹ + p e n ³³	ket1 pen33	64
3778	Guilin	16	freeze	結冰	1431	結冰	ʨie⁵⁵¯²¹+pi⁴²	ʨ i e ⁵⁵¯²¹ + p i ⁴²	tc\ie55-21 pi42	64
3779	Guangzhou	17	freeze	結冰	1431	結冰	kit³+eŋ⁵⁵	k i t ³ + e ŋ ⁵⁵	kit3 eN55	64
3780	Fuzhou	18	freeze	結冰	1431	結冰	kieʔ⁵¯²¹+piŋ⁵⁵	k i e ʔ ⁵¯²¹ + p i ŋ ⁵⁵	kie?5-21 piN55	64
3781	Xiamen	19	freeze	結冰	1431	結冰	kiat³²¯⁵+piŋ⁵⁵	k i a t ³²¯⁵ + p i ŋ ⁵⁵	kiat32-5 piN55	64
926	Beijing	1	fruit	水果	1507	水果	ʂuei²¹³¯³⁵+kuo²¹³	ʂ u e i ²¹³¯³⁵ + k u o ²¹³	s`uei213-35 kuo213	93
927	Ha_erbin	2	fruit	水果	1507	水果兒	ʂuei²¹³¯²⁴+kuor²¹³	ʂ u e i ²¹³¯²⁴ + k u o r ²¹³	s`uei213-24 kuor213	93
928	Jinan	3	fruit	水果	1507	水果	ʂuei⁴⁵¯⁵³+kuɤ⁴⁵	ʂ u e i ⁴⁵¯⁵³ + k u ɤ ⁴⁵	s`uei45-53 ku745	93
929	Rongcheng	4	fruit	水果	1507	果兒們	kɔr²¹³+mən⁰	k ɔ r ²¹³ + m ə n ⁰	kOr213 m@n0	93
930	Taiyuan	5	fruit	水果	1507	水果	suei⁵³¯²¹+kuo⁵³	s u e i ⁵³¯²¹ + k u o ⁵³	suei53-21 kuo53	93
931	Xi_an	6	fruit	水果	1507	水果	fei⁵³+kuoœ	f e i ⁵³ + k u o œ	fei53 kuo9	93
932	Chengdu	7	fruit	水果	1507	水果	suei⁵³¯⁵⁵+ko¹¹	s u e i ⁵³¯⁵⁵ + k o ¹¹	suei53-55 ko11	93
933	Nanjing	8	fruit	水果	1507	水果	suei¹¹¯¹²+ko¹¹	s u e i ¹¹¯¹² + k o ¹¹	suei11-12 ko11	93
934	Jixi	9	fruit	水果	1507	水果	ɕy²¹³¯³¹+kɵ²¹³	ɕ y ²¹³¯³¹ + k ɵ ²¹³	c\y213-31 k8213	93
935	Suzhou	10	fruit	水果	1507	水果	sʯ⁵²¯⁴¹+kəu⁵²¯²³	s ʯ ⁵²¯⁴¹ + k ə u ⁵²¯²³	sH`52-41 k@u52-23	93
936	Wenzhou	11	fruit	水果	1507	水果	sɿ²⁴¯⁵³+ku²⁴²¯²³	s ɿ ²⁴¯⁵³ + k u ²⁴²¯²³	si_z24-53 ku242-23	93
937	Changsha	12	fruit	水果	1507	水果	ɕyei⁴¹+ko⁴¹	ɕ y e i ⁴¹ + k o ⁴¹	c\yei41 ko41	93
938	Loudi	13	fruit	水果	1507	果子	ko⁴²+ʦɿ⁰	k o ⁴² + ʦ ɿ ⁰	ko42 tsi_z0	93
939	Nanchang	14	fruit	水果	1507	水果	sui²¹³¯⁴⁴+kuo²¹³	s u i ²¹³¯⁴⁴ + k u o ²¹³	sui213-44 kuo213	93
940	Meixian	15	fruit	水果	1507	水果	sui³¹¯³³+kuo³¹	s u i ³¹¯³³ + k u o ³¹	sui31-33 kuo31	93
941	Guilin	16	fruit	水果	1507	水果	suei²³+kuo²³¯²²	s u e i ²³ + k u o ²³¯²²	suei23 kuo23-22	93
942	Guangzhou	17	fruit	水果	1507	水果	søy³⁵+kyɔ³⁵	s ø y ³⁵ + k y ɔ ³⁵	s2y35 kyO35	93
943	Fuzhou	18	fruit	水果	1507	果子	kuo³²¯³⁵+ʒi³²	k u o ³²¯³⁵ + ʒ i ³²	kuo32-35 Zi32	93
944	Xiamen	19	fruit	水果	1507	水果	ʦui⁵³¯⁵⁵+ko⁵³	ʦ u i ⁵³¯⁵⁵ + k o ⁵³	tsui53-55 ko53	93
4036	Beijing	1	full	滿	1429	滿	man²¹⁴	m a n ²¹⁴	man214	71
4037	Ha_erbin	2	full	滿	1429	滿	man²¹³	m a n ²¹³	man213	71
4038	Jinan	3	full	滿	1429	滿	mæ̃⁴⁵	m æ̃ ∼ ⁴⁵	m{~45	71
4039	Rongcheng	4	full	滿	1429	滿	mɐn²¹⁴	m ɐ n ²¹⁴	m6n214	71
4040	Taiyuan	5	full	滿	1429	滿	mæ̃⁵³	m æ̃ ∼ ⁵³	m{~53	71
4041	Xi_an	6	full	滿	1429	滿	mæ̃⁵³	m æ̃ ∼ ⁵³	m{~53	71
4042	Chengdu	7	full	滿	1429	滿	+man⁵³	+ m a n ⁵³	(1) man53	71
4043	Chengdu	7	full	滿	1429	 爆	+pau²¹³	+ p a u ²¹³	(2) pau213	71
4044	Nanjing	8	full	滿	1429	滿	mɑ̃¹¹	m ɑ̃ ∼ ¹¹	mA~11	71
4045	Jixi	9	full	滿	1429	滿	mɑ̃²¹³	m ɑ̃ ∼ ²¹³	mA~213	71
4046	Suzhou	10	full	滿	1429	滿	mø²³¹	m ø ²³¹	mø231	71
4047	Wenzhou	11	full	滿	1429	滿	mø²⁴²	m ø ²⁴²	mø242	71
4048	Changsha	12	full	滿	1429	滿	mõ⁴¹	m õ ∼ ⁴¹	mo~41	71
4049	Loudi	13	full	滿	1429	滿	mẽ⁴²	m ẽ ∼ ⁴²	me~42	71
4050	Nanchang	14	full	滿	1429	滿	mon²¹³	m o n ²¹³	mon213	71
4051	Meixian	15	full	滿	1429	滿	man³³	m a n ³³	man33	71
4052	Guilin	16	full	滿	1429	滿	mã²³	m ã ∼ ²³	ma~23	71
4053	Guangzhou	17	full	滿	1429	滿	mun²³	m u n ²³	mun23	71
4054	Fuzhou	18	full	滿	1429	個郎	+ko²¹²¯⁵⁵+louŋ⁵³	+ k o ²¹²¯⁵⁵ + l o u ŋ ⁵³	(1) ko212-55 louN53	71
4055	Fuzhou	18	full	滿	1429	滿	+muaŋ³²	+ m u a ŋ ³²	(2) muaN32	71
4056	Xiamen	19	full	滿	1429	滿	muã⁵³	m u ã ∼ ⁵³	mua~53	71
3209	Beijing	1	give	給	1447	給	kei²¹⁴	k e i ²¹⁴	kei214	51
3210	Ha_erbin	2	give	給	1447	給	kei²¹³	k e i ²¹³	kei213	51
3211	Jinan	3	give	給	1447	給	ʨi⁵³	ʨ i ⁵³	tc\i53	51
3212	Rongcheng	4	give	給	1447	給	kei²¹⁴	k e i ²¹⁴	kei214	51
3213	Taiyuan	5	give	給	1447	給	kei⁵³	k e i ⁵³	kei53	51
3214	Xi_an	6	give	給	1447	給	kei⁵³	k e i ⁵³	kei53	51
3215	Chengdu	7	give	給	1447	給	ke⁴⁵	k e ⁴⁵	ke45	51
3216	Nanjing	8	give	給	1447	給	ʨi¹¹	ʨ i ¹¹	tc\i11	51
3217	Jixi	9	give	給	1447	囗	xɑ̃³⁵	x ɑ̃ ∼ ³⁵	xA~35	51
3218	Suzhou	10	give	給	1447	撥	pəʔ⁴	p ə ʔ ⁴	p@?4	51
3219	Wenzhou	11	give	給	1447	亡+刀	ha⁵¹	h a ⁵¹	ha51	51
3220	Changsha	12	give	給	1447	把	pa⁴¹	p a ⁴¹	pa41	51
3221	Loudi	13	give	給	1447	拿賜	nɔ⁴⁴+sɿ³⁵¯⁵	n ɔ ⁴⁴ +s ɿ ³⁵¯⁵	nO44 si_z35-5	51
3222	Nanchang	14	give	給	1447	把	+pa²¹³	+ p a ²¹³	(1) pa213	51
3223	Nanchang	14	give	給	1447	給	+kei²¹³	+ k e i ²¹³	(2) kei213	51
3224	Meixian	15	give	給	1447	給	kip¹	k i p ¹	kip1	51
3225	Guilin	16	give	給	1447	囗	tiɑɑ⁵⁵	t i ɑɑ ⁵⁵	tiAA55	51
3226	Guangzhou	17	give	給	1447	給	kʰɐp⁵	kʰ ɐ p ⁵	k_h6p5	51
3227	Fuzhou	18	give	給	1447	乞	+kʰøyʔ²⁴	+ kʰ ø y ʔ ²⁴	(1) k_h2y?24_	51
3228	Fuzhou	18	give	給	1447	共	+kɔyŋ⁵⁵	+ k ɔ y ŋ ⁵⁵	(2) kOyN55	51
3229	Xiamen	19	give	給	1447	互	ho²²	h o ²²	ho22	51
3363	Beijing	1	good	好	1035	好	xɑu²¹⁴	x ɑ u ²¹⁴	xAu214	54
3364	Ha_erbin	2	good	好	1035	好	+xau²¹³	+ x a u ²¹³	(1) xau213	54
3365	Ha_erbin	2	good	好	1035	帶勁	+tai⁵³+ʨiŋ⁵³	+ t a i ⁵³ + ʨ i ŋ ⁵³	(2) tai53 tc\iN53	54
3366	Ha_erbin	2	good	好	1035	不賴	+pu⁵³¯²⁴+lai⁵³	+ p u ⁵³¯²⁴ + l a i ⁵³	(3) pu53-24 lai53	54
3367	Jinan	3	good	好	1035	好	xɔ⁴⁵	x ɔ ⁴⁵	xO45	54
3368	Rongcheng	4	good	好	1035	不糙	pu²¹⁴¯²+ʦʰau³³⁴¯³²	p u ²¹⁴¯² + ʦʰ a u ³³⁴¯³²	pu214-2 ts_hau334-32	54
3369	Taiyuan	5	good	好	1035	好	xau⁵³	x a u ⁵³	xau53	54
3370	Xi_an	6	good	好	1035	好	xɑu⁵³	x ɑ u ⁵³	xAu53	54
3371	Chengdu	7	good	好	1035	好	xau⁵³	x a u ⁵³	xau53	54
3372	Nanjing	8	good	好	1035	好	xɔ¹¹	x ɔ ¹¹	xO11	54
3373	Jixi	9	good	好	1035	好	xɤ²¹³	x ɤ ²¹³	x7213	54
3374	Suzhou	10	good	好	1035	好	hæ⁵²	h æ ⁵²	h{52	54
3375	Wenzhou	11	good	好	1035	好	xaə²⁴	x a ə ²⁴	xa@24	54
3376	Changsha	12	good	好	1035	好	xau⁴¹	x a u ⁴¹	xau41	54
3377	Loudi	13	good	好	1035	好	xɤ³⁵	x ɤ ³⁵	x735	54
3378	Nanchang	14	good	好	1035	好	hau²¹³	h a u ²¹³	hau213	54
3379	Meixian	15	good	好	1035	好	hau³¹	h a u ³¹	hau31	54
3380	Guilin	16	good	好	1035	好	xɑu²³	x ɑ u ²³	xAu23	54
3381	Guangzhou	17	good	好	1035	好	hou³⁵	h o u ³⁵	hou35	54
3382	Fuzhou	18	good	好	1035	好	ho³²	h o ³²	ho32	54
3383	Xiamen	19	good	好	1035	好	ho⁵³	h o ⁵³	ho53	54
171	Beijing	1	grass	草	606	草	ʦʰau²¹⁴	ʦʰ a u ²¹⁴	ts_hau214	36
172	Ha_erbin	2	grass	草	606	草	ʦʰau²¹³	ʦʰ a u ²¹³	ts_hau213	36
173	Jinan	3	grass	草	606	草	ʦʰɔ⁴⁵	ʦʰ ɔ ⁴⁵	ts_hO45	36
174	Rongcheng	4	grass	草	606	草	ʦʰau²¹⁴	ʦʰ a u ²¹⁴	ts_hau214	36
175	Taiyuan	5	grass	草	606	草	ʦʰau⁵³	ʦʰ a u ⁵³	ts_hau53	36
176	Xi_an	6	grass	草	606	草	ʦʰɑu⁵³	ʦʰ ɑ u ⁵³	ts_hAu53	36
177	Chengdu	7	grass	草	606	草	ʦʰau⁵³	ʦʰ a u ⁵³	ts_hau53	36
178	Nanjing	8	grass	草	606	草	ʦʰɔ¹¹	ʦʰ ɔ ¹¹	ts_hO11	36
179	Jixi	9	grass	草	606	草	ʦʰɤ²¹³	ʦʰ ɤ ²¹³	ts_h7213	36
180	Suzhou	10	grass	草	606	草	ʦʰæ⁵²	ʦʰ æ ⁵²	ts_h{52	36
181	Wenzhou	11	grass	草	606	草	ʦʰə²⁴²	ʦʰ ə ²⁴²	ts_h@242	36
182	Changsha	12	grass	草	606	草	ʦʰau⁴¹	ʦʰ a u ⁴¹	ts_hau41	36
183	Loudi	13	grass	草	606	草	ʦʰɤ⁴²	ʦʰ ɤ ⁴²	ts_h742	36
184	Nanchang	14	grass	草	606	草	ʦʰau²¹³	ʦʰ a u ²¹³	ts_hau213	36
185	Meixian	15	grass	草	606	草	ʦʰau³¹	ʦʰ a u ³¹	ts_hau31	36
186	Guilin	16	grass	草	606	草	ʦʰɑu²³	ʦʰ ɑ u ²³	ts_hAu23	36
187	Guangzhou	17	grass	草	606	草	ʦʰou³⁵	ʦʰ o u ³⁵	ts_hou35	36
188	Fuzhou	18	grass	草	606	草	ʦʰau³²	ʦʰ a u ³²	ts_hau32	36
189	Xiamen	19	grass	草	606	草	ʦʰau⁵³	ʦʰ a u ⁵³	ts_hau53	36
2337	Beijing	1	grease	脂肪	323	脂肪	t͡ʂʅ²¹³¯²¹+fɑŋ³⁵	t͡ʂ ʅ ²¹³¯²¹ + f ɑ ŋ ³⁵	ts`i`213-21 fAN35	126
2338	Ha_erbin	2	grease	脂肪	323	脂肪	t͡ʂʅ²²¹³²¹+faŋ²⁴	t͡ʂ ʅ ²²¹³²¹ + f a ŋ ²⁴	ts`i`221321 faN24	126
2339	Jinan	3	grease	脂肪	323	脂肪	t͡ʂʅ²¹⁴+fɑŋ⁴⁵	t͡ʂ ʅ ²¹⁴ + f ɑ ŋ ⁴⁵	ts`i`214 fAN45	126
2340	Rongcheng	4	grease	脂肪	323	脂肪	t͡ʂʅ²¹⁴¯²¹+faŋ³⁵	t͡ʂ ʅ ²¹⁴¯²¹ + f a ŋ ³⁵	ts`i`214-21 faN35	126
2341	Taiyuan	5	grease	脂肪	323	脂肪	+ʦɿ⁵³+fɒ̃⁰	+ ʦ ɿ ⁵³ + f ɒ̃ ∼ ⁰	(1) tsi_z53 fQ~0	126
2342	Taiyuan	5	grease	脂肪	323	油	+iəu²¹	+ i ə u ²¹	(2) i@u21	126
2343	Xi_an	6	grease	脂肪	323	脂肪	+ʦɿ²¹+fɑŋ²⁴	+ ʦ ɿ ²¹ + f ɑ ŋ ²⁴	(1) tsi_z21 fAN24	126
2344	Xi_an	6	grease	脂肪	323	油	+iou²⁴	+ i o u ²⁴	(2) iou24	126
2345	Chengdu	7	grease	脂肪	323	油	iəu²¹	i ə u ²¹	i@u21	126
2346	Nanjing	8	grease	脂肪	323	油	+iəɯ¹³	+ i ə ɯ ¹³	(1) i@M13	126
2347	Nanjing	8	grease	脂肪	323	脂肪	+t͡ʂʅ¹¹¯²¹+fɑ̃¹³	+ t͡ʂ ʅ ¹¹¯²¹ + f ɑ̃ ∼ ¹³	(2) ts`i`11-21 fA~13	126
2348	Jixi	9	grease	脂肪	323	油	+iɵ⁴⁴	+ i ɵ ⁴⁴	(1) i844	126
2349	Jixi	9	grease	脂肪	323	脂肪	ʦɿ²¹³¯⁴⁴+xõ⁴⁴	ʦ ɿ ²¹³¯⁴⁴ + x õ ∼ ⁴⁴	tsi_z213-44 xo~44	126
2350	Suzhou	10	grease	脂肪	323	丬+士肉	ʦɑ̃⁴¹²¯⁴⁴+ɳioʔ²³²¹	ʦ ɑ̃ ∼ ⁴¹²¯⁴⁴ + ɳ i o ʔ ²³²¹	tsA~412-44 n`io?23_21_	126
2351	Wenzhou	11	grease	脂肪	323	脂肪	ʦɿ⁴⁴+huɔ⁴⁴	ʦ ɿ ⁴⁴ + h u ɔ ⁴⁴	tsi_z44 huO44	126
2352	Changsha	12	grease	脂肪	323	脂肪	ʦɿ³³+fan¹³	ʦ ɿ ³³ + f a n ¹³	tsi_z33 fan13	126
2353	Loudi	13	grease	脂肪	323	肥肉子	ɣui¹³¯³³+nio³⁵¯⁵+ʦɿ⁰	ɣ u i ¹³¯³³ + n i o ³⁵¯⁵ + ʦ ɿ ⁰	Gui13-33 nio35-5 tsi_z0	126
2354	Nanchang	14	grease	脂肪	323	脂肪	+ʦɿ²¹³¯²⁴+faŋ²¹	+ ʦ ɿ ²¹³¯²⁴ + f a ŋ ²¹	(1) tsi_z213-24 faN21	126
2355	Nanchang	14	grease	脂肪	323	油	+iu⁴⁵	+ i u ⁴⁵	(2) iu45	126
2356	Meixian	15	grease	脂肪	323	油	iu¹¹	i u ¹¹	iu11	126
2357	Guilin	16	grease	脂肪	323	板油	pã²³+iou²²	p ã ∼ ²³ + i o u ²²	pa~23 iou22	126
2358	Guangzhou	17	grease	脂肪	323	?	kou⁵³	k o u ⁵³	kou53	126
2359	Fuzhou	18	grease	脂肪	323	油脂	ieu⁵³¯⁵⁵+ʒie⁵⁵	i e u ⁵³¯⁵⁵ + ʒ i e ⁵⁵	ieu53-55 Zie55	126
2360	Xiamen	19	grease	脂肪	323	脂肪	¯	¯	-	126
4017	Beijing	1	green	綠	1425	綠	ly⁵¹	l y ⁵¹	ly51	70
4018	Ha_erbin	2	green	綠	1425	綠	ly⁵³	l y ⁵³	ly53	70
4019	Jinan	3	green	綠	1425	綠	ly³¹	l y ³¹	ly31	70
4020	Rongcheng	4	green	綠	1425	綠	ly²¹⁴	l y ²¹⁴	ly214	70
4021	Taiyuan	5	green	綠	1425	綠	ly⁴⁵	l y ⁴⁵	ly45	70
4022	Xi_an	6	green	綠	1425	綠	liou²¹	l i o u ²¹	liou21	70
4023	Chengdu	7	green	綠	1425	綠	nu²¹	n u ²¹	nu21	70
4024	Nanjing	8	green	綠	1425	綠	luʔ⁵	l u ʔ ⁵	lu?5	70
4025	Jixi	9	green	綠	1425	綠	nɤʔ²³	n ɤ ʔ ²³	n7?23_	70
4026	Suzhou	10	green	綠	1425	綠	loʔ²³	l o ʔ ²³	lo?23_	70
4027	Wenzhou	11	green	綠	1425	綠	lo²¹	l o ²¹	lo21	70
