ID	CHARACTER	PINYIN	DOCULECT	PHONETIC_CLASS	KARLGREN_ID	READING	SOURCE
1	古	gǔ	Old_Chinese	01-01	0049a		Schuessler2009
2	古	gǔ	Middle_Chinese		0049a	kuX	Wikibooks2016b
3	固	gù	Old_Chinese	01-01	0049f		Schuessler2009
4	固	gù	Middle_Chinese		0049f	kuH	Wikibooks2016b
5	故	gù	Old_Chinese	01-01	0049i		Schuessler2009
6	故	gù	Middle_Chinese		0049i	kuH	Wikibooks2016b
7	罟	gǔ	Old_Chinese	01-01	0049m		Schuessler2009
8	罟	gǔ	Middle_Chinese		0049m	kuX	Wikibooks2016b
9	苦	kǔ	Old_Chinese	01-01	0049u		Schuessler2009
10	苦	kǔ	Middle_Chinese		0049u	khuX	Wikibooks2016b
11	祜	hù	Old_Chinese	01-01	0049y		Schuessler2009
12	祜	hù	Middle_Chinese		0049y	huX	Wikibooks2016b
13	胡	hú	Old_Chinese	01-01	0049a'		Schuessler2009
14	胡	hú	Middle_Chinese		0049a'	hu	Wikibooks2016b
15	居	jū	Old_Chinese	01-01	0049c'		Schuessler2009
16	居	jū	Middle_Chinese		0049c'	kjo	Wikibooks2016b
17	居	jū	Middle_Chinese		0049c'	kjoH	Wikibooks2016b
18	錮	gù	Old_Chinese	01-01	0049e'		Schuessler2009
19	錮	gù	Middle_Chinese		0049e'	kuH	Wikibooks2016b
20	個	gè	Old_Chinese	01-01	0049f'		Schuessler2009
21	個	gè	Middle_Chinese		0049f'	kaH	Wikibooks2016b
22	葫	hú	Old_Chinese	01-01	0049k'		Schuessler2009
23	葫	hú	Middle_Chinese		0049k'	hu	Wikibooks2016b
24	餬	hú	Old_Chinese	01-01	0049l'		Schuessler2009
25	餬	hú	Middle_Chinese		0049l'	hu	Wikibooks2016b
26	倨	jù	Old_Chinese	01-01	0049n'		Schuessler2009
27	倨	jù	Middle_Chinese		0049n'	kjoH	Wikibooks2016b
28	鋸	jù	Old_Chinese	01-01	0049s'		Schuessler2009
29	鋸	jù	Middle_Chinese		0049s'	kjoH	Wikibooks2016b
30	菇	gū	Old_Chinese	01-01	0049-		Schuessler2009
31	菇	gū	Middle_Chinese		0049-	ku	Wikibooks2016b
32	糊	hú	Old_Chinese	01-01	0049-		Schuessler2009
33	糊	hú	Middle_Chinese		0049-	hu	Wikibooks2016b
34	鼓	gǔ	Old_Chinese	01-02	0050a		Schuessler2009
35	鼓	gǔ	Middle_Chinese		0050a	kuX	Wikibooks2016b
36	鼔	gǔ	Old_Chinese	01-02	0050b		Schuessler2009
37	鼔	gǔ	Middle_Chinese		0050b	kuX	Wikibooks2016b
38	瞽	gǔ	Old_Chinese	01-02	0050g		Schuessler2009
39	瞽	gǔ	Middle_Chinese		0050g	kuX	Wikibooks2016b
40	股	gǔ	Old_Chinese	01-03	0051a		Schuessler2009
41	股	gǔ	Middle_Chinese		0051a	kuX	Wikibooks2016b
42	羖	gǔ	Old_Chinese	01-03	0051b		Schuessler2009
43	羖	gǔ	Middle_Chinese		0051b	kuX	Wikibooks2016b
44	蠱	gǔ	Old_Chinese	01-04	0052a		Schuessler2009
45	蠱	gǔ	Middle_Chinese		0052a	kuX	Wikibooks2016b
46	壺	hú	Old_Chinese	01-05	0056a		Schuessler2009
47	壺	hú	Middle_Chinese		0056a	hu	Wikibooks2016b
48	戶	hù	Old_Chinese	01-06	0053a		Schuessler2009
49	戶	hù	Middle_Chinese		0053a	huX	Wikibooks2016b
50	扈	hù	Old_Chinese	01-06	0053c		Schuessler2009
51	扈	hù	Middle_Chinese		0053c	huX	Wikibooks2016b
52	雇	gù	Old_Chinese	01-06	0053d		Schuessler2009
53	雇	gù	Middle_Chinese		0053d	kuH	Wikibooks2016b
54	鳸	hù	Old_Chinese	01-06	0053e		Schuessler2009
55	鳸	hù	Middle_Chinese		0053e	huX	Wikibooks2016b
56	顧	gù	Old_Chinese	01-06	0053g		Schuessler2009
57	顧	gù	Middle_Chinese		0053g	kuH	Wikibooks2016b
58	互	hù	Old_Chinese	01-07	0054a		Schuessler2009
59	互	hù	Middle_Chinese		0054a	huH	Wikibooks2016b
60	枑	hù	Old_Chinese	01-07	0054b		Schuessler2009
61	枑	hù	Middle_Chinese		0054b	huH	Wikibooks2016b
62	沍	hù	Old_Chinese	01-07	0054c		Schuessler2009
63	沍	hù	Middle_Chinese		0054c	huH	Wikibooks2016b
64	去	qù	Old_Chinese	01-08	0642a		Schuessler2009
65	去	qù	Middle_Chinese		0642a	khjoH	Wikibooks2016b
66	去	qù	Middle_Chinese		0642a	khjoX	Wikibooks2016b
67	呿	qù	Old_Chinese	01-08	0642c		Schuessler2009
68	呿	qù	Middle_Chinese		0642c	khjo	Wikibooks2016b
69	呿	qù	Middle_Chinese		0642c	khjoH	Wikibooks2016b
70	祛	qū	Old_Chinese	01-08	0642d		Schuessler2009
71	祛	qū	Middle_Chinese		0642d	khjo	Wikibooks2016b
72	袪	qū	Old_Chinese	01-08	0642e		Schuessler2009
73	袪	qū	Middle_Chinese		0642e	khjo	Wikibooks2016b
74	麮	qù	Old_Chinese	01-08	0642f		Schuessler2009
75	麮	qù	Middle_Chinese		0642f	khjoH	Wikibooks2016b
76	麮	qù	Middle_Chinese		0642f	khjoX	Wikibooks2016b
77	胠	qū	Old_Chinese	01-08	0642g		Schuessler2009
78	胠	qū	Middle_Chinese		0642g	khjo	Wikibooks2016b
79	豦	jù	Old_Chinese	01-09	0803a		Schuessler2009
80	豦	jù	Middle_Chinese		0803a	gjo	Wikibooks2016b
81	豦	jù	Middle_Chinese		0803a	gjoH	Wikibooks2016b
82	遽	jù	Old_Chinese	01-09	0803c		Schuessler2009
83	遽	jù	Middle_Chinese		0803c	gjoH	Wikibooks2016b
84	醵	jù	Old_Chinese	01-09	0803e		Schuessler2009
85	醵	jù	Middle_Chinese		0803e	gjak	Wikibooks2016b
86	醵	jù	Middle_Chinese		0803e	gjo	Wikibooks2016b
87	醵	jù	Middle_Chinese		0803e	gjoH	Wikibooks2016b
88	據	jù	Old_Chinese	01-09	0803f		Schuessler2009
89	據	jù	Middle_Chinese		0803f	kjoH	Wikibooks2016b
90	鐻	jù	Old_Chinese	01-09	0803g		Schuessler2009
91	鐻	jù	Middle_Chinese		0803g	kjoH	Wikibooks2016b
92	臄	jué	Old_Chinese	01-09	0803h		Schuessler2009
93	臄	jué	Middle_Chinese		0803h	gjak	Wikibooks2016b
94	劇	jù	Old_Chinese	01-09	0803i		Schuessler2009
95	劇	jù	Middle_Chinese		0803i	gjaek	Wikibooks2016b
96	籧	qú	Old_Chinese	01-09	0803j		Schuessler2009
97	籧	qú	Middle_Chinese		0803j	gjo	Wikibooks2016b
98	籧	qú	Middle_Chinese		0803j	kjoX	Wikibooks2016b
99	蘧	qú	Old_Chinese	01-09	0803k		Schuessler2009
100	蘧	qú	Middle_Chinese		0803k	gjo	Wikibooks2016b
101	車	chē	Old_Chinese	01-10	0074a		Schuessler2009
102	車	chē	Middle_Chinese		0074a	tsyhae	Wikibooks2016b
103	車	chē	Middle_Chinese		0074a	kjo	Wikibooks2016b
104	庫	kù	Old_Chinese	01-10	0074e		Schuessler2009
105	庫	kù	Middle_Chinese		0074e	khuH	Wikibooks2016b
106	家	jiā	Old_Chinese	01-11	0032a		Schuessler2009
107	家	jiā	Middle_Chinese		0032a	kae	Wikibooks2016b
108	嫁	jià	Old_Chinese	01-11	0032e		Schuessler2009
109	嫁	jià	Middle_Chinese		0032e	kaeH	Wikibooks2016b
110	稼	jià	Old_Chinese	01-11	0032f		Schuessler2009
111	稼	jià	Middle_Chinese		0032f	kaeH	Wikibooks2016b
112	叚	jiǎ	Old_Chinese	01-12	0033a		Schuessler2009
113	叚	jiǎ	Middle_Chinese		0033a	kaeX	Wikibooks2016b
114	假	jiǎ	Old_Chinese	01-12	0033c		Schuessler2009
115	假	jiǎ	Middle_Chinese		0033c	kaeX	Wikibooks2016b
116	假	jiǎ	Middle_Chinese		0033c	kaeX	Wikibooks2016b
117	豭	jiā	Old_Chinese	01-12	0033f		Schuessler2009
118	豭	jiā	Middle_Chinese		0033f	kae	Wikibooks2016b
119	暇	xiá	Old_Chinese	01-12	0033g		Schuessler2009
120	暇	xiá	Middle_Chinese		0033g	haeH	Wikibooks2016b
121	瑕	xiá	Old_Chinese	01-12	0033h		Schuessler2009
122	瑕	xiá	Middle_Chinese		0033h	hae	Wikibooks2016b
123	蝦	xiā	Old_Chinese	01-12	0033i		Schuessler2009
124	蝦	xiā	Middle_Chinese		0033i	hae	Wikibooks2016b
125	遐	xiá	Old_Chinese	01-12	0033j		Schuessler2009
126	遐	xiá	Middle_Chinese		0033j	hae	Wikibooks2016b
127	騢	xiá	Old_Chinese	01-12	0033l		Schuessler2009
128	騢	xiá	Middle_Chinese		0033l	hae	Wikibooks2016b
129	斝	jiǎ	Old_Chinese	01-13	0034a		Schuessler2009
130	斝	jiǎ	Middle_Chinese		0034a	kaeX	Wikibooks2016b
131	下	xià	Old_Chinese	01-14	0035a		Schuessler2009
132	下	xià	Middle_Chinese		0035a	haeH	Wikibooks2016b
133	下	xià	Middle_Chinese		0035a	haeX	Wikibooks2016b
134	芐	hù	Old_Chinese	01-14	0035d		Schuessler2009
135	芐	hù	Middle_Chinese		0035d	haeH	Wikibooks2016b
136	夏	xià	Old_Chinese	01-15	0036a		Schuessler2009
137	夏	xià	Middle_Chinese		0036a	haeH	Wikibooks2016b
138	夏	xià	Middle_Chinese		0036a	haeX	Wikibooks2016b
139	廈	shà	Old_Chinese	01-15	0036c		Schuessler2009
140	廈	shà	Middle_Chinese		0036c	haeX	Wikibooks2016b
141	厦	shà	Old_Chinese	01-15	0036d		Schuessler2009
142	厦	shà	Middle_Chinese		0036d	haeX	Wikibooks2016b
143	嗄	á	Old_Chinese	01-15	1236c		Schuessler2009
144	嗄	á	Middle_Chinese		1236c	'eajH	Wikibooks2016b
145	嗄	á	Middle_Chinese		1236c	sraeH	Wikibooks2016b
146	襾	yà	Old_Chinese	01-16	0038a		Schuessler2009
147	襾	yà	Middle_Chinese		0038a	xaeX	Wikibooks2016b
148	賈	jiǎ	Old_Chinese	01-16	0038b		Schuessler2009
149	賈	jiǎ	Middle_Chinese		0038b	kaeH	Wikibooks2016b
150	賈	jiǎ	Middle_Chinese		0038b	kuX	Wikibooks2016b
151	價	jià	Old_Chinese	01-16	0038c		Schuessler2009
152	價	jià	Middle_Chinese		0038c	kaeH	Wikibooks2016b
153	檟	jiǎ	Old_Chinese	01-16	0038d		Schuessler2009
154	檟	jiǎ	Middle_Chinese		0038d	kaeX	Wikibooks2016b
155	乎	hū	Old_Chinese	01-17	0055a		Schuessler2009
156	乎	hū	Middle_Chinese		0055a	hu	Wikibooks2016b
157	虖	hū	Old_Chinese	01-17	0055e		Schuessler2009
158	虖	hū	Middle_Chinese		0055e	hu	Wikibooks2016b
159	呼	hū	Old_Chinese	01-17	0055h		Schuessler2009
160	呼	hū	Middle_Chinese		0055h	xu	Wikibooks2016b
161	呼	hū	Middle_Chinese		0055h	xuH	Wikibooks2016b
162	嘑	hū	Old_Chinese	01-17	0055i		Schuessler2009
163	嘑	hū	Middle_Chinese		0055i	xu	Wikibooks2016b
164	虍	hū	Old_Chinese	01-18	0057a		Schuessler2009
165	虍	hū	Middle_Chinese		0057a	xu	Wikibooks2016b
166	虎	hǔ	Old_Chinese	01-18	0057b		Schuessler2009
167	虎	hǔ	Middle_Chinese		0057b	xuX	Wikibooks2016b
168	虛	xū	Old_Chinese	01-18	0078a		Schuessler2009
169	虛	xū	Middle_Chinese		0078a	xjo	Wikibooks2016b
170	墟	xū	Old_Chinese	01-18	0078b		Schuessler2009
171	墟	xū	Middle_Chinese		0078b	khjo	Wikibooks2016b
172	處	chù	Old_Chinese	01-18	0085a		Schuessler2009
173	處	chù	Middle_Chinese		0085a	tsyhoX	Wikibooks2016b
174	處	chù	Middle_Chinese		0085a	tsyhoH	Wikibooks2016b
175	巨	jù	Old_Chinese	01-19	0095a		Schuessler2009
176	巨	jù	Middle_Chinese		0095a	gjoX	Wikibooks2016b
177	巨	jù	Middle_Chinese		0095a	kjuX	Wikibooks2016b
178	矩	jǔ	Old_Chinese	01-19	0095c		Schuessler2009
179	矩	jǔ	Middle_Chinese		0095c	kjuX	Wikibooks2016b
180	榘	jǔ	Old_Chinese	01-19	0095e		Schuessler2009
181	榘	jǔ	Middle_Chinese		0095e	kjuX	Wikibooks2016b
182	柜	guì	Old_Chinese	01-19	0095f		Schuessler2009
183	柜	guì	Middle_Chinese		0095f	kjuX	Wikibooks2016b
184	渠	qú	Old_Chinese	01-19	0095g		Schuessler2009
185	渠	qú	Middle_Chinese		0095g	gjo	Wikibooks2016b
186	蚷	jù	Old_Chinese	01-19	0095h		Schuessler2009
187	蚷	jù	Middle_Chinese		0095h	gjo	Wikibooks2016b
188	拒	jù	Old_Chinese	01-19	0095i		Schuessler2009
189	拒	jù	Middle_Chinese		0095i	gjoX	Wikibooks2016b
190	拒	jù	Middle_Chinese		0095i	kjuX	Wikibooks2016b
191	秬	jù	Old_Chinese	01-19	0095j		Schuessler2009
192	秬	jù	Middle_Chinese		0095j	gjoX	Wikibooks2016b
193	𩰤		Old_Chinese	01-19	0095k		Schuessler2009
194	𩰤		Middle_Chinese		0095k	gjuX	Wikibooks2016b
195	粔	jù	Old_Chinese	01-19	0095n		Schuessler2009
196	粔	jù	Middle_Chinese		0095n	gjoX	Wikibooks2016b
197	耟	jù	Old_Chinese	01-19	0095o		Schuessler2009
198	耟	jù	Middle_Chinese		0095o	gjoX	Wikibooks2016b
