ID	CHARACTER	PINYIN	DOCULECT	PHONETIC_CLASS	KARLGREN_ID	READING	SOURCE
51	綺	qǐ	Old_Chinese	0001	0001b'		Karlgren1954
52	綺	qǐ	Middle_Chinese		0001b'	khjeX	Wikibooks2016a
53	踦	yǐ	Old_Chinese	0001	0001c'		Karlgren1954
54	踦	yǐ	Middle_Chinese		0001c'	khje	Wikibooks2016a
55	踦	yǐ	Middle_Chinese		0001c'	kjeX	Wikibooks2016a
56	踦	yǐ	Middle_Chinese		0001c'	ngjeX	Wikibooks2016a
57	攲	qī	Old_Chinese	0001	0001d'		Karlgren1954
58	攲	qī	Middle_Chinese		0001d'	khje	Wikibooks2016a
59	攲	qī	Middle_Chinese		0001d'	kje	Wikibooks2016a
60	觭	jī	Old_Chinese	0001	0001e'		Karlgren1954
61	觭	jī	Middle_Chinese		0001e'	khje	Wikibooks2016a
62	倚	yǐ	Old_Chinese	0001	0001f'		Karlgren1954
63	倚	yǐ	Middle_Chinese		0001f'	'jeX	Wikibooks2016a
64	椅	yǐ	Old_Chinese	0001	0001g'		Karlgren1954
65	椅	yǐ	Middle_Chinese		0001g'	'je	Wikibooks2016a
66	猗	yī	Old_Chinese	0001	0001h'		Karlgren1954
67	猗	yī	Middle_Chinese		0001h'	'aX	Wikibooks2016a
68	猗	yī	Middle_Chinese		0001h'	'je	Wikibooks2016a
69	猗	yī	Middle_Chinese		0001h'	'jeX	Wikibooks2016a
70	輢	yǐ	Old_Chinese	0001	0001i'		Karlgren1954
71	輢	yǐ	Middle_Chinese		0001i'	'jeX	Wikibooks2016a
72	陭	yì	Old_Chinese	0001	0001j'		Karlgren1954
73	陭	yì	Middle_Chinese		0001j'	'je	Wikibooks2016a
74	我	wǒ	Old_Chinese	0002	0002a		Karlgren1954
75	我	wǒ	Middle_Chinese		0002a	ngaX	Wikibooks2016a
76	俄	é	Old_Chinese	0002	0002h		Karlgren1954
77	俄	é	Middle_Chinese		0002h	nga	Wikibooks2016a
78	娥	é	Old_Chinese	0002	0002i		Karlgren1954
79	娥	é	Middle_Chinese		0002i	nga	Wikibooks2016a
80	峨	é	Old_Chinese	0002	0002k		Karlgren1954
81	峨	é	Middle_Chinese		0002k	nga	Wikibooks2016a
82	睋	é	Old_Chinese	0002	0002l		Karlgren1954
83	睋	é	Middle_Chinese		0002l	nga	Wikibooks2016a
84	莪	é	Old_Chinese	0002	0002m		Karlgren1954
85	莪	é	Middle_Chinese		0002m	nga	Wikibooks2016a
86	誐	é	Old_Chinese	0002	0002n		Karlgren1954
87	誐	é	Middle_Chinese		0002n	nga	Wikibooks2016a
88	餓	è	Old_Chinese	0002	0002o		Karlgren1954
89	餓	è	Middle_Chinese		0002o	ngaH	Wikibooks2016a
90	鵞	é	Old_Chinese	0002	0002p		Karlgren1954
91	鵞	é	Middle_Chinese		0002p	nga	Wikibooks2016a
