编号1	字目	京声	京韵	京调	上字	下字	韵摄	开合	等列	古调	古韵	古声
C0001	巴	p	a	1	伯	加	假	开	二	平	麻	帮
C0002	笆	p	a	1	伯	加	假	开	二	平	麻	帮
C0003	豝	p	a	1	伯	加	假	开	二	平	麻	帮
C0004	芭	p	a	1	伯	加	假	开	二	平	麻	帮
C0005	八	p	a	1	博	拔	山	开	二	入	黠	帮
C0006	拔	p	a	2	蒲	八	山	开	二	入	黠	並
C0007	跋	p	a	2	蒲	拨	山	合	一	入	末	並
C0008	钹	p	a	2	蒲	拨	山	合	一	入	末	並
C0009	魃	p	a	2	蒲	拨	山	合	一	入	末	並
C0010	茇	p	a	2	蒲	拨	山	合	一	入	末	並
C0011	把	p	a	3	博	下	假	开	二	上	马	帮
C0012	霸	p	a	4	必	驾	假	开	二	去	禡	帮
C0013	欛	p	a	4	必	驾	假	开	二	去	禡	帮
C0014	灞	p	a	4	必	驾	假	开	二	去	禡	帮
C0015	坝	p	a	4	必	驾	假	开	二	去	禡	帮
C0016	壩	p	a	4	必	驾	假	开	二	去	禡	帮
C0017	爸	p	a	4	必	驾	假	开	二	去	禡	帮
C0018	耙	p	a	4	白	驾	假	开	二	去	禡	並
C0019	杷	p	a	4	白	驾	假	开	二	去	禡	並
C0020	罢	p	a	4	薄	蟹	蟹	开	二	上	蟹	並
C0021	葩	ph	a	1	普	巴	假	开	二	平	麻	滂
C0022	爬	ph	a	2	蒲	巴	假	开	二	平	麻	並
C0023	钯	ph	a	2	蒲	巴	假	开	二	平	麻	並
C0024	杷	ph	a	2	蒲	巴	假	开	二	平	麻	並
C0025	琶	ph	a	2	蒲	巴	假	开	二	平	麻	並
C0026	怕	ph	a	4	普	驾	假	开	二	去	禡	滂
C0027	帕	ph	a	4	普	驾	假	开	二	去	禡	滂
C0028	帊	ph	a	4	普	驾	假	开	二	去	禡	滂
C0029	麻	m	a	2	莫	霞	假	开	二	平	麻	明
C0030	痲	m	a	2	莫	霞	假	开	二	平	麻	明
C0031	蟆	m	a	2	莫	霞	假	开	二	平	麻	明
C0032	马	m	a	3	莫	下	假	开	二	上	马	明
C0033	码	m	a	3	莫	下	假	开	二	上	马	明
C0034	玛	m	a	3	莫	下	假	开	二	上	马	明
C0035	骂	m	a	4	莫	驾	假	开	二	去	禡	明
C0036	禡	m	a	4	莫	驾	假	开	二	去	禡	明
C0037	发	f	a	1	方	伐	山	合	三	入	月	非
C0038	乏	f	a	2	房	法	咸	合	三	入	乏	奉
C0039	伐	f	a	2	房	越	山	合	三	入	月	奉
C0040	筏	f	a	2	房	越	山	合	三	入	月	奉
C0041	阀	f	a	2	房	越	山	合	三	入	月	奉
C0042	垡	f	a	2	房	越	山	合	三	入	月	奉
C0043		f	a	2	房	越	山	合	三	入	月	奉
C0044	罚	f	a	2	房	越	山	合	三	入	月	奉
C0045	法	f	a	3	方	乏	咸	合	三	入	乏	非
C0046	髮	f	a	4	方	伐	山	合	三	入	月	非
C0047	搭	t	a	1	都	合	咸	开	一	入	合	端
C0048	答	t	a	1	都	合	咸	开	一	入	合	端
C0049	褡	t	a	1	都	榼	咸	开	一	入	盍	端
C0050	耷	t	a	1	都	榼	咸	开	一	入	盍	端
C0051		t	a	1	都	榼	咸	开	一	入	盍	端
C0052	答	t	a	2	都	合	咸	开	一	入	合	端
C0053	沓	t	a	2	徒	合	咸	开	一	入	合	定
C0054	笪	t	a	2	当	割	山	开	一	入	曷	端
C0055	妲	t	a	2	当	割	山	开	一	入	曷	端
C0056	怛	t	a	2	当	割	山	开	一	入	曷	端
C0057	靼	t	a	2	当	割	山	开	一	入	曷	端
C0058	达	t	a	2	唐	割	山	开	一	入	曷	定
C0059	打	t	a	3	德	冷	梗	开	二	上	梗	端
C0060	大	t	a	4	唐	佐	果	开	一	去	箇	定
C0061	大	t	a	4	徒	盖	蟹	开	一	去	泰	定
C0062	他	th	a	1	託	何	果	开	一	平	歌	透
C0063	它	th	a	1	託	何	果	开	一	平	歌	透
C0064	塌	th	a	1	託	盍	咸	开	一	入	盍	透
C0065	溻	th	a	1	託	盍	咸	开	一	入	盍	透
C0066	遢	th	a	1	託	盍	咸	开	一	入	盍	透
C0067	遢	th	a	1	吐	盍	咸	开	一	入	盍	透
C0068	塔	th	a	3	吐	盍	咸	开	一	入	盍	透
C0069	獭	th	a	3	他	达	山	开	一	入	曷	透
C0070	踏	th	a	4	他	合	咸	开	一	入	合	透
C0071	搨	th	a	4	託	合	咸	开	一	入	合	透
C0072	榻	th	a	4	吐	盍	咸	开	一	入	盍	透
C0073	闼	th	a	4	他	达	山	开	一	入	曷	透
C0074	挞	th	a	4	他	达	山	开	一	入	曷	透
C0075	拿	n	a	2	女	加	假	开	二	平	麻	泥
C0076	拏	n	a	2	女	加	假	开	二	平	麻	泥
C0077	哪	n	a	3	奴	可	果	开	一	上	哿	泥
C0078	那	n	a	3	奴	可	果	开	一	上	哿	泥
C0079	那	n	a	4	奴	箇	果	开	一	去	箇	泥
C0080	纳	n	a	4	奴	答	咸	开	一	入	合	泥
C0081	衲	n	a	4	奴	答	咸	开	一	入	合	泥
C0082	捺	n	a	4	奴	曷	山	开	一	入	曷	泥
C0083	拉	l	a	1	卢	合	咸	开	一	入	合	来
C0084	邋	l	a	2	卢	盍	咸	开	一	入	盍	来
C0085	腊	l	a	4	卢	盍	咸	开	一	入	盍	来
C0086	蜡	l	a	4	卢	盍	咸	开	一	入	盍	来
C0087	镴	l	a	4	卢	盍	咸	开	一	入	盍	来
C0088	辣	l	a	4	卢	达	山	开	一	入	曷	来
C0089	辢	l	a	4	卢	达	山	开	一	入	曷	来
C0090	剌	l	a	4	卢	达	山	开	一	入	曷	来
C0091	落	l	a	4	卢	各	宕	开	一	入	铎	来
C0092	帀	ts	a	1	子	答	咸	开	一	入	合	精
C0093	匝	ts	a	1	子	答	咸	开	一	入	合	精
C0094	咂	ts	a	1	子	答	咸	开	一	入	合	精
C0095		ts	a	1	子	答	咸	开	一	入	合	精
C0096	紮	ts	a	1	侧	八	山	开	二	入	黠	庄
C0097	杂	ts	a	2	徂	合	咸	开	一	入	合	从
C0098	襍	ts	a	2	徂	合	咸	开	一	入	合	从
C0099	砸	ts	a	2	才	割	山	开	一	入	曷	从
C0100	擦	tsh	a	1	七	曷	山	开	一	入	曷	清
C0101	礤	tsh	a	1	七	曷	山	开	一	入	曷	清
C0102	撒	s	a	1	桑	割	山	开	一	入	曷	心
C0103		s	a	1	桑	割	山	开	一	入	曷	心
C0104	灑	s	a	3	砂	下	假	开	二	上	马	生
C0105	洒	s	a	3	砂	下	假	开	二	上	马	生
C0106	撒	s	a	3	桑	割	山	开	一	入	曷	心
C0107		s	a	3	桑	割	山	开	一	入	曷	心
C0108	飒	s	a	4	苏	合	咸	开	一	入	合	心
C0109	卅	s	a	4	苏	合	咸	开	一	入	合	心
C0110	趿	s	a	4	苏	合	咸	开	一	入	合	心
C0111	靸	s	a	4	苏	合	咸	开	一	入	合	心
C0112	萨	s	a	4	桑	割	山	开	一	入	曷	心
C0113	挓	tƧ	a	1	陟	加	假	开	二	平	麻	知
C0114	查	tƧ	a	1	侧	加	假	开	二	平	麻	庄
C0115	樝	tƧ	a	1	侧	加	假	开	二	平	麻	庄
C0116	渣	tƧ	a	1	侧	加	假	开	二	平	麻	庄
C0117	柤	tƧ	a	1	侧	加	假	开	二	平	麻	庄
C0118	查	tƧ	a	1	庄	加	假	开	二	平	麻	庄
C0119	札	tƧ	a	1	竹	洽	咸	开	二	入	洽	知
C0120	闸	tƧ	a	2	士	洽	咸	开	二	入	洽	崇
C0121	牐	tƧ	a	2	士	洽	咸	开	二	入	洽	崇
C0122	炸	tƧ	a	2	士	洽	咸	开	二	入	洽	崇
C0123	煠	tƧ	a	2	士	洽	咸	开	二	入	洽	崇
C0124	霅	tƧ	a	2	丈	甲	咸	开	二	入	狎	澄
C0125	扎	tƧ	a	2	侧	八	山	开	二	入	黠	庄
C0126	札	tƧ	a	2	侧	八	山	开	二	入	黠	庄
C0127	铡	tƧ	a	2	查	辖	山	开	二	入	辖	崇
C0128		tƧ	a	2	查	辖	山	开	二	入	辖	崇
C0129	鲊	tƧ	a	3	侧	下	假	开	二	上	马	庄
C0130	眨	tƧ	a	3	侧	洽	咸	开	二	入	洽	庄
C0131	咤	tƧ	a	4	陟	驾	假	开	二	去	禡	知
C0132	诈	tƧ	a	4	侧	驾	假	开	二	去	禡	庄
C0133	榨	tƧ	a	4	侧	驾	假	开	二	去	禡	庄
C0134	茬	tƧ	a	4	士	下	假	开	二	上	马	崇
C0135	槎	tƧ	a	4	士	下	假	开	二	上	马	崇
C0136	乍	tƧ	a	4	锄	驾	假	开	二	去	禡	崇
C0137	蜡	tƧ	a	4	锄	驾	假	开	二	去	禡	崇
C0138	栅	tƧ	a	4	楚	革	梗	开	二	入	麦	初
C0139	叉	tƧh	a	1	初	牙	假	开	二	平	麻	初
C0140	差	tƧh	a	1	初	牙	假	开	二	平	麻	初
C0141	插	tƧh	a	1	楚	洽	咸	开	二	入	洽	初
C0142	茶	tƧh	a	2	宅	加	假	开	二	平	麻	澄
C0143	搽	tƧh	a	2	宅	加	假	开	二	平	麻	澄
C0144	茬	tƧh	a	2	鉏	加	假	开	二	平	麻	崇
C0145	槎	tƧh	a	2	鉏	加	假	开	二	平	麻	崇
C0146	察	tƧh	a	2	初	八	山	开	二	入	黠	初
C0147	诧	tƧh	a	4	丑	亚	假	开	二	去	禡	彻
C0148	差	tƧh	a	4	楚	嫁	假	开	二	去	禡	初
C0149	杈	tƧh	a	4	楚	嫁	假	开	二	去	禡	初
C0150	岔	tƧh	a	4	楚	嫁	假	开	二	去	禡	初
C0151		tƧh	a	4	楚	嫁	假	开	二	去	禡	初
C0152	汊	tƧh	a	4	楚	嫁	假	开	二	去	禡	初
C0153	刹	tƧh	a	4	初	辖	山	开	二	入	辖	初
C0154	沙	Ƨ	a	1	所	加	假	开	二	平	麻	生
C0155	砂	Ƨ	a	1	所	加	假	开	二	平	麻	生
C0156	纱	Ƨ	a	1	所	加	假	开	二	平	麻	生
C0157	鲨	Ƨ	a	1	所	加	假	开	二	平	麻	生
C0158	裟	Ƨ	a	1	所	加	假	开	二	平	麻	生
C0159	挱	Ƨ	a	1	师	加	假	开	二	平	麻	生
C0160	杉	Ƨ	a	1	所	咸	咸	开	二	平	咸	生
C0161	杀	Ƨ	a	1	所	八	山	开	二	入	黠	生
C0162	煞	Ƨ	a	1	所	八	山	开	二	入	黠	生
C0163	铩	Ƨ	a	1	所	八	山	开	二	入	黠	生
C0164	傻	Ƨ	a	3	沙	瓦	假	合	二	上	马	生
C0165	厦	Ƨ	a	4	所	嫁	假	开	二	去	禡	生
C0166	霎	Ƨ	a	4	山	洽	咸	开	二	入	洽	生
C0167	歃	Ƨ	a	4	山	洽	咸	开	二	入	洽	生
C0168	箑	Ƨ	a	4	山	洽	咸	开	二	入	洽	生
C0169	翣	Ƨ	a	4	所	甲	咸	开	二	入	狎	生
C0170	煞	Ƨ	a	4	所	八	山	开	二	入	黠	生
C0171	尬	k	a	4	古	拜	蟹	开	二	去	怪	见
C0172	哈	x	a	1	许	加	假	开	二	平	麻	晓
C0173	颬	x	a	1	许	加	假	开	二	平	麻	晓
C0174		x	a	1	虚	加	假	开	二	平	麻	晓
C0175	虾	x	a	2	胡	加	假	开	二	平	麻	匣
C0176	阿	Ʒ	a	4	乌	何	果	开	一	平	歌	影
C0177	家	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0178	傢	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0179	加	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0180	嘉	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0181	枷	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0182	痂	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0183	珈	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0184	笳	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0185	跏	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0186	迦	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0187	葭	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0188	豭	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0189	袈	tþ	ia	1	古	牙	假	开	二	平	麻	见
C0190	佳	tþ	ia	1	古	膎	蟹	开	二	平	佳	见
C0191	夹	tþ	ia	1	古	洽	咸	开	二	入	洽	见
C0192	裌	tþ	ia	2	古	洽	咸	开	二	入	洽	见
C0193	袷	tþ	ia	2	古	洽	咸	开	二	入	洽	见
C0194	郏	tþ	ia	2	古	洽	咸	开	二	入	洽	见
C0195	荚	tþ	ia	2	古	协	咸	开	四	入	帖	见
C0196	颊	tþ	ia	2	古	协	咸	开	四	入	帖	见
C0197	铗	tþ	ia	2	古	协	咸	开	四	入	帖	见
C0198	戛	tþ	ia	2	古	黠	山	开	二	入	黠	见
C0199	假	tþ	ia	3	古	疋	假	开	二	上	马	见
C0200	贾	tþ	ia	3	古	疋	假	开	二	上	马	见
C0201	斝	tþ	ia	3	古	疋	假	开	二	上	马	见
C0202	嘏	tþ	ia	3	古	疋	假	开	二	上	马	见
C0203	甲	tþ	ia	3	古	狎	咸	开	二	入	狎	见
C0204	胛	tþ	ia	3	古	狎	咸	开	二	入	狎	见
C0205	岬	tþ	ia	3	古	狎	咸	开	二	入	狎	见
C0206	假	tþ	ia	4	古	讶	假	开	二	去	禡	见
C0207	稼	tþ	ia	4	古	讶	假	开	二	去	禡	见
C0208	嫁	tþ	ia	4	古	讶	假	开	二	去	禡	见
C0209	架	tþ	ia	4	古	讶	假	开	二	去	禡	见
C0210	驾	tþ	ia	4	古	讶	假	开	二	去	禡	见
C0211	价	tþ	ia	4	古	讶	假	开	二	去	禡	见
C0212	掐	tþh	ia	1	苦	洽	咸	开	二	入	洽	溪
C0213	恰	tþh	ia	4	苦	洽	咸	开	二	入	洽	溪
C0214	洽	tþh	ia	4	侯	夹	咸	开	二	入	洽	匣
C0215	虾	þ	ia	1	虚	加	假	开	二	平	麻	晓
C0216	瞎	þ	ia	1	许	鎋	山	开	二	入	鎋	晓
C0217	霞	þ	ia	2	胡	加	假	开	二	平	麻	匣
C0218	瑕	þ	ia	2	胡	加	假	开	二	平	麻	匣
C0219	遐	þ	ia	2	胡	加	假	开	二	平	麻	匣
C0220	暇	þ	ia	2	胡	驾	假	开	二	去	禡	匣
C0221	狭	þ	ia	2	侯	夹	咸	开	二	入	洽	匣
C0222	峡	þ	ia	2	侯	夹	咸	开	二	入	洽	匣
C0223	硖	þ	ia	2	侯	夹	咸	开	二	入	洽	匣
C0224	洽	þ	ia	2	侯	夹	咸	开	二	入	洽	匣
C0225	祫	þ	ia	2	侯	夹	咸	开	二	入	洽	匣
C0226	匣	þ	ia	2	胡	甲	咸	开	二	入	狎	匣
C0227	狎	þ	ia	2	胡	甲	咸	开	二	入	狎	匣
C0228	侠	þ	ia	2	胡	颊	咸	开	四	入	帖	匣
C0229	挟	þ	ia	2	胡	颊	咸	开	四	入	帖	匣
C0230	黠	þ	ia	2	胡	八	山	开	二	入	黠	匣
C0231	辖	þ	ia	2	胡	瞎	山	开	二	入	鎋	匣
C0232	吓	þ	ia	4	呼	讶	假	开	二	去	禡	晓
C0233	罅	þ	ia	4	呼	讶	假	开	二	去	禡	晓
C0234	下	þ	ia	4	胡	雅	假	开	二	上	马	匣
C0235	夏	þ	ia	4	胡	雅	假	开	二	上	马	匣
C0236	厦	þ	ia	4	胡	雅	假	开	二	上	马	匣
C0237	下	þ	ia	4	胡	驾	假	开	二	去	禡	匣
C0238	夏	þ	ia	4	胡	驾	假	开	二	去	禡	匣
C0239	暇	þ	ia	4	胡	驾	假	开	二	去	禡	匣
C0240	鸦	Ʒ	ia	1	於	加	假	开	二	平	麻	影
C0241	丫	Ʒ	ia	1	於	加	假	开	二	平	麻	影
C0242	桠	Ʒ	ia	1	於	加	假	开	二	平	麻	影
C0243	鸭	Ʒ	ia	1	乌	甲	咸	开	二	入	狎	影
C0244	押	Ʒ	ia	1	乌	甲	咸	开	二	入	狎	影
C0245	压	Ʒ	ia	1	乌	甲	咸	开	二	入	狎	影
C0246	牙	Ʒ	ia	2	五	加	假	开	二	平	麻	疑
C0247	芽	Ʒ	ia	2	五	加	假	开	二	平	麻	疑
C0248	枒	Ʒ	ia	2	五	加	假	开	二	平	麻	疑
C0249	衙	Ʒ	ia	2	五	加	假	开	二	平	麻	疑
C0250	涯	Ʒ	ia	2	五	佳	蟹	开	二	平	佳	疑
C0251	崖	Ʒ	ia	2	五	佳	蟹	开	二	平	佳	疑
C0252	雅	Ʒ	ia	3	五	下	假	开	二	上	马	疑
C0253	哑	Ʒ	ia	3	乌	下	假	开	二	上	马	影
C0254	亚	Ʒ	ia	3	衣	嫁	假	开	二	去	禡	影
C0255	讶	Ʒ	ia	4	五	驾	假	开	二	去	禡	疑
C0256	迓	Ʒ	ia	4	五	驾	假	开	二	去	禡	疑
C0257	砑	Ʒ	ia	4	五	驾	假	开	二	去	禡	疑
C0258	亚	Ʒ	ia	4	衣	嫁	假	开	二	去	禡	影
C0259	娅	Ʒ	ia	4	衣	嫁	假	开	二	去	禡	影
C0260	轧	Ʒ	ia	4	乌	黠	山	开	二	入	黠	影
C0261	揠	Ʒ	ia	4	乌	黠	山	开	二	入	黠	影
C0262	檛	tƧ	ua	1	陟	瓜	假	合	二	平	麻	知
C0263	髽	tƧ	ua	1	庄	华	假	合	二	平	麻	庄
C0264	抓	tƧ	ua	1	侧	交	效	开	二	平	肴	庄
C0265	爪	tƧ	ua	3	侧	绞	效	开	二	上	巧	庄
C0266	刷	Ƨ	ua	1	数	刮	山	合	二	入	鎋	生
C0267	瓜	k	ua	1	古	华	假	合	二	平	麻	见
C0268	蜗	k	ua	1	古	华	假	合	二	平	麻	见
C0269	刮	k	ua	1	古		山	合	二	入	鎋	见
C0270	鸹	k	ua	1	古		山	合	二	入	鎋	见
C0271	寡	k	ua	3	古	瓦	假	合	二	上	马	见
C0272	剐	k	ua	3	古	瓦	假	合	二	上	马	见
C0273	挂	k	ua	4	古	卖	蟹	合	二	去	卦	见
C0274	掛	k	ua	4	古	卖	蟹	合	二	去	卦	见
C0275	卦	k	ua	4	古	卖	蟹	合	二	去	卦	见
C0276	罣	k	ua	4	古	卖	蟹	合	二	去	卦	见
C0277	诖	k	ua	4	古	卖	蟹	合	二	去	卦	见
C0278	誇	kh	ua	1	苦	瓜	假	合	二	平	麻	溪
C0279	姱	kh	ua	1	苦	瓜	假	合	二	平	麻	溪
C0280	夸	kh	ua	1	苦	瓜	假	合	二	平	麻	溪
C0281	咵	kh	ua	3	苦	瓦	假	合	二	上	马	溪
C0282	跨	kh	ua	4	苦	化	假	合	二	去	禡	溪
C0283	胯	kh	ua	4	苦	化	假	合	二	去	禡	溪
C0284	花	x	ua	1	呼	瓜	假	合	二	平	麻	晓
C0285	哗	x	ua	2	呼	瓜	假	合	二	平	麻	晓
C0286	华	x	ua	2	户	花	假	合	二	平	麻	匣
C0287	铧	x	ua	2	户	花	假	合	二	平	麻	匣
C0288	骅	x	ua	2	户	花	假	合	二	平	麻	匣
C0289	划	x	ua	2	户	花	假	合	二	平	麻	匣
C0290	滑	x	ua	2	户	八	山	合	二	入	黠	匣
C0291	猾	x	ua	2	户	八	山	合	二	入	黠	匣
C0292	磆	x	ua	2	户	八	山	合	二	入	黠	匣
C0293	化	x	ua	4	呼	霸	假	合	二	去	禡	晓
C0294	华	x	ua	4	胡	化	假	合	二	去	禡	匣
C0295	桦	x	ua	4	胡	化	假	合	二	去	禡	匣
C0296	画	x	ua	4	胡	卦	蟹	合	二	去	卦	匣
C0297	话	x	ua	4	下	快	蟹	合	二	去	夬	匣
C0298	劃	x	ua	4	胡	麦	梗	合	二	入	麦	匣
C0299	娲	Ʒ	ua	1	古	华	假	合	二	平	麻	见
C0300	娲	Ʒ	ua	1	古	蛙	蟹	合	二	平	佳	见
C0301	漥	Ʒ	ua	1	乌	瓜	假	合	二	平	麻	影
C0302	窊	Ʒ	ua	1	乌	瓜	假	合	二	平	麻	影
C0303	蛙	Ʒ	ua	1	乌	瓜	假	合	二	平	麻	影
C0304	蛙	Ʒ	ua	1	乌	娲	蟹	合	二	平	佳	影
C0305	挖	Ʒ	ua	1	乌	八	山	合	二	入	黠	影
C0306	穵	Ʒ	ua	1	乌	八	山	合	二	入	黠	影
C0307	瓦	Ʒ	ua	3	五	寡	假	合	二	上	马	疑
C0308	瓦	Ʒ	ua	4	五	化	假	合	二	去	禡	疑
C0309	袜	Ʒ	ua	4	望	发	山	合	三	入	月	微
C0310	得	t	¶	2	多	则	曾	开	一	入	德	端
C0311	德	t	¶	2	多	则	曾	开	一	入	德	端
C0312	忒	th	¶	4	他	德	曾	开	一	入	德	透
C0313	慝	th	¶	4	他	德	曾	开	一	入	德	透
C0314	忑	th	¶	4	惕	得	曾	开	一	入	德	透
C0315	特	th	¶	4	徒	得	曾	开	一	入	德	定
C0316	讷	n	¶	4	内	骨	臻	合	一	入	没	泥
C0317	乐	l	¶	4	卢	各	宕	开	一	入	铎	来
C0318	勒	l	¶	4	卢	则	曾	开	一	入	德	来
C0319	肋	l	¶	4	卢	则	曾	开	一	入	德	来
C0320	仂	l	¶	4	卢	则	曾	开	一	入	德	来
C0321	泐	l	¶	4	卢	则	曾	开	一	入	德	来
C0322	则	ts	¶	2	子	德	曾	开	一	入	德	精
C0323	舴	ts	¶	2	陟	格	梗	开	二	入	陌	知
C0324	舴	ts	¶	2	侧	伯	梗	开	二	入	陌	庄
C0325	择	ts	¶	2	玚	伯	梗	开	二	入	陌	澄
C0326	泽	ts	¶	2	玚	伯	梗	开	二	入	陌	澄
C0327	啧	ts	¶	2	侧	伯	梗	开	二	入	陌	庄
C0328	窄	ts	¶	2	侧	伯	梗	开	二	入	陌	庄
C0329	笮	ts	¶	2	侧	伯	梗	开	二	入	陌	庄
C0330	责	ts	¶	2	侧	革	梗	开	二	入	麦	庄
C0331	帻	ts	¶	2	侧	革	梗	开	二	入	麦	庄
C0332	箦	ts	¶	2	侧	革	梗	开	二	入	麦	庄
C0333	仄	ts	¶	4	阻	力	曾	开	三	入	职	庄
C0334	昃	ts	¶	4	阻	力	曾	开	三	入	职	庄
C0335	侧	ts	¶	4	阻	力	曾	开	三	入	职	庄
C0336	侧	tsh	¶	4	阻	力	曾	开	三	入	职	庄
C0337	恻	tsh	¶	4	初	力	曾	开	三	入	职	初
C0338	测	tsh	¶	4	初	力	曾	开	三	入	职	初
C0339	厕	tsh	¶	4	察	色	曾	开	三	入	职	初
C0340	策	tsh	¶	4	楚	革	梗	开	二	入	麦	初
C0341	册	tsh	¶	4	楚	革	梗	开	二	入	麦	初
C0342	涩	s	¶	4	色	立	深	开	三	入	缉	生
C0343	瑟	s	¶	4	所	栉	臻	开	三	入	栉	生
C0344	塞	s	¶	4	苏	则	曾	开	一	入	德	心
C0345	啬	s	¶	4	所	力	曾	开	三	入	职	生
C0346	穑	s	¶	4	所	力	曾	开	三	入	职	生
C0347	濇	s	¶	4	所	力	曾	开	三	入	职	生
C0348	色	s	¶	4	所	力	曾	开	三	入	职	生
C0349	遮	tƧ	¶	1	正	奢	假	开	三	平	麻	章
C0350	蜇	tƧ	¶	1	陟	列	山	开	三	入	薛	知
C0351	辄	tƧ	¶	2	陟	叶	咸	开	三	入	叶	知
C0352	折	tƧ	¶	2	之	涉	咸	开	三	入	叶	章
C0353	蛰	tƧ	¶	2	直	立	深	开	三	入	缉	澄
C0354	哲	tƧ	¶	2	陟	列	山	开	三	入	薛	知
C0355	辙	tƧ	¶	2	直	列	山	开	三	入	薛	澄
C0356	折	tƧ	¶	2	旨	热	山	开	三	入	薛	章
C0357	磔	tƧ	¶	2	陟	格	梗	开	二	入	陌	知
C0358	谪	tƧ	¶	2	陟	革	梗	开	二	入	麦	知
C0359	者	tƧ	¶	3	章	也	假	开	三	上	马	章
C0360	赭	tƧ	¶	3	章	也	假	开	三	上	马	章
C0361	蔗	tƧ	¶	4	之	夜	假	开	三	去	禡	章
C0362	柘	tƧ	¶	4	之	夜	假	开	三	去	禡	章
C0363	鹧	tƧ	¶	4	之	夜	假	开	三	去	禡	章
C0364	浙	tƧ	¶	4	旨	热	山	开	三	入	薛	章
C0365	车	tƧh	¶	1	尺	遮	假	开	三	平	麻	昌
C0366	砗	tƧh	¶	1	尺	遮	假	开	三	平	麻	昌
C0367	扯	tƧh	¶	3	昌	者	假	开	三	上	马	昌
C0368	撦	tƧh	¶	3	昌	者	假	开	三	上	马	昌
C0369	尺	tƧh	¶	3	昌	石	梗	开	三	入	昔	昌
C0370	彻	tƧh	¶	4	丑	列	山	开	三	入	薛	彻
C0371	撤	tƧh	¶	4	丑	列	山	开	三	入	薛	彻
C0372	掣	tƧh	¶	4	昌	列	山	开	三	入	薛	昌
C0373	奢	Ƨ	¶	1	式	车	假	开	三	平	麻	书
C0374	赊	Ƨ	¶	1	式	车	假	开	三	平	麻	书
C0375	蛇	Ƨ	¶	2	食	遮	假	开	三	平	麻	船
C0376	畲	Ƨ	¶	2	视	遮	假	开	三	平	麻	禅
C0377	舌	Ƨ	¶	2	食	列	山	开	三	入	薛	船
C0378	折	Ƨ	¶	2	常	列	山	开	三	入	薛	禅
C0379	捨	Ƨ	¶	3	书	冶	假	开	三	上	马	书
C0380	舍	Ƨ	¶	3	书	冶	假	开	三	上	马	书
C0381	赦	Ƨ	¶	4	始	夜	假	开	三	去	禡	书
C0382	舍	Ƨ	¶	4	始	夜	假	开	三	去	禡	书
C0383	社	Ƨ	¶	4	常	者	假	开	三	上	马	禅
C0384	射	Ƨ	¶	4	神	夜	假	开	三	去	禡	船
C0385	麝	Ƨ	¶	4	神	夜	假	开	三	去	禡	船
C0386	贳	Ƨ	¶	4	神	夜	假	开	三	去	禡	船
C0387	摄	Ƨ	¶	4	书	涉	咸	开	三	入	叶	书
C0388	涉	Ƨ	¶	4	时	摄	咸	开	三	入	叶	禅
C0389	设	Ƨ	¶	4	识	列	山	开	三	入	薛	书
C0390	惹	½	¶	3	人	者	假	开	三	上	马	日
C0391	热	½	¶	4	如	列	山	开	三	入	薛	日
C0392	歌	k	¶	1	古	俄	果	开	一	平	歌	见
C0393	哥	k	¶	1	古	俄	果	开	一	平	歌	见
C0394	戈	k	¶	1	古	禾	果	合	一	平	戈	见
C0395	鸽	k	¶	1	古	沓	咸	开	一	入	合	见
C0396	割	k	¶	1	古	达	山	开	一	入	曷	见
C0397	胳	k	¶	1	古	落	宕	开	一	入	铎	见
C0398	搁	k	¶	1	古	落	宕	开	一	入	铎	见
C0399	阁	k	¶	1	古	落	宕	开	一	入	铎	见
C0400	蛤	k	¶	2	古	沓	咸	开	一	入	合	见
C0401	合	k	¶	2	古	沓	咸	开	一	入	合	见
C0402	葛	k	¶	2	古	达	山	开	一	入	曷	见
C0403	阁	k	¶	2	古	落	宕	开	一	入	铎	见
C0404	格	k	¶	2	古	伯	梗	开	二	入	陌	见
C0405	骼	k	¶	2	古	伯	梗	开	二	入	陌	见
C0406	隔	k	¶	2	古	核	梗	开	二	入	麦	见
C0407	膈	k	¶	2	古	核	梗	开	二	入	麦	见
C0408	革	k	¶	2	古	核	梗	开	二	入	麦	见
C0409	葛	k	¶	3	古	达	山	开	一	入	曷	见
C0410	个	k	¶	4	古	贺	果	开	一	去	箇	见
C0411	個	k	¶	4	古	贺	果	开	一	去	箇	见
C0412	箇	k	¶	4	古	贺	果	开	一	去	箇	见
C0413	各	k	¶	4	古	落	宕	开	一	入	铎	见
C0414	柯	kh	¶	1	古	俄	果	开	一	平	歌	见
C0415	珂	kh	¶	1	苦	何	果	开	一	平	歌	溪
