ID	CHARACTER	PINYIN	DOCULECT	READING	PAGE
1661	逐	zhú	Middle_Chinese	ḍjuk	589
1662	逐	zhú	Common_Chinese	*jiuk8	589
1663	主	zhǔ	Middle_Chinese	tśju:	589
1664	主	zhǔ	Common_Chinese	*ciu3	589
1665	祝	zhù	Middle_Chinese	tśjuk	590
1666	祝	zhù	Common_Chinese	*ciuk7	590
1667	柱	zhù	Middle_Chinese	ḍju:	590
1668	柱	zhù	Common_Chinese	*jiu4	590
1669	專	zhuān	Middle_Chinese	tśjwän	590
1670	專	zhuān	Common_Chinese	*cion1	590
1671	磚	zhuān	Middle_Chinese	tśjwän	591
1672	磚	zhuān	Common_Chinese	*cion1	591
1673	裝	zhuāng	Middle_Chinese	tṣjang	591
1674	裝	zhuāng	Common_Chinese	*cong1	591
1675	莊	zhuāng	Middle_Chinese	tṣjang	592
1676	莊	zhuāng	Common_Chinese	*cong1	592
1677	壯	zhuàng	Middle_Chinese	tṣjang-	592
1678	壯	zhuàng	Common_Chinese	*cong5	592
1679	狀	zhuàng	Middle_Chinese	dẓjang-	592
1680	狀	zhuàng	Common_Chinese	*jong6	592
1681	撞	zhuàng	Middle_Chinese	ḍång-	592
1682	撞	zhuàng	Common_Chinese	*jong6	592
1683	錐	zhuī	Middle_Chinese	tświ	593
1684	錐	zhuī	Common_Chinese	*cui1	593
1685	准	zhǔn	Middle_Chinese	tśjwen:	593
1686	准	zhǔn	Common_Chinese	*ciun3	593
1687	桌	zhuō	Middle_Chinese	ṭåk)	593
1688	桌	zhuō	Common_Chinese	*cok1	593
1689	捉	zhuō	Middle_Chinese	tṣåk	593
1690	捉	zhuō	Common_Chinese	*cok1	593
1691	子	zǐ	Middle_Chinese	tsï:	594
1692	子	zǐ	Common_Chinese	*tsi3	594
1693	自	zì	Middle_Chinese	dzi-	594
1694	自	zì	Common_Chinese	*dzi6	594
1695	字	zì	Middle_Chinese	dzï-	594
1696	字	zì	Common_Chinese	*dzi6	594
1697	宗	zōng	Middle_Chinese	tsuong	594
1698	宗	zōng	Common_Chinese	*tsung1	594
1699	走	zǒu	Middle_Chinese	tsəu:	594
1700	走	zǒu	Common_Chinese	*tseu3	594
1701	足	zú	Middle_Chinese	tsjwok	595
1702	足	zú	Common_Chinese	*tsiuk7	595
1703	最	zuì	Middle_Chinese	tswâi-	595
1704	最	zuì	Common_Chinese	*tsuoi5	595
1705	罪	zuì	Middle_Chinese	dzuậi:	595
1706	罪	zuì	Common_Chinese	*dzuoi4	595
1707	醉	zuì	Middle_Chinese	tswi-	595
1708	醉	zuì	Common_Chinese	*tsui5	595
1709	尊	zūn	Middle_Chinese	tsuən	596
1710	尊	zūn	Common_Chinese	*tsun1	596
1711	昨	zuó	Middle_Chinese	dzâk	596
1712	昨	zuó	Common_Chinese	*dzok8	596
1713	左	zuǒ	Middle_Chinese	tsâ:	596
1714	左	zuǒ	Common_Chinese	*tso3	596
1715	座	zuò	Middle_Chinese	dzuâ-	596
1716	座	zuò	Common_Chinese	*dzo6	596
1717	作	zuò	Middle_Chinese	tsâk	597
1718	作	zuò	Common_Chinese	*tsok7	597
