ID,Language_name,Language_ID,Language_iso,Parameter_ID,Parameter_name,Source,Comment,Parameter_Chinese,Parameter_Pinyin,Value,Form,Segments,Cognate_Set,Cognate_Sets,Alignments,Order,Beida_ID,Page,Benzi,Benzi_in_source
16629,Beijing,beij1234,cmn,2188,Chinese New Year's Eve (chú xī 除夕),BeijingDaxue1964,,除夕,chú xī,ta⁵¹nian³⁵san⁵⁵ʂʅr³⁵,ta⁵¹nian³⁵san⁵⁵ʂʅr³⁵,t a ⁵¹ n i a n ³⁵ s a n ⁵⁵ ʂ */ʅ ³⁵,1,47 391 392 393,t a - - ⁵¹ + n i - a n - ³⁵ + s a n ⁵⁵ + ʂ */ʅ - - ³⁵,1,48,24,大 年 三 十,大年三十兒
16630,Beijing,beij1234,cmn,2188,Chinese New Year's Eve (chú xī 除夕),BeijingDaxue1964,[2],除夕,chú xī,san⁵⁵ʂʅr³⁵uan²¹⁴₂₁ʂaŋ⁰,san⁵⁵ʂʅr³⁵uan²¹⁴₂₁ʂaŋ⁰,s a n ⁵⁵ ʂ */ʅ ³⁵ u a n ²¹/²¹⁴ ʂ a ŋ ⁰,2,392 393 394 96,s a n ⁵⁵ + ʂ */ʅ - - ³⁵ + - u a n - ²¹/²¹⁴ + ʂ a - ŋ ⁰,2,48,24,三 十 晚 上,三十兒晚上
16631,Jinan,jina1245,cmn,2188,Chinese New Year's Eve (chú xī 除夕),BeijingDaxue1964,,除夕,chú xī,sæ̃²¹³ʂʅr⁴²,sæ̃²¹³ʂʅr⁴²,s æ̃ ∼ ²¹³ ʂ */ʅ ⁴²,3,392 393,s æ̃ ∼ ²¹³ + ʂ */ʅ - - ⁴²,1,48,24,三 十,三十兒
16632,Shenyang,shen1252,cmn,2188,Chinese New Year's Eve (chú xī 除夕),BeijingDaxue1964,,除夕,chú xī,san³³sɿr³⁵,san³³sɿr³⁵,s a n ³³ s */ɿ ³⁵,3,392 393,s a n ³³ + s */ɿ - - ³⁵,1,48,24,三 十,三十兒
16633,Xi_an,xian1253,cmn,2188,Chinese New Year's Eve (chú xī 除夕),BeijingDaxue1964,,除夕,chú xī,sæ̃²¹ʂʅr²⁴,sæ̃²¹ʂʅr²⁴,s æ̃ ∼ ²¹ ʂ */ʅ ²⁴,3,392 393,s æ̃ ∼ ²¹ + ʂ */ʅ - - ²⁴,1,48,24,三 十,三十兒〔晚上〕
16634,Xi_an,xian1253,cmn,2188,Chinese New Year's Eve (chú xī 除夕),BeijingDaxue1964,[2],除夕,chú xī,tɑ⁴⁵ȵiæ̃⁰sæ̃²¹ʂʅ⁰,tɑ⁴⁵ȵiæ̃⁰sæ̃²¹ʂʅ⁰,t ɑ ⁴⁵ ȵ i æ̃ ∼ ⁰ s æ̃ ∼ ²¹ ʂ ʅ ⁰,1,47 391 392 393,t ɑ - - ⁴⁵ + ȵ i - æ̃ ∼ - ⁰ + s æ̃ ∼ ²¹ + ʂ ʅ - - ⁰,2,48,24,大 年 三 十,大年三十
16635,Chengdu,chen1267,cmn,2188,Chinese New Year's Eve (chú xī 除夕),BeijingDaxue1964,,除夕,chú xī,san⁴⁴uan⁵³xe³¹,san⁴⁴uan⁵³xe³¹,s a n ⁴⁴ u a n ⁵³ x e ³¹,4,392 394 395,s a n ⁴⁴ + - u a n - ⁵³ + x - e - ³¹,1,48,24,三 晚 黑,三十晚黑
16636,Kunming,kunm1234,cmn,2188,Chinese New Year's Eve (chú xī 除夕),BeijingDaxue1964,,除夕,chú xī,sã⁴⁴ʂʅ³¹uã⁵³ʂã¹³,sã⁴⁴ʂʅ³¹uã⁵³ʂã¹³,s ã ∼ ⁴⁴ ʂ ʅ ³¹ u ã ∼ ⁵³ ʂ ã ∼ ¹³,2,392 393 394 96,s ã ∼ ⁴⁴ + ʂ ʅ - - ³¹ + - u ã ∼ - ⁵³ + ʂ ã - ∼ ¹³,1,48,24,三 十 晚 上,三十晚上
16637,Hefei,hefe1234,cmn,2188,Chinese New Year's Eve (chú xī 除夕),BeijingDaxue1964,,除夕,chú xī,niĩ⁵⁵sæ̃²¹²ʂəʔ⁴,niĩ⁵⁵sæ̃²¹²ʂəʔ⁴,n i ĩ ∼ ⁵⁵ s æ̃ ∼ ²¹² ʂ ə ʔ ⁴,5,391 392 393,n i - ĩ ∼ - ⁵⁵ + s æ̃ ∼ ²¹² + ʂ ə - ʔ ⁴,1,48,24,年 三 十,年三十
16638,Yangzhou,yang1306,cmn,2188,Chinese New Year's Eve (chú xī 除夕),BeijingDaxue1964,,除夕,chú xī,sɛ̃³¹səʔ⁴tsɛ⁰,sɛ̃³¹səʔ⁴tsɛ⁰,s ɛ̃ ∼ ³¹ s ə ʔ ⁴ ts ɛ ⁰,6,392 393 67,s ɛ̃ ∼ ³¹ + s ə - ʔ ⁴ + ts ɛ - - ⁰,1,48,24,三 十 子,三十子
