ID	DOCULECT	CONCEPT	VALUE	SEGMENTS	STRUCTURE	BENZI	CHARACTERS	COGNATE_SET	COGNATE_SETS
600	Xiamen	Dragon Boat Festival	gɔ²²⁻²¹geʔ⁵⁻²¹ʦueʔ	g ɔ ²²/²¹ + g e ʔ ⁵/²¹ + ts u e ʔ ⁰	i n t + i n c t + i m n c t	五月节	五月节	139	0
601	Xiamen	Dragon Boat Festival	tuan⁵⁵⁻²²ŋɔ⁵³⁻⁵⁵ʦiat³²	t u a n ⁵⁵/²² + ŋ ɔ ⁵³/⁵⁵ + ts i a t ³²	i m n c t + i n t + i m n c t	端午节	端午节	137	0
602	Xiamen	Dragon Boat Festival	tuan⁵⁵⁻²²ŋɔ⁵³⁻⁵⁵ʦueʔ³²	t u a n ⁵⁵/²² + ŋ ɔ ⁵³/⁵⁵ + ts u e ʔ ³²	i m n c t + i n t + i m n c t	端午节	端午节	137	0
603	Fuzhou	Dragon Boat Festival	ŋu²⁴²⁻²¹ŋuoʔ⁵⁻⁵³ʦɑiʔ²⁴	ŋ u ²⁴²/²¹ + ŋ u o ʔ ⁵/⁵³ + ts ɑ i ʔ ²⁴	i n t + i m n c t + i n N c t	五月节	五月节	139	0
604	Fuzhou	Dragon Boat Festival	ŋu²⁴²⁻²¹niʔ⁵⁻⁵³ʦɑiʔ²⁴	ŋ u ²⁴²/²¹ + n i ʔ ⁵/⁵³ + ts ɑ i ʔ ²⁴	i n t + i n c t + i n N c t	五日节	五日节	141	0
605	Jian'ou	Dragon Boat Festival	kua³³ʦai²⁴	k u a ³³ + ts a i ²⁴	i m n t + i n N t	过节	过节	142	0
606	Jian'ou	Dragon Boat Festival	ŋu⁴²ŋyɛ⁴²ʦai²⁴	ŋ u ⁴² + ŋ y ɛ ⁴² + ts a i ²⁴	i n t + i m n t + i n N t	五月节	五月节	139	0
607	Shantou	Dragon Boat Festival	ŋõu³⁵⁻³¹gueʔ⁵⁻²ʦoiʔ²	ŋ õ u ∼ ³⁵/³¹ + g u e ʔ ⁵/² + ts o i ʔ ²	i n N c t + i m n c t + i n N c t	五月节	五月节	139	0
608	Haikou	Dragon Boat Festival	ŋɔu³³vue³³ʦe⁵⁵	ŋ ɔ u ³³ + v u e ³³ + ts e ⁵⁵	i n N t + i m n t + i n t	五月节	五月节	139	0
609	Haikou	Dragon Boat Festival	ŋɔu³³vue³³sɔu²³ŋɔu³³	ŋ ɔ u ³³ + v u e ³³ + s ɔ u ²³ + ŋ ɔ u ³³	i n N t + i m n t + i n N t + i n N t	五月初五	五月初五	140	0
610	Taibei	Dragon Boat Festival	gɔ³³⁻¹¹lit⁴⁴⁻³²ʦieʔ³²	g ɔ ³³/¹¹ + l i t ⁴⁴/³² + ts i e ʔ ³²	i n t + i n c t + i m n c t	五日节	五日节	141	0
611	Taibei	Dragon Boat Festival	gɔ³³⁻¹¹geʔ⁴⁴⁻³²ʦieʔ³²	g ɔ ³³/¹¹ + g e ʔ ⁴⁴/³² + ts i e ʔ ³²	i n t + i n c t + i m n c t	五月节	五月节	139	0
612	Meixian	Dragon Boat Festival	n̩³¹ŋiat⁵ʦiet¹	n n̩ ∼ ³¹ + ŋ i a t ⁵ + ts i e t ¹	i n c t + i m n c t + i m n c t	五月节	五月节	139	0
613	Taoyuan	Dragon Boat Festival	ŋ̍³¹ŋiet⁵⁵ʦiet²²	ŋ ŋ̍ ∼ ³¹ + ŋ i e t ⁵⁵ + ts i e t ²²	i n c t + i m n c t + i m n c t	五月节	五月节	139	0
614	Nanchang	Dragon Boat Festival	ʨiɛʔ⁵	tɕ i ɛ ʔ ⁵	i m n c t	节	节	143	0
615	Nanchang	Dragon Boat Festival	tɵn⁴²u²¹³	t ɵ n ⁴² + u ²¹³	i n c t + n t	端午	端午	136	0
616	Nanchang	Dragon Boat Festival	tɵn⁴²iɔŋ⁴⁵	t ɵ n ⁴² + i ɔ ŋ ⁴⁵	i n c t + m n c t	端阳	端阳	144	0
617	Changsha	Dragon Boat Festival	tõ³³u⁴¹ʦie²⁴	t õ ∼ ³³ + u ⁴¹ + ts i e ²⁴	i n c t + n t + i m n t	端午节	端午节	137	0
618	Xiangtan	Dragon Boat Festival	tɔn³³u⁴²i²⁴	t ɔ n ³³ + u ⁴² + i ²⁴	i n c t + n t + n t	端午日	端午日	145	0
619	Xiangtan	Dragon Boat Festival	tɔn³³ian¹²ʦie²⁴	t ɔ n ³³ + i a n ¹² + ts i e ²⁴	i n c t + m n c t + i m n t	端阳节	端阳节	146	0
620	Shexian	Dragon Boat Festival	to³¹u³⁵ʦeʔ²¹	t o ³¹ + u ³⁵ + ts e ʔ ²¹	i n t + n t + i n c t	端午节	端午节	137	0
621	Tunxi	Dragon Boat Festival	tuːə¹¹n̩	t uː ə ¹¹ + n n̩ ∼ ⁰	i n N t + i n c t	端午	端午	136	0
622	Tunxi	Dragon Boat Festival	tuːə¹¹n̩²⁴ʦiɛ⁵	t uː ə ¹¹ + n n̩ ∼ ²⁴ + ts i ɛ ⁵	i n N t + i n c t + i m n t	端午节	端午节	137	0
623	Taiyuan	Dragon Boat Festival	vu⁵³yəʔ²tuæ̃¹¹vu⁵³	v u ⁵³ + y ə ʔ ² + t u æ̃ ∼ ¹¹ + v u ⁵³	i n t + m n c t + i m n c t + i n t	五月端午	五月端午	147	0
624	Pingyao	Dragon Boat Festival	u⁵³yʌʔ⁵³tuɑŋ¹³⁻³¹u⁵³	u ⁵³ + y ʌ ʔ ⁵³ + t u ɑ ŋ ¹³/³¹ + u ⁵³	n t + m n c t + i m n c t + n t	五月端午	五月端午	147	0
625	Huhehaote	Dragon Boat Festival	tuæ̃³¹⁻³³vu	t u æ̃ ∼ ³¹/³³ + v u ⁰	i m n c t + i n t	端午	端午	136	0
626	Huhehaote	Dragon Boat Festival	vu⁵³yaʔ⁴³⁻²¹tuæ̃³¹⁻³³vu	v u ⁵³ + y a ʔ ⁴³/²¹ + t u æ̃ ∼ ³¹/³³ + v u ⁰	i n t + m n c t + i m n c t + i n t	五月端午	五月端午	147	0
627	Beijing	Dragon Boat Festival	u²¹⁴⁻²¹yɛ⁵¹ʨiɛ³⁵	u ²¹⁴/²¹ + y ɛ ⁵¹ + tɕ i ɛ ³⁵	n t + m n t + i m n t	五月节	五月节	139	0
628	Beijing	Dragon Boat Festival	tuan⁵⁵u²ʨiɛ³⁵	t u a n ⁵⁵ + u ² + tɕ i ɛ ³⁵	i m n c t + n t + i m n t	端午节	端午节	137	0
629	Tianjin	Dragon Boat Festival	u¹³ye³ʨie⁴⁵	u ¹³ + y e ³ + tɕ i e ⁴⁵	n t + m n t + i m n t	五月节	五月节	139	0
630	Jinan	Dragon Boat Festival	u⁵⁵⁻²¹³yə⁰tuã²¹³⁻²¹u	u ⁵⁵/²¹³ + y ə ⁰ + t u ã ∼ ²¹³/²¹ + u ⁰	n t + m n t + i m n c t + n t	五月端午	五月端午	147	0
631	Jinan	Dragon Boat Festival	tuã²¹³u⁵⁵	t u ã ∼ ²¹³ + u ⁵⁵	i m n c t + n t	端午	端午	136	0
632	Qingdao	Dragon Boat Festival	vu⁵⁵⁻⁴⁵yə⁰tã²¹³⁻³¹vu	v u ⁵⁵/⁴⁵ + y ə ⁰ + t ã ∼ ²¹³/³¹ + v u ⁰	i n t + m n t + i n c t + i n t	五月端午	五月端午	147	0
633	Nanjing	Dragon Boat Festival	u²¹²⁻¹¹yeʔ⁰ʦieʔ⁵	u ²¹²/¹¹ + y e ʔ ⁰ + ts i e ʔ ⁵	n t + m n c t + i m n c t	五月节	五月节	139	0
634	Nanjing	Dragon Boat Festival	tuaŋ³¹u²¹²⁻¹¹ʦieʔ	t u a ŋ ³¹ + u ²¹²/¹¹ + ts i e ʔ ⁰	i m n c t + n t + i m n c t	端午节	端午节	137	0
