ID	DOCULECT	CONCEPT	VALUE	SEGMENTS	STRUCTURE	BENZI	CHARACTERS	COGNATE_SET	COGNATE_SETS
4962	Shanghai	chopsticks	kʰue⁵³⁻⁵⁵ʦɿ³⁵⁻²¹	kʰ u e ⁵³/⁵⁵ + ts ɿ ³⁵/²¹	i m n t + i n t	筷子	筷子	1438	0
4963	Suzhou	chopsticks	kuᴇ⁵¹³⁻⁵⁵ŋ̍	k u ᴇ ⁵¹³/⁵⁵ + ŋ ŋ̍ ∼ ⁰	i m n t + i n c t	筷五	筷五	1437	0
4964	Hangzhou	chopsticks	kʰuᴇ⁴⁴⁵əl²¹³⁻³¹	kʰ u ᴇ ⁴⁴⁵ + ə l ²¹³/³¹	i m n t + n r t	筷←儿	筷	1436	0
4965	Wenzhou	chopsticks	ʣei²²	dz e i ²²	i n N t	箸	箸	1439	0
4966	Guangzhou	chopsticks	fai³³ʦi³⁵	f a i ³³ + ts i ³⁵	i n N t + i n t	筷子	筷子	1438	0
4967	Nanning	chopsticks	fai³³sɐu³⁵	f a i ³³ + s ɐ u ³⁵	i n N t + i n N t	筷手	筷手	1440	0
4968	Xianggang	chopsticks	fai³³ʦi³⁵	f a i ³³ + ts i ³⁵	i n N t + i n t	筷子	筷子	1438	0
4969	Xiamen	chopsticks	ti²²	t i ²²	i n t	箸	箸	1439	0
4970	Fuzhou	chopsticks	tøy²⁴²	t ø y ²⁴²	i n N t	箸	箸	1439	0
4971	Jian'ou	chopsticks	ty⁴⁴	t y ⁴⁴	i n t	箸	箸	1439	0
4972	Shantou	chopsticks	tɯ³¹	t ɯ ³¹	i n t	箸	箸	1439	0
4973	Haikou	chopsticks	mue³¹ʔdu²³	m u e ³¹ + ʔd u ²³	i m n t + i n t	糜箸	糜箸	1441	0
4974	Haikou	chopsticks	ʔdu²³	ʔd u ²³	i n t	箸	箸	1439	0
4975	Taibei	chopsticks	ti³³	t i ³³	i n t	箸	箸	1439	0
4976	Meixian	chopsticks	kʰuai⁵³⁻⁵⁵ie	kʰ u a i ⁵³/⁵⁵ + i e ⁰	i m n N t + m n t	筷←儿	筷	1436	0
4977	Taoyuan	chopsticks	kʰuɑi⁵⁵e³¹	kʰ u ɑ i ⁵⁵ + e ³¹	i m n N t + n t	筷仔	筷仔	1442	0
4978	Nanchang	chopsticks	kʰuai²¹³ʦɿ⁰⁴	kʰ u a i ²¹³ + ts ɿ ⁰⁴	i m n N t + i n t	筷子	筷子	1438	0
4979	Changsha	chopsticks	kʰuai⁵⁵ʦɿ	kʰ u a i ⁵⁵ + ts ɿ ⁰	i m n N t + i n t	筷子	筷子	1438	0
4980	Xiangtan	chopsticks	kʰuai⁵⁵ʦɿ³³	kʰ u a i ⁵⁵ + ts ɿ ³³	i m n N t + i n t	筷子	筷子	1438	0
4981	Shexian	chopsticks	kʰua³²⁴	kʰ u a ³²⁴	i m n t	筷	筷	1436	0
4982	Tunxi	chopsticks	kʰuan²⁴	kʰ u a n ²⁴	i m n c t	筷+儿	筷	1436	0
4983	Taiyuan	chopsticks	kʰuai⁴⁵ʦəʔ	kʰ u a i ⁴⁵ + ts ə ʔ ⁰	i m n N t + i n c t	筷子	筷子	1438	0
4984	Pingyao	chopsticks	kʰuæ³⁵ʦʌʔ¹³⁻⁵³	kʰ u æ ³⁵ + ts ʌ ʔ ¹³/⁵³	i m n t + i n c t	筷子	筷子	1438	0
4985	Huhehaote	chopsticks	kʰuɛ⁵⁵ʦəʔ	kʰ u ɛ ⁵⁵ + ts ə ʔ ⁰	i m n t + i n c t	筷子	筷子	1438	0
4986	Beijing	chopsticks	kʰuai⁵¹ʦɿ¹	kʰ u a i ⁵¹ + ts ɿ ¹	i m n N t + i n t	筷子	筷子	1438	0
4987	Tianjin	chopsticks	kʰuai⁵³ʦə¹	kʰ u a i ⁵³ + ts ə ¹	i m n N t + i n t	筷子	筷子	1438	0
4988	Jinan	chopsticks	kʰuɛ²¹⁻⁵⁴⁴ʦɿ	kʰ u ɛ ²¹/⁵⁴⁴ + ts ɿ ⁰	i m n t + i n t	筷子	筷子	1438	0
4989	Qingdao	chopsticks	kʰuɛ⁴²ʦɿ	kʰ u ɛ ⁴² + ts ɿ ⁰	i m n t + i n t	筷子	筷子	1438	0
4990	Nanjing	chopsticks	kʰuae⁴⁴ʦɿ	kʰ u a e ⁴⁴ + ts ɿ ⁰	i m n N t + i n t	筷子	筷子	1438	0
4991	Hefei	chopsticks	kʰuᴇ⁵³ʦə⁰	kʰ u ᴇ ⁵³ + ts ə ⁰	i m n t + i n t	筷子	筷子	1438	0
4992	Zhengzhou	chopsticks	ʨʰiau³¹²	tɕʰ i a u ³¹²	i m n N t	筷	筷	1436	0
4993	Wuhan	chopsticks	kʰuai³⁵ʦɿ	kʰ u a i ³⁵ + ts ɿ ⁰	i m n N t + i n t	筷子	筷子	1438	0
4994	Chengdu	chopsticks	kʰuai¹³ʦɿ⁵³	kʰ u a i ¹³ + ts ɿ ⁵³	i m n N t + i n t	筷子	筷子	1438	0
4995	Guiyang	chopsticks	kʰuai²¹³ʦɿ⁴²	kʰ u a i ²¹³ + ts ɿ ⁴²	i m n N t + i n t	筷子	筷子	1438	0
4996	Kunming	chopsticks	kʰuə²¹²ə³¹	kʰ u ə ²¹² + ə ³¹	i m n t + n t	筷←儿	筷	1436	0
4997	Haerbin	chopsticks	kʰuai⁵³ʦɿ	kʰ u a i ⁵³ + ts ɿ ⁰	i m n N t + i n t	筷子	筷子	1438	0
4998	Xi'an	chopsticks	kʰuai⁴⁴ʦɿ	kʰ u a i ⁴⁴ + ts ɿ ⁰	i m n N t + i n t	筷子	筷子	1438	0
4999	Yinchuan	chopsticks	kʰuɛ¹³⁻¹¹ʦɿ	kʰ u ɛ ¹³/¹¹ + ts ɿ ⁰	i m n t + i n t	筷子	筷子	1438	0
5000	Lanzhou	chopsticks	kʰuɛ¹³⁻¹¹ʦɿ⁵³	kʰ u ɛ ¹³/¹¹ + ts ɿ ⁵³	i m n t + i n t	筷子	筷子	1438	0
5001	Xining	chopsticks	kʰuɛ²¹³⁻²¹ʦɿ	kʰ u ɛ ²¹³/²¹ + ts ɿ ⁰	i m n t + i n t	筷子	筷子	1438	0
5002	Xining	chopsticks	kʰuɛ²¹³⁻²¹kʰuɛ²¹³⁻⁵³	kʰ u ɛ ²¹³/²¹ + kʰ u ɛ ²¹³/⁵³	i m n t + i m n t	筷筷	筷筷	1443	0
5003	Wulumuqi	chopsticks	kʰuai²¹³⁻¹³ʦɿ	kʰ u a i ²¹³/¹³ + ts ɿ ⁰	i m n N t + i n t	筷子	筷子	1438	0
7354	Shanghai	classifier (cow)	ʦaʔ⁵	ts a ʔ ⁵	i n c t	只	只	2399	0
7355	Suzhou	classifier (cow)	ʦɑʔ⁵	ts ɑ ʔ ⁵	i n c t	只	只	2399	0
7356	Hangzhou	classifier (cow)	ʦɑʔ⁵	ts ɑ ʔ ⁵	i n c t	只	只	2399	0
7357	Wenzhou	classifier (cow)	dɤu³¹	d ɤ u ³¹	i n N t	头	头	721	0
7358	Guangzhou	classifier (cow)	ʦɛk³	ts ɛ k ³	i n c t	只	只	2399	0
7359	Guangzhou	classifier (cow)	tʰɐu²¹	tʰ ɐ u ²¹	i n N t	头	头	721	0
7360	Nanning	classifier (cow)	ʦɛk³³	ts ɛ k ³³	i n c t	隻	隻	2379	0
7361	Xianggang	classifier (cow)	ʦɛk³	ts ɛ k ³	i n c t	只	只	2399	0
7362	Xiamen	classifier (cow)	ʦiaʔ³²	ts i a ʔ ³²	i m n c t	只	只	2399	0
7363	Fuzhou	classifier (cow)	tʰau⁵³	tʰ a u ⁵³	i n N t	头	头	721	0
7364	Jian'ou	classifier (cow)	tʰe³³	tʰ e ³³	i n t	头	头	721	0
7365	Shantou	classifier (cow)	ʦiaʔ²	ts i a ʔ ²	i m n c t	隻	隻	2379	0
7366	Haikou	classifier (cow)	ʦiak⁵	ts i a k ⁵	i m n c t	隻	隻	2379	0
7367	Taibei	classifier (cow)	ʦiaʔ³²	ts i a ʔ ³²	i m n c t	只	只	2399	0
7368	Meixian	classifier (cow)	tʰiau¹¹	tʰ i a u ¹¹	i m n N t	条	条	2386	0
7369	Taoyuan	classifier (cow)	tʰiɑu¹¹	tʰ i ɑ u ¹¹	i m n N t	条	条	2386	0
7370	Nanchang	classifier (cow)	ʦɑʔ⁵	ts ɑ ʔ ⁵	i n c t	只	只	2399	0
7371	Changsha	classifier (cow)	tiau¹³	t i a u ¹³	i m n N t	条	条	2386	0
7372	Xiangtan	classifier (cow)	t͡ʂɒ²⁴	ʈʂ ɒ ²⁴	i n t	隻	隻	2379	0
7373	Shexian	classifier (cow)	ʨi²¹	tɕ i ²¹	i n t	只	只	2399	0
7374	Tunxi	classifier (cow)	ʨi⁵	tɕ i ⁵	i n t	只	只	2399	0
7375	Taiyuan	classifier (cow)	kuai⁴⁵	k u a i ⁴⁵	i m n N t	块	块	2382	0
7376	Taiyuan	classifier (cow)	tʰəu¹¹	tʰ ə u ¹¹	i n N t	头	头	721	0
7377	Pingyao	classifier (cow)	t͡ʂʌʔ⁵³	ʈʂ ʌ ʔ ⁵³	i n c t	隻	隻	2379	0
7378	Huhehaote	classifier (cow)	tʰiɔ³¹	tʰ i ɔ ³¹	i m n t	条	条	2386	0
7379	Beijing	classifier (cow)	tʰou³⁵	tʰ o u ³⁵	i n N t	头	头	721	0
7380	Tianjin	classifier (cow)	tʰou⁴⁵	tʰ o u ⁴⁵	i n N t	头	头	721	0
7381	Jinan	classifier (cow)	tʰiɔ⁴²	tʰ i ɔ ⁴²	i m n t	条	条	2386	0
7382	Jinan	classifier (cow)	kə²¹	k ə ²¹	i n t	个	个	2378	0
7383	Qingdao	classifier (cow)	tʰou⁴²	tʰ o u ⁴²	i n N t	头	头	721	0
7384	Nanjing	classifier (cow)	tʰiɔo²⁴	tʰ i ɔ o ²⁴	i m n N t	条	条	2386	0
7385	Nanjing	classifier (cow)	tʰəɯ²⁴	tʰ ə ɯ ²⁴	i n N t	头	头	721	0
7386	Hefei	classifier (cow)	tʰiɔ⁵⁵	tʰ i ɔ ⁵⁵	i m n t	条	条	2386	0
7387	Zhengzhou	classifier (cow)	tʰiau⁴²	tʰ i a u ⁴²	i m n N t	条	条	2386	0
7388	Zhengzhou	classifier (cow)	tʰou⁴²	tʰ o u ⁴²	i n N t	头	头	721	0
7389	Wuhan	classifier (cow)	tʰiau²¹³	tʰ i a u ²¹³	i m n N t	条	条	2386	0
7390	Wuhan	classifier (cow)	tʰəu²¹³	tʰ ə u ²¹³	i n N t	头	头	721	0
7391	Chengdu	classifier (cow)	tʰiau³¹	tʰ i a u ³¹	i m n N t	条	条	2386	0
7392	Chengdu	classifier (cow)	kən⁵⁵	k ə n ⁵⁵	i n c t	根	根	2400	0
7393	Guiyang	classifier (cow)	tʰiao²¹	tʰ i a o ²¹	i m n N t	条	条	2386	0
7394	Kunming	classifier (cow)	tʰiɔ³¹	tʰ i ɔ ³¹	i m n t	条	条	2386	0
7395	Haerbin	classifier (cow)	tʰou²⁴	tʰ o u ²⁴	i n N t	头	头	721	0
7396	Xi'an	classifier (cow)	kɤ⁴⁴	k ɤ ⁴⁴	i n t	个	个	2378	0
7397	Yinchuan	classifier (cow)	tʰəu⁵³	tʰ ə u ⁵³	i n N t	头	头	721	0
7398	Yinchuan	classifier (cow)	tʰiɔ⁵³	tʰ i ɔ ⁵³	i m n t	条	条	2386	0
7399	Lanzhou	classifier (cow)	kə¹³	k ə ¹³	i n t	个	个	2378	0
7400	Xining	classifier (cow)	tʰɯ²⁴	tʰ ɯ ²⁴	i n t	头	头	721	0
7401	Wulumuqi	classifier (cow)	tʰɤu⁵¹	tʰ ɤ u ⁵¹	i n N t	头	头	721	0
7213	Shanghai	classifier (pair)	sɑ̃⁵³	s ɑ̃ ∼ ⁵³	i n c t	双	双	2383	0
7214	Suzhou	classifier (pair)	sɑ̃⁵	s ɑ̃ ∼ ⁵	i n c t	双	双	2383	0
7215	Hangzhou	classifier (pair)	sʮɑŋ³³	s ʮ ɑ ŋ ³³	i m n c t	双	双	2383	0
7216	Wenzhou	classifier (pair)	ɕyɔ³³	ɕ y ɔ ³³	i m n t	双	双	2383	0
7217	Guangzhou	classifier (pair)	tøy³³	t ø y ³³	i n N t	对	对	2384	0
7218	Nanning	classifier (pair)	tui³³	t u i ³³	i m n t	对	对	2384	0
7219	Xianggang	classifier (pair)	tøy³³	t ø y ³³	i n N t	对	对	2384	0
7220	Xiamen	classifier (pair)	siaŋ⁵⁵	s i a ŋ ⁵⁵	i m n c t	双	双	2383	0
7221	Fuzhou	classifier (pair)	søyŋ⁴⁴	s ø y ŋ ⁴⁴	i n N c t	双	双	2383	0
7222	Jian'ou	classifier (pair)	sɔŋ⁵⁴	s ɔ ŋ ⁵⁴	i n c t	双	双	2383	0
7223	Shantou	classifier (pair)	saŋ³³	s a ŋ ³³	i n c t	双	双	2383	0
7224	Haikou	classifier (pair)	tiaŋ²³	t i a ŋ ²³	i m n c t	双	双	2383	0
7225	Haikou	classifier (pair)	ʔdui³⁵	ʔd u i ³⁵	i n N t	对	对	2384	0
7226	Taibei	classifier (pair)	siaŋ⁴⁴	s i a ŋ ⁴⁴	i m n c t	双	双	2383	0
7227	Meixian	classifier (pair)	suŋ⁴⁴	s u ŋ ⁴⁴	i n c t	双	双	2383	0
7228	Taoyuan	classifier (pair)	suŋ²⁴	s u ŋ ²⁴	i n c t	双	双	2383	0
7229	Nanchang	classifier (pair)	sɔŋ⁴²	s ɔ ŋ ⁴²	i n c t	双	双	2383	0
7230	Changsha	classifier (pair)	ɕyan³³	ɕ y a n ³³	i m n c t	双	双	2383	0
7231	Xiangtan	classifier (pair)	sɔn³³	s ɔ n ³³	i n c t	双	双	2383	0
7232	Shexian	classifier (pair)	so³¹	s o ³¹	i n t	双	双	2383	0
7233	Tunxi	classifier (pair)	sau¹¹	s a u ¹¹	i n N t	双	双	2383	0
7234	Taiyuan	classifier (pair)	tuei⁴⁵	t u e i ⁴⁵	i m n N t	对	对	2384	0
7235	Pingyao	classifier (pair)	tuæ³⁵	t u æ ³⁵	i m n t	对	对	2384	0
7236	Pingyao	classifier (pair)	tuæ³⁵tuæ³⁵⁻⁵³	t u æ ³⁵ + t u æ ³⁵/⁵³	i m n t + i m n t	对对	对对	2385	0
7237	Huhehaote	classifier (pair)	suɑ̃³¹	s u ɑ̃ ∼ ³¹	i m n c t	双	双	2383	0
7238	Beijing	classifier (pair)	ʂuaŋ⁵⁵	ʂ u a ŋ ⁵⁵	i m n c t	双	双	2383	0
7239	Tianjin	classifier (pair)	suɑŋ²¹	s u ɑ ŋ ²¹	i m n c t	双	双	2383	0
7240	Jinan	classifier (pair)	ʂuaŋ²¹³	ʂ u a ŋ ²¹³	i m n c t	双	双	2383	0
7241	Qingdao	classifier (pair)	ʂuaŋ²¹³	ʂ u a ŋ ²¹³	i m n c t	双	双	2383	0
7242	Nanjing	classifier (pair)	ʂuaŋ³¹	ʂ u a ŋ ³¹	i m n c t	双	双	2383	0
7243	Hefei	classifier (pair)	ʂuɑ̃²¹	ʂ u ɑ̃ ∼ ²¹	i m n c t	双	双	2383	0
7244	Zhengzhou	classifier (pair)	ʂuaŋ²⁴	ʂ u a ŋ ²⁴	i m n c t	双	双	2383	0
7245	Wuhan	classifier (pair)	suaŋ⁵⁵	s u a ŋ ⁵⁵	i m n c t	双	双	2383	0
7246	Chengdu	classifier (pair)	suaŋ⁵⁵	s u a ŋ ⁵⁵	i m n c t	双	双	2383	0
7247	Guiyang	classifier (pair)	suaŋ⁵⁵	s u a ŋ ⁵⁵	i m n c t	双	双	2383	0
7248	Kunming	classifier (pair)	ʂuᴀ̃⁴⁴	ʂ u ᴀ̃ ∼ ⁴⁴	i m n N t	双	双	2383	0
7249	Haerbin	classifier (pair)	ʂuaŋ⁴⁴	ʂ u a ŋ ⁴⁴	i m n c t	双	双	2383	0
7250	Xi'an	classifier (pair)	faŋ²¹	f a ŋ ²¹	i n c t	双	双	2383	0
7251	Yinchuan	classifier (pair)	ʂuɑŋ⁴⁴	ʂ u ɑ ŋ ⁴⁴	i m n c t	双	双	2383	0
7252	Lanzhou	classifier (pair)	fɑ̃³¹	f ɑ̃ ∼ ³¹	i n c t	双	双	2383	0
7253	Xining	classifier (pair)	fɔ̃⁴⁴	f ɔ̃ ∼ ⁴⁴	i n c t	双	双	2383	0
7254	Wulumuqi	classifier (pair)	fɑŋ⁴⁴	f ɑ ŋ ⁴⁴	i n c t	双	双	2383	0
7169	Shanghai	classifier (person)	ue¹³	u e ¹³	m n t	位	位	2377	0
7170	Suzhou	classifier (person)	kəʔ⁵	k ə ʔ ⁵	i n c t	个	个	2378	0
7171	Hangzhou	classifier (person)	kəʔ⁵	k ə ʔ ⁵	i n c t	个	个	2378	0
7172	Hangzhou	classifier (person)	ɦui¹³	ɦ u i ¹³	i m n t	位	位	2377	0
7173	Wenzhou	classifier (person)	kai⁴²	k a i ⁴²	i n N t	个	个	2378	0
7174	Guangzhou	classifier (person)	wɐi²²	w ɐ i ²²	m n N t	位	位	2377	0
7175	Nanning	classifier (person)	wɐi²²	w ɐ i ²²	m n N t	位	位	2377	0
7176	Xianggang	classifier (person)	wɐi²²	w ɐ i ²²	m n N t	位	位	2377	0
7177	Xiamen	classifier (person)	e³⁵	e ³⁵	n t	个	个	2378	0
7178	Fuzhou	classifier (person)	ʦiɛʔ²⁴	ts i ɛ ʔ ²⁴	i m n c t	隻	隻	2379	0
7179	Jian'ou	classifier (person)	ʦia²⁴	ts i a ²⁴	i m n t	隻	隻	2379	0
7180	Shantou	classifier (person)	kai⁵⁵⁻³¹	k a i ⁵⁵/³¹	i n N t	个	个	2378	0
7181	Haikou	classifier (person)	kai³¹	k a i ³¹	i n N t	个	个	2378	0
7182	Haikou	classifier (person)	mo³³	m o ³³	i n t	枚	枚	2380	0
7183	Taibei	classifier (person)	le²⁴⁻³³	l e ²⁴/³³	i n t	个	个	2378	0
7184	Meixian	classifier (person)	ke⁵³	k e ⁵³	i n t	个	个	2378	0
7185	Taoyuan	classifier (person)	kɑi⁵⁵	k ɑ i ⁵⁵	i n N t	介	介	2381	0
7186	Nanchang	classifier (person)	ko⁴⁵	k o ⁴⁵	i n t	个	个	2378	0
7187	Changsha	classifier (person)	uei¹¹	u e i ¹¹	m n N t	位	位	2377	0
7188	Xiangtan	classifier (person)	t͡ʂɒ²⁴	ʈʂ ɒ ²⁴	i n t	隻	隻	2379	0
7189	Shexian	classifier (person)	ko³²⁴	k o ³²⁴	i n t	个	个	2378	0
7190	Tunxi	classifier (person)	ka⁴²	k a ⁴²	i n t	个	个	2378	0
7191	Taiyuan	classifier (person)	kuai⁴⁵	k u a i ⁴⁵	i m n N t	块	块	2382	0
7192	Taiyuan	classifier (person)	kɤ⁴⁵	k ɤ ⁴⁵	i n t	个	个	2378	0
7193	Pingyao	classifier (person)	xuæ⁵³	x u æ ⁵³	i m n t	块	块	2382	0
7194	Huhehaote	classifier (person)	kəʔ	k ə ʔ ⁰	i n c t	个	个	2378	0
7195	Beijing	classifier (person)	uei⁵¹	u e i ⁵¹	m n N t	位	位	2377	0
7196	Tianjin	classifier (person)	vei⁵³	v e i ⁵³	i n N t	位	位	2377	0
7197	Jinan	classifier (person)	vei²¹	v e i ²¹	i n N t	位	位	2377	0
7198	Qingdao	classifier (person)	kə⁴²	k ə ⁴²	i n t	个	个	2378	0
7199	Nanjing	classifier (person)	uəi⁴⁴	u ə i ⁴⁴	m n N t	位	位	2377	0
7200	Hefei	classifier (person)	kə⁵³	k ə ⁵³	i n t	个	个	2378	0
7201	Zhengzhou	classifier (person)	uei³¹²	u e i ³¹²	m n N t	位	位	2377	0
7202	Wuhan	classifier (person)	uei³⁵	u e i ³⁵	m n N t	位	位	2377	0
7203	Chengdu	classifier (person)	uei¹³	u e i ¹³	m n N t	位	位	2377	0
7204	Chengdu	classifier (person)	ko¹³	k o ¹³	i n t	个	个	2378	0
7205	Guiyang	classifier (person)	ko²¹³	k o ²¹³	i n t	个	个	2378	0
7206	Kunming	classifier (person)	kə²¹²	k ə ²¹²	i n t	个	个	2378	0
7207	Haerbin	classifier (person)	uei⁵³	u e i ⁵³	m n N t	位	位	2377	0
7208	Xi'an	classifier (person)	kɤ⁴⁴	k ɤ ⁴⁴	i n t	个	个	2378	0
7209	Yinchuan	classifier (person)	kə⁰	k ə ⁰	i n t	个	个	2378	0
7210	Lanzhou	classifier (person)	kə¹³	k ə ¹³	i n t	个	个	2378	0
7211	Xining	classifier (person)	kɔ²¹³	k ɔ ²¹³	i n t	个	个	2378	0
7212	Wulumuqi	classifier (person)	kɤ	k ɤ ⁰	i n t	个	个	2378	0
7402	Shanghai	classifier (pig)	ʦaʔ⁵	ts a ʔ ⁵	i n c t	只	只	2399	0
7403	Suzhou	classifier (pig)	ʦɑʔ⁵	ts ɑ ʔ ⁵	i n c t	只	只	2399	0
7404	Hangzhou	classifier (pig)	ʦɑʔ⁵	ts ɑ ʔ ⁵	i n c t	只	只	2399	0
7405	Wenzhou	classifier (pig)	dɤu³¹	d ɤ u ³¹	i n N t	头	头	721	0
7406	Guangzhou	classifier (pig)	ʦɛk³	ts ɛ k ³	i n c t	只	只	2399	0
7407	Guangzhou	classifier (pig)	tʰiu²¹	tʰ i u ²¹	i m n t	条	条	2386	0
7408	Nanning	classifier (pig)	ʦɛk³³	ts ɛ k ³³	i n c t	隻	隻	2379	0
7409	Xianggang	classifier (pig)	ʦɛk³	ts ɛ k ³	i n c t	只	只	2399	0
7410	Xiamen	classifier (pig)	ʦiaʔ³²	ts i a ʔ ³²	i m n c t	只	只	2399	0
7411	Fuzhou	classifier (pig)	tʰau⁵³	tʰ a u ⁵³	i n N t	头	头	721	0
7412	Jian'ou	classifier (pig)	tʰe³³	tʰ e ³³	i n t	头	头	721	0
7413	Shantou	classifier (pig)	ʦiaʔ²	ts i a ʔ ²	i m n c t	隻	隻	2379	0
7414	Haikou	classifier (pig)	ʦiaʔ²	ts i a ʔ ²	i m n c t	隻	隻	2379	0
7415	Taibei	classifier (pig)	ʦiaʔ³²	ts i a ʔ ³²	i m n c t	只	只	2399	0
7416	Meixian	classifier (pig)	tʰiau¹¹	tʰ i a u ¹¹	i m n N t	条	条	2386	0
7417	Taoyuan	classifier (pig)	ʧɑk²²	tʃ ɑ k ²²	i n c t	只	只	2399	0
7418	Nanchang	classifier (pig)	ʦɑʔ⁵	ts ɑ ʔ ⁵	i n c t	只	只	2399	0
7419	Changsha	classifier (pig)	t͡ʂa²⁴	ʈʂ a ²⁴	i n t	只	只	2399	0
7420	Xiangtan	classifier (pig)	t͡ʂɒ²⁴	ʈʂ ɒ ²⁴	i n t	隻	隻	2379	0
7421	Shexian	classifier (pig)	ʨi²¹	tɕ i ²¹	i n t	只	只	2399	0
7422	Tunxi	classifier (pig)	ʨi⁵	tɕ i ⁵	i n t	只	只	2399	0
7423	Taiyuan	classifier (pig)	kuai⁴⁵	k u a i ⁴⁵	i m n N t	块	块	2382	0
7424	Taiyuan	classifier (pig)	tʰəu¹¹	tʰ ə u ¹¹	i n N t	头	头	721	0
7425	Pingyao	classifier (pig)	kʰəu⁵³	kʰ ə u ⁵³	i n N t	口	口	2401	0
7426	Huhehaote	classifier (pig)	kʰəu⁵³	kʰ ə u ⁵³	i n N t	口	口	2401	0
7427	Beijing	classifier (pig)	kʰou²¹⁴	kʰ o u ²¹⁴	i n N t	口	口	2401	0
7428	Tianjin	classifier (pig)	kʰou¹³	kʰ o u ¹³	i n N t	口	口	2401	0
7429	Jinan	classifier (pig)	kʰou⁵⁵	kʰ o u ⁵⁵	i n N t	口	口	2401	0
7430	Qingdao	classifier (pig)	kʰou⁵⁵	kʰ o u ⁵⁵	i n N t	口	口	2401	0
7431	Nanjing	classifier (pig)	kʰəɯ²¹²	kʰ ə ɯ ²¹²	i n N t	口	口	2401	0
7432	Nanjing	classifier (pig)	tʰəɯ²⁴	tʰ ə ɯ ²⁴	i n N t	头	头	721	0
7433	Hefei	classifier (pig)	kʰɯ²⁴	kʰ ɯ ²⁴	i n t	口	口	2401	0
7434	Zhengzhou	classifier (pig)	kʰou⁵³	kʰ o u ⁵³	i n N t	口	口	2401	0
7435	Zhengzhou	classifier (pig)	tʰou⁴²	tʰ o u ⁴²	i n N t	头	头	721	0
7436	Wuhan	classifier (pig)	tʰəu²¹³	tʰ ə u ²¹³	i n N t	头	头	721	0
7437	Wuhan	classifier (pig)	kʰəu⁴²	kʰ ə u ⁴²	i n N t	口	口	2401	0
7438	Chengdu	classifier (pig)	tʰiau³¹	tʰ i a u ³¹	i m n N t	条	条	2386	0
7439	Chengdu	classifier (pig)	kən⁵⁵	k ə n ⁵⁵	i n c t	根	根	2400	0
7440	Guiyang	classifier (pig)	tʰiao²¹	tʰ i a o ²¹	i m n N t	条	条	2386	0
7441	Kunming	classifier (pig)	kə²¹²	k ə ²¹²	i n t	个	个	2378	0
7442	Kunming	classifier (pig)	tʰəu³¹	tʰ ə u ³¹	i n N t	头	头	721	0
7443	Haerbin	classifier (pig)	kʰou²¹³	kʰ o u ²¹³	i n N t	口	口	2401	0
7444	Haerbin	classifier (pig)	tʰou²⁴	tʰ o u ²⁴	i n N t	头	头	721	0
7445	Xi'an	classifier (pig)	kɤ⁴⁴	k ɤ ⁴⁴	i n t	个	个	2378	0
7446	Yinchuan	classifier (pig)	kʰəu⁵³	kʰ ə u ⁵³	i n N t	口	口	2401	0
7447	Yinchuan	classifier (pig)	kə⁰	k ə ⁰	i n t	个	个	2378	0
7448	Yinchuan	classifier (pig)	tʰəu⁵³	tʰ ə u ⁵³	i n N t	头	头	721	0
7449	Lanzhou	classifier (pig)	kʰou⁴⁴²	kʰ o u ⁴⁴²	i n N t	口	口	2401	0
7450	Xining	classifier (pig)	kɔ²¹³	k ɔ ²¹³	i n t	个	个	2378	0
7451	Wulumuqi	classifier (pig)	tʰɤu⁵¹	tʰ ɤ u ⁵¹	i n N t	头	头	721	0
7452	Wulumuqi	classifier (pig)	kʰɤu⁵¹	kʰ ɤ u ⁵¹	i n N t	口	口	2401	0
7255	Shanghai	classifier (pillow)	diɔ¹³	d i ɔ ¹³	i m n t	条	条	2386	0
7256	Suzhou	classifier (pillow)	diæ¹³	d i æ ¹³	i m n t	条	条	2386	0
7257	Hangzhou	classifier (pillow)	ʣʮɑŋ²¹³	dz ʮ ɑ ŋ ²¹³	i m n c t	床	床	705	0
7258	Hangzhou	classifier (pillow)	diɔ²¹³	d i ɔ ²¹³	i m n t	条	条	2386	0
7259	Wenzhou	classifier (pillow)	jyɔ³³	j y ɔ ³³	i m n t	床	床	705	0
7260	Guangzhou	classifier (pillow)	ʦʰɔŋ²¹	tsʰ ɔ ŋ ²¹	i n c t	床	床	705	0
7261	Guangzhou	classifier (pillow)	ʦœŋ⁵³	ts œ ŋ ⁵³	i n c t	张	张	2387	0
7262	Nanning	classifier (pillow)	fan⁵⁵	f a n ⁵⁵	i n c t	翻	翻	2388	0
7263	Xianggang	classifier (pillow)	ʦʰɔŋ²¹	tsʰ ɔ ŋ ²¹	i n c t	床	床	705	0
7264	Xianggang	classifier (pillow)	ʦœŋ⁵⁵	ts œ ŋ ⁵⁵	i n c t	张	张	2387	0
7265	Xiamen	classifier (pillow)	nia	n i a ⁰	i m n t	领	领	2389	0
7266	Xiamen	classifier (pillow)	ʦʰŋ̍³⁵	tsʰ ŋ̍ ∼ ³⁵	i n c t	床	床	705	0
7267	Fuzhou	classifier (pillow)	ʦʰouŋ⁵³	tsʰ o u ŋ ⁵³	i n N c t	床	床	705	0
7268	Jian'ou	classifier (pillow)	ʦʰɔŋ³³	tsʰ ɔ ŋ ³³	i n c t	床	床	705	0
