CDDB	Hou2004_ID
Shanghai	1
Suzhou	2
Hangzhou	3
Wenzhou	4
Guangzhou	5
Nanning	6
Xianggang	7
Xiamen	8
Fuzhou	9
Jian_ou	10
Shantou	11
Haikou	12
Taibei	13
Meixian	14
Taoyuan	15
Nanchang	16
Changsha	17
Xiangtan	18
Shexian	19
Tunxi	20
Taiyuan	21
Pingyao	22
Huhehaote	23
Beijing	24
Tianjin	25
Jinan	26
Qingdao	27
Nanjing	28
Hefei	29
Zhengzhou	30
Wuhan	31
Chengdu	32
Guiyang	33
Kunming	34
Ha_erbin	35
Xi_an	36
Yinchuan	37
Lanzhou	38
Xining	39
Wulumuqi	40
