ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	STEDT_ID	VALUE	SEGMENTS	SOURCE
197826	Dali	Bai (Dali)	wall		197826	ou³³phieʴ⁵⁵	o u ³³ ph i eʴ ⁵⁵ 	Sun1991
197852	Jianchuan	Bai (Jianchuan)	wall		197852	ɣo³³	ɣ o ³³ 	Sun1991
214350	Dali	Bai (Dali)	want		214350	ȵo⁴⁴	ȵ o ⁴⁴ 	Sun1991
214351	Bijiang	Bai (Bijiang)	want		214351	ȵu⁴²	ȵ u ⁴² 	Sun1991
214376	Jianchuan	Bai (Jianchuan)	want		214376	jõ⁴⁴	j õ ∼ ⁴⁴ 	Sun1991
225112	Bijiang	Bai (Bijiang)	warm		225112	ɯ̃⁵⁵xu³³	ɯ̃ ∼ ⁵⁵ x u ³³ 	Sun1991
225111	Dali	Bai (Dali)	warm		225111	ui³⁵uo²¹	u i ³⁵ u o ²¹ 	Sun1991
225137	Jianchuan	Bai (Jianchuan)	warm		225137	uĩ⁵⁵	u ĩ ∼ ⁵⁵ 	Sun1991
212208	Dali	Bai (Dali)	warm (oneself) near fire		212208	khou³¹	kh o u ³¹ 	Sun1991
212209	Bijiang	Bai (Bijiang)	warm (oneself) near fire		212209	qõ²¹	q õ ∼ ²¹ 	Sun1991
212234	Jianchuan	Bai (Jianchuan)	warm (oneself) near fire		212234	kõ³¹	k õ ∼ ³¹ 	Sun1991
213075	Dali	Bai (Dali)	wash (clothes)		213075	se³³	s e ³³ 	Sun1991
213076	Bijiang	Bai (Bijiang)	wash (clothes)		213076	ɕui³³tɕui⁵⁵	ɕ u i ³³ tɕ u i ⁵⁵ 	Sun1991
213101	Jianchuan	Bai (Jianchuan)	wash (clothes)		213101	se³³	s e ³³ 	Sun1991
213024	Dali	Bai (Dali)	wash (hand)		213024	se³³	s e ³³ 	Sun1991
213025	Bijiang	Bai (Bijiang)	wash (hand)		213025	ɕui³³tɕui⁵⁵	ɕ u i ³³ tɕ u i ⁵⁵ 	Sun1991
213050	Jianchuan	Bai (Jianchuan)	wash (hand)		213050	se³³	s e ³³ 	Sun1991
202671	Dali	Bai (Dali)	washbasin		202671	se³³tɕui³³pɑ²¹	s e ³³ tɕ u i ³³ p ɑ ²¹ 	Sun1991
202672	Bijiang	Bai (Bijiang)	washbasin		202672	ɕui³³tɕui⁵⁵tɕui⁵⁵vĩ³³qɑ⁵	ɕ u i ³³ tɕ u i ⁵⁵ tɕ u i ⁵⁵ v ĩ ∼ ³³ q ɑ ⁵ 	Sun1991
202697	Jianchuan	Bai (Jianchuan)	washbasin		202697	ŋui³³pɑ̃²¹	ŋ u i ³³ p ɑ̃ ∼ ²¹ 	Sun1991
180486	Dali	Bai (Dali)	water		180486	ɕui³³	ɕ u i ³³ 	Sun1991
180487	Bijiang	Bai (Bijiang)	water		180487	ɕui³³	ɕ u i ³³ 	Sun1991
210525	Dali	Bai (Dali)	water		210525	tɕo³⁵	tɕ o ³⁵ 	Sun1991
210526	Bijiang	Bai (Bijiang)	water		210526	o⁴⁴	o ⁴⁴ 	Sun1991
210551	Jianchuan	Bai (Jianchuan)	water		210551	ou⁴⁴	o u ⁴⁴ 	Sun1991
180512	Jianchuan	Bai (Jianchuan)	water		180512	ɕui³³	ɕ u i ³³ 	Sun1991
185587	Bijiang	Bai (Bijiang)	water buffalo		185587	ɕui³³ŋɯ²¹	ɕ u i ³³ ŋ ɯ ²¹ 	Sun1991
