ID	ENGLISH
518	thing
519	dream
520	shadow
521	god / deity
522	mark
523	ghost / demon
524	soul / spirit
525	country / nation
526	means / method
527	school
528	look
529	see
530	close (eye)
531	open (eye)
532	listen
533	eat
534	drink
535	bite
536	chew
537	lick
538	hold in mouth
539	gnaw
540	swallow
541	swallow
542	spit
543	vomit
544	blow with mouth
545	say / speak
546	read
547	cry out / yell
548	smell
549	take
550	strike with open palm
551	grip / hold
552	twist together
553	tear
554	wring (e.g. wet cloth)
555	scratch
556	pick up
557	catch
558	throw
559	scatter / broadcast
560	cast
561	reach out(hand)
562	pull
563	push
564	hold (baby) in arms
565	kick
566	kneel
567	tread
568	jump
569	stand
570	step / pass over (ditch)
571	ride
572	walk
573	run
574	sit
575	carry on back
576	go through (a hole)
577	fall (down)
578	crawl
579	lean
580	dwell / live
581	rest
582	sleep
583	wake up
584	do
585	work / labor
586	repair
587	connect
588	refine
589	strike (iron)
590	lay (bricks)
591	move something to a new place
592	carry on a pole (two people)
593	carry on shoulder
594	pry
595	plough
596	rake
597	dig
598	plant
599	water
600	pour (liquid) into
601	cut
602	chop (tree)
603	skin / flay
604	cut (firewood)
605	sieve
606	pull (out)
607	graze
608	feed
609	choke
610	castrate
611	milk
612	lead (animal)
613	weave
614	spin (yarn)
615	measure
616	buy
617	sell
618	count
619	calculate
620	weigh
621	teach
622	learn
623	write
624	wipe
625	correct / change
626	paste / glue / stick
627	cook / boil (rice)
628	deep-fry
629	stir-fry
630	knead (dough)
631	dry (clothes) near fire
632	warm (oneself) near fire
633	kill
634	cut (vegetable)
635	mince (meat) with knife
636	cut open (fish)
637	prick
638	stir / churn
639	insert / stick into
640	sharpen
641	grind
642	winnow
643	rub (to soften animal skin)
644	scoop
645	strain (tea)
646	put on / wear
647	take off (clothing)
648	wash (hand)
649	wash (clothes)
650	bathe
651	shave (hair of head)
652	dye
653	patch
654	comb
655	braid
656	make bed
657	sweep
658	open (door)
659	open (lid)
660	put / place
661	hang (object)
662	untie
663	wrap
664	tie (e.g. firewood)into a bund
665	load
666	stuff (hole) up
667	bury (something)
668	hide
669	pick / select
670	pile up (e.g. earth)
671	press
672	hammer (nail in)
673	light (candle)
674	want
675	get
676	take back / put away
677	lose / misplace
678	search
679	use
680	play
681	win
682	lose (a game)
683	sing
684	dance
685	celebrate new year
686	hunt
687	surround
688	shoot
689	hit (target)
690	ask / inquire
691	answer
692	borrow / lend
693	return
694	give / send / deliver
695	exchange
