Beijing	i	22
Beijing	f	38
Beijing	t	4
Jinan	i	24
Jinan	f	38
Jinan	t	4
Shenyang	i	19
Shenyang	f	27
Shenyang	t	4
Xi_an	i	27
Xi_an	f	38
Xi_an	t	4
Chengdu	i	21
Chengdu	f	36
Chengdu	t	4
Kunming	i	22
Kunming	f	28
Kunming	t	4
Hefei	i	22
Hefei	f	43
Hefei	5	t
Yangzhou	i	17
Yangzhou	f	46
Yangzhou	t	5
Suzhou	i	27
Suzhou	f	49
Suzhou	t	7
Wenzhou	i	28
Wenzhou	f	33
Wenzhou	t	8
Changsha	i	20
Changsha	f	37
Changsha	t	6
Nanchang	i	19
Nanchang	f	63
Nanchang	t	6
