				1		2	3		4	5		6	7		8	9		10	11	12		13	14		15	16		17		18	19		20	21		22
																		移					液													
								悠																												
ru	j	以	三														銳																			
ri	j	以	三																					射												
ts	ts	精	一		載				宗				卒					左	贊				作	祖											走	總
																																			奏	
																																				
tsu	ts	精	一															鑽																		
tsj	ts	精	三											醉			祭	嗟		接					醬		焦		姊	進	脊			足		
tsji	ts	精	三							楫														借												
tsi	ts	精	四																									節			績					
tsr	t 	莊	二																					詐	莊				齋		責	債	爭	捉		
tsri	t 	莊	二														瘵					斬														
tsru	t 	莊	二															髽																		
tsrj	t 	莊	三									譖																櫛		榛						
tsh	ts	清	一					草									蔡										操									
sth	ts	清	一											催																						
skh	ts	清	一					造																												
tshj	ts	清	三					秋										淺										七				此	清		取	
tshi	ts	清	四				戚																					切					青			
tshr	t h	初	二													察	差	差																		窗
tshri	t h	初	二																	插																
tshru	t h	初	二															篡																		
tshrj	t h	初	三																																芻	
dz	dz	從	一							雜			捽	罪								暫			藏	鑿								族		
dzu	dz	從	一															坐																		
s 	dz	從	一					造																												
dzj	dz	從	三							集																		疾					淨			從
dzji	dz	從	三									鬵											籍													
dzju	dz	從	三															全																		
dzi	dz	從	四												荐	截		前											齊							
dzr	d 	崇	二																			讒		乍			巢					柴				
dzri	d 	崇	二															棧				讒														
dzrj	d 	崇	三		士				崇																											
s	s	心	一									三											索	素										速	藪	送
sm	s	心	一																						喪											
st	s	心	一				裻																													
skw	s	心	一												損																					
sj	s	心	三				宿					心										纎			相		小		四	信			性			
																													死							
																																				
sji	s	心	三																				昔	寫												
stj	s	心	三					修																												
stji	s	心	三											肆																		賜				
snj	s	心	三					羞																	襄										需	
skwj	s	心	三														歲		宣									恤		洵						
si	s	心	四					蕭							先														西				星			
sti	s	心	四																	屧											錫					
ski	s	心	素													楔																				
sr		生	二															沙	刪	霎			索				筲					曬	生			雙
sri		生	二													殺	殺		山																	
sl		生	二																															數		
srj		生	三	色			縮	搜				森	帥	帥											霜			瑟	師	莘						
srji		生	三												詵																					
slj		生	三																																數	
s j	z	邪	三																															俗		訟
s wj	z	邪	三																										穗	旬						
rj	z	邪	三		似			袖		習								羨							祥									續		誦
rji	z	邪	三																				夕	謝												
rju	z	邪	三															隨																		
k	k	見	一					告	告				感		根	葛			干		蓋	甘		古	崗		高							谷	媾	工
																						敢		姑												
kl	k	見	一																				各													
kr	k	見	二	革	戒				膠	降	袷		減		艱		犗	加	菅	甲		監	格	家	庚	較 	教			解	耕	角		講		
																		駕																		
																																				
kri	k	見	二													介	介		閒	夾		?						袺								
kj	k	見	三				兢	鞠	九	躬				幾	斤	揭		奇	建					車	薑		驕		飢	緊			頸			恭
																								據												
																																				
kji	k	見	三						糾							巾												吉								
kju	k	見	三														蕨																			
klj	k	見	三										禁																							
klji	k	見	三																		檢		景													
ki	k	見	四						叫										見	梜						激 	皦	結	稽		撃	繫	經			
																													計			雞				
																																				
kw	k	見	一	國			肱							骨					果	冠		郭	孤	光												
																			過	觀				廣												
																																				
kwr	k	見	二	馘	怪											鰥	刮	夬	騧	關		虢	瓜	觵				劀				卦				
																		騧					寡													
																																				
kwj	k	見	三		龜	弓									歸	君						矍	瞿					橘	癸	均		規				
																													季							
																																				
kwji	k	見	三		龜				軌									劌	捲																	
																			絹																	
																																				
kwi	k	見	四											譎			缺														鶪	圭	扃			
kli	k	見	四																			兼														
kh	kh	溪	一	克					考						愷										康										口	孔
khr	kh	溪	二						巧														客							臤						
khj	kh	溪	三								濕			乞	氣					怯		欠	卻						棄			企		曲	驅	
khji	kh	溪	三												器		揭		褰						慶			詰								
																			遣																	
																																				
khi	kh	溪	四													契	契																			
khwj	kh	溪	三											屈				虧							匡								頃			
khlj	kh	溪	三							泣																										
khwi	kh	溪	四																									闋	睽							
 j		群	三	極	期			求	窮	及		黔			勤			奇					醵		強	蹻 喬		姞	祁			祇				共
															近														耆			伎				
																																				
																																芰				
																																				
 ji		群	三									黔			勤	傑			乾				劇		鯨		翹									
 ju		群	三													蹶			圈																	
																竭																				
																																				
 wj		群	三																														瓊			
 wji		群	三		舊			逵						饋	群			跪	權					懼	狂											
															宭				倦																	
 wj	j	雲	三	囿	有	雄				燁	位	熊		胃	雲	越	衛	為	焉	饁		炎		于	王		鴞			筠			榮			
					矣														援					雨												
					又														遠																	
																			?																	
 wji	j	雲	三		洧																				永											
 wrj	j	雲	三																											勻	役					
 rj	j	雲	三															衍																欲		
 rj	j	雲	三																							藥										
		匣	一			恒				合			齕			曷	害	何	盍						行	鶴 號									厚	鴻
																		賀								寉										
																																				
 r		匣	二				學	斅	降	洽					限	舝		狎						下	行		效	黠	諧			解	幸			巷
 ri		匣	二															閑																		
 i		匣	四										齕					見	恊									襭		賢		繫	刑			
 w		匣	一	或		弘								潰	魂	活	會	緩					穫	狐												
																鬠																				
																																				
 wr		匣	二			宏					懷		滑	槐			話						獲	華	橫						畫	畫	嶸			
											壞													擭												
																																				
 wri		匣	二														躗	幻																		
 wi		匣	四														慧	縣										穴	惠	玄		擕	熒			
		疑	一																					五			敖								偶	
 r		疑	二															雁					巖	牙		樂								岳		
 j		疑	三			凝											艾	言	業				嚴			虐								玉		
 ji		疑	三														藝						逆		迎											
 lji		疑	三																			驗														
