ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	VALUE	COGID
948	Yingshan	Y	this	1214	D	226
949	Beijing	B	this	1214	這個	227
950	Changsha	C	this	1214	F個	228
951	Shuangfeng	F	this	1214	咯只	229
952	Shanghai	H	this	1214	G	230
953	Xiamen	X	this	1214	即	231
954	Guangzhou	G	tongue	1205	脷	232
955	Suzhou	S	tongue	1205	舌	233
956	Meixian	M	tongue	1205	舌	233
957	Meixian	M	tongue	1205	利	234
958	Nanchang	N	tongue	1205	舌	233
959	Yingshan	Y	tongue	1205	舌	233
960	Beijing	B	tongue	1205	舌	233
961	Changsha	C	tongue	1205	舌	233
962	Shuangfeng	F	tongue	1205	舌	233
963	Shanghai	H	tongue	1205	舌頭	235
964	Xiamen	X	tongue	1205	舌	233
965	Guangzhou	G	tooth	1380	牙齒	236
966	Suzhou	S	tooth	1380	牙齒	236
967	Meixian	M	tooth	1380	牙齒	236
968	Nanchang	N	tooth	1380	牙齒	236
969	Yingshan	Y	tooth	1380	牙齒	236
970	Beijing	B	tooth	1380	牙	237
971	Changsha	C	tooth	1380	牙齒	236
972	Shuangfeng	F	tooth	1380	牙齒	236
973	Shanghai	H	tooth	1380	牙	237
974	Xiamen	X	tooth	1380	喙齒	238
975	Guangzhou	G	tree	906	樹	239
976	Suzhou	S	tree	906	樹	239
977	Meixian	M	tree	906	樹	239
978	Nanchang	N	tree	906	樹	239
979	Yingshan	Y	tree	906	樹	239
980	Beijing	B	tree	906	樹	239
981	Changsha	C	tree	906	樹	239
982	Shuangfeng	F	tree	906	樹	239
983	Shanghai	H	tree	906	樹	239
984	Xiamen	X	tree	906	樹	239
985	Guangzhou	G	two	1498	二	240
986	Suzhou	S	two	1498	二	240
987	Meixian	M	two	1498	二	240
988	Nanchang	N	two	1498	二	240
989	Yingshan	Y	two	1498	二	240
990	Beijing	B	two	1498	二	240
991	Changsha	C	two	1498	二	240
992	Shuangfeng	F	two	1498	二	240
993	Shanghai	H	two	1498	兩	241
994	Shanghai	H	two	1498	二	240
995	Xiamen	X	two	1498	二	240
996	Guangzhou	G	walk	1443	行	242
997	Suzhou	S	walk	1443	走	243
998	Suzhou	S	walk	1443	跑	244
999	Meixian	M	walk	1443	行	242
1000	Nanchang	N	walk	1443	走	243
1001	Yingshan	Y	walk	1443	走	243
1002	Beijing	B	walk	1443	走	243
1003	Changsha	C	walk	1443	走	243
1004	Shuangfeng	F	walk	1443	行	242
1005	Shanghai	H	walk	1443	走	243
1006	Xiamen	X	walk	1443	行	242
1007	Guangzhou	G	water	948	水	245
1008	Suzhou	S	water	948	水	245
1009	Meixian	M	water	948	水	245
1010	Nanchang	N	water	948	水	245
1011	Yingshan	Y	water	948	水	245
1012	Beijing	B	water	948	水	245
1013	Changsha	C	water	948	水	245
1014	Shuangfeng	F	water	948	水	245
1015	Shanghai	H	water	948	水	245
1016	Xiamen	X	water	948	水	245
1017	Guangzhou	G	we	1212	我哋	246
1018	Suzhou	S	we	1212	伲	247
1019	Meixian	M	we	1212	我兜人	248
1020	Nanchang	N	we	1212	我裏	249
1021	Nanchang	N	we	1212	我們	250
1022	Yingshan	Y	we	1212	我們	250
1023	Beijing	B	we	1212	我們	250
1024	Changsha	C	we	1212	我們	250
1025	Shuangfeng	F	we	1212	我哩	251
1026	Shuangfeng	F	we	1212	卬哩	252
1027	Shanghai	H	we	1212	我A	253
1028	Shanghai	H	we	1212	阿拉	254
1029	Xiamen	X	we	1212	阮	255
1030	Guangzhou	G	what	1236	乜	256
1031	Suzhou	S	what	1236	啥	257
1032	Meixian	M	what	1236	A	13
1033	Nanchang	N	what	1236	什	258
1034	Yingshan	Y	what	1236	麼	259
1035	Beijing	B	what	1236	什麼	260
1036	Changsha	C	what	1236	麼	259
1037	Shuangfeng	F	what	1236	麼	259
1038	Shanghai	H	what	1236	啥B事體	261
1039	Xiamen	X	what	1236	什物	262
1040	Guangzhou	G	white	1335	白	263
1041	Suzhou	S	white	1335	白	263
1042	Meixian	M	white	1335	白	263
1043	Nanchang	N	white	1335	白	263
1044	Yingshan	Y	white	1335	白	263
1045	Beijing	B	white	1335	白	263
1046	Changsha	C	white	1335	白	263
1047	Shuangfeng	F	white	1335	白	263
1048	Shanghai	H	white	1335	白	263
1049	Xiamen	X	white	1335	白	263
1050	Guangzhou	G	who	1235	邊個	264
1051	Suzhou	S	who	1235	啥人	265
1052	Suzhou	S	who	1235	A格	266
1053	Meixian	M	who	1235	瞞人	267
1054	Nanchang	N	who	1235	哪個	268
1055	Yingshan	Y	who	1235	哪個	268
1056	Yingshan	Y	who	1235	啥個	269
1057	Beijing	B	who	1235	誰	270
1058	Changsha	C	who	1235	哪個	268
1059	Shuangfeng	F	who	1235	哪個	268
1060	Shanghai	H	who	1235	啥人	265
1061	Xiamen	X	who	1235	啥人	265
1062	Xiamen	X	who	1235	AB	271
1063	Guangzhou	G	woman	962	女人	272
1064	Guangzhou	G	woman	962	婆乸	273
1065	Suzhou	S	woman	962	女A	274
1066	Meixian	M	woman	962	婦人家	275
1067	Nanchang	N	woman	962	女個	276
1068	Yingshan	Y	woman	962	女的	277
1069	Yingshan	Y	woman	962	女將	278
1070	Beijing	B	woman	962	女的	277
1071	Beijing	B	woman	962	娘們	279
1072	Changsha	C	woman	962	女的	277
1073	Changsha	C	woman	962	女人家	280
1074	Changsha	C	woman	962	堂客	281
1075	Shuangfeng	F	woman	962	女人家	280
1076	Shuangfeng	F	woman	962	堂客們	282
1077	Shanghai	H	woman	962	女人	272
1078	Xiamen	X	woman	962	查某	283
1079	Xiamen	X	woman	962	女的	277
1080	Guangzhou	G	yellow	1424	黃	284
1081	Suzhou	S	yellow	1424	黃	284
1082	Meixian	M	yellow	1424	黃	284
1083	Nanchang	N	yellow	1424	黃	284
1084	Yingshan	Y	yellow	1424	黃	284
1085	Beijing	B	yellow	1424	黃	284
1086	Changsha	C	yellow	1424	黃	284
1087	Shuangfeng	F	yellow	1424	黃	284
1088	Shanghai	H	yellow	1424	黃	284
1089	Xiamen	X	yellow	1424	黃	284
1090	Guangzhou	G	you	1215	爾	285
1091	Suzhou	S	you	1215	汝	286
1092	Meixian	M	you	1215	爾	285
1093	Nanchang	N	you	1215	爾	285
1094	Yingshan	Y	you	1215	爾	285
1095	Beijing	B	you	1215	爾	285
1096	Changsha	C	you	1215	爾	285
1097	Shuangfeng	F	you	1215	爾	285
1098	Shanghai	H	you	1215	儂	287
1099	Xiamen	X	you	1215	爾	285
