ID	CDDB	SUBGROUP
B	Beijing	Mandarin
Y	Yingshan	Mandarin
S	Suzhou	Wu
H	Shanghai	Wu
F	Shuangfeng	Xiang
C	Changsha	Xiang
N	Nanchang	Gan
G	Guangzhou	Yue
M	Meixian	Hakka
X	Xiamen	Min
