ID	CHARACTER	PINYIN	DOCULECT	READING	CONTEXT
3420	锜	qí	Beijing	tɕʰ i ³⁵	i n t
3421	崎	qí	Middle_Chinese	g j e /¹	i m n t t
3422	崎	qí	Beijing	tɕʰ i ³⁵	i n t
3423	岐	qí	Middle_Chinese	g j e /¹	i m n t t
3424	岐	qí	Beijing	tɕʰ i ³⁵	i n t
3425	歧	qí	Middle_Chinese	g j e /¹	i m n t t
3426	歧	qí	Beijing	tɕʰ i ³⁵	i n t
3427	跂	qí	Middle_Chinese	g j e /¹	i m n t t
3428	跂	qí	Beijing	tɕʰ i ³⁵	i n t
3429	祇	qí	Middle_Chinese	g j e /¹	i m n t t
3430	祇	qí	Beijing	tɕʰ i ³⁵	i n t
3431	芪	qí	Middle_Chinese	g j e /¹	i m n t t
3432	芪	qí	Beijing	tɕʰ i ³⁵	i n t
3433	崎	qí	Middle_Chinese	kʰ j e /¹	i m n t t
3434	崎	qí	Beijing	tɕʰ i ³⁵	i n t
3435	祁	qí	Middle_Chinese	g i j /¹	i n c t t
3436	祁	qí	Beijing	tɕʰ i ³⁵	i n t
3437	耆	qí	Middle_Chinese	g i j /¹	i n c t t
3438	耆	qí	Beijing	tɕʰ i ³⁵	i n t
3439	鳍	qí	Middle_Chinese	g i j /¹	i n c t t
3440	鳍	qí	Beijing	tɕʰ i ³⁵	i n t
3441	其	qí	Middle_Chinese	g i /¹	i n t t
3442	其	qí	Beijing	tɕʰ i ³⁵	i n t
3443	棊	qí	Middle_Chinese	g i /¹	i n t t
3444	棊	qí	Beijing	tɕʰ i ³⁵	i n t
3445	棋	qí	Middle_Chinese	g i /¹	i n t t
3446	棋	qí	Beijing	tɕʰ i ³⁵	i n t
3447	期	qī	Middle_Chinese	g i /¹	i n t t
3448	期	qī	Beijing	tɕʰ i ³⁵	i n t
3449	旗	qí	Middle_Chinese	g i /¹	i n t t
3450	旗	qí	Beijing	tɕʰ i ³⁵	i n t
3451	萁	qí	Middle_Chinese	g i /¹	i n t t
3452	萁	qí	Beijing	tɕʰ i ³⁵	i n t
3453	淇	qí	Middle_Chinese	g i /¹	i n t t
3454	淇	qí	Beijing	tɕʰ i ³⁵	i n t
3455	祺	qí	Middle_Chinese	g i /¹	i n t t
3456	祺	qí	Beijing	tɕʰ i ³⁵	i n t
3457	琪	qí	Middle_Chinese	g i /¹	i n t t
3458	琪	qí	Beijing	tɕʰ i ³⁵	i n t
3459	骐	qí	Middle_Chinese	g i /¹	i n t t
3460	骐	qí	Beijing	tɕʰ i ³⁵	i n t
3461	綦	qí	Middle_Chinese	g i /¹	i n t t
3462	綦	qí	Beijing	tɕʰ i ³⁵	i n t
3463	蕲	qí	Middle_Chinese	g i /¹	i n t t
3464	蕲	qí	Beijing	tɕʰ i ³⁵	i n t
3465	麒	qí	Middle_Chinese	g i /¹	i n t t
3466	麒	qí	Beijing	tɕʰ i ³⁵	i n t
3467	蜞	qí	Middle_Chinese	g i /¹	i n t t
3468	蜞	qí	Beijing	tɕʰ i ³⁵	i n t
3469	祈	qí	Middle_Chinese	g j ɨ j /¹	i m n c t t
3470	祈	qí	Beijing	tɕʰ i ³⁵	i n t
3471	旗	qí	Middle_Chinese	g j ɨ j /¹	i m n c t t
3472	旗	qí	Beijing	tɕʰ i ³⁵	i n t
3473	圻	qí	Middle_Chinese	g j ɨ j /¹	i m n c t t
3474	圻	qí	Beijing	tɕʰ i ³⁵	i n t
3475	颀	qí	Middle_Chinese	g j ɨ j /¹	i m n c t t
3476	颀	qí	Beijing	tɕʰ i ³⁵	i n t
3477	啓	qǐ	Middle_Chinese	kʰ e j /²	i n c t
3478	啓	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3479	启	qǐ	Middle_Chinese	kʰ e j /²	i n c t
3480	启	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3481	棨	qǐ	Middle_Chinese	kʰ e j /²	i n c t
3482	棨	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3483	綮	qǐ	Middle_Chinese	kʰ e j /²	i n c t
3484	綮	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3485	绮	qǐ	Middle_Chinese	kʰ j e /²	i m n t
3486	绮	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3487	企	qǐ	Middle_Chinese	kʰ j e /²	i m n t
3488	企	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3489	起	qǐ	Middle_Chinese	kʰ i /²	i n t
3490	起	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3491	杞	qǐ	Middle_Chinese	kʰ i /²	i n t
3492	杞	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3493	屺	qǐ	Middle_Chinese	kʰ i /²	i n t
3494	屺	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3495	芑	qǐ	Middle_Chinese	kʰ i /²	i n t
3496	芑	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3497	岂	qǐ	Middle_Chinese	kʰ j ɨ j /²	i m n c t
3498	岂	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3499	乞	qǐ	Middle_Chinese	kʰ j ɨ t /⁴	i m n c t t
3500	乞	qǐ	Beijing	tɕʰ i ²¹⁴	i n t
3501	砌	qì	Middle_Chinese	tsʰ e j /³	i n c t
3502	砌	qì	Beijing	tɕʰ i ⁵¹	i n t
3503	妻	qī	Middle_Chinese	tsʰ e j /³	i n c t
3504	妻	qī	Beijing	tɕʰ i ⁵¹	i n t
3505	契	qì	Middle_Chinese	kʰ e j /³	i n c t
3506	契	qì	Beijing	tɕʰ i ⁵¹	i n t
3507	栔	qì	Middle_Chinese	kʰ e j /³	i n c t
3508	栔	qì	Beijing	tɕʰ i ⁵¹	i n t
3509	跂	qí	Middle_Chinese	kʰ j e /³	i m n t
3510	跂	qí	Beijing	tɕʰ i ⁵¹	i n t
3511	企	qǐ	Middle_Chinese	kʰ j e /³	i m n t
3512	企	qǐ	Beijing	tɕʰ i ⁵¹	i n t
3513	器	qì	Middle_Chinese	kʰ i j /³	i n c t
3514	器	qì	Beijing	tɕʰ i ⁵¹	i n t
3515	弃	qì	Middle_Chinese	kʰ i j /³	i n c t
3516	弃	qì	Beijing	tɕʰ i ⁵¹	i n t
3517	气	qì	Middle_Chinese	kʰ j ɨ j /³	i m n c t
3518	气	qì	Beijing	tɕʰ i ⁵¹	i n t
3519	氣	qì	Middle_Chinese	kʰ j ɨ j /³	i m n c t
3520	氣	qì	Beijing	tɕʰ i ⁵¹	i n t
3521	汽	qì	Middle_Chinese	kʰ j ɨ j /³	i m n c t
3522	汽	qì	Beijing	tɕʰ i ⁵¹	i n t
3523	缉	jī	Middle_Chinese	tsʰ i p /⁴	i n c t t
3524	缉	jī	Beijing	tɕʰ i ⁵¹	i n t
3525	葺	qì	Middle_Chinese	tsʰ i p /⁴	i n c t t
3526	葺	qì	Beijing	tɕʰ i ⁵¹	i n t
3527	泣	qì	Middle_Chinese	kʰ i p /⁴	i n c t t
3528	泣	qì	Beijing	tɕʰ i ⁵¹	i n t
3529	讫	qì	Middle_Chinese	k j ɨ t /⁴	i m n c t t
3530	讫	qì	Beijing	tɕʰ i ⁵¹	i n t
3531	迄	qì	Middle_Chinese	x j ɨ t /⁴	i m n c t t
3532	迄	qì	Beijing	tɕʰ i ⁵¹	i n t
3533	汔	qì	Middle_Chinese	x j ɨ t /⁴	i m n c t t
3534	汔	qì	Beijing	tɕʰ i ⁵¹	i n t
3535	碛	qì	Middle_Chinese	tsʰ j e k /⁴	i m n c t t
3536	碛	qì	Beijing	tɕʰ i ⁵¹	i n t
3537	戚	qī	Middle_Chinese	tsʰ e k /⁴	i n c t t
3538	戚	qī	Beijing	tɕʰ i ⁵¹	i n t
3539	西	xī	Middle_Chinese	s e j /¹	i n c t t
3540	西	xī	Beijing	ɕ i ⁵⁵	i n t
3541	犀	xī	Middle_Chinese	s e j /¹	i n c t t
3542	犀	xī	Beijing	ɕ i ⁵⁵	i n t
3543	栖	qī	Middle_Chinese	s e j /¹	i n c t t
3544	栖	qī	Beijing	ɕ i ⁵⁵	i n t
3545	粞	xī	Middle_Chinese	s e j /¹	i n c t t
3546	粞	xī	Beijing	ɕ i ⁵⁵	i n t
3547	溪	xī	Middle_Chinese	kʰ e j /¹	i n c t t
3548	溪	xī	Beijing	ɕ i ⁵⁵	i n t
3549	谿	xī	Middle_Chinese	kʰ e j /¹	i n c t t
3550	谿	xī	Beijing	ɕ i ⁵⁵	i n t
3551	醯	xī	Middle_Chinese	x e j /¹	i n c t t
3552	醯	xī	Beijing	ɕ i ⁵⁵	i n t
3553	兮	xī	Middle_Chinese	ɣ e j /¹	i n c t t
3554	兮	xī	Beijing	ɕ i ⁵⁵	i n t
3555	奚	xī	Middle_Chinese	ɣ e j /¹	i n c t t
3556	奚	xī	Beijing	ɕ i ⁵⁵	i n t
3557	蹊	qī	Middle_Chinese	ɣ e j /¹	i n c t t
3558	蹊	qī	Beijing	ɕ i ⁵⁵	i n t
3559	徯	xī	Middle_Chinese	ɣ e j /¹	i n c t t
3560	徯	xī	Beijing	ɕ i ⁵⁵	i n t
3561	鼷	xī	Middle_Chinese	ɣ e j /¹	i n c t t
3562	鼷	xī	Beijing	ɕ i ⁵⁵	i n t
3563	郋	xí	Middle_Chinese	ɣ e j /¹	i n c t t
3564	郋	xí	Beijing	ɕ i ⁵⁵	i n t
3565	羲	xī	Middle_Chinese	x j e /¹	i m n t t
3566	羲	xī	Beijing	ɕ i ⁵⁵	i n t
3567	牺	xī	Middle_Chinese	x j e /¹	i m n t t
3568	牺	xī	Beijing	ɕ i ⁵⁵	i n t
3569	曦	xī	Middle_Chinese	x j e /¹	i m n t t
3570	曦	xī	Beijing	ɕ i ⁵⁵	i n t
3571	巇	xī	Middle_Chinese	x j e /¹	i m n t t
3572	巇	xī	Beijing	ɕ i ⁵⁵	i n t
3573	嘻	xī	Middle_Chinese	x i /¹	i n t t
3574	嘻	xī	Beijing	ɕ i ⁵⁵	i n t
3575	嬉	xī	Middle_Chinese	x i /¹	i n t t
3576	嬉	xī	Beijing	ɕ i ⁵⁵	i n t
3577	僖	xī	Middle_Chinese	x i /¹	i n t t
3578	僖	xī	Beijing	ɕ i ⁵⁵	i n t
3579	禧	xǐ	Middle_Chinese	x i /¹	i n t t
3580	禧	xǐ	Beijing	ɕ i ⁵⁵	i n t
3581	熹	xī	Middle_Chinese	x i /¹	i n t t
3582	熹	xī	Beijing	ɕ i ⁵⁵	i n t
3583	嘻	xī	Middle_Chinese	x i /¹	i n t t
3584	嘻	xī	Beijing	ɕ i ⁵⁵	i n t
3585	熙	xī	Middle_Chinese	x i /¹	i n t t
3586	熙	xī	Beijing	ɕ i ⁵⁵	i n t
3587	希	xī	Middle_Chinese	x j ɨ j /¹	i m n c t t
3588	希	xī	Beijing	ɕ i ⁵⁵	i n t
3589	稀	xī	Middle_Chinese	x j ɨ j /¹	i m n c t t
3590	稀	xī	Beijing	ɕ i ⁵⁵	i n t
3591	晞	xī	Middle_Chinese	x j ɨ j /¹	i m n c t t
3592	晞	xī	Beijing	ɕ i ⁵⁵	i n t
3593	睎	xī	Middle_Chinese	x j ɨ j /¹	i m n c t t
3594	睎	xī	Beijing	ɕ i ⁵⁵	i n t
3595	欷	xī	Middle_Chinese	x j ɨ j /¹	i m n c t t
3596	欷	xī	Beijing	ɕ i ⁵⁵	i n t
3597	悕	xī	Middle_Chinese	x j ɨ j /¹	i m n c t t
3598	悕	xī	Beijing	ɕ i ⁵⁵	i n t
3599	豨	xī	Middle_Chinese	x j ɨ j /¹	i m n c t t
3600	豨	xī	Beijing	ɕ i ⁵⁵	i n t
3601	浠	xī	Middle_Chinese	x j ɨ j /¹	i m n c t t
3602	浠	xī	Beijing	ɕ i ⁵⁵	i n t
3603	吸	xī	Middle_Chinese	x i p /⁴	i n c t t
3604	吸	xī	Beijing	ɕ i ⁵⁵	i n t
3605	息	xī	Middle_Chinese	s i k /⁴	i n c t t
3606	息	xī	Beijing	ɕ i ⁵⁵	i n t
3607	熄	xī	Middle_Chinese	s i k /⁴	i n c t t
3608	熄	xī	Beijing	ɕ i ⁵⁵	i n t
3609	悉	xī	Middle_Chinese	s i t /⁴	i n c t t
3610	悉	xī	Beijing	ɕ i ⁵⁵	i n t
3611	膝	xī	Middle_Chinese	s i t /⁴	i n c t t
3612	膝	xī	Beijing	ɕ i ⁵⁵	i n t
3613	蟋	xī	Middle_Chinese	s i t /⁴	i n c t t
3614	蟋	xī	Beijing	ɕ i ⁵⁵	i n t
3615	惜	xī	Middle_Chinese	s j e k /⁴	i m n c t t
3616	惜	xī	Beijing	ɕ i ⁵⁵	i n t
3617	夕	xī	Middle_Chinese	z j e k /⁴	i m n c t t
3618	夕	xī	Beijing	ɕ i ⁵⁵	i n t
3619	析	xī	Middle_Chinese	s e k /⁴	i n c t t
3620	析	xī	Beijing	ɕ i ⁵⁵	i n t
3621	淅	xī	Middle_Chinese	s e k /⁴	i n c t t
3622	淅	xī	Beijing	ɕ i ⁵⁵	i n t
3623	晰	xī	Middle_Chinese	s e k /⁴	i n c t t
3624	晰	xī	Beijing	ɕ i ⁵⁵	i n t
3625	皙	xī	Middle_Chinese	s e k /⁴	i n c t t
3626	皙	xī	Beijing	ɕ i ⁵⁵	i n t
3627	习	xí	Middle_Chinese	z i p /⁴	i n c t t
3628	习	xí	Beijing	ɕ i ³⁵	i n t
3629	袭	xí	Middle_Chinese	z i p /⁴	i n c t t
3630	袭	xí	Beijing	ɕ i ³⁵	i n t
3631	隰	xí	Middle_Chinese	z i p /⁴	i n c t t
3632	隰	xí	Beijing	ɕ i ³⁵	i n t
3633	媳	xí	Middle_Chinese	s i k /⁴	i n c t t
3634	媳	xí	Beijing	ɕ i ³⁵	i n t
3635	昔	xī	Middle_Chinese	s j e k /⁴	i m n c t t
3636	昔	xī	Beijing	ɕ i ³⁵	i n t
3637	腊	là	Middle_Chinese	s j e k /⁴	i m n c t t
3638	腊	là	Beijing	ɕ i ³⁵	i n t
3639	席	xí	Middle_Chinese	z j e k /⁴	i m n c t t
3640	席	xí	Beijing	ɕ i ³⁵	i n t
3641	蓆	xí	Middle_Chinese	z j e k /⁴	i m n c t t
3642	蓆	xí	Beijing	ɕ i ³⁵	i n t
3643	锡	xī	Middle_Chinese	s e k /⁴	i n c t t
3644	锡	xī	Beijing	ɕ i ³⁵	i n t
3645	裼	tì	Middle_Chinese	s e k /⁴	i n c t t
3646	裼	tì	Beijing	ɕ i ³⁵	i n t
3647	檄	xí	Middle_Chinese	ɣ e k /⁴	i n c t t
3648	檄	xí	Beijing	ɕ i ³⁵	i n t
3649	觋	xí	Middle_Chinese	ɣ e k /⁴	i n c t t
3650	觋	xí	Beijing	ɕ i ³⁵	i n t
3651	觋	xí	Middle_Chinese	ɣ e k /⁴	i n c t t
3652	觋	xí	Beijing	ɕ i ³⁵	i n t
3653	洗	xǐ	Middle_Chinese	s e j /²	i n c t
3654	洗	xǐ	Beijing	ɕ i ²¹⁴	i n t
3655	玺	xǐ	Middle_Chinese	s j e /²	i m n t
3656	玺	xǐ	Beijing	ɕ i ²¹⁴	i n t
3657	徙	xǐ	Middle_Chinese	s j e /²	i m n t
3658	徙	xǐ	Beijing	ɕ i ²¹⁴	i n t
3659	屣	xǐ	Middle_Chinese	ʂ j e /²	i m n t
3660	屣	xǐ	Beijing	ɕ i ²¹⁴	i n t
3661	蓰	xǐ	Middle_Chinese	ʂ j e /²	i m n t
3662	蓰	xǐ	Beijing	ɕ i ²¹⁴	i n t
3663	喜	xǐ	Middle_Chinese	x i /²	i n t
3664	喜	xǐ	Beijing	ɕ i ²¹⁴	i n t
3665	蟢	xǐ	Middle_Chinese	x i /²	i n t
3666	蟢	xǐ	Beijing	ɕ i ²¹⁴	i n t
3667	憙	xī	Middle_Chinese	x i /²	i n t
3668	憙	xī	Beijing	ɕ i ²¹⁴	i n t
3669	禧	xǐ	Middle_Chinese	x i /²	i n t
3670	禧	xǐ	Beijing	ɕ i ²¹⁴	i n t
3671	细	xì	Middle_Chinese	s e j /³	i n c t
3672	细	xì	Beijing	ɕ i ⁵¹	i n t
3673	繫	xì	Middle_Chinese	ɣ e j /³	i n c t
3674	繫	xì	Beijing	ɕ i ⁵¹	i n t
3675	系	xì	Middle_Chinese	ɣ e j /³	i n c t
3676	系	xì	Beijing	ɕ i ⁵¹	i n t
3677	係	xì	Middle_Chinese	ɣ e j /³	i n c t
3678	係	xì	Beijing	ɕ i ⁵¹	i n t
3679	戏	xì	Middle_Chinese	x j e /³	i m n t
3680	戏	xì	Beijing	ɕ i ⁵¹	i n t
3681	塈	jì	Middle_Chinese	x j ɨ j /³	i m n c t
3682	塈	jì	Beijing	ɕ i ⁵¹	i n t
3683	饩	xì	Middle_Chinese	x j ɨ j /³	i m n c t
3684	饩	xì	Beijing	ɕ i ⁵¹	i n t
3685	隙	xì	Middle_Chinese	kʰ j æ k /⁴	i m n c t t
3686	隙	xì	Beijing	ɕ i ⁵¹	i n t
3687	猗	yī	Middle_Chinese	ʔ j e /¹	i m n t t
3688	猗	yī	Beijing	i ⁵⁵	n t
3689	漪	yī	Middle_Chinese	ʔ j e /¹	i m n t t
3690	漪	yī	Beijing	i ⁵⁵	n t
3691	伊	yī	Middle_Chinese	ʔ i j /¹	i n c t t
3692	伊	yī	Beijing	i ⁵⁵	n t
3693	黟	yī	Middle_Chinese	ʔ i j /¹	i n c t t
3694	黟	yī	Beijing	i ⁵⁵	n t
3695	医	yī	Middle_Chinese	ʔ i /¹	i n t t
3696	医	yī	Beijing	i ⁵⁵	n t
3697	衣	yī	Middle_Chinese	ʔ j ɨ j /¹	i m n c t t
3698	衣	yī	Beijing	i ⁵⁵	n t
3699	依	yī	Middle_Chinese	ʔ j ɨ j /¹	i m n c t t
3700	依	yī	Beijing	i ⁵⁵	n t
3701	揖	yī	Middle_Chinese	ʔ i p /⁴	i n c t t
3702	揖	yī	Beijing	i ⁵⁵	n t
3703	一	yī	Middle_Chinese	ʔ i t /⁴	i n c t t
3704	一	yī	Beijing	i ⁵⁵	n t
3705	壹	yī	Middle_Chinese	ʔ i t /⁴	i n c t t
3706	壹	yī	Beijing	i ⁵⁵	n t
3707	宜	yí	Middle_Chinese	ŋ j e /¹	i m n t t
3708	宜	yí	Beijing	i ³⁵	n t
3709	仪	yí	Middle_Chinese	ŋ j e /¹	i m n t t
3710	仪	yí	Beijing	i ³⁵	n t
3711	移	yí	Middle_Chinese	j e /¹	i n t t
3712	移	yí	Beijing	i ³⁵	n t
3713	迻	yí	Middle_Chinese	j e /¹	i n t t
3714	迻	yí	Beijing	i ³⁵	n t
3715	簃	yí	Middle_Chinese	j e /¹	i n t t
3716	簃	yí	Beijing	i ³⁵	n t
3717	椸	yí	Middle_Chinese	j e /¹	i n t t
3718	椸	yí	Beijing	i ³⁵	n t
3719	夷	yí	Middle_Chinese	j i j /¹	i n c t t
3720	夷	yí	Beijing	i ³⁵	n t
3721	姨	yí	Middle_Chinese	j i j /¹	i n c t t
3722	姨	yí	Beijing	i ³⁵	n t
3723	痍	yí	Middle_Chinese	j i j /¹	i n c t t
3724	痍	yí	Beijing	i ³⁵	n t
3725	彝	yí	Middle_Chinese	j i j /¹	i n c t t
3726	彝	yí	Beijing	i ³⁵	n t
3727	疑	yí	Middle_Chinese	ŋ i /¹	i n t t
3728	疑	yí	Beijing	i ³⁵	n t
3729	嶷	yí	Middle_Chinese	ŋ i /¹	i n t t
3730	嶷	yí	Beijing	i ³⁵	n t
3731	怡	yí	Middle_Chinese	j i /¹	i n t t
3732	怡	yí	Beijing	i ³⁵	n t
3733	贻	yí	Middle_Chinese	j i /¹	i n t t
3734	贻	yí	Beijing	i ³⁵	n t
3735	诒	yí	Middle_Chinese	j i /¹	i n t t
3736	诒	yí	Beijing	i ³⁵	n t
3737	眙	yí	Middle_Chinese	j i /¹	i n t t
3738	眙	yí	Beijing	i ³⁵	n t
3739	胰	yí	Middle_Chinese	j i /¹	i n t t
3740	胰	yí	Beijing	i ³⁵	n t
3741	颐	yí	Middle_Chinese	j i /¹	i n t t
3742	颐	yí	Beijing	i ³⁵	n t
3743	圯	yí	Middle_Chinese	j i /¹	i n t t
3744	圯	yí	Beijing	i ³⁵	n t
3745	沂	yí	Middle_Chinese	ŋ j ɨ j /¹	i m n c t t
3746	沂	yí	Beijing	i ³⁵	n t
3747	遗	yí	Middle_Chinese	j w i j /¹	i m n c t t
3748	遗	yí	Beijing	i ³⁵	n t
3749	蚁	yǐ	Middle_Chinese	ŋ j e /²	i m n t
3750	蚁	yǐ	Beijing	i ²¹⁴	n t
3751	舣	yǐ	Middle_Chinese	ŋ j e /²	i m n t
3752	舣	yǐ	Beijing	i ²¹⁴	n t
3753	齮	yǐ	Middle_Chinese	ŋ j e /²	i m n t
3754	齮	yǐ	Beijing	i ²¹⁴	n t
3755	倚	yǐ	Middle_Chinese	ʔ j e /²	i m n t
3756	倚	yǐ	Beijing	i ²¹⁴	n t
3757	椅	yǐ	Middle_Chinese	ʔ j e /²	i m n t
3758	椅	yǐ	Beijing	i ²¹⁴	n t
3759	旖	yǐ	Middle_Chinese	ʔ j e /²	i m n t
3760	旖	yǐ	Beijing	i ²¹⁴	n t
3761	迤	yí	Middle_Chinese	j e /²	i n t
3762	迤	yí	Beijing	i ²¹⁴	n t
3763	匜	yí	Middle_Chinese	j e /²	i n t
3764	匜	yí	Beijing	i ²¹⁴	n t
3765	矣	yǐ	Middle_Chinese	ɣ i /²	i n t
3766	矣	yǐ	Beijing	i ²¹⁴	n t
3767	已	yǐ	Middle_Chinese	j i /²	i n t
3768	已	yǐ	Beijing	i ²¹⁴	n t
3769	以	yǐ	Middle_Chinese	j i /²	i n t
3770	以	yǐ	Beijing	i ²¹⁴	n t
3771	苡	yǐ	Middle_Chinese	j i /²	i n t
3772	苡	yǐ	Beijing	i ²¹⁴	n t
3773	尾	wěi	Middle_Chinese	m j ɨ j /²	i m n c t
3774	尾	wěi	Beijing	i ²¹⁴	n t
3775	乙	yǐ	Middle_Chinese	ʔ i t /⁴	i n c t t
3776	乙	yǐ	Beijing	i ²¹⁴	n t
3777	艺	yì	Middle_Chinese	ŋ j e j /³	i m n c t
3778	艺	yì	Beijing	i ⁵¹	n t
3779	呓	yì	Middle_Chinese	ŋ j e j /³	i m n c t
3780	呓	yì	Beijing	i ⁵¹	n t
3781	曳	yè	Middle_Chinese	j e j /³	i n c t
3782	曳	yè	Beijing	i ⁵¹	n t
3783	枻	yì	Middle_Chinese	j e j /³	i n c t
3784	枻	yì	Beijing	i ⁵¹	n t
3785	勚	yì	Middle_Chinese	j e j /³	i n c t
3786	勚	yì	Beijing	i ⁵¹	n t
3787	裔	yì	Middle_Chinese	j e j /³	i n c t
3788	裔	yì	Beijing	i ⁵¹	n t
3789	刈	yì	Middle_Chinese	ŋ j o j /³	i m n c t
3790	刈	yì	Beijing	i ⁵¹	n t
3791	乂	yì	Middle_Chinese	ŋ j o j /³	i m n c t
3792	乂	yì	Beijing	i ⁵¹	n t
3793	诣	yì	Middle_Chinese	ŋ e j /³	i n c t
3794	诣	yì	Beijing	i ⁵¹	n t
3795	羿	yì	Middle_Chinese	ŋ e j /³	i n c t
3796	羿	yì	Beijing	i ⁵¹	n t
3797	缢	yì	Middle_Chinese	ʔ e j /³	i n c t
3798	缢	yì	Beijing	i ⁵¹	n t
3799	瞖	yì	Middle_Chinese	ʔ e j /³	i n c t
3800	瞖	yì	Beijing	i ⁵¹	n t
3801	曀	yì	Middle_Chinese	ʔ e j /³	i n c t
3802	曀	yì	Beijing	i ⁵¹	n t
3803	殪	yì	Middle_Chinese	ʔ e j /³	i n c t
3804	殪	yì	Beijing	i ⁵¹	n t
3805	翳	yì	Middle_Chinese	ʔ e j /³	i n c t
3806	翳	yì	Beijing	i ⁵¹	n t
3807	谊	yì	Middle_Chinese	ŋ j e /³	i m n t
3808	谊	yì	Beijing	i ⁵¹	n t
3809	义	yì	Middle_Chinese	ŋ j e /³	i m n t
3810	义	yì	Beijing	i ⁵¹	n t
3811	议	yì	Middle_Chinese	ŋ j e /³	i m n t
3812	议	yì	Beijing	i ⁵¹	n t
3813	易	yì	Middle_Chinese	j e /³	i n t
3814	易	yì	Beijing	i ⁵¹	n t
3815	劓	yì	Middle_Chinese	ŋ i j /³	i n c t
3816	劓	yì	Beijing	i ⁵¹	n t
3817	懿	yì	Middle_Chinese	ʔ i j /³	i n c t
3818	懿	yì	Beijing	i ⁵¹	n t
3819	肄	yì	Middle_Chinese	j i j /³	i n c t
3820	肄	yì	Beijing	i ⁵¹	n t
3821	邑	yì	Middle_Chinese	ʔ i p /⁴	i n c t t
3822	邑	yì	Beijing	i ⁵¹	n t
3823	悒	yì	Middle_Chinese	ʔ i p /⁴	i n c t t
3824	悒	yì	Beijing	i ⁵¹	n t
3825	浥	yì	Middle_Chinese	ʔ i p /⁴	i n c t t
3826	浥	yì	Beijing	i ⁵¹	n t
3827	裛	yì	Middle_Chinese	ʔ i p /⁴	i n c t t
3828	裛	yì	Beijing	i ⁵¹	n t
3829	挹	yì	Middle_Chinese	ʔ i p /⁴	i n c t t
3830	挹	yì	Beijing	i ⁵¹	n t
3831	熠	yì	Middle_Chinese	ɣ i p /⁴	i n c t t
3832	熠	yì	Beijing	i ⁵¹	n t
3833	溢	yì	Middle_Chinese	j i t /⁴	i n c t t
3834	溢	yì	Beijing	i ⁵¹	n t
3835	镒	yì	Middle_Chinese	j i t /⁴	i n c t t
3836	镒	yì	Beijing	i ⁵¹	n t
3837	逸	yì	Middle_Chinese	j i t /⁴	i n c t t
3838	逸	yì	Beijing	i ⁵¹	n t
3839	佚	yì	Middle_Chinese	j i t /⁴	i n c t t
3840	佚	yì	Beijing	i ⁵¹	n t
3841	轶	yì	Middle_Chinese	j i t /⁴	i n c t t
3842	轶	yì	Beijing	i ⁵¹	n t
3843	泆	yì	Middle_Chinese	j i t /⁴	i n c t t
3844	泆	yì	Beijing	i ⁵¹	n t
3845	劮	yì	Middle_Chinese	j i t /⁴	i n c t t
3846	劮	yì	Beijing	i ⁵¹	n t
3847	佾	yì	Middle_Chinese	j i t /⁴	i n c t t
3848	佾	yì	Beijing	i ⁵¹	n t
3849	屹	yì	Middle_Chinese	ŋ j ɨ t /⁴	i m n c t t
3850	屹	yì	Beijing	i ⁵¹	n t
3851	仡	gē	Middle_Chinese	ŋ j ɨ t /⁴	i m n c t t
3852	仡	gē	Beijing	i ⁵¹	n t
3853	忆	yì	Middle_Chinese	ʔ i k /⁴	i n c t t
3854	忆	yì	Beijing	i ⁵¹	n t
3855	亿	yì	Middle_Chinese	ʔ i k /⁴	i n c t t
3856	亿	yì	Beijing	i ⁵¹	n t
3857	臆	yì	Middle_Chinese	ʔ i k /⁴	i n c t t
3858	臆	yì	Beijing	i ⁵¹	n t
3859	薏	yì	Middle_Chinese	ʔ i k /⁴	i n c t t
3860	薏	yì	Beijing	i ⁵¹	n t
3861	抑	yì	Middle_Chinese	ʔ i k /⁴	i n c t t
3862	抑	yì	Beijing	i ⁵¹	n t
3863	翼	yì	Middle_Chinese	j i k /⁴	i n c t t
3864	翼	yì	Beijing	i ⁵¹	n t
3865	翊	yì	Middle_Chinese	j i k /⁴	i n c t t
3866	翊	yì	Beijing	i ⁵¹	n t
3867	翌	yì	Middle_Chinese	j i k /⁴	i n c t t
3868	翌	yì	Beijing	i ⁵¹	n t
3869	弋	yì	Middle_Chinese	j i k /⁴	i n c t t
3870	弋	yì	Beijing	i ⁵¹	n t
3871	杙	yì	Middle_Chinese	j i k /⁴	i n c t t
3872	杙	yì	Beijing	i ⁵¹	n t
3873	黓	yì	Middle_Chinese	j i k /⁴	i n c t t
3874	黓	yì	Beijing	i ⁵¹	n t
