ID	CHARACTER	PINYIN	DOCULECT	READING	CONTEXT
165	腊	là	Middle_Chinese	l o p /⁴	i n c t t
166	腊	là	Beijing	l a ⁵¹	i n t
167	蜡	là	Middle_Chinese	l o p /⁴	i n c t t
168	蜡	là	Beijing	l a ⁵¹	i n t
169	镴	là	Middle_Chinese	l o p /⁴	i n c t t
170	镴	là	Beijing	l a ⁵¹	i n t
171	辣	là	Middle_Chinese	l a t /⁴	i n c t t
172	辣	là	Beijing	l a ⁵¹	i n t
173	辢	là	Middle_Chinese	l a t /⁴	i n c t t
174	辢	là	Beijing	l a ⁵¹	i n t
175	剌	lá	Middle_Chinese	l a t /⁴	i n c t t
176	剌	lá	Beijing	l a ⁵¹	i n t
177	落	luò	Middle_Chinese	l a k /⁴	i n c t t
178	落	luò	Beijing	l a ⁵¹	i n t
179	帀	zā	Middle_Chinese	ts o p /⁴	i n c t t
180	帀	zā	Beijing	ts a ⁵⁵	i n t
181	匝	zā	Middle_Chinese	ts o p /⁴	i n c t t
182	匝	zā	Beijing	ts a ⁵⁵	i n t
183	咂	zā	Middle_Chinese	ts o p /⁴	i n c t t
184	咂	zā	Beijing	ts a ⁵⁵	i n t
185	紮	zā	Middle_Chinese	ʈʂ ɛ t /⁴	i n c t t
186	紮	zā	Beijing	ts a ⁵⁵	i n t
187	杂	zá	Middle_Chinese	dz o p /⁴	i n c t t
188	杂	zá	Beijing	ts a ³⁵	i n t
189	襍	zá	Middle_Chinese	dz o p /⁴	i n c t t
190	襍	zá	Beijing	ts a ³⁵	i n t
191	砸	zá	Middle_Chinese	dz a t /⁴	i n c t t
192	砸	zá	Beijing	ts a ³⁵	i n t
193	擦	cā	Middle_Chinese	tsʰ a t /⁴	i n c t t
194	擦	cā	Beijing	tsʰ a ⁵⁵	i n t
195	礤	cǎ	Middle_Chinese	tsʰ a t /⁴	i n c t t
196	礤	cǎ	Beijing	tsʰ a ⁵⁵	i n t
197	撒	sā	Middle_Chinese	s a t /⁴	i n c t t
198	撒	sā	Beijing	s a ⁵⁵	i n t
199	灑	sǎ	Middle_Chinese	ʂ æ /²	i n t
200	灑	sǎ	Beijing	s a ²¹⁴	i n t
201	洒	sǎ	Middle_Chinese	ʂ æ /²	i n t
202	洒	sǎ	Beijing	s a ²¹⁴	i n t
203	撒	sā	Middle_Chinese	s a t /⁴	i n c t t
204	撒	sā	Beijing	s a ²¹⁴	i n t
205	飒	sà	Middle_Chinese	s o p /⁴	i n c t t
206	飒	sà	Beijing	s a ⁵¹	i n t
207	卅	sà	Middle_Chinese	s o p /⁴	i n c t t
208	卅	sà	Beijing	s a ⁵¹	i n t
209	趿	tā	Middle_Chinese	s o p /⁴	i n c t t
210	趿	tā	Beijing	s a ⁵¹	i n t
211	靸	sǎ	Middle_Chinese	s o p /⁴	i n c t t
212	靸	sǎ	Beijing	s a ⁵¹	i n t
213	萨	sà	Middle_Chinese	s a t /⁴	i n c t t
214	萨	sà	Beijing	s a ⁵¹	i n t
215	挓	zhā	Middle_Chinese	ʈ æ /¹	i n t t
216	挓	zhā	Beijing	ʈʂ a ⁵⁵	i n t
217	查	chá	Middle_Chinese	ʈʂ æ /¹	i n t t
218	查	chá	Beijing	ʈʂ a ⁵⁵	i n t
219	樝	zhā	Middle_Chinese	ʈʂ æ /¹	i n t t
220	樝	zhā	Beijing	ʈʂ a ⁵⁵	i n t
221	渣	zhā	Middle_Chinese	ʈʂ æ /¹	i n t t
222	渣	zhā	Beijing	ʈʂ a ⁵⁵	i n t
223	柤	zhā	Middle_Chinese	ʈʂ æ /¹	i n t t
224	柤	zhā	Beijing	ʈʂ a ⁵⁵	i n t
225	查	chá	Middle_Chinese	ʈʂ æ /¹	i n t t
226	查	chá	Beijing	ʈʂ a ⁵⁵	i n t
227	札	zhā	Middle_Chinese	ʈ ɛ p /⁴	i n c t t
228	札	zhā	Beijing	ʈʂ a ⁵⁵	i n t
229	闸	zhá	Middle_Chinese	ɖʐ ɛ p /⁴	i n c t t
230	闸	zhá	Beijing	ʈʂ a ³⁵	i n t
231	牐	zhá	Middle_Chinese	ɖʐ ɛ p /⁴	i n c t t
232	牐	zhá	Beijing	ʈʂ a ³⁵	i n t
233	炸	zhà	Middle_Chinese	ɖʐ ɛ p /⁴	i n c t t
234	炸	zhà	Beijing	ʈʂ a ³⁵	i n t
235	煠	zhá	Middle_Chinese	ɖʐ ɛ p /⁴	i n c t t
236	煠	zhá	Beijing	ʈʂ a ³⁵	i n t
237	霅	zhà	Middle_Chinese	ɖ æ p /¹	i n c t t
238	霅	zhà	Beijing	ʈʂ a ³⁵	i n t
239	扎	zā	Middle_Chinese	ʈʂ ɛ t /⁴	i n c t t
240	扎	zā	Beijing	ʈʂ a ³⁵	i n t
241	札	zhā	Middle_Chinese	ʈʂ ɛ t /⁴	i n c t t
242	札	zhā	Beijing	ʈʂ a ³⁵	i n t
243	铡	zhá	Middle_Chinese	ɖʐ æ t /¹	i n c t t
244	铡	zhá	Beijing	ʈʂ a ³⁵	i n t
245	鲊	zhǎ	Middle_Chinese	ʈʂ æ /²	i n t
246	鲊	zhǎ	Beijing	ʈʂ a ²¹⁴	i n t
247	眨	zhǎ	Middle_Chinese	ʈʂ ɛ p /⁴	i n c t t
248	眨	zhǎ	Beijing	ʈʂ a ²¹⁴	i n t
249	咤	zhà	Middle_Chinese	ʈ æ /³	i n t
