OurUnicodeZi	MCascii	Mandarin	PubFull	PubPre	PubIni	PubMed	PubFin	PubSuf	GSRindexStr	OurUnicode	OurGloss
臣	dzyin	chen2	*[g]i[ŋ]		[g]		i[ŋ]		0377a	U+81E3	slave, subject
辰	dzyin	chen2	*[d]ər		[d]		ər		0455a	U+8FB0	5th earthly branch
辴	trhinX	zhen3	*tʰrərʔ		tʰ	r	ərʔ		0455t	U+8FB4	laugh
槮	tsrhim	sen1	*s.r̥[ə]m	s.	r̥		[ə]m		0647g	U+69EE	tall (tree)
沈	drim	chen2	*[d]r[ə]m		[d]	r	[ə]m		0656b	U+6C88	sink (v.i.)
煁	dzyim	chen2	*[d][ə]m		[d]		[ə]m		0658b	U+7141	small furnace
駸	tsrhim	qin1	*[tsʰ]r[i]m		[tsʰ]	r	[i]m		0661l	U+99F8	gallop
沈	drim	chen2	*[d]r[ə]m		[d]	r	[ə]m		0656b	U+6C88	sacrifice in which gifts are sunk in water
棖	draeng	cheng2	*m-tˤ<r>aŋ	m-	tˤ	<r>	aŋ		0721n	U+68D6	door-posts
瞠	trhaeng	cheng1	*tʰˤraŋ		tʰˤ	r	aŋ		0725f'	U+77A0	stare
𣥺	draeng	cheng2	*m-tˤ<r>aŋ	m-	tˤ	<r>	aŋ		0725u	U+2397A	serve as support for
崢	dzreang	zheng1	*[dz]ˤreŋ		[dz]ˤ	r	eŋ		0811c	U+5D22	崢嶸 high, precipitous
騁	trhjengX	cheng3	*[r̥]eŋʔ		[r̥]		eŋʔ		0817a	U+9A01	gallop
誠	dzyeng	cheng2	*[d]eŋ		[d]		eŋ		0818h	U+8AA0	sincere
盛	dzyeng	cheng2	*[d]eŋ		[d]		eŋ		0818i	U+76DB	put in (a receptacle)
䞓	trhjeng	cheng1	*t-kʰreŋ	t-	kʰ	r	eŋ		0831x	U+4793	red
呈	drjeng	cheng2	*lreŋ		l	r	eŋ		0835r	U+5448	to manifest
程	drjeng	cheng2	*l<r>eŋ		l	<r>	eŋ		0835t	U+7A0B	rule, norm
澄	dring	cheng2	*[d]rəŋ		[d]	r	əŋ		0883m	U+6F84	limpid, clear
懲	dring	cheng2	*m-trəŋ	m-	t	r	əŋ		0891b	U+61F2	reprove; punish
塍	zying	cheng2	*m.ləŋ	m.	l		əŋ		0893n	U+584D	raised path between fields
稱	tsyhingH	cheng4	*mə-tʰəŋ-s	mə-	tʰ		əŋ	-s	0894g	U+7A31	steelyard
乘	zying	cheng2	*Cə.ləŋ	Cə.	l		əŋ		0895a	U+4E58	ride (v.)
綽	tsyhak	chuo4	*tʰawk		tʰ		awk		1126g	U+7DBD	indulgent, gentle
啜	tsyhwet	chuo4	*tʰot		tʰ		ot		0295c	U+555C	taste, eat, drink (v.)
躇	trhjak	chuo4	*tʰrak		tʰ	r	ak		0045o'	U+8E87	jump over, pass over
畜	trhjuwH	chu4	*qʰ<r>uk-s		qʰ	<r>	uk	-s	1018a	U+755C	domesticated animals
瘳	trhjuw	chou1	*r̥iw		r̥		iw		1069k	U+7633	recover
丑	trhjuwX	chou3	*[n̥]ruʔ		[n̥]	r	uʔ		1076a	U+4E11	2d earthly branch
稠	drjuw	chou2	*[d]riw		[d]	r	iw		1083l	U+7A20	dense, thick
醜	tsyhuwX	chou3	*t.qʰuʔ	t.	qʰ		uʔ		1089a	U+919C	ugly; evil
醜	tsyhuwX	chou3	*t.qʰuʔ	t.	qʰ		uʔ		1089a	U+919C	category
𠃬	drjuw	chou2	*[d]ru		[d]	r	u		1090a	U+200EC	plowed field
疇	drjuw	chou2	*[d]ru		[d]	r	u		1090l	U+7587	in the past, yesterday
讎	dzyuw	chou2	*[d]u		[d]		u		1091a	U+8B8E	pay back; enemy
愁	dzrjuw	chou2	*[dz]riw		[dz]	r	iw		1092i	U+6101	grieved
畜	trhjuwk	chu4	*qʰ<r>uk		qʰ	<r>	uk		1018a	U+755C	store (v.)
蓄	trhjuwk	xu4	*qʰ<r>uk		qʰ	<r>	uk		1018c	U+84C4	store (v.)
俶	tsyhuwk	chu4	*tʰuk		tʰ		uk		1031h	U+4FF6	commence
豖	trhjowk	chu4	*tʰrok		tʰ	r	ok		1218a	U+8C56	hobbled pig (Shuōwén)
觸	tsyhowk	chu4	*tʰok		tʰ		ok		1224g	U+89F8	knock against
樞	tsyhu	shu1	*t.qʰ(r)o	t.	qʰ	(r)	o		0122q	U+6A1E	pivot
蝓	zyu	yu2	*Cə.lo	Cə.	l		o		0125r	U+8753	snail
廚	drju	chu2	*[d]ro		[d]	r	o		0127m	U+5EDA	kitchen
躕	drju	chu2	*[d]ro		[d]	r	o		0127n	U+8E95	踟躕 drje.drjo walk hesitatingly
芻	tsrhju	chu2	*[tsʰ]ro		[tsʰ]	r	o		0132a	U+82BB	grass for fuel or fodder
趨	tsrhju	qu1	*[ts]ʰro		[ts]ʰ	r	o		0132c	U+8DA8	hasten
鋤	dzrjo	chu2	*s-[l]<r>a	s-	[l]	<r>	a		0046p'	U+92E4	hoe (n.)
出	tsyhwit	chu1	*t-kʰut	t-	kʰ		ut		0496a	U+51FA	go or come out
攄	trhjo	shu1	*r̥a		r̥		a		0069x	U+6504	extend
除	drjo	chu2	*[l]<r>a		[l]	<r>	a		0082m	U+9664	remove; get rid of
杵	tsyhoX	chu3	*t.qʰaʔ	t.	qʰ		aʔ		0086a	U+6775	pestle
初	tsrhjo	chu1	*[ts]ʰra		[ts]ʰ	r	a		0087a	U+521D	beginning
喘	tsyhwenX	chuan3	*[tʰ]orʔ		[tʰ]		orʔ		0168j	U+5598	to pant
輲	dzywen	chuan2	*[d]or		[d]		or		0168l	U+8F32	car with solid wheels
椽	drjwen	chuan2	*lron		l	r	on		0171e	U+693D	beam, rafter
船	zywen	chuan2	*Cə.lo[n]	Cə.	l		o[n]		0229e	U+8239	boat
傳	drjwen	chuan2	*m-tron	m-	t	r	on		0231f	U+50B3	transmit
穿	tsyhwen	chuan1	*tʰo[n]		tʰ		o[n]		0232a	U+7A7F	bore through
舛	tsyhwenX	chuan3	*[tʰ]o[n]ʔ		[tʰ]		o[n]ʔ		0233a	U+821B	oppose, contrary
川	tsyhwen	chuan1	*t.l̥u[n]	t.	l̥		u[n]		0462a	U+5DDD	stream, river
幢	draewng	chuang2	*[d]ˤroŋ		[d]ˤ	r	oŋ		1188e'	U+5E62	a kind of flag
憃	trhaewng	chong1	*[q]ʰˤ<r>oŋ		[q]ʰˤ	<r>	oŋ		1192d	U+6183	stupid
創	tsrhjang	chuang1	*[tsʰ]raŋ		[tsʰ]	r	aŋ		0703l	U+5275	wound (v.)
創	tsrhjangH	chuang4	*[tsʰ]raŋ-s		[tsʰ]	r	aŋ	-s	0703l	U+5275	begin
瘡	tsrhjang	chuang1	*[tsʰ]raŋ		[tsʰ]	r	aŋ		0703n	U+7621	boil, tumor
牀	dzrjang	chuang2	*k.dzraŋ	k.	dz	r	aŋ		0727r	U+7240	bed
撞	draewng	chuang2	*[N-t]ˤ<r>oŋ	[N-	t]ˤ	<r>	oŋ		1188f'	U+649E	strike
揣	tsrhjweX	chuai3	*s-tʰ<r>orʔ	s-	tʰ	<r>	orʔ		0168q	U+63E3	to measure; to estimate
喙	tsyhwejH	hui4	*t-l̥o[rʔ]-s	t-	l̥		o[rʔ]	-s	0171i	U+5599	snout; to pant
吹	tsyhweH	chui4	*tʰo[r]-s		tʰ		o[r]	-s	0030a	U+5439	musical concert
吹	tsyhwe	chui1	*tʰo[r]		tʰ		o[r]		0030a	U+5439	blow (v.)
垂	dzywe	chui2	*[d]o[j]		[d]		o[j]		0031a	U+5782	hang down
毳	tsrhjwejH	cui4	*[tsʰ]<r>op-s		[tsʰ]	<r>	op	-s	0345a	U+6BF3	down, fine hair
衰	tsrhjwe	cui1	*[tsʰ]roj		[tsʰ]	r	oj		0355a	U+8870	reduce
出	tsyhwijH	chui4	*t-kʰut-s	t-	kʰ		ut	-s	0496a	U+51FA	bring or take out
椎	drwij	chui2	*k.druj	k.	d	r	uj		0575r	U+690E	hammer
錘	drjwe	chui2	*m-t<r>oj	m-	t	<r>	oj		0031g	U+9318	sledge-hammer
純	dzywin	chun2	*[d]u[n]		[d]		u[n]		0427n	U+7D14	pure, unmixed
純	dzywin	chun2	*[d]u[n]		[d]		u[n]		0427n	U+7D14	silken
脣	zywin	chun2	*sə.dur	sə.	d		ur		0455u	U+8123	lip
漘	zywin	chun2	*sə.dur	sə.	d		ur		0455v	U+6F18	borders of a river
䡅	trhwin	chun1	*[l̥]ru[n]		[l̥]	r	u[n]		0462b	U+4845	ornate band on axle-cap of wheel (K)
春	tsyhwin	chun1	*tʰun		tʰ		un		0463a	U+6625	springtime
淳	dzywin	chun2	*[d]u[r]		[d]		u[r]		0464e	U+6DF3	a pair
淳	dzywin	chun2	*[d]u[r]		[d]		u[r]		0464e	U+6DF3	simple, unadorned
淳	dzywin	chun2	*[d]u[r]		[d]		u[r]		0464e	U+6DF3	ample
鶉	dzywin	chun2	*[d]ur		[d]		ur		0464j	U+9D89	quail
輴	trhwin	chun1	*l̥ru[n]		l̥	r	u[n]		0465d	U+8F34	funeral car
崇	dzrjuwng	chong2	*[dz]<r>uŋ		[dz]	<r>	uŋ		1003h	U+5D07	exalt, honor
忡	trhjuwng	chong1	*tʰruŋ		tʰ	r	uŋ		1007n	U+5FE1	grieved, agitated
沖	drjuwng	chong1	*[d]ruŋ		[d]	r	uŋ		1007p	U+6C96	sound of cutting ice
