OurUnicodeZi	MCascii	Mandarin	PubFull	PubPre	PubIni	PubMed	PubFin	PubSuf	GSRindexStr	OurUnicode	OurGloss
僥	kewX	jiao3	*[k]ˤewʔ		[k]ˤ		ewʔ		1164b	U+50E5	luck
交	kaew	jiao1	*[k]ˤraw		[k]ˤ	r	aw		1166a	U+4EA4	cross (v.)
絞	kaewX	jiao3	*k-rˤ[i]wʔ	k-	rˤ		[i]wʔ		1166k	U+7D5E	twist; strangle
茭	kaew	jiao1	*[k]ˤr[a]w		[k]ˤ	r	[a]w		1166l	U+832D	dried grass
郊	kaew	jiao1	*[k]ˤraw		[k]ˤ	r	aw		1166n	U+90CA	suburb
教	kaewH	jiao4	*s.kˤraw-s	s.	kˤ	r	aw	-s	1167i	U+6559	teaching; instruction
潔	ket	jie2	*[k]ˤet		[k]ˤ		et		0279j	U+6F54	pure, purify
桀	kjet	jie2	*[k]<r>at		[k]	<r>	at		0284a	U+6840	lift, raise
桀	gjet	jie2	*m-[k]<r>at	m-	[k]	<r>	at		0284a	U+6840	perch for fowls
桀	gjet	jie2	*N-[k]<r>at	N-	[k]	<r>	at		0284a	U+6840	remarkable; hero
揭	gjot	jie1	*m-[k]at	m-	[k]		at		0313n	U+63ED	lift
揭	gjet	jie1	*m-[k]<r>at	m-	[k]	<r>	at		0313n	U+63ED	lift, raise
竭	gjet	jie2	*N-[k](r)at	N-	[k]	(r)	at		0313r	U+7AED	exhaust (v.); dry up
犗	kaejH	jie4	*[k]ˤ<r>at-s		[k]ˤ	<r>	at	-s	0314c	U+7297	castrate
介	keajH	jie4	*kˤr[e]p-s		kˤ	r	[e]p	-s	0327a	U+4ECB	armour; scale of animals
疥	keajH	jie4	*C.kˤr[e][p]-s	C.	kˤ	r	[e][p]	-s	0327f	U+75A5	scabby disease
芥	keajH	jie4	*kˤr[e][t]-s		kˤ	r	[e][t]	-s	0327j	U+82A5	mustard plant
拮	ket	jie2	*kˤi[t]		kˤ		i[t]		0393n	U+62EE	grasp (v.)
結	ket	jie2	*kˤi[t]		kˤ		i[t]		0393p	U+7D50	tie (v.)
屆	keajH	jie4	*kˤr[i][t]-s		kˤ	r	[i][t]	-s	0510b	U+5C46	reach to
階	keaj	jie1	*kˤrij		kˤ	r	ij		0599d	U+968E	steps, stairs
梜	kep	jia1	*kˤep		kˤ		ep		0630f	U+689C	chopsticks (ap. Jīngdiǎn shìwén)
劫	kjaep	jie2	*k(r)ap		k	(r)	ap		0642h	U+52AB	rob
跲	kjaep	jia2	*[k](r)op		[k]	(r)	op		0675k	U+8DF2	stumble
解	keaX	jie3	*kˤreʔ		kˤ	r	eʔ		0861a	U+89E3	cut up; unloose
戒	keajH	jie4	*kˤrək-s		kˤ	r	ək	-s	0990a	U+6212	be on guard
姦	kaen	jian1	*[k]ˤran		[k]ˤ	r	an		0184a	U+59E6	wicked(ness)
柬	keanX	jian3	*kˤr[a]nʔ		kˤ	r	[a]nʔ		0185a	U+67EC	select, distinguish
諫	kaenH	jian4	*kˤranʔ(-s)		kˤ	r	anʔ	(-s)	0185b	U+8AEB	admonish
間	kean	jian1	*kˤre[n]		kˤ	r	e[n]		0191a	U+9593	interval
簡	keanX	jian3	*kˤre[n]ʔ		kˤ	r	e[n]ʔ		0191d	U+7C21	bamboo slip for writing
簡	keanX	jian3	*kˤre[n]ʔ		kˤ	r	e[n]ʔ		0191d	U+7C21	select, large-minded, etc.
蕑	kean	jian1	*k.rˤan	k.	rˤ		an		0191f	U+8551	orchid
澗	kaenH	jian4	*[k]ˤra[n]-s		[k]ˤ	r	a[n]	-s	0191i	U+6F97	stream in a ravine
幵	ken	qian1	*[k]ˤe[r]		[k]ˤ		e[r]		0239a	U+5E75	even, level (Shuōwén)
豣	ken	jian1	*[k]ˤe[n]		[k]ˤ		e[n]		0239b	U+8C63	pig or boar 3 years old
枅	ken	jian1	*[k]ˤer		[k]ˤ		er		0239i	U+6785	crosspiece of wood on top of pillar
肩	ken	jian1	*[k]ˤe[n]		[k]ˤ		e[n]		0240a	U+80A9	shoulder (n.)
建	kjonH	jian4	*[k]a[n]-s		[k]		a[n]	-s	0249a	U+5EFA	set up, establish
堅	ken	jian1	*kˤi[ŋ]		kˤ		i[ŋ]		0368c	U+5805	solid, strong
𡏳	kean	jian1	*kˤrə[r]		kˤ	r	ə[r]		0480a	U+213F3	distress, difficulty
監	kaem	jian1	*[k]ˤram		[k]ˤ	r	am		0609a	U+76E3	inspect
監	kaemH	jian4	*kˤram-s		kˤ	r	am	-s	0609a	U+76E3	mirror
檢	kjemX	jian3	*[k]r[a]mʔ		[k]	r	[a]mʔ		0613d	U+6AA2	measure (n.)
儉	gjemX	jian3	*[g]r[a]mʔ		[g]	r	[a]mʔ		0613e	U+5109	restrict， frugal
劍	kjaemH	jian4	*s.kr[a]m-s	s.	k	r	[a]m	-s	0613i	U+528D	sword
兼	kem	jian1	*[k]ˤem		[k]ˤ		em		0627a	U+517C	combine; at the same time
蒹	kem	jian1	*[k]ˤem		[k]ˤ		em		0627b	U+84B9	rush, sedge
減	keamX	jian3	*kˤr[ə]mʔ		kˤ	r	[ə]mʔ		0671g	U+6E1B	reduce
黬	keam	an4	*[k]ˤr[ə]m		[k]ˤ	r	[ə]m		0671k	U+9EEC	black blot
皆	keaj	jie1	*kˤrij		kˤ	r	ij		0599a	U+7686	all
緊	kjinX	jin3	*C.qi[n]ʔ	C.	q		i[n]ʔ		0368g	U+7DCA	tight
斤	kj+n	jin1	*[k]ər		[k]		ər		0443a	U+65A4	axe; catty
近	gj+nX	jin4	*N-kərʔ	N-	k		ərʔ		0443g	U+8FD1	near
近	gj+nH	jin4	*s-N-kərʔ-s	s-N-	k		ərʔ	-s	0443g	U+8FD1	be near to (v.t.)
筋	kj+n	jin1	*C.[k]ə[n]	C.	[k]		ə[n]		0445a	U+7B4B	sinew
僅	ginH	jin4	*[g]rə[r]-s		[g]	r	ə[r]	-s	0480m	U+50C5	barely
墐	ginH	jin4	*[g]rə[r]-s		[g]	r	ə[r]	-s	0480n	U+5890	plaster (v.)
墐	ginH	jin4	*[g]rə[r]-s		[g]	r	ə[r]	-s	0480n	U+5890	bury
殣	ginH	jin3	*[g]rə[r]-s		[g]	r	ə[r]	-s	0480o	U+6BA3	die of starvation
蓳	kj+nX	jin4	*kə[r]ʔ		k		ə[r]ʔ		0480t	U+84F3	(kind of vegetable)
蓳	kj+nH	jin4	*kə[r]-s		k		ə[r]	-s	0480t	U+84F3	aconite
謹	kj+nX	jin3	*kə[r]ʔ		k		ə[r]ʔ		0480u	U+8B39	attentive, careful
巾	kin	jin1	*krən		k	r	ən		0482a	U+5DFE	kerchief
今	kim	jin1	*[k]r[ə]m		[k]	r	[ə]m		0651a	U+4ECA	now
衿	gimH	qin4	*C.ɢ(r)[ə]m-s	C.	ɢ	(r)	[ə]m	-s	0651g	U+887F	sash string
錦	kimX	jin3	*Cə.k(r)[ə]mʔ	Cə.	k	(r)	[ə]mʔ		0652e	U+9326	brocade
禁	kimH	jin4	*kr[ə]m-s		k	r	[ə]m	-s	0655k	U+7981	prohibit
襟	kim	jin1	*kr[ə]m		k	r	[ə]m		0655l	U+895F	overlap of a robe
矜	king	jin1	*k-riŋ	k-	r		iŋ		0369a	U+77DC	pity (v.)
矜	king	jin1	*k-riŋ	k-	r		iŋ		0369a	U+77DC	boastful
竟	kjaengH	jing4	*[k]raŋʔ-s		[k]	r	aŋʔ	-s	0752a	U+7ADF	end, in the end
鏡	kjaengH	jing4	*C.qraŋʔ-s	C.	q	r	aŋʔ	-s	0752c	U+93E1	mirror
競	gjaengH	jing4	*m-kraŋʔ-s	m-	k	r	aŋʔ	-s	0754a	U+7AF6	strive; compete
京	kjaeng	jing1	*[k]raŋ		[k]	r	aŋ		0755a	U+4EAC	hill; capital city
景	kjaengX	jing3	*[C.q]raŋʔ	[C.	q]	r	aŋʔ		0755d	U+666F	a kind of coat
景	kjaengX	jing3	*C.qraŋʔ	C.	q	r	aŋʔ		0755d	U+666F	bright; image
荊	kjaeng	jing1	*[k]reŋ		[k]	r	eŋ		0808i	U+834A	briar
敬	kjaengH	jing4	*kreŋ(ʔ)-s		k	r	eŋ(ʔ)	-s	0813a	U+656C	respectful
驚	kjaeng	jing1	*kreŋ		k	r	eŋ		0813g	U+9A5A	be afraid
巠	keng	jing1	*k.lˤeŋ	k.	lˤ		eŋ		0831a	U+5DE0	a vein of water (Shuōwén)
經	keng	jing1	*k-lˤeŋ	k-	lˤ		eŋ		0831c	U+7D93	loom; regulate; norm
剄	kengX	jing3	*[k]ˤeŋʔ		[k]ˤ		eŋʔ		0831e	U+5244	cut the throat
徑	kengH	jing4	*[k]ˤeŋ-s		[k]ˤ		eŋ	-s	0831f	U+5F91	small path
勁	kjiengH	jing4	*keŋ-s		k		eŋ	-s	0831m	U+52C1	strong
頸	kjiengX	jing3	*[k]eŋʔ		[k]		eŋʔ		0831n	U+9838	neck
兢	king	jing1	*k(r)əŋ		k	(r)	əŋ		0888a	U+5162	cautious
丩	kjiw	jiu1	*k-riw	k-	r		iw		1064a	U+4E29	twist (v.)
韭	kjuwX	jiu3	*s.[k](r)uʔ	s.	[k]	(r)	uʔ		1065a	U+97ED	Allium
救	kjuwH	jiu4	*s.k(r)u-s	s.	k	(r)	u	-s	1066m	U+6551	help, save
舅	gjuwX	jiu4	*[g](r)uʔ		[g]	(r)	uʔ		1067b	U+8205	mother's brother
咎	gjuwX	jiu4	*[g](r)uʔ		[g]	(r)	uʔ		1068a	U+548E	fault, blame (n.)
摎	kjiw	jiu1	*k-riw	k-	r		iw		1069g	U+644E	tie around, strangle
廄	kjuwH	jiu4	*[k]ʷu(ʔ)-s		[k]ʷ		u(ʔ)	-s	0987g	U+5EC4	stable (n.)
九	kjuwX	jiu3	*[k]uʔ		[k]		uʔ		0992a	U+4E5D	nine
究	kjuwH	jiu1	*[k](r)u(ʔ)-s		[k]	(r)	u(ʔ)	-s	0992o	U+7A76	scrutinize; go to the end
久	kjuwX	jiu3	*[k]ʷəʔ		[k]ʷ		əʔ		0993a	U+4E45	a long time
灸	kjuwX	jiu3	*[k]ʷəʔ		[k]ʷ		əʔ		0993b	U+7078	cauterize by burning tinder
柩	gjuwH	jiu4	*[g]ʷə-s		[g]ʷ		ə	-s	0993g	U+67E9	coffin (with corpse)
囧	kjwaengX	jiong3	*k-mraŋʔ	k-	m	r	aŋʔ		0763a	U+56E7	bright window
扃	kweng	jiong1	*kʷˤeŋ		kʷˤ		eŋ		0842d	U+6243	door bolt
柯	ka	ke1	*[k]ˤar		[k]ˤ		ar		0001d	U+67EF	axe-handle
匃	kat	gai4	*[k]ˤat		[k]ˤ		at		0313a	U+5303	beg (v.)
割	kat	ge1	*Cə-kˤat	Cə-	kˤ		at		0314d	U+5272	cut (v.); harm (v.)
个	kaH	ge4	*kˤa[r]-s		kˤ		a[r]	-s	0349a	U+4E2A	tally, piece, item
箇	kaH	ge4	*kˤa[r]-s		kˤ		a[r]	-s	0049f'	U+7B87	piece, item
閤	kop	ge2	*[k]ˤ[o]p		[k]ˤ		[o]p		0675i	U+95A4	small gate
韐	kop	ge2	*[k]ˤ[ə]p		[k]ˤ		[ə]p		0675j	U+97D0	knee-cover
各	kak	ge4	*kˤak		kˤ		ak		0766a	U+5404	each
胳	kak	ge1	*[C.q]ˤak	[C.	q]ˤ		ak		0766d	U+80F3	armpit
閣	kak	ge2	*C.kˤak	C.	kˤ		ak		0766f	U+95A3	shelf, frame
格	kaek	ge2	*kˤrak		kˤ	r	ak		0766z	U+683C	go to
鬲	keak	ge2	*C.qˤ<r>ik	C.	qˤ	<r>	ik		0855a	U+9B32	yoke
隔	keak	ge2	*[k]ˤrek		[k]ˤ	r	ek		0855f	U+9694	obstruct, separate (v.)
革	keak	ge2	*kˤrək		kˤ	r	ək		0931a	U+9769	hide, skin
革	keak	ge2	*kˤrək		kˤ	r	ək		0931a	U+9769	change (v.)
狗	kuwX	gou3	*Cə.kˤroʔ	Cə.	kˤ	r	oʔ		0108d	U+72D7	dog
苟	kuwX	gou3	*[k]ˤ(r)oʔ		[k]ˤ	(r)	oʔ		0108h	U+82DF	if really
冓	kuwH	gou4	*kˤ(r)o-s		kˤ	(r)	o	-s	0109a	U+5193	中冓 inner chamber
媾	kuwH	gou4	*kˤ(r)o-s		kˤ	(r)	o	-s	0109e	U+5ABE	2nd marriage
溝	kuw	gou1	*[k]ˤ(r)o		[k]ˤ	(r)	o		0109h	U+6E9D	irrigation canal
篝	kuw	gou1	*[k]ˤ(r)o		[k]ˤ	(r)	o		0109i	U+7BDD	bamboo cage
覯	kuwH	gou4	*kˤ(r)o-s		kˤ	(r)	o	-s	0109j	U+89AF	come across, meet with
購	kuwH	gou4	*kˤ(r)o-s		kˤ	(r)	o	-s	0109k	U+8CFC	present (v.), give
彀	kuwH	gou4	*[k]ˤ(r)ok-s		[k]ˤ	(r)	ok	-s	1226p	U+5F40	draw a bow to the full
郜	kowk	gao4	*kˤuk		kˤ		uk		1039f	U+90DC	(place name)
穀	kuwk	gu3	*[k]ˤok		[k]ˤ		ok		1226i	U+7A40	grain
轂	kuwk	gu3	*[k]ˤok		[k]ˤ		ok		1226j	U+8F42	nave of a wheel
汩	kwot	gu3	*[kʷ]ˤ[ə]t		[kʷ]ˤ		[ə]t		0304f	U+6C69	regulate (rivers)
賈	kuX	gu3	*C.qˤaʔ	C.	qˤ		aʔ		0038b	U+8CC8	merchant; do business
呱	ku	gu1	*kʷˤa		kʷˤ		a		0041b	U+5471	wail
孤	ku	gu1	*kʷˤa		kʷˤ		a		0041c	U+5B64	orphan
罛	ku	gu1	*kʷˤa		kʷˤ		a		0041d	U+7F5B	net
骨	kwot	gu3	*kˤut		kˤ		ut		0486a	U+9AA8	bone
古	kuX	gu3	*kˤaʔ		kˤ		aʔ		0049a	U+53E4	ancient
錮	kuH	gu4	*[k]ˤaʔ-s		[k]ˤ		aʔ	-s	0049e'	U+932E	chronic (of illness)
固	kuH	gu4	*[k]ˤa-s		[k]ˤ		a	-s	0049f	U+56FA	fortified, secure
故	kuH	gu4	*kˤa(ʔ)-s		kˤ		a(ʔ)	-s	0049i	U+6545	fact; reason
故	kuH	gu4	*kˤaʔ-s		kˤ		aʔ	-s	0049i	U+6545	old (not new)
瞽	kuX	gu3	*[k]ˤaʔ		[k]ˤ		aʔ		0050g	U+77BD	blind
股	kuX	gu3	*kʷˤaʔ		kʷˤ		aʔ		0051a	U+80A1	thigh
羖	kuX	gu3	*Cə.kʷˤaʔ	Cə.	kʷˤ		aʔ		0051b	U+7F96	ram
蠱	kuX	gu3	*[k]ˤaʔ		[k]ˤ		aʔ		0052a	U+8831	noxious vermin
雇	kuH	gu4	*[C.q]ʷˤa(ʔ)-s	[C.	q]ʷˤ		a(ʔ)	-s	0053d	U+96C7	to hire
顧	kuH	gu4	*[k]ʷˤaʔ-s		[k]ʷˤ		aʔ	-s	0053g	U+9867	look around
枸	kjuX	ju3	*[k](r)oʔ		[k]	(r)	oʔ		0108o	U+67B8	(a kind of tree)
局	gjowk	ju2	*[g](r)ok		[g]	(r)	ok		1214a	U+5C40	department
局	gjowk	ju2	*N-kʰ(r)ok	N-	kʰ	(r)	ok		1214a	U+5C40	bent, curved
具	gjuH	ju4	*[g](r)o-s		[g]	(r)	o	-s	0121a	U+5177	arrange, provide
俱	kju	ju4	*k(r)o		k	(r)	o		0121d	U+4FF1	all, together
鞻	kjuH	ju4	*k-ro-s	k-	r		o	-s	0123i	U+97BB	sandal, shoe
倔	gjut	jue2	*[g]ut		[g]		ut		0496r	U+5014	strong, unyielding
掘	gjut	jue2	*[g]ut		[g]		ut		0496s	U+6398	dig out (earth)
居	kjo	ju1	*k(r)a		k	(r)	a		0049c'	U+5C45	squat; stay, dwell
居	kjo	ju1	*ka		k		a		0049c'	U+5C45	final particle
鋸	kjoH	ju4	*k(r)a-s		k	(r)	a	-s	0049s'	U+92F8	saw (n.)
橘	kjwit	ju2	*[s.k]ʷi[t]	[s.	k]ʷ		i[t]		0507g	U+6A58	orange (tangerine?)
繘	kjwit	ju2	*C.qʷi[t]	C.	qʷ		i[t]		0507h	U+7E58	well-rope
車	kjo	ju1	*C.q(r)a	C.	q	(r)	a		0074a	U+8ECA	chariot
舉	kjoX	ju3	*C.q(r)aʔ	C.	q	(r)	aʔ		0075a	U+8209	lift, raise
舉	kjoX	ju3	*[k](r)aʔ		[k]	(r)	aʔ		0075a	U+8209	all
筥	kjoX	ju3	*[k]raʔ		[k]	r	aʔ		0076j	U+7B65	round basket
莒	kjoX	ju3	*k.raʔ	k.	r		aʔ		0076l	U+8392	plant; place name
遽	gjoH	ju4	*[g](r)a(k)-s		[g]	(r)	a(k)	-s	0803c	U+907D	post horse or carriage
據	kjoH	ju4	*k(r)a(k)-s		k	(r)	a(k)	-s	0803f	U+64DA	grasp; depend on
狊	kwek	ju2	*kʷˤek		kʷˤ		ek		0860a	U+72CA	[place name]
鶪	kwek	ju2	*kʷˤek		kʷˤ		ek		0860b	U+9DAA	shrike
矩	kjuX	ju3	*[k]ʷ(r)aʔ		[k]ʷ	(r)	aʔ		0095c	U+77E9	carpenter's square
粔	gjoX	ju4	*[N]-k(r)aʔ	[N]-	k	(r)	aʔ		0095n	U+7C94	cakes
䀠	kjuH	qu2	*[k]ʷ(r)a-s		[k]ʷ	(r)	a	-s	0096a	U+4020	look right and left
懼	gjuH	ju4	*[g]ʷ(r)a(k)-s		[g]ʷ	(r)	a(k)	-s	0096i	U+61FC	fear (v.)
咼	kwaeX	wai1	*kʷˤrajʔ		kʷˤ	r	ajʔ		0018a	U+54BC	cut meat from the bone
騧	kwae	gua1	*[k]ˤroj		[k]ˤ	r	oj		0018b	U+9A27	yellow horse with black mouth
刮	kwaet	gua1	*[kʷˤ]r[a]t		[kʷˤ]	r	[a]t		0302n	U+522E	scrape (v.)
寡	kwaeX	gua3	*[C.k]ʷˤraʔ	[C.	k]ʷˤ	r	aʔ		0042a	U+5BE1	few
劀	kweat	gua1	*[k]ʷˤri[t]		[k]ʷˤ	r	i[t]		0507k	U+5280	scrape
挂	kweaH	gua4	*[k]ʷˤre-s		[k]ʷˤ	r	e	-s	0879t	U+6302	suspend
絓	kweaH	gua4	*[k]ʷˤre-s		[k]ʷˤ	r	e	-s	0879v	U+7D53	entangled
夬	kwaejH	guai4	*[k]ʷˤret-s		[k]ʷˤ	r	et	-s	0312a	U+592C	divide, make a breach
壞	kweajH	huai4	*[k]ʷˤ<r>ujʔ-s		[k]ʷˤ	<r>	ujʔ	-s	0600d	U+58DE	destroy
怪	kweajH	guai4	*[k]ʷˤrə-s		[k]ʷˤ	r	ə	-s	0991a	U+602A	extraordinary
官	kwan	guan1	*kʷˤa[n]		kʷˤ		a[n]		0157a	U+5B98	official (n.)
棺	kwan	guan1	*kʷˤa[n]		kʷˤ		a[n]		0157e	U+68FA	inner coffin
痯	kwanX	guan3	*kʷˤa[n]ʔ		kʷˤ		a[n]ʔ		0157g	U+75EF	exhausted, helpless
管	kwanX	guan3	*kʷˤa[n]ʔ		kʷˤ		a[n]ʔ		0157h	U+7BA1	exhausted, helpless
管	kwanX	guan3	*[k]ˤo[n]ʔ		[k]ˤ		o[n]ʔ		0157h	U+7BA1	tube; flute
館	kwanH	guan3	*[k]ˤo[n]ʔ-s		[k]ˤ		o[n]ʔ	-s	0157k	U+9928	lodging-house
倌	kwaenH	guan1	*kʷˤra[n]-s		kʷˤ	r	a[n]	-s	0157l	U+500C	servant, groom
雚	kwanH	guan4	*C.qʷˤar-s	C.	qʷˤ		ar	-s	0158a	U+96DA	heron
觀	kwanH	guan4	*C.qʷˤar-s	C.	qʷˤ		ar	-s	0158i	U+89C0	watchtower
觀	kwan	guan1	*C.qʷˤar	C.	qʷˤ		ar		0158i	U+89C0	look (v.)
貫	kwan	guan4	*kˤo[n]		kˤ		o[n]		0159a	U+8CAB	pass through the center
冠	kwanH	guan4	*k.ʔˤor-s	k.	ʔˤ		or	-s	0160a	U+51A0	cap (v.)
冠	kwan	guan1	*[k.ʔ]ˤor	[k.	ʔ]ˤ		or		0160a	U+51A0	cap (n.)
祼	kwanH	guan4	*[k]ˤor(ʔ)-s		[k]ˤ		or(ʔ)	-s	0351m	U+797C	pour out libation
鰥	kwean	guan1	*[k]ʷˤrə[n]		[k]ʷˤ	r	ə[n]		0481a	U+9C25	widower
鰥	kwean	guan1	*[k]ʷˤrə[n]		[k]ʷˤ	r	ə[n]		0481a	U+9C25	a kind of fish
睠	kjwenH	juan4	*[k]ro[n]-s		[k]	r	o[n]	-s	0226b	U+7760	look on with affection
圈	gjwenX	juan4	*[g](r)o[n]ʔ		[g]	(r)	o[n]ʔ		0226k	U+5708	enclosure for pigs
蜎	gjwienX	yuan1	*[m-k-qʷ]enʔ	[m-k-	qʷ]		enʔ		0228b	U+870E	crawl (as an insect); soft, bending
絹	kjwienH	juan4	*[k]ʷen-s		[k]ʷ		en	-s	0228f	U+7D79	a kind of silk stuff
光	kwang	guang1	*kʷˤaŋ		kʷˤ		aŋ		0706a	U+5149	light, brightness
覺	kaewk	jue2	*kˤruk		kˤ	r	uk		1038f	U+89BA	be aware
厥	kjwot	jue2	*kot		k		ot		0301c	U+53A5	(3p possessive pronoun)
蕨	kjwot	jue2	*Cə.kot	Cə.	k		ot		0301d	U+8568	bracken (a kind of edible fern)
蹷	gjwot	jue2	*[g]ʷat		[g]ʷ		at		0301f	U+8E77	stumble, fall; trample
決	kwet	jue2	*[k]ʷˤet		[k]ʷˤ		et		0312b	U+6C7A	open a passage for a stream
決	kwet	jue2	*[k]ʷˤet		[k]ʷˤ		et		0312b	U+6C7A	open; decide
袂	kwet	mei4	*k.mˤet	k.	mˤ		et		0312d	U+8882	sleeve
訣	kwet	jue2	*[k]ʷˤet		[k]ʷˤ		et		0312e	U+8A23	farewell words
掘	gjwot	jue2	*[g]ot		[g]		ot		0496s	U+6398	dig out (earth)
譎	kwet	jue2	*[C.q]ʷˤi[t]	[C.	q]ʷˤ		i[t]		0507l	U+8B4E	treacherous; deceive
𧮫	gjak	jue2	*[g]ak		[g]		ak		0776a	U+27BAB	interior of the mouth (Shuōwén)
腳	kjak	jiao3	*[k]ak		[k]		ak		0776g	U+8173	leg, foot
媯	kjwe	gui1	*C.qʷ(r)aj	C.	qʷ	(r)	aj		0027g	U+5AAF	(place and family name)
詭	kjweX	gui3	*[k](r)ojʔ		[k]	(r)	ojʔ		0029b	U+8A6D	perverse
跪	gjweX	gui4	*[g](r)ojʔ		[g]	(r)	ojʔ		0029f	U+8DEA	kneel; foot
蹷	kjwejH	jue2	*kʷ(r)a[t]-s		kʷ	(r)	a[t]	-s	0301f	U+8E77	alert
撅	kjwejH	gui4	*k(r)[o][t]-s		k	(r)	[o][t]	-s	0301i	U+6485	lift (the dress)
會	kwajH	kuai4	*kˤop-s		kˤ		op	-s	0321a	U+6703	calculate; calculation
澮	kwajH	kuai4	*[k]ˤop-s		[k]ˤ		op	-s	0321f	U+6FAE	watering channel, drain
膾	kwajH	kuai4	*C.[k]ˤ[o][p]-s	C.	[k]ˤ		[o][p]	-s	0321g	U+81BE	mince (v.)
襘	kwajH	gui4	*kˤop-s		kˤ		op	-s	0321h	U+8958	place where two ends of a collar or belt join
檜	kwajH	gui4	*[k]ˤ[o][p]-s		[k]ˤ		[o][p]	-s	0321i	U+6A9C	ornament on coffin
鬠	kwajH	kuai4	*[k]ˤop-s		[k]ˤ		op	-s	0321m	U+9B20	bind the hair in a knot
劌	kjwejH	gui4	*[C.qʷ](r)a[t]-s	[C.	qʷ]	(r)	a[t]	-s	0346k	U+528C	to wound, damage
㬰	gwijH	yu2	*[g]ruj-s		[g]	r	uj	-s	0540a	U+3B30	basket
匱	gwijH	gui4	*[g]ruj-s		[g]	r	uj	-s	0540g	U+5331	box (n.)
蕢	gwijH	kui4	*[g]ruj-s		[g]	r	uj	-s	0540i	U+8562	basket
饋	gwijH	kui4	*[g]ruj-s		[g]	r	uj	-s	0540l	U+994B	present of food (<food basket ?)
鬼	kjw+jX	gui3	*k-ʔujʔ	k-	ʔ		ujʔ		0569a	U+9B3C	ghost
瑰	kwoj	gui1	*[k]ˤuj		[k]ˤ		uj		0569e	U+7470	kind of precious stone
愧	kwijH	kui4	*[k]ruj-s		[k]	r	uj	-s	0569l	U+6127	ashamed
餽	gwijH	kui4	*[g]ruj-s		[g]	r	uj	-s	0569r	U+993D	present (food) (v.)
癸	kjwijX	gui3	*kʷijʔ		kʷ		ijʔ		0605a	U+7678	10th heavenly stem
規	kjwie	gui1	*kʷe		kʷ		e		0875a	U+898F	compass, circle
圭	kwej	gui1	*[k]ʷˤe		[k]ʷˤ		e		0879a	U+572D	jade scepter
龜	kwij	gui1	*[k]ʷrə		[k]ʷ	r	ə		0985a	U+9F9C	tortoise
簋	kwijX	gui3	*kʷruʔ		kʷ	r	uʔ		0986a	U+7C0B	guǐ ritual vessel
軌	kwijX	gui3	*kʷruʔ		kʷ	r	uʔ		0992k	U+8ECC	wheel ruts
均	kjwin	jun1	*C.qʷi[n]	C.	qʷ		i[n]		0391c	U+5747	even, equal
鈞	kjwin	jun1	*C.qʷi[n]	C.	qʷ		i[n]		0391e	U+921E	weight of 30 jīn 斤
鈞	kjwin	jun1	*C.qʷi[n]	C.	qʷ		i[n]		0391e	U+921E	potter's wheel
軍	kjun	jun1	*[k]ʷər		[k]ʷ		ər		0458a	U+8ECD	army; camp
郡	gjunH	jun4	*[g]ur-s		[g]		ur	-s	0459g	U+90E1	district
麏	kwin	jun1	*krun		k	r	un		0459i	U+9E8F	fallow-deer
菌	gwinX	jun4	*[g]runʔ		[g]	r	unʔ		0485c	U+83CC	mushroom
宮	kjuwng	gong1	*k(r)uŋ		k	(r)	uŋ		1006a	U+5BAE	dwelling; palace; note of scale
躳	kjuwng	gong1	*k(r)uŋ		k	(r)	uŋ		1006e	U+8EB3	body, person
工	kuwng	gong1	*kˤoŋ		kˤ		oŋ		1172a	U+5DE5	officer
工	kuwng	gong1	*kˤoŋ		kˤ		oŋ		1172a	U+5DE5	work
鞏	kjowngX	gong3	*k(r)oŋʔ		k	(r)	oŋʔ		1172c'	U+978F	bind with leather straps
攻	kuwng	gong1	*kˤoŋ		kˤ		oŋ		1172e	U+653B	attack
貢	kuwngH	gong4	*[k]ˤom-s		[k]ˤ		om	-s	1172g	U+8CA2	tribute
廾	kjowngX	gong3	*k(r)oŋʔ		k	(r)	oŋʔ		1182a	U+5EFE	join the hands
共	gjowngH	gong4	*N-k(r)oŋʔ-s	N-	k	(r)	oŋʔ	-s	1182c	U+5171	together, all
供	kjowng	gong1	*k<r>oŋ		k	<r>	oŋ		1182f	U+4F9B	furnish; serve, offer
恭	kjowng	gong1	*k<r>oŋ		k	<r>	oŋ		1182l	U+606D	respectful
拲	kjowngX	gong3	*k(r)oŋʔ		k	(r)	oŋʔ		1182m	U+62F2	manacles
𠃋	kwong	gong1	*[k]ʷˤəŋ		[k]ʷˤ		əŋ		0887a	U+200CB	(upper) arm
弓	kjuwng	gong1	*kʷəŋ		kʷ		əŋ		0901a	U+5F13	bow (n.)
𠯑	kwat	gua1	*[k]ʷˤat		[k]ʷˤ		at		0302e	U+20BD1	shut the mouth
果	kwaX	guo3	*[k]ˤo[r]ʔ		[k]ˤ		o[r]ʔ		0351a	U+679C	fruit; result
蜾	kwaX	guo3	*kˤorʔ		kˤ		orʔ		0351c	U+873E	蜾蠃 kwaX.lwaX a kind of wasp
郭	kwak	guo1	*kʷˤak		kʷˤ		ak		0774a	U+90ED	outer wall
虢	kwaek	guo2	*[k]ʷˤrak		[k]ʷˤ	r	ak		0783a	U+8662	(place name)
戈	kwa	ge1	*kʷˤaj		kʷˤ		aj		0007a	U+6208	dagger-axe
