NUMBER  	PB  	PRNUM  	WORD  	TL  	GX  	EQ  	EG  	JM  	JX  	DS  	ZC  	MZL  	JC  	EY  	HQ  	LP  	QLQ  	YL  	XY  	LBZ  	   
1506	ɣɯ3  	0	to leak  	ɣɯ21  	ɣɯ42  	ɯ43  	ɯ21  	ɣɯ21  	ɣǝ31  	ɣɯ31  	ɣɯ31  	ɣɯ21  	  	  	  	  	  	  	  	  	   
1513	bri2  	0	be numb  	(de33)  	(dʑyen12)ʂi22  	(qui21)  	tɕyi21  	tɕyẽ21  	piǝ21  	pi21  	pi21  	pi21  	  	  	  	  	  	  	  	  	   
1516	mæ5  	0	buy  	ma21  	mæ42  	mæ43  	ma42  	ma42  	ma42  	mɚ42  	mɛ42  	mɚ21  	  	  	  	  	  	  	  	  	   
1517	ɢɯ1  	0	sell  	ʁɚ35  	ɢe12  	qɯ21  	qɯ21  	qɯ21  	kɯ21  	kɯ21  	kɯ21  	kǝɯ21  	  	  	  	  	  	  	  	  	   
1521	mæ1b  	0	(birds)cry/chirp  	ma35  	mæ12  	mæ21  	  	  	man21  	mɚ21  	  	mɚ̃21  	  	  	  	  	  	  	  	  	   
1523	me1a  	0	close (the mouth) lightly  	mi55  	mi55  	mi24  	  	  	me55  	me35  	  	mi55  	  	  	  	  	  	  	  	  	   
1525	mɔ4  	0	stroke; touch  	mɔ42  	moŋ24  	mɯ55  	mu55  	mo55  	mõ44  	mõ44  	mou55  	mo44  	  	  	  	  	  	  	  	  	   
1526	mɔ1b  	0	whet (a knife)  	mɔ35  	ma12  	mo21  	mu21  	mo21  	mõ21  	mau21  	mo21  	mo21  	  	  	  	  	  	  	  	  	   
1527	tʰre4  	0	grind (flour)  	tʰi42  	tʰi24  	(uE43uE43)  	(ji42)  	(ji42)  	tsʰe44  	tʂʰe44  	(ue42)  	(ɣǝɯ21)  	  	  	  	  	  	  	  	  	   
1533	tsuɛ4  	0	twist (a tower)  	(ji42)  	(ji21)  	tsuE55(/ji21)  	(ji42)  	(ji42)  	tsui44  	(ji31)  	tsue44  	tsuɛ44  	  	  	  	  	  	  	  	  	   
1535	kʰuɛ2  	0	vomit/throw up  	kʰuɛ33  	qʰuɛ22  	qʰuE22  	(tɕʰa44)  	(tɕʰa44)  	(tɕʰia44)  	(tã42)  	kʰui44  	kʰui33  	  	  	  	  	  	  	  	  	   
1536	mæ4  	0	(people) crawl  	ma42  	mæ24  	mæ55  	ma44  	ma55  	ma44  	mɚ44  	mɛ44  	mɚ44  	  	  	  	  	  	  	  	  	   
1546	bæ1  	0	compensate  	ba35  	bæ12  	pæ21  	  	  	pa21  	pɚ21  	pʰǝ42  	(tã42)  	  	  	  	  	  	  	  	  	   
1552	pʰɔ3  	0	chop (firewood)  	pʰɔ21  	pʰa42  	pʰo43  	pʰo42  	pʰo42  	pʰou31  	pʰou31  	pʰo42  	(tʰu55)  	  	  	  	  	  	  	  	  	   
1553	bɯ1  	0	float  	bɯ35  	bu12  	bɯ21  	pɯ21  	pɯ21  	pɯ21  	pu21  	pɯ21  	pǝɯ21  	  	  	  	  	  	  	  	  	   
1561	pʰæ4  	0	cut/rip open  	pʰa42  	pʰæ24  	pʰæ44  	tɕyi21tʰo55  	ɕa455pʰo42  	pʰa44  	pʰou33  	pʰɛ33  	pʰɚ44  	  	  	  	  	  	  	  	  	   
1562	kʰuŋ1  	0	pave; lay  	pʰɯ55  	kʰoŋ55  	kʰo24  	kʰu55  	  	kʰõ55  	pʰu33  	kʰou55  	kʰoŋ55  	  	  	  	  	  	  	  	  	   
1566	gɯ1  	0	ride  	gɯ35  	gɯ12  	kɯ21  	kɯ21  	kɯ22  	kɯ21  	kɯ21  	kɯ21  	(ua21)  	  	  	  	  	  	  	  	  	   
1568	qʰen1  	0	pull/lead (a cow) along  	qʰan55  	qʰ55  	qʰE24  	qʰɛ55  	qʰe55  	kʰẽ55  	kʰen55  	kʰe55  	kʰen55  	  	  	  	  	  	  	  	  	   
1569	bjɛ2  	0	to owe (monez)  	vɚ33  	bvu22  	vE22  	vɛ22  	(tɕĩ21)  	v33  	võ33  	(ɕiou33)  	pi33  	  	  	  	  	  	  	  	  	   
1574	tsʰuaŋ2  	0	cut up (vegetable)  	tsʰoŋ33  	tsʰuaŋ22  	tcʰyE22  	(ɕa44)  	(ɕu44)  	tsʰuɑ̃33  	tsʰuã33  	tsʰua33  	tsʰuen33  	  	  	  	  	  	  	  	  	   
1580	χɯ̃2  	0	fully recover (from an illness)  	xẽ33  	χen22  	χɯ22  	  	  	xǝ̃33  	xu33(xa55)  	xɯ33  	xǝ33  	  	  	  	  	  	  	  	  	   
1587	ʔuen1  	0	heat up (cold rice)  	uen55  	uen22  	ʔuE24  	ʔuɛ̃55  	uẽ55  	ʔuen55  	wen35  	uɛ35  	ŋuɛ55  	  	  	  	  	  	  	  	  	   
1596	srɯ2  	0	piss; pee  	ʂi55  	ʂi22  	ɕɯ22  	sɛ22  	ʂɚ22  	  	  	si33  	ɕɚ̃55  	  	  	  	  	  	  	  	  	   
