NUMBER  	PB  	PRNUM  	WORD  	TL  	GX  	EQ  	EG  	JM  	JX  	DS  	ZC  	MZL  	JC  	EY  	HQ  	LP  	QLQ  	YL  	XY  	LBZ  	   
30	qoŋ1(a) droŋ1(b)  	0	river  	qoŋ55  	qoŋ55  	qo24/tio21  	qu55/tɕo21  	qõ55/ʈo21  	kvŋ55  	kõ35  	kv35  	koŋ55  	  	  	  	  	  	  	  	  	   
31	ɢɔ1  	0	lake  	ʁɔ35  	qao12  	qo21  	(li21bɯ22)  	(lu21bɯ̃22)  	kou21  	(xu42)  	(pɛ21)  	(ɕu33tu33/pen33)  	  	  	  	  	  	  	  	  	   
32	ɢɔ1  	0	sea  	ʁɔ35  	qao12  	  	(li21bɯ22)  	(lu21bɯ̃22)  	kou21  	[hai31]  	ko21  	[xe21]  	  	  	  	  	  	  	  	  	   
38	tʰju2  	0	path; road  	tʰv33  	tʰy22  	tʰiu22  	tɕiu22  	ʈʰu22  	tʰu33  	tʰu33  	tʰo33  	tʰǝɯ33  	  	  	  	  	  	  	  	  	   
40	tʰu2(a) nɛ1b(b)  	0	soil; earth  	tʰoŋ33  	tʰy22  	nE21  	nɛ215  	ne21  	tʰu33  	(pʰɚ55le21)  	tʰu33  	ne42  	  	  	  	  	  	  	  	  	   
42	water/paddy+field  	0	paddy fields  	ɕyi3ʑi21  	  	  	  	  	tsa21tɕi31  	ɕyi33tɕi21  	tɕi31  	ɕu33ti31  	  	  	  	  	  	  	  	  	   
43	dro4  	0	stone  	diu42  	dzu21  	tiu21  	tɕiu42  	ʈo21  	tsou42  	tʂou42  	tsou42  	tsʰv42  	  	  	  	  	  	  	  	  	   
44	sʰrɔ1  	0	sand  	ɕɨo55  	sao55  	ɕio24  	ɕio55mi22  	ɕio55  	sou55  	ʂʰou55 (ʂhou55 in Wang 2006, probably a mistake)  	so55  	sa55  	  	  	  	  	  	  	  	  	   
46	nɛ1b  	0	mud  	nɛ35  	nɛ24  	nE21  	nɛ21  	ne21  	ni31  	ne42  	ne21  	ne42  	  	  	  	  	  	  	  	  	   
47	ɕui2  	0	water  	ɕyi33  	ɕy22  	ɕyi22  	ɕyi22  	ɕyi22  	ɕyi33  	ɕiui33  	ɕyi33  	ɕyi33  	  	  	  	  	  	  	  	  	   
50	trɚ+group  	0	forest  	diɯ21koŋ̯̥  	dʐi12goŋ55  	diɯ43kɯ43  	dʑi42kɯ42  	ɖɯ42kɯ̃42  	tsɯ31suɑ̃55  	tʂɯ21jɚ55  	tsɯ31sua35  	ɕen55koŋ33  	  	  	  	  	  	  	  	  	   
51	tɕen1  	0	gold  	tɕien55  	tɕien55  	tɕɨ24  	tɕi55  	tɕĩ55  	tɕien55  	tɕien35  	tɕɨɛ35  	tɕen55  	  	  	  	  	  	  	  	  	   
52	njen1b  	0	silver  	jien35  	ɲi21  	ɲi21  	ɲi21  	ɲi21  	jen21  	jien21  	ɲi21  	ɲien21  	  	  	  	  	  	  	  	  	   
53	qæn2 [doŋ1]  	0	copper, bronze  	qaŋ33  	qan22  	qæ22  	qa22  	qã22  	[tṽ21]  	[tõ21]  	kɛ33  	kɚ̃33  	  	  	  	  	  	  	  	  	   
54	tʰe4  	0	iron  	tɕʰi42  	tɕʰi24  	tɕʰi55  	tɕʰi55  	tɕʰi55  	tʰe44  	tʰe44  	tʰɛ33  	tʰɛ44  	  	  	  	  	  	  	  	  	   
61	pren1  	0	salt  	tɕyen55  	tɕyen55  	tsuE24  	tsuɛ55  	tsuẽ55  	pien55  	piẽ35  	pi35  	  	  	  	  	  	  	  	  	  	   
66	jɯ4  	0	village  	ju42  	ju24  	(I22)  	(ɣo22ji22)  	(ɣo22lĩ22)  	jɯ44  	jɯ44  	jɯ44  	ji42  	  	  	  	  	  	  	  	  	   
70	gu1  	0	bridge  	gv35  	gu12  	ku21  	kv21  	kv21  	kuo21  	ku21  	ku21  	kv21  	  	  	  	  	  	  	  	  	   
74	djɯ1  	0	head  	diɯ35  	di21  	tiu21  	tɕu22  	ʈo22  	tǝ31  	ti42  	tɯ31  	ta42  	  	  	  	  	  	  	  	  	   
75	ɕa  	0	hair  	[diɯ35me55]  	[di24miɛ12]  	[tiɯ21miE24]  	[ti21mi55]  	[ʈe21me55]  	ɕɔ44  	ɕa44  	[tɯ21ma35]  	[tɛ21mɛ]  	  	  	  	  	  	  	  	  	   
79	ŋuen2  	0	eye  	uen33  	uen22  	ŋui22  	ŋui22  	mi22  	uẽ33  	uẽ33  	ue33  	ŋuɛ33  	  	  	  	  	  	  	  	  	   
94	ba4  	0	breasts  	bo42  	ba21  	pa21  	pa42  	pa42  	pɑ42  	pa42  	pa42  	[ŋɔŋ33]  	  	  	  	  	  	  	  	  	   
96	pju4  	0	belly  	fɚ42  	[ʐi21]  	fo24  	xu44  	[ʐɚ42]  	fv44  	fo44  	fv44  	pɯ44  	  	  	  	  	  	  	  	  	   
103	ko4  	0	foot  	ko42  	ku24  	ku55  	ku44  	ko55  	kou44  	kou44  	ko44  	ko44  	  	  	  	  	  	  	  	  	   
107	sʰrɯ2  	0	hand  	ɕiɯ33  	ʂi22  	ɕiɯ22  	ɕi22  	ɕi22  	sɯ33  	ʂʰɯ33  	sɯ33  	sǝɯ33  	  	  	  	  	  	  	  	  	   
109	hand+tsri2  	0	finger  	ɕɨɯ33tʂɚ33  	ʂi22tʂi22  	ɕiɯ22tsɿ22  	ɕi22tsɛ22  	ɕi22tʂɚ22  	sɯ33tsi33  	ʂɯ33ti31  	sɯ33tsi33  	sǝɯ33tsi44  	  	  	  	  	  	  	  	  	   
113	hand+scale  	0	nail  	ɕiɯ33qa42  	tʂi24qa24  	tiɯ21qa24  	ɕi22qa44  	qa44  	sɯ33ka44  	ʂɯ33ka44  	sɯ33ka44  	sǝɯ33kɚ44  	  	  	  	  	  	  	  	  	   
118	pri4  	0	female genitals  	tɕyi42  	tɕy24  	pi55  	tɕyi44  	tɕyi55  	pi44  	pi44  	  	pʰi55 (phi55 in Wang 2006, guess this is a mistake)  	  	  	  	  	  	  	  	  	   
120	be1  	0	skin  	bi25  	bi12  	pi21  	tɕyi21qa55  	tɕyi21  	pe21  	pe21  	pe21  	pe21  	  	  	  	  	  	  	  	  	   
125	tsuŋ1  	0	scar  	tsvŋ55  	(qæ24)  	(tɕia24ma24tæ55)  	tsoŋ55  	(ʈʰa55koŋ22pe55)  	tsṽ55  	  	  	tsʰoŋ55pa55  	  	  	  	  	  	  	  	  	   
129	sʰua4  	0	blood  	suɔ42  	sua24  	sua55  	sua44  	sua55  	suɑ44  	sʰua44  	sua44  	sua44  	  	  	  	  	  	  	  	  	   
130	tɕen1  	0	tendon; sinew  	tɕen55  	tɕien22  	tɕi24  	tɕi55  	tɕɨ̃55  	tɕien55  	tɕien35  	tɕe35  	tɕĩ55  	  	  	  	  	  	  	  	  	   
132	no2  	0	brains  	nv33  	noŋ22  	no22  	nõ22  	nõ22  	nõ33  	nõ33  	[nao31kʰv55/nao31tsi33]  	nɚ̃22ɕyi22  	  	  	  	  	  	  	  	  	   
133	qua4  	0	bone  	ku42  	qua24  	qua55  	qua44  	qua55  	kuɑ44  	kua44  	kua44  	kua44  	  	  	  	  	  	  	  	  	   
139	drɛ4  	0	tongue  	de42  	djɛ21  	tjE21  	ti21  	ʈɚ42  	tse42  	tʂe42  	tse42  	tsʰɛ42  	  	  	  	  	  	  	  	  	   
143	pʰra4  	0	lung  	tɕʰuo42  	tʂua24  	pʰia55  	tɕʰya44  	tɕʰya55  	pʰio44  	[fi44]  	pʰia44  	pʰio44  	  	  	  	  	  	  	  	  	   
144	sjen1  	0	heart  	ɕien55  	ɕin55  	si24  	sɛ55  	sẽ55  	ɕien55  	ɕien55  	ɕi35  	ɕen55  	  	  	  	  	  	  	  	  	   
145	qaŋ1  	0	liver  	qɔŋ55  	qaŋ55  	qa24  	qo55  	qã55  	kɑ55  	kã35  	ka35  	kaŋ55  	  	  	  	  	  	  	  	  	   
148	r-wu4  	0	stomach  	ʐɚ42  	ʐi22  	zɿ21  	zɛ22  	ʐɚ42  	v42 [/uei55]  	[uei55]]  	v42  	ju42  	  	  	  	  	  	  	  	  	   
149	droŋ1  	0	intestine; guts  	dv35  	-  	tio21  	tʣɨɯ21  	ʈõ21  	tsõ21  	tʂoŋ21  	tsou21  	tsoŋ21  	  	  	  	  	  	  	  	  	   
150	pʰɯ1  	0	bladder  	pʰɯ55  	pʰɯ55  	pʰɯ24  	pʰɯ55  	pʰɯ55  	[kuã33]  	  	  	pʰǝɯ55  	  	  	  	  	  	  	  	  	   
151	sri2  	0	excrement  	ʂi33  	ʂi22  	sɿ22  	sɛ22  	ʂɚ22  	si33  	si33  	si33  	si33  	  	  	  	  	  	  	  	  	   
153	pʰjɛ3  	0	fart  	fɚ21  	pfʰu55  	fE43  	fɛ22  	fe42  	fv31  	fv31  	  	[pʰi21]  	  	  	  	  	  	  	  	  	   
154	ʁaŋ1b  	0	sweat  	ŋɔ35  	ʁaŋ12  	ʁa21  	ŋa21  	ã21  	ŋɑ̃21  	ŋa21  	ŋa21  	ɣaŋ21  	  	  	  	  	  	  	  	  	   
159	nioŋ1b  	0	pus  	nen35  	nõ12  	ɲiu21  	nu21  	nu21  	nṽ21  	jũ21  	nu21  	nǝɯ21  	  	  	  	  	  	  	  	  	   
161	tʰæn1  	0	sound  	tʰiaŋ55  	tʰian55  	tʰiæ24  	tɕʰia55  	ʈã55  	tsʰan55  	tʂʰɚ̃55  	tsʰɛ55  	tsʰɚ55  	  	  	  	  	  	  	  	  	   
162	tsʰoŋ1  	0	corpse  	tsʰoŋ55  	tsʰoŋ55  	tsʰo24  	tsʰo55  	tsõ55  	  	  	  	tsʰoŋ55  	  	  	  	  	  	  	  	  	   
165	haŋ5  	0	Han Chinese  	haŋ21  	haŋ42  	χa43  	xa42  	xa42  	xɑ̃42  	xã42  	  	  	  	  	  	  	  	  	  	  	   
167	njen1b  	0	person  	jen35  	ɲi12  	ɲi21  	ɲi21  	ɲi21  	jen21  	jen21  	ɲi21  	ɲien21  	  	  	  	  	  	  	  	  	   
172	jɔ5  	0	old lady  	jo21  	ja55  	jo43  	  	  	jou42  	jou42  	  	  	  	  	  	  	  	  	  	  	   
173	tsi2  	0	man  	(ɕia55tjʰo21po55)  	tsi22  	(da43xo24)  	tsi22  	tsi2  	tsi33  	tsi33  	tsi44  	tsi33  	  	  	  	  	  	  	  	  	   
174	ŋjo2  	0	woman  	(jen35hoŋ55mo33)  	  	  	ɲyi22  	ɲu22  	jṽ33  	jũ33  	ɲv33  	ɲõ33  	  	  	  	  	  	  	  	  	   
179	kroŋ1  	0	soldier  	tʂẽ55  	  	(næ24tsi22)  	tse55  	tʂɚ̃55  	kṽ55  	kõ55  	kv35  	  	  	  	  	  	  	  	  	  	   
194	djɛ5  	0	thief  	de21(bo42)  	dɛ42  	(tsɿ21)  	ti42  	die42  	(tsɯ42)  	(tsẽ42)  	(tsɯ42)  	den21  	  	  	  	  	  	  	  	  	   
201	dʑa4  	0	friend  	ʐɔ42  	dʑia21  	tʣia21  	tʣio42  	tɕa42  	tɕiɑ42  	tɕia42  	tɕia42  	tɕʰa42  	  	  	  	  	  	  	  	  	   
213	qʰæ4  	0	guest  	qʰa42  	qʰæ24  	qʰæ55  	qʰa44  	qʰa55  	kʰa44  	kʰɚ44  	kʰɛ44  	kʰɚ44  	  	  	  	  	  	  	  	  	   
218	bo2(b)  	0	father  	bo33  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	   
219	mø2  	0	mother  	mo33  	mu22  	mo22  	mo22  	mo22  	mõ33  	mouu33  	mo33  	moŋ33  	  	  	  	  	  	  	  	  	   
220	tsi2  	0	son  	tsi33  	tsi22  	tsi22  	tsi22  	tsi22  	tsi33  	tsi33  	tsi33  	tsi33  	  	  	  	  	  	  	  	  	   
222	njo2  	0	daughter  	jvŋ33  	ɲiõ22  	ɲiu22  	ɲiu22  	ɲiu22  	jṽ33  	jũ33  	ɲiv33  	ɲõ33  	  	  	  	  	  	  	  	  	   
224	sʰuaŋ1  	0	grandson  	suaŋ55  	suaŋ55  	ɕyE24  	sua55  	sõ55  	suɑ̃55  	sʰuaŋ55  	sua55  	suaŋ55  	  	  	  	  	  	  	  	  	   
228	tʰje2  	0	younger brother  	tʰi33  	tʰi22  	tʰi22  	tʰi22  	tʰie22  	tʰi33  	tʰe33  	tʰe33  	tʰɛ33  	  	  	  	  	  	  	  	  	   
229	female+brother  	0	younger sister  	jvŋ33tʰi33  	ɲõ22tʰi22  	[mi24]  	(a55ba42)tʰi22  	(a55pa42)tʰie22  	jṽ33tʰi33  	jũ33tʰi33  	ɲiv33tʰe33  	ɲoŋ33tʰɛ33  	  	  	  	  	  	  	  	  	   
234	di4  	0	nephew  	ʑi42  	dʑi21  	tɕi21  	tɕy55  	tɕĩ42  	tɕi42  	tɕi42  	tɕi42  	tʰi42  	  	  	  	  	  	  	  	  	   
235	njoŋ1+brother  	0	brothers  	jvŋ55tʰi33  	joŋ55tʰi22  	ɲio24tʰi22  	  	  	jõ55tʰi33  	  	  	joŋ55tʰɛ33  	  	  	  	  	  	  	  	  	   
238	ɢɯ̃2  	0	uncle (mother's brother)  	qɯ33  	qɯ22  	qɯ22  	qɯ22  	gɯ̃22  	[tɕiou55tɕou55]  	[a55tɕiou55]  	[tɕou55]  	[tɕi55kǝɯ33]  	  	  	  	  	  	  	  	  	   
249	back+mother  	0	stepmother  	ɣɯ33mo33  	ɣe21mu33  	ɣɯ21mo22  	  	  	ɣǝ33mõ33  	  	  	ɣǝ33moŋ33  	  	  	  	  	  	  	  	  	   
254	ŋɯ1b  	0	cattle  	ŋe35  	ŋe12  	ŋɯ21  	ŋɯ21  	ɯ̃21  	ŋǝ21  	ŋǝ21  	ŋɯ21  	ŋǝɯ21  	  	  	  	  	  	  	  	  	   
263	qɔ4  	0	horn  	qo42  	qao24  	qo55  	qo44  	qo55  	kv44  	ko44  	kv44  	koŋ44  	  	  	  	  	  	  	  	  	   
264	bã1  	0	hoof  	bo35  	bao12  	po21  	pu21  	põ21  	[tʰi55tsi33]  	?  	pa21  	[tʰi55tsi33]  	  	  	  	  	  	  	  	  	   
268	mæ2  	0	horse  	ma33  	mæ22  	mæ22  	ma22  	mo22  	man33  	mɚ33  	mɛ33  	mɚ33  	  	  	  	  	  	  	  	  	   
271	horse+mother  	0	mare  	ma33mo33  	mæ22mu22  	mE22mo22  	  	mo22mo22  	man33mõ33  	mɚ33mõ33  	  	  	  	  	  	  	  	  	  	  	   
271	ɕa4  	0	horse mane  	ɕia42  	ɕia24  	ɕia55  	(mi21)  	(mie21)  	ɕɑ44  	  	[mɛ33tsou35]  	  	  	  	  	  	  	  	  	  	   
274	njo1b  	0	sheep (general)  	joŋ35  	joŋ12  	ɲio21  	ɲiõ21  	ɲiõ21  	jõ21  	joŋ21  	jou21  	joŋ21  	  	  	  	  	  	  	  	  	   
284	dɛ4  	0	pig  	dɛ42  	dɛ21  	tE21  	tɛ42  	te42  	te42  	te42  	te42  	tʰɛ42  	  	  	  	  	  	  	  	  	   
289	qʰuaŋ2  	0	dog  	qʰuaŋ33  	qʰuaŋ22  	qʰua22  	qʰua22  	qʰõ22  	kʰuɑ̃g33 (is this the right form?)  	kʰuaŋ33  	kʰua33  	kʰuaŋ33  	  	  	  	  	  	  	  	  	   
291	xua1  	0	cat  	hɔ42lɔ35  	xua55lao21  	xuæ55lo21  	xua55lo21  	xua55lo21  	ɑ̃ni55  	aŋ55ni55  	a55mi55  	a55ni55tsi33  	  	  	  	  	  	  	  	  	   
293	qɛ1  	0	chicken  	qɛ55  	qɛ55  	qE24  	qɛ55  	qɛ̃55  	ki55  	ke35  	ke35  	ke55  	  	  	  	  	  	  	  	  	   
304	lɔ1b  	0	tiger  	lɔ35  	lao12  	lo21  	lo21  	lo21  	lou21  	lou21  	lo21  	lo21  	  	  	  	  	  	  	  	  	   
306	loŋ1b  	0	dragon  	loŋ35  	lõ12  	lu21  	lu21  	lu21  	lṽ21  	lõ21  	lv21  	loŋ21  	  	  	  	  	  	  	  	  	   
308	suaŋ1  	0	monkey  	(ŋe35)sɔŋ55  	(ʁaŋ12)ɕyen55  	(u21)ɕyE24  	(ŋõ21)sua55  	(õ21)sõ55  	(ɣou21)suɑ̃55  	(u33)suã35  	(ou42)sua35  	  	  	  	  	  	  	  	  	  	   
310	baŋ4/5  	0	leopard; panther  	-  	pi42  	piɛ43  	  	pie42  	pɑ̃42  	pã42  	pa53  	paŋ42  	  	  	  	  	  	  	  	  	   
314	bjo4  	0	muntjac; barking deer  	vɚ42  	bvu21  	(tʰia55)vo21  	wa42  	uo21  	  	  	v42  	v42  	  	  	  	  	  	  	  	  	   
316	ji5+fragrant  	0	musk  	ji21ɕioŋ55  	jen42ɕioŋ55  	ji21ɕio24  	ji42ɕio55  	ji21ɕiõ55  	ji31ɕiõ55  	ʧɛ21ɕiõ35  	ji31ɕiou35  	ji21ɕioŋ55  	  	  	  	  	  	  	  	  	   
319	ɢæ1  	0	hedgehog  	ʁɔ̈̄  	ɢa12  	qa21  	  	qa21  	  	  	ka21  	ken21  	  	  	  	  	  	  	  	  	   
320	sro2  	0	mouse  	ʂv33  	sao22  	ɕu22  	ɕy22  	ɕu22  	sv33  	ʂo33  	sv33  	sou33  	  	  	  	  	  	  	  	  	   
326	tso4  	0	bird  	tsu42  	tsu24  	tsu55  	tsu44  	tso55  	tsou44  	tsou33  	tsou44  	tso44  	  	  	  	  	  	  	  	  	   
327	kʰro3  	0	"birs""s nest  "	tʂʰɚ21  	tʂʰi42  	(tiɯ24)  	tsʰɛ44  	tɕʰɚ42  	kʰv31  	kʰo33  	kʰv33  	tɕʰu21  	  	  	  	  	  	  	  	  	   
340	dʑi2  	0	pheasant  	ʑi33  	dʑi22  	dʑi33  	  	(qo42)tɕyi22  	tɕiɯ33(ki55)  	tɕi33  	(je21ke35)  	(koŋ42ke55/tien33)  	  	  	  	  	  	  	  	  	   
342	tɕu1kɯ1  	0	turtledove  	tɕɯ55kɯ̄̄  	tɕi22kɯ12  	tɕi24kɯ24  	  	tɕi55kɯ55  	  	  	(ku31ku55ku33)  	tɕi55kǝɯ55  	  	  	  	  	  	  	  	  	   
347	pu2  	0	cuckoo  	(qɔ44)pɯ33  	(qe55)pu22  	(qa24)oɯ22  	(ko55)pɯ22  	(ko55)pu22  	  	  	  	(ko55ku22)  	  	  	  	  	  	  	  	  	   
347	kʰro2  	0	snake  	tʂʰɚ̃33  	tʂʰi22  	tsʰɿ22  	ʃʰɛ22  	tɕ↑iɚ̃22  	kʰv33  	kʰo33  	kʰv33  	tɕʰiu33  	  	  	  	  	  	  	  	  	   
349	oŋ1  	0	frog  	oŋ55(ma55)  	õ12(mæ12)  	u21(mæ24)  	(dʑia42)õ21  	õ21(mo55)  	õ21(man55)  	u31(mɚ55)  	ou21(mɛ31tsi33)  	lv44ɛ33mɚ55tsi33  	  	  	  	  	  	  	  	  	   
351	ŋo1a  	0	fish  	ŋv55  	ŋo55  	ŋo24  	ŋu55  	ŋu55  	ṃ55  	võ35  	ŋo35  	oŋ55  	  	  	  	  	  	  	  	  	   
352	qæ4  	0	scale  	qa42  	  	qæ55  	qa44  	qa55  	ka44  	kɚ44  	kɛ44  	kɚ44  	  	  	  	  	  	  	  	  	   
353	dzruŋ1  	0	worm  	ʐv35  	dzao12  	tɕio21  	tɕiu21  	tɕiu21  	tsṽ21  	tʂo21  	tsv21  	dzõ21  	  	  	  	  	  	  	  	  	   
356	ɕi4  	0	louse  	ɕi42  	ɕi24  	ɕi55  	ɕi44  	ɕi55  	ɕi44  	ɕi33  	ɕie44  	ɕi44  	  	  	  	  	  	  	  	  	   
259	dzro1  	0	maggot  	ʐy35  	dzao12  	tɕio21  	tɕiu21  	tɕiu21  	tsṽ21  	tʂo21  	tsv21  	(zen21)  	  	  	  	  	  	  	  	  	   
360	mɯ4  	0	mosquito  	mɯ42  	moŋ24  	mɯ55  	[xɛ42tʰoŋ55] (thoŋ in Wang 2006, probably a mistake)  	mo55  	mǝ̃44  	mõ44  	mɯ44  	mo44  	  	  	  	  	  	  	  	  	   
364	tsji4  	0	leech  	tɕi42  	tɕi42  	tsi55  	tsi44  	tsi55  	tɕi44  	tɕi44  	tɕi44  	tɕi44  	  	  	  	  	  	  	  	  	   
365	bri1bɯ1  	0	ant  	tɕien55(ɕaŋ55)  	dzu12bu12  	tsu43pɯ21  	tɕi21pɯ21  	tɕi21pɯ21  	pien21põ21  	pi21po21  	pi21pɯ21  	pi55pǝɯ21  	  	  	  	  	  	  	  	  	   
367	pʰjuŋ1  	0	bee  	fɚ̃55  	pfuŋ55  	fo24  	xõ55  	xõ55  	fṽ55  	fṽ55  	fv55  	pʰen55  	  	  	  	  	  	  	  	  	   
372	drɯ3  	0	tree  	diɯ21  	dʐi42  	diɯ43  	dʑi42  	ɖɯ42  	tsɯ31  	tʂɯ21  	tsɯ31  	dzǝɯ21  	  	  	  	  	  	  	  	  	   
375	tɛ4  	0	root  	  	te24  	tE55  	tɛ42  	te42  	te44  	te44  	  	(tso33)  	  	  	  	  	  	  	  	  	   
375	mi1a  	0	root  	mɛ21  	  	mE43  	mɛ42  	me42  	  	mi44  	mi44  	  	  	  	  	  	  	  	  	  	   
376	qʰɔ2  	0	leaf  	qʰɔ33  	  	qʰo55  	(dʑi42lɛ21)  	  	kʰou33  	[ɕui33kuo33]  	(ɕyi33li55ta21ko33)  	kʰo33  	  	  	  	  	  	  	  	  	   
382	ɣɯ2  	0	willow  	ɣɯ33  	(ɕi22ji21)  	(ja43)ɣɯ22  	  	  	ɣǝ33  	ɣǝ33  	  	ɣɯ33  	  	  	  	  	  	  	  	  	   
385	zroŋ1  	0	pine  	ʐvŋ35  	zoŋ12  	ju21  	ju21  	v21  	ɕiõ21 (Wang 2006 gives ɕiõ ̲21, is this a mistake?)  	jou21  	jou21  	ʐyen21  	  	  	  	  	  	  	  	  	   
387	mɛ1a  	0	resin, colophony  	mɛ55(tʂi55)  	(ʐoŋ21tɕi22)  	mE24(tsɿ24)  	mɛ̃55(tse44)  	me55(tʂi55)  	mɛ55(tsi33tsi33)  	me35(tʂi35)  	(jou21tsi55)  	mɛ55(tsi33)  	  	  	  	  	  	  	  	  	   
388	mɛ1a  	0	pine torches  	mɛ55(tʂi55)  	men555  	mE24  	(ɕy55ɣo21)  	(u22ne21)  	me55  	me35  	  	  	  	  	  	  	  	  	  	  	   
389	tsro4  	0	bamboo  	tʂv42  	tsao24  	tɕo55  	tɕu44  	tɕu55  	tsv44  	tʂo33  	tsv44  	tsu44  	  	  	  	  	  	  	  	  	   
390	mɛ5  	0	cane, vine  	mɛ21  	men42  	mE43  	mɛ42  	me42  	me42  	me42  	me21  	me21  	  	  	  	  	  	  	  	  	   
391	tsʰe3  	0	thorn; splinter  	tɕʰi121  	  	  	tsʰi42  	tsʰe42  	tɕʰi31  	tɕʰi31  	tɕʰi31  	tɕʰi21  	  	  	  	  	  	  	  	  	   
392	dɔ1  	0	peach  	dɔ35  	dao12  	to21  	to21  	to21  	tɑ21  	ta21  	ta21  	tǝ21  	  	  	  	  	  	  	  	  	   
395	tʰjæ4  	0	persimmon  	tʰa42(ʐɚ33)  	tʰæ24  	tʰiæ55  	tɕʰia55(tsɛ21)  	ʈa55(ʐi22)  	tʰɑ44(tsi31)  	tʰɑ44(tʂi31)  	tʰa44(tsi31)  	tʰɛ42(tsi33)  	  	  	  	  	  	  	  	  	   
397	tsʰji1  	0	Chinese chestnut  	tɕʰi55(ji42)  	tɕʰi55(ʑi21  	tsʰi55(jɯ21)  	(ɕu22)tsʰi55(ji21lɛ21)  	(xa55ne221)  	tɕʰi55(ji31)  	tɕʰ(li44)  	  	(to21ju21)  	  	  	  	  	  	  	  	  	   
403	sɔ4  	0	paddy rice  	  	sao42  	so55  	  	  	  	  	si55  	sv44  	  	  	  	  	  	  	  	  	   
403	ɢɔ1  	0	paddy rice  	ʁɔ35  	  	qo21  	qo21  	qo21  	kou21  	ku21  	kuo21  	  	  	  	  	  	  	  	  	  	   
404	suŋ2  	0	glutinous rice  	sv33  	sao22  	su22  	sy22  	sy22  	sv33  	sõ33  	si55  	sɯ33sɯ33mɛ  	  	  	  	  	  	  	  	  	   
405	trsuŋ2  	0	seed  	tʂvŋ33  	tsoŋ22  	tɕo22  	tɕu22  	tɕõ22  	tsṽ33  	tʂoŋ33  	tsv33  	tsoŋ33  	  	  	  	  	  	  	  	  	   
406	dzri1  	0	(rice) seedling  	ʐɚ35  	dʐi21  	tsɿ21  	tsɛ21  	tɕɚ21  	tsa21  	tʂi31  	tsi21  	dzi21  	  	  	  	  	  	  	  	  	   
407	truæn2  	0	ear; spike  	tjuaŋ33  	tsuan22  	tzE22  	tɕya22  	ʈõ22  	tsuan33  	tʂuɚ̃33  	tsuɛ33  	tsuɚ33  	  	  	  	  	  	  	  	  	   
408	ma4  	0	rice straw  	mo42  	(ɢao24tɕy22)  	ma55  	(qua44)  	(qo55qua55)  	mɑ̃44  	ma44  	ma55  	ma44  	  	  	  	  	  	  	  	  	   
410	mɯ4  	0	wheat  	mɯ42  	moŋ24  	mɯ55  	mɯ55  	mɯ55  	mǝ̃44  	mǝ̃44  	mɯ44  	mǝɯ̃44  	  	  	  	  	  	  	  	  	   
411	zɔ1  	0	barley  	zɔ35  	zao12  	zo43  	zo21  	zao21  	sou21  	zau21  	zo21  	zo21  	  	  	  	  	  	  	  	  	   
413	go1  	0	buckwheat  	gv35  	gao12  	ku21  	kv21  	kv21  	kv21  	ko21  	kv21  	kv21  	  	  	  	  	  	  	  	  	   
414	mɯ4qua4  	0	wheat straw  	mɯn42quo42 (is this a mistake?, not sure, whether this final occurs in other cases. Maybe originally mɯ̃42?)  	moŋ24qua24  	mɯ55qua55  	mɯ55qua44  	mɯ55qua55  	mǝ̃kuɑ44  	mǝ̃kua44  	  	kua44  	  	  	  	  	  	  	  	  	   
419	si2  	0	hemp  	si33  	si33  	si33  	  	  	si33  	si33  	  	si33  	  	  	  	  	  	  	  	  	   
420	tsʰɯ3  	0	vegetable  	tsʰi21  	tsʰe42  	tsʰɿ43  	tsʰi42  	tsʰɯ42  	tsʰɯ31  	tsʰɯ31  	tsʰɯ31  	tsʰǝɯ21  	  	  	  	  	  	  	  	  	   
423	tsʰuŋ1  	0	onion, scallion  	tsʰv55  	tsʰ55  	tsʰo42  	tsʰoŋ55  	tsʰo55  	tsʰṽ55  	tsʰõ55  	tsʰi55[/fi31tsʰu31]  	tsʰoŋ55  	  	  	  	  	  	  	  	  	   
424	sʰuaŋ3  	0	garlic  	soŋ21  	suaŋ42  	ɕyE42  	sua42  	suã42  	suɑ31  	sʰuaŋ31  	sua31  	suaŋ21  	  	  	  	  	  	  	  	  	   
425	koŋ1  	0	ginger  	koŋ55  	koŋ55  	ko24  	ku55  	koŋ55  	kõ55  	koŋ55  	kou35  	koŋ55  	  	  	  	  	  	  	  	  	   
430	dɯ5  	0	pea; bean  	djɯ21  	di42  	dɯ43  	dɯ42  	dɯ42  	tǝ̃31  	tɯ31  	tɯ31  	tɯ31dǝɯ21  	  	  	  	  	  	  	  	  	   
437	sreŋ2  	0	mushroom  	ʂɚ̃33  	ʂẽ22  	ɕiæ  	sɛ22  	ʂɚ̃22  	san33  	(tɕʰɚ55mu33)  	sɛ33  	sen33  	  	  	  	  	  	  	  	  	   
439	mǝ2  	0	rice  	mi33  	mi22  	mi22  	mi22  	mi22  	me33  	me33  	me33  	mɛ33  	  	  	  	  	  	  	  	  	   
443	ɢæ1  	0	meat  	ʁa35  	ɢæ12  	qæ21  	qa21  	qa21  	ka21  	kɚ21  	kɛ21  	kɚ21  	  	  	  	  	  	  	  	  	   
