ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CHARACTER	CONCEPTICON_ID	VALUE	SOURCE
162	Heping	Hp	wait	等	1590	ten³	Norman2003
163	Zhenqian	Zq	wait	等	1590	teuŋ³	Norman2003
164	Jianchuan	Jc	wait	等	1590	tɯ¹	Xu1984
165	Jiangshan	Js	wait	等	1590	tœ̃³	Norman2003
111	Common_Chinese	CC	water	水	948	*shyi³	Norman2003
112	Beijing	Bj	water	水	948	ʂui³	BeijingDaxue1964
113	Suzhou	Sz	water	水	948	sɥ³	BeijingDaxue1964
114	Nanchang	Nc	water	水	948	sui³	BeijingDaxue1964
115	Meixian	Mx	water	水	948	sui³	BeijingDaxue1964
116	Guangzhou	Gz	water	水	948	sœy³	BeijingDaxue1964
117	Jiangyong	Jy	water	水	948	ɕya³	Huang1993
118	Heping	Hp	water	水	948	sui³	Norman2003
119	Zhenqian	Zq	water	水	948	sui³	Norman2003
120	Jianchuan	Jc	water	水	948	ɕui¹	Xu1984
121	Jiangshan	Js	water	水	948	yi³	Norman2003
397	Common_Chinese	CC	white	白	1335	*bak⁸	Norman2003
398	Beijing	Bj	white	白	1335	pai²	BeijingDaxue1964
399	Suzhou	Sz	white	白	1335	bɐʔ⁸	BeijingDaxue1964
400	Nanchang	Nc	white	白	1335	pʰak⁸	BeijingDaxue1964
401	Meixian	Mx	white	白	1335	pʰak⁸	BeijingDaxue1964
402	Guangzhou	Gz	white	白	1335	pak⁸	BeijingDaxue1964
403	Jiangyong	Jy	white	白	1335	pɯə⁶	Huang1993
404	Heping	Hp	white	白	1335	pʰaʔ⁴	Norman2003
405	Zhenqian	Zq	white	白	1335	pa⁶	Norman2003
406	Jianchuan	Jc	white	白	1335	pε⁷	Xu1984
407	Jiangshan	Js	white	白	1335	baʔ⁸	Norman2003
