DOCULECT	SOURCE	CLPA	STRUCTURE	NOTE
Shenyang	uei	u e i	m n N	
Shenyang	uan	u a n	m n c	
Shenyang	uən	u ə n	m n c	
Shenyang	uaŋ	u a ŋ	m n c	
Shenyang	uŋ	u ŋ	n c	
Shenyang	uəŋ	u ə ŋ	m n c	
Shenyang	y	y	n	
Shenyang	yə	y ə	m n	
Shenyang	yan	y a n	m n c	
Shenyang	yn	y n	n c	
Shenyang	yŋ	y ŋ	n c	
Shenyang	³³	³³	t/ip	
Shenyang	³⁵	³⁵	t/ap	
Shenyang	³⁵/²¹³	³⁵/²¹³	t/s	
Shenyang	²¹/²¹³	²¹/²¹³	t/s	
Shenyang	²¹³	²¹³	t/s	
Shenyang	⁴¹	⁴¹	t/q	
Suzhou	p	p	i	
Suzhou	p’	pʰ	i	
Suzhou	b	b	i	
Suzhou	m	m	i	
Suzhou	f	f	i	
Suzhou	v	v	i	
Suzhou	t	t	i	
Suzhou	t’	tʰ	i	
Suzhou	d	d	i	
Suzhou	n	n	i	
Suzhou	l	l	i	
Suzhou	ts	ts	i	
Suzhou	ts’	tsʰ	i	
Suzhou	s	s	i	
Suzhou	z	z	i	
Suzhou	tɕ	tɕ	i	
Suzhou	tɕ’	tɕʰ	i	
Suzhou	dʑ	dʑ	i	
Suzhou	ȵ	ɲ	i	
Suzhou	ɕ	ɕ	i	
Suzhou	k	k	i	
Suzhou	k’	kʰ	i	
Suzhou	g	g	i	
Suzhou	ŋ	ŋ	i	
Suzhou	h	h	i	
Suzhou	ɦ	ɦ	i	
Suzhou	Ø	NULL	i	
Suzhou	ɿ	ɿ	n	
Suzhou	ʮ	ʮ	n	
Suzhou	ɒ	ɒ	n	
Suzhou	ᴇ	ᴇ	n	
Suzhou	æ	æ	n	
Suzhou	o	o	n	
Suzhou	ø	ø	n	
Suzhou	ʏ	ʏ	n	
Suzhou	əu	ə u	n N	
Suzhou	ən	ə n	n c	
Suzhou	aŋ	a ŋ	n c	
Suzhou	ɒŋ	ɒ ŋ	n c	
Suzhou	oŋ	o ŋ	n c	
Suzhou	ɒʔ	ɒ ʔ	n c	
Suzhou	aʔ	a ʔ	n c	
Suzhou	ɤʔ	ɤ ʔ	n c	
Suzhou	oʔ	o ʔ	n c	
Suzhou	i	i	n	
Suzhou	iɒ	i ɒ	m n	
Suzhou	iæ	i æ	m n	
Suzhou	io	i o	m n	
Suzhou	iø	i ø	m n	
Suzhou	iɪ	i ɪ	m n	
Suzhou	iʏ	i ʏ	m n	
Suzhou	in	i n	n c	
Suzhou	iaŋ	i a ŋ	m n c	
Suzhou	iɒŋ	i ɒ ŋ	m n c	
Suzhou	ioŋ	i o ŋ	m n c	
Suzhou	iɒʔ	i ɒ ʔ	m n c	
Suzhou	iaʔ	i a ʔ	m n c	
Suzhou	ioʔ	i o ʔ	m n c	
Suzhou	iɪʔ	i ɪ ʔ	m n c	
Suzhou	u	u	m	
Suzhou	uɒ	u ɒ	m n	
Suzhou	uᴇ	u ᴇ	m n	
Suzhou	uø	u ø	m n	
Suzhou	uən	u ə n	m n c	
Suzhou	uaŋ	u a ŋ	m n c	
Suzhou	uɒŋ	u ɒ ŋ	m n c	
Suzhou	uaʔ	u a ʔ	m n c	
Suzhou	uɤʔ	u ɤ ʔ	m n c	
Suzhou	y	y	n	
Suzhou	yən	y ə n	m n c	
Suzhou	yaʔ	y a ʔ	m n c	
Suzhou	yɤʔ	y ɤ ʔ	m n c	
Suzhou	l̩	l̩ l	n c	
Suzhou	m̩	m̩ ∼	n c	
Suzhou	n̩	n̩ ∼	n c	
Suzhou	ŋ̍	ŋ̍ ∼	n c	
Suzhou	⁴⁴	⁴⁴	t/ip	
Suzhou	²⁴	²⁴	t/ap	
Suzhou	⁴¹	⁴¹	t/s	
Suzhou	⁵¹³	⁵¹³	t/iq	
Suzhou	³¹	³¹	t/aq	
Suzhou	⁴	⁴	t/ir	
Suzhou	²³	²³	t/ar	
Jinan	p	p	i	
Jinan	p’	pʰ	i	
Jinan	m	n	i	
Jinan	f	f	i	
Jinan	t	t	i	
Jinan	t’	tʰ	i	
Jinan	n	n	i	
Jinan	l	l	i	
Jinan	ts	ts	i	
Jinan	ts’	tsʰ	i	
Jinan	s	s	i	
Jinan	tʂ	ʈʂ	i	
Jinan	tʂ’	ʈʂʰ	i	
Jinan	ʂ	ʂ	i	
Jinan	ʐ	ʐ	i	
Jinan	tɕ	tɕ	i	
Jinan	tɕ’	tɕʰ	i	
Jinan	ȵ	ɲ	i	
Jinan	ɕ	ɕ	i	
Jinan	k	k	i	
Jinan	k’	kʰ	i	
Jinan	ŋ	ŋ	i	
Jinan	x	x	i	
Jinan	Ø	NULL	i	
Jinan	ɿ	ɿ	n	
Jinan	ʅ	ʅ	n	
Jinan	ɚ	ɚ/ə	n	
Jinan	a	a	n	
Jinan	ɛ	ɛ	n	
Jinan	o	o	n	
Jinan	ə	ə	n	
Jinan	ei	e i	n N	
Jinan	ou	o u	n N	
Jinan	æ̃	æ̃ ∼	n c	
Jinan	ẽ	ẽ ∼	n c	
Jinan	aŋ	a ŋ	n N	
Jinan	əŋ	ə ŋ	n N	
Jinan	i	i	n	
Jinan	ia	i a	m n	
Jinan	iɛ	i ɛ	m n	
Jinan	io	i o	m n	
Jinan	ie	i e	m n	
Jinan	iou	i o u	m n N	
Jinan	iæ̃	i æ̃ ∼	m n c	
Jinan	iẽ	i ẽ ∼	m n c	
Jinan	ia	i a	m n	
Jinan	iŋ	i ŋ	n c	
Jinan	u	u	n	
Jinan	ua	u a	m n	
Jinan	uɛ	u ɛ	m n	
