CDDB	ID
Beijing	一
Hefei	七
Shenyang	三
Suzhou	九
Jinan	二
Chengdu	五
Yangzhou	八
Kunming	六
Wenzhou	十
Changsha	十一
Chaozhou	十七
Meixian	十三
Nanchang	十二
Yangjiang	十五
Fuzhou	十八
Xiamen	十六
Guangzhou	十四
Xi_an	四
