CDDB	ID
Beijing	1
Jinan	2
Xi_an	3
Taiyuan	4
Wuhan	5
Chengdu	6
Hefei	7
Yangzhou	8
Suzhou	9
Wenzhou	10
Changsha	11
Shuangfeng	12
Nanchang	13
Meixian	14
Guangzhou	15
Yangjiang	16
Xiamen	17
Chaozhou	18
Fuzhou	19
Jian_ou	20
