ID	DOCULECT	CONCEPT	CONCEPTICON_ID	VALUE	SEGMENTS	STRUCTURE	COGIDS
3665	Eryuan	CLS for knife	2082	tsɯ³³	ts ɯ ³³	i n t	1430
3666	Heqing	CLS for knife	2082	tsɿ³³	ts ɿ ³³	i n t	1430
3667	Lanping	CLS for knife	2082	tsɯ̃³³	ts ɯ̃ ∼ ³³	i n c t	1430
3668	Qiliqiao	CLS for knife	2082	tsɿ³³	ts ɿ ³³	i n t	1430
3669	Yunlong	CLS for knife	2082	tsɯ³³	ts ɯ ³³	i n t	1430
3670	Xiangyun	CLS for knife	2082	tsɿ³³	ts ɿ ³³	i n t	1430
3671	Luobenzhuo	CLS for knife	2082	tɕi³³	tɕ i ³³	i n t	1430
3672	Zhoucheng	CLS for knife	2082	tsɿ³³	ts ɿ ³³	i n t	1430
3736	Jianchuan	CLS for pair of shoes	2089	tɕĩ³³	tɕ ĩ ∼ ³³	i n c t	1436
3737	Eryuan	CLS for pair of shoes	2089	tɕi³³	tɕ i ³³	i n t	1436
3738	Heqing	CLS for pair of shoes	2089	tɕĩ³³	tɕ ĩ ∼ ³³	i n c t	1436
3739	Lanping	CLS for pair of shoes	2089	tɕĩ³³	tɕ ĩ ∼ ³³	i n c t	1436
3740	Qiliqiao	CLS for pair of shoes	2089	tɕi³³	tɕ i ³³	i n t	1436
3741	Yunlong	CLS for pair of shoes	2089	dze³³	dz e ³³	i n t	1436
3742	Xiangyun	CLS for pair of shoes	2089	jĩ³³	j ĩ ∼ ³³	i n c t	1437
3743	Luobenzhuo	CLS for pair of shoes	2089	zẽ³³	z ẽ ∼ ³³	i n c t	1438
3744	Zhoucheng	CLS for pair of shoes	2089	tɕi³³	tɕ i ³³	i n t	1436
3637	Jianchuan	CLS for person	516	jĩ³¹	j ĩ ∼ ³¹	i n c t	1426
3638	Eryuan	CLS for person	516	ɲi²¹	ɲ i ²¹	i n t	1426
3639	Heqing	CLS for person	516	tɯ²¹‹›ji²¹	j i ²¹	i n t	1426
3640	Lanping	CLS for person	516	jĩ²¹	j ĩ ∼ ²¹	i n c t	1426
3641	Qiliqiao	CLS for person	516	ɲi²¹	ɲ i ²¹	i n t	1426
3642	Yunlong	CLS for person	516	ɲi²¹	ɲ i ²¹	i n t	1426
3643	Xiangyun	CLS for person	516	i⁴⁴/we³¹/kɯ⁴²	i ⁴⁴	n t	1426
3644	Luobenzhuo	CLS for person	516	ɲi³¹	ɲ i ³¹	i n t	1426
3645	Zhoucheng	CLS for person	516	ɲi³¹	ɲ i ³¹	i n t	1426
3682	Jianchuan	CLS for rope	2084	jɯ̃⁴²	j ɯ̃ ∼ ⁴²	i n c t	1432
3683	Eryuan	CLS for rope	2084	ɲɯ⁴²	ɲ ɯ ⁴²	i n t	1432
