DOCULECT	SOURCE	CLPA	STRUCTURE	NOTE
Heqing	x	x	i	initial	
Heqing	xʰ	xʰ	i	initial	
Heqing	z	z	i	initial	
Heqing	ŋ	ŋ	i	initial	
Heqing	ɕ	ɕ	i	initial	
Heqing	ɕʰ	ɕʰ	i	initial	
Heqing	21	²¹	t	tone	
Heqing	31	³¹	t	tone	
Heqing	33	³³	t	tone	
Heqing	35	³⁵	t	tone	
Heqing	42	⁴²	t	tone	
Heqing	44	⁴⁴	t	tone	
Heqing	55	⁵⁵	t	tone	
Heqing	a	a	n	vowel	
Heqing	e	e	n	vowel	
Heqing	i	i	n	vowel	
Heqing	o	o	n	vowel	
Heqing	u	u	n	vowel	
Heqing	v̩	v̩	n	vowel	
Heqing	y	y	n	vowel	
Heqing	ã	ã ∼	n c	vowel	
Heqing	õ	õ ∼	n c	vowel	
Heqing	ĩ	ĩ ∼	n c	vowel	
Heqing	ũ	ũ ∼	n c	vowel	
Heqing	ɔ	ɔ	n	vowel	
Heqing	ɔ̃	ɔ̃ ∼	n c	vowel	
Heqing	ɛ	ɛ	n	vowel	
Heqing	ɛ̃	ɛ̃ ∼	n c	vowel	
Heqing	ɯ	ɯ	n	vowel	
Heqing	ɿ	ɿ	n	vowel	
Heqing	ẽ	ẽ ∼	n c	vowel	
Heqing	ỹ	ỹ ∼	n c	vowel	
Lanping	ao	a o	n c	diphtong	
Lanping	ia	i a	m n	diphtong	
Lanping	iã	i ã	m n	diphtong	
Lanping	iɛ	i ɛ	m n	diphtong	
Lanping	iɛ̃	i ɛ̃ ∼	m n c	diphtong	
Lanping	iɯ	i ɯ	m n	diphtong	
Lanping	iɯ̃	i ɯ̃ ∼	m n c	diphtong	
Lanping	ua	u a	m n	diphtong	
Lanping	ue	u e	m n	diphtong	
Lanping	uã	u ã ∼	m n c	diphtong	
Lanping	uɔ	u ɔ	m n	diphtong	
Lanping	uɔ̃	u ɔ̃ ∼	m n c	diphtong	
Lanping	uɛ	u ɛ	m n	diphtong	
Lanping	uɛ̃	u ɛ̃ ∼	m n c	diphtong	
Lanping	uẽ	u ẽ ∼	m n c	diphtong	
Lanping	ão	ã o ∼	m n c	diphtong	
Lanping	f	f	i	initial	
Lanping	j	j	i	initial	
Lanping	k	k	i	initial	
Lanping	kʰ	kʰ	i	initial	
Lanping	l	l	i	initial	
Lanping	m	m	i	initial	
Lanping	n	n	i	initial	
Lanping	p	p	i	initial	
Lanping	pʰ	pʰ	i	initial	
Lanping	s	s	i	initial	
Lanping	t	t	i	initial	
Lanping	ts	ts	i	initial	
Lanping	tsʰ	tsʰ	i	initial	
Lanping	tɕ	tɕ	i	initial	
Lanping	tɕʰ	tɕʰ	i	initial	
Lanping	tʰ	tʰ	i	initial	
Lanping	v	v	i	initial	
Lanping	w	w	i	initial	
Lanping	x	x	i	initial	
Lanping	ŋ	ŋ	i	initial	
Lanping	ɕ	ɕ	i	initial	
Lanping	ɣ	ɣ	i	initial	
Lanping	ʐ	ʐ	i	initial	
Lanping	ʝ	ʝ	i	initial	
Lanping	21	²¹	t	tone	
Lanping	31	³¹	t	tone	
Lanping	33	³³	t	tone	
Lanping	35	³⁵	t	tone	
Lanping	42	⁴²	t	tone	
Lanping	44	⁴⁴	t	tone	
Lanping	55	⁵⁵	t	tone	
Lanping	a	a	n	vowel	
Lanping	e	e	n	vowel	
Lanping	i	i	n	vowel	
Lanping	o	o	n	vowel	
Lanping	u	u	n	vowel	
Lanping	y	y	n	vowel	
Lanping	ã	ã ∼	n c	vowel	
Lanping	õ	õ ∼	n c	vowel	
Lanping	ĩ	ĩ ∼	n c	vowel	
Lanping	ũ	ũ ∼	n c	vowel	
Lanping	ɔ	ɔ	n	vowel	
Lanping	ɔ̃	ɔ̃ ∼	n c	vowel	
Lanping	ɛ	ɛ	n	vowel	
Lanping	ɛ̃	ɛ̃ ∼	n c	vowel	
Lanping	ɯ	ɯ	n	vowel	
Lanping	ɯ̃	ɯ̃ ∼	n c	vowel	
Lanping	ẽ	ẽ ∼	n c	vowel	
Lanping	ỹ	ỹ ∼	n c	vowel	
Zhoucheng	ia	i a	m n	diphtong	
Zhoucheng	iɔ	i ɔ	m n	diphtong	
Zhoucheng	iɛ	i ɛ	m n	diphtong	
Zhoucheng	ua	u a	m n	diphtong	
Zhoucheng	ue	u e	m n	diphtong	
Zhoucheng	uɔ	u ɔ	m n	diphtong	
Zhoucheng	uɛ	u ɛ	m n	diphtong	
Zhoucheng	f	f	i	initial	
Zhoucheng	j	j	i	initial	
Zhoucheng	k	k	i	initial	
Zhoucheng	kʰ	kʰ	i	initial	
Zhoucheng	kʲ	kʲ	i	initial	
Zhoucheng	l	l	i	initial	
Zhoucheng	m	m	i	initial	
Zhoucheng	n	n	i	initial	
Zhoucheng	p	p	i	initial	
Zhoucheng	pʰ	pʰ	i	initial	
Zhoucheng	s	s	i	initial	
Zhoucheng	t	t	i	initial	
Zhoucheng	ts	ts	i	initial	
Zhoucheng	tsʰ	tsʰ	i	initial	
Zhoucheng	tɕ	tɕ	i	initial	
Zhoucheng	tɕʰ	tɕʰ	i	initial	
Zhoucheng	tʰ	tʰ	i	initial	
Zhoucheng	v	v	i	initial	
Zhoucheng	w	w	i	initial	
Zhoucheng	x	x	i	initial	
Zhoucheng	z	z	i	initial	
Zhoucheng	ŋ	ŋ	i	initial	
Zhoucheng	ȵ	ɲ	i	initial	
Zhoucheng	ɕ	ɕ	i	initial	
Zhoucheng	ɣ	ɣ	i	initial	
Zhoucheng	21	²¹	t	tone	
Zhoucheng	31	³¹	t	tone	
Zhoucheng	32	³²	t	tone	
Zhoucheng	33	³³	t	tone	
Zhoucheng	35	³⁵	t	tone	
Zhoucheng	44	⁴⁴	t	tone	
Zhoucheng	52	⁵²	t	tone	
Zhoucheng	55	⁵⁵	t	tone	
Zhoucheng	a	a	n	vowel	
Zhoucheng	e	e	n	vowel	
Zhoucheng	i	i	n	vowel	
Zhoucheng	o	o	n	vowel	
Zhoucheng	u	u	n	vowel	
Zhoucheng	v̩	v̩	n	vowel	
Zhoucheng	y	y	n	vowel	
Zhoucheng	ɔ	ɔ	n	vowel	
Zhoucheng	ɛ	ɛ	n	vowel	
Zhoucheng	ɯ	ɯ	n	vowel	
Zhoucheng	ɿ	ɿ	n	vowel	
Qiliqiao	ia	i a	m n	diphtong	
Qiliqiao	iɔ	i ɔ	m n	diphtong	
Qiliqiao	iɛ	i ɛ	m n	diphtong	
Qiliqiao	ua	u a	m n	diphtong	
Qiliqiao	ue	u e	m n	diphtong	
Qiliqiao	uɔ	u ɔ	m n	diphtong	
Qiliqiao	uɛ	u ɛ	m n	diphtong	
Qiliqiao	f	f	i	initial	
Qiliqiao	j	j	i	initial	
Qiliqiao	k	k	i	initial	
Qiliqiao	kʰ	kʰ	i	initial	
Qiliqiao	l	l	i	initial	
Qiliqiao	m	m	i	initial	
Qiliqiao	n	n	i	initial	
Qiliqiao	p	p	i	initial	
Qiliqiao	pʰ	pʰ	i	initial	
Qiliqiao	s	s	i	initial	
Qiliqiao	t	t	i	initial	
Qiliqiao	ts	ts	i	initial	
Qiliqiao	tsʰ	tsʰ	i	initial	
Qiliqiao	tɕ	tɕ	i	initial	
Qiliqiao	tɕʰ	tɕʰ	i	initial	
Qiliqiao	tʃ	tʃ	i	initial	
Qiliqiao	tʃʰ	tʃʰ	i	initial	
Qiliqiao	tʰ	tʰ	i	initial	
Qiliqiao	v	v	i	initial	
Qiliqiao	w	w	i	initial	
Qiliqiao	x	x	i	initial	
Qiliqiao	z	z	i	initial	
Qiliqiao	ŋ	ŋ	i	initial	
Qiliqiao	ȵ	ɲ	i	initial	
