	Suzhou	Wenzhou	Guangzhou	Xiamen	Fuzhou	Chaozhou	Meixian	Nanchang	Changsha	Taiyuan	Beijing	Jinan	Hankou	Chengdu	Xi_an
Suzhou	1	.312	.184	.079	.123 	 .097	  .182 	 .375	.345		.298	.309		.295	.316
Wenzhou	.312	1	.194	.102	.141	.101	.189	.281	.261		.217	.231		.211	.221
Guangzhou	.184	.194	1	.170	.164  	.211	  .302 	 .245	.227		.548	.221		.171	.209
Xiamen	.079	.102	.170	1	.280	.338  .165  .133			.119		.198	.164		.089	.133
Fuzhou	.123	.141	.164	.280	1	.245	.141	.184	.160		.269	.218		.139	.201
Chaozhou	.097	.101	.211	.338	.245	1	.185	.149	.135		.213	.173		.098	.139
Meixian	.182	.189	.302	.165	.141	.185	1	.272	.226		.214	.212		.165	.201
Nanchang	.375	.281	.245	.133	.184	.149	.272	1	.555		.442	.454		.423	.447
Changsha	.345	.261	.227	.119	.160	.135	.226	.555	1		.461	.487		.485	.483
Taiyuan															
Beijing	.289	.217	.240	.198	.269	.213	.214	.442	.461		1	.671		.447	.610
Jinan	.309	.231	.221	.164	.218	.173	.212	.454	.487		.671	1		.453	.607
Hankou															
Chengdu	.295	.211	.171	.089	.139	.098	.165	.423	.485		.447	.453		1	.487
Xi’an	.316	.221	.209	.133	.201	.139	.201	.447	.483		.610	.607		.487	1
