ID	CHARACTER	SIMPLIFIED_CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEGMENTS	CONTEXT	CONCEPT	COGNATE_CLASS
7374	員	员	yún	Middle_Chinese	MC	hjun	ɣ j u n /¹	i m n c t	(a particle)	3689
7375	員	员	yún	Old_Chinese	OC	*ɢʷən {*[ɢ]ʷə[n]}	ɢʷ ə n	i n c	(a particle)	3689
1281	爾	尔	ěr	Middle_Chinese	MC	nyeX	ɲ e /²	i n t	(adv. suffix)	641
1282	爾	尔	ěr	Old_Chinese	OC	*neʔ {*ne(j)ʔ}	n e ʔ	i n C	(adv. suffix)	641
441	曾	曾	céng	Middle_Chinese	MC	dzong	dz o ŋ /¹	i n c t	(adverb indicating past time)	221
442	曾	曾	céng	Old_Chinese	OC	*dzˁəŋ {*[dz]ˁəŋ}	dzˤ ə ŋ	i n c	(adverb indicating past time)	221
6950	鎰	镒	yì	Middle_Chinese	MC	yit	j i t /⁴	i n c t	(an ancient weight)	3477
6951	鎰	镒	yì	Old_Chinese	OC	*ɢik {*[ɢ](r)ik}	ɢ i k	i n c	(an ancient weight)	3477
7826	致	致	zhì	Middle_Chinese	MC	trijH	ʈ i j /³	i n c t	(cause to arrive): transmit	3915
7827	致	致	zhì	Old_Chinese	OC	*trit-s {*tri[t]-s}	t r i t s	i m n c S	(cause to arrive): transmit	3915
5798	惟	惟	wéi	Middle_Chinese	MC	ywij	j w i j /¹	i m n c t	(copula); namely	2901
5799	惟	惟	wéi	Old_Chinese	OC	*ɢʷij	ɢʷ i j	i n c	(copula); namely	2901
6962	殷	殷	yīn	Middle_Chinese	MC	ʔjɨn	ʔ j ɨ n /¹	i m n c t	(dynastic name)	3483
6963	殷	殷	yīn	Old_Chinese	OC	*ʔər	ʔ ə r	i n c	(dynastic name)	3483
5012	蝕	蚀	shí	Middle_Chinese	MC	zyik	ʑ i k /⁴	i n c t	(eat:) eclipse	2508
5013	蝕	蚀	shí	Old_Chinese	OC	*mə-lək	m ə l ə k	P N i n c	(eat:) eclipse	2508
2409	姬	姬	jī	Middle_Chinese	MC	ki	k i /¹	i n t	(family name)	1205
2410	姬	姬	jī	Old_Chinese	OC	*kə {*[k](r)ə}	k ə	i n	(family name)	1205
5942	兮	兮	xī	Middle_Chinese	MC	hej	ɣ e j /¹	i n c t	(final particle)	2973
5943	兮	兮	xī	Old_Chinese	OC	*ɡˁe	gˤ e	i n	(final particle)	2973
6766	也	也	yě	Middle_Chinese	MC	yæX	j æ /²	i n t	(final particle)	3385
6767	也	也	yě	Old_Chinese	OC	*lajʔ {*lAjʔ}	l a j ʔ	i n c C	(final particle)	3385
