ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
879	difficult	584	DIFFICULT
880	loose / lax	2506	LOOSE
881	tight		
882	smooth	1234	SMOOTH
883	hot	1286	HOT
884	cold	1287	COLD
885	warm	1232	WARM
886	cool		
887	sour	1906	SOUR
888	sweet	717	SWEET
889	bitter	887	BITTER
890	hot (spicy)		
891	salty	1091	SALTY
892	fragrant	376	FRAGRANT
893	delicious		
894	stinky		
895	fishy		
896	full / satiated	106	SATIATED
897	hungry	1533	BE HUNGRY
898	thirsty	847	THIRSTY
899	tired	1757	TIRED
900	itch	148	ITCH
901	pain / ache	1783	PAIN
902	right / correct	2231	CORRECT (SOMETHING OR SOMEBODY)
903	wrong / mistaken	1390	WRONG
904	intelligent		
905	stupid	1518	STUPID
906	diligent	2077	DILIGENT
907	lazy	1564	LAZY
908	glad		
909	poor	1674	POOR
910	rich	712	RICH
911	one	1493	ONE
912	two	1498	TWO
913	three	492	THREE
914	four	1500	FOUR
915	five	493	FIVE
916	six	1703	SIX
917	seven	1704	SEVEN
918	eight	1705	EIGHT
919	nine	1483	NINE
920	ten	1515	TEN
921	eleven	1706	ELEVEN
922	twelve	1707	TWELVE
923	thirteen	1708	THIRTEEN
924	fourteen		
925	fifteen	1709	FIFTEEN
926	sixteen	2454	SIXTEEN
927	seventeen	2453	SEVENTEEN
928	eighteen	1713	EIGHTEEN
929	nineteen	1714	NINETEEN
930	twenty	1710	TWENTY
931	twenty-one		
932	thirty	1715	THIRTY
933	forty	1716	FORTY
934	fifty	1717	FIFTY
935	sixty	1718	SIXTY
936	seventy	1721	SEVENTY
937	eighty	1722	EIGHTY
938	ninety	1724	NINETY
939	hundred	1634	HUNDRED
940	thousand	1843	THOUSAND
941	ten thousand	2078	TEN THOUSAND
942	hundred million		
943	zero	1294	ZERO
944	first	728	FIRST
945	fifth		
946	eighth		
947	half	816	HALF
948	classifier for people		
949	classifier for e.g. bowls		
950	classifier for trees		
951	classifier for animals		
952	classifier for objects with ha		
953	classifier for long objects		
954	classifier for long, thin obje		
955	classifier for grains		
956	drop	2087	DROP (CLASSIFIER)
957	classifier for clothes		
958	pair	1888	PAIR
959	fathom=6 feet		
960	handspan		
961	inch		
962	foot (measure)	2098	FOOT OR LEG
963	acre		
964	dry measure / pint		
965	dry measure / peck / =10 shēng		
966	tael		
967	catty=500 grams		
968	monetary unit / dollar		
969	I	1209	I
970	we two	2634	WE TWO
971	we	1130	WE (EXCLUSIVE)
972	we (inclusive)	1131	WE (INCLUSIVE)
973	you (sg.)	1213	YOU
974	you two	2111	YOU TWO
975	you (pl.)	2312	YOU (OBLIQUE CASE OF YOU)
976	he / she	1211	HE
977	they two	2635	THEY TWO
978	they	817	THEY
979	self	1993	SELF
980	others		
981	this		
982	here	136	HERE
983	that	78	THAT
984	there	1937	THERE
985	who	1235	WHO
986	what	1236	WHAT
987	which	727	WHICH
988	where	1237	WHERE
989	how many / much	822	HOW MANY
990	just now		
991	first		
992	later (in time)		
993	immediately / right away	1963	IMMEDIATELY
994	often	1852	OFTEN
