VARIETY	TYPE	VALUE	ALLOPHONES	CONTEXT
Lanping	vowel	ẽ		
Lanping	vowel	õ		
Lanping	vowel	ɛ̃		
Lanping	vowel	ɔ̃		
Lanping	vowel	ã		
Lanping	diphtong	iɯ		
Lanping	diphtong	ue		
Lanping	diphtong	ao		
Lanping	diphtong	iɛ		
Lanping	diphtong	uɛ		
Lanping	diphtong	uɔ		
Lanping	diphtong	ia		
Lanping	diphtong	ua		
Lanping	diphtong	iɯ̃		
Lanping	diphtong	uẽ		
Lanping	diphtong	ão		
Lanping	diphtong	iɛ̃		
Lanping	diphtong	uɛ̃		
Lanping	diphtong	uɔ̃		
Lanping	diphtong	iã		
Lanping	diphtong	uã		
Luobenzhuo	tone	55		
Luobenzhuo	tone	44		
Luobenzhuo	tone	33		
Luobenzhuo	tone	35		
Luobenzhuo	tone	42		
Luobenzhuo	tone	31		
Luobenzhuo	tone	21		
Luobenzhuo	initial	b		
Luobenzhuo	initial	d		
Luobenzhuo	initial	ɖ		
Luobenzhuo	initial	g		
Luobenzhuo	initial	p		
Luobenzhuo	initial	t		
Luobenzhuo	initial	ʈ		
Luobenzhuo	initial	c		
Luobenzhuo	initial	k		
Luobenzhuo	initial	q		
Luobenzhuo	initial	ʔ		
Luobenzhuo	initial	pʰ		
Luobenzhuo	initial	tʰ		
Luobenzhuo	initial	ʈʰ		
Luobenzhuo	initial	cʰ		
Luobenzhuo	initial	kʰ		
Luobenzhuo	initial	qʰ		
Luobenzhuo	initial	m		
Luobenzhuo	initial	n		
Luobenzhuo	initial	ȵ		
Luobenzhuo	initial	ŋ		
Luobenzhuo	initial	ɴ		
Luobenzhuo	initial	ɴ̥		
Luobenzhuo	initial	l		
Luobenzhuo	initial	f		
Luobenzhuo	initial	s		
Luobenzhuo	initial	ʂ		
Luobenzhuo	initial	ɕ		
Luobenzhuo	initial	x		
Luobenzhuo	initial	χ		
Luobenzhuo	initial	v		
Luobenzhuo	initial	z		
Luobenzhuo	initial	ʐ		
Luobenzhuo	initial	dʐ		
Luobenzhuo	initial	dʑ		
Luobenzhuo	initial	ts		
Luobenzhuo	initial	tʂ	tʃ/_[u]	
Luobenzhuo	initial	tɕ		
Luobenzhuo	initial	tsʰ		
Luobenzhuo	initial	tʂʰ	tʃ/_[u]	
Luobenzhuo	initial	tɕʰ		
Luobenzhuo	initial	j		
Luobenzhuo	initial	w		
Luobenzhuo	vowel	i		
Luobenzhuo	vowel	y		
Luobenzhuo	vowel	v̩		
Luobenzhuo	vowel	ɯ		
Luobenzhuo	vowel	u		
Luobenzhuo	vowel	e		
Luobenzhuo	vowel	ʊ		
Luobenzhuo	vowel	o		
Luobenzhuo	vowel	ɔ		
Luobenzhuo	vowel	ɛ		
Luobenzhuo	vowel	æ		
Luobenzhuo	vowel	a		
Luobenzhuo	vowel	ĩ		
Luobenzhuo	vowel	ỹ		
Luobenzhuo	vowel	ṽ̩		
Luobenzhuo	vowel	ɯ̃		
Luobenzhuo	vowel	ũ		
Luobenzhuo	vowel	ẽ		
Luobenzhuo	vowel	ʊ̃		
Luobenzhuo	vowel	õ		
Luobenzhuo	vowel	ɔ̃		
Luobenzhuo	vowel	ɛ̃		
Luobenzhuo	vowel	æ̃		
Luobenzhuo	vowel	ã		
Luobenzhuo	diphtong	ue		
Luobenzhuo	diphtong	ao		
Luobenzhuo	diphtong	iɛ		
Luobenzhuo	diphtong	uɛ		
Luobenzhuo	diphtong	uɔ		
Luobenzhuo	diphtong	ua		
Luobenzhuo	diphtong	uẽ		
Luobenzhuo	diphtong	ão		
Luobenzhuo	diphtong	iɛ̃		
Luobenzhuo	diphtong	uɛ̃		
Luobenzhuo	diphtong	uɔ̃		
Luobenzhuo	diphtong	uã		
Qiliqiao	tone	55		
Qiliqiao	tone	44		
Qiliqiao	tone	33		
Qiliqiao	tone	35		
Qiliqiao	tone	42		
Qiliqiao	tone	31		
Qiliqiao	tone	32		
Qiliqiao	tone	21		
Qiliqiao	initial	p		
Qiliqiao	initial	t		
Qiliqiao	initial	k		
Qiliqiao	initial	pʰ		
Qiliqiao	initial	tʰ		
Qiliqiao	initial	kʰ		
Qiliqiao	initial	m		
Qiliqiao	initial	n	ȵ/_[i]	
Qiliqiao	initial	ŋ		
Qiliqiao	initial	l		
Qiliqiao	initial	f		
Qiliqiao	initial	s	ʃ/_[u]	
Qiliqiao	initial	ɕ		
Qiliqiao	initial	x		
Qiliqiao	initial	v		
Qiliqiao	initial	z		
Qiliqiao	initial	ɣ		
Qiliqiao	initial	ts	tʃ/_[u]	
Qiliqiao	initial	tɕ		
Qiliqiao	initial	tsʰ	tʃʰ/_[u]	
Qiliqiao	initial	tɕʰ		
Qiliqiao	initial	j		
Qiliqiao	initial	w		
Qiliqiao	vowel	i	ɿ/[s z ts tsʰ]_	
Qiliqiao	vowel	y		
Qiliqiao	vowel	v̩		
Qiliqiao	vowel	ɯ		
Qiliqiao	vowel	u		
Qiliqiao	vowel	e		
Qiliqiao	vowel	o		
Qiliqiao	vowel	ɛ		
Qiliqiao	vowel	ɔ		
Qiliqiao	vowel	a		
Qiliqiao	diphtong	ue		
Qiliqiao	diphtong	uɔ		
Qiliqiao	diphtong	iɛ		
Qiliqiao	diphtong	iɔ		
Qiliqiao	diphtong	uɛ		
Qiliqiao	diphtong	ia		
Qiliqiao	diphtong	ua		
Xiangyun	tone	55		
Xiangyun	tone	44		
Xiangyun	tone	33		
Xiangyun	tone	35		
Xiangyun	tone	42		
Xiangyun	tone	31		
Xiangyun	tone	21		
Xiangyun	initial	p		
Xiangyun	initial	t		
Xiangyun	initial	k	kʲ/_[i e ɛ]	
Xiangyun	initial	pʰ		
