Character	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guiyang	Haerbin	Haikou	Hangzhou	Hefei	Huhehaote	Jian_ou	Jinan	Kunming	Lanzhou	Meixian	Nanchang	Nanjing	Nanning	Pingyao	Qingdao	Shanghai	Shantou	Shexian	Suzhou	Taibei	Taiyuan	Taoyuan	Tianjin	Tunxi	Wenzhou	Wuhan	Wulumuqi	Xi_an	Xiamen	Xianggang	Xiangtan	Xining	Yinchuan	Zhengzhou
伤	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	2	1	1	0	0	1	0	0	1	1
麻	0	1	2	0	1	2	0	1	1	2	1	0	0	1	1	0	1	1	1	0	0	2	1	1	1	1	1	0	0	1	0	2	1	0	0	1	2	0	3	0
感	0	1	0	1	1	1	1	2	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1
奶	2	0	2	2	0	4	3	0	2	8	2	8	2	1	4	0	0	4	2	0	0	0	0	4	0	1	2	0	4	5	0	2	4	3	0	0	0	6	5	5
那	6	4	2	0	0	4	2	7	2	3	3	0	4	2	7	0	0	4	0	0	2	0	0	2	0	1	2	0	2	0	1	4	4	1	0	0	4	0	6	2
勺	2	0	0	0	0	0	2	1	1	1	2	0	1	1	3	1	1	1	0	1	1	1	0	0	0	0	3	1	1	0	1	1	2	2	0	0	0	2	3	1
冒	0	1	0	1	1	1	1	2	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	2
刚	2	4	3	0	0	0	1	2	6	0	3	0	6	1	0	3	8	5	0	1	2	5	0	5	3	0	6	0	1	5	0	4	4	3	0	0	2	0	13	0
颈	1	1	2	0	1	2	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	2	1	2	0	0	1	1	2	0	1	0
茅	1	2	2	0	0	1	1	0	1	1	1	0	4	1	1	0	2	1	0	2	1	0	0	2	0	0	2	0	0	0	1	1	1	1	0	0	1	1	2	1
背	0	2	2	0	1	0	0	0	1	0	1	0	0	1	1	4	1	1	1	1	0	1	0	3	0	0	1	5	0	1	3	1	0	1	0	1	1	2	1	0
样	2	0	0	1	1	2	1	5	0	1	0	0	1	1	0	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	4	1	0	0	2	1	0	0	1	2
拿	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1
晚	1	2	4	0	3	2	2	0	1	1	0	0	2	2	1	0	1	2	1	1	1	0	0	0	0	0	0	0	2	0	0	2	0	0	1	3	1	1	2	1
底	0	1	1	9	0	0	0	11	1	1	0	0	1	1	0	0	1	1	4	8	0	1	1	0	0	0	1	0	0	1	3	1	2	1	1	0	1	3	1	0
脸	1	1	1	0	0	2	1	0	1	1	2	0	1	1	2	0	1	2	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	2	2	2	1
胖	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	2	1
爹	1	4	1	1	0	3	0	10	3	4	0	3	1	4	2	0	0	1	0	1	2	3	0	0	3	0	0	0	1	0	0	8	2	0	0	0	2	2	6	1
馄	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1
们	8	5	4	0	0	4	6	0	4	8	4	0	8	8	5	0	4	4	0	7	2	0	0	0	0	0	7	0	6	0	0	6	4	0	0	0	1	9	10	5
南	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	0	1
馒	1	1	1	0	1	1	1	1	2	0	0	0	1	1	0	1	0	1	1	0	0	3	1	0	4	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0
屋	1	7	2	0	1	0	3	0	1	0	0	0	4	0	0	1	1	1	1	0	1	0	0	1	0	0	0	5	2	1	8	1	0	1	0	1	3	0	2	3
替	1	0	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1
他	2	3	2	0	0	2	2	0	2	2	4	0	3	5	3	0	0	2	0	1	3	0	0	0	0	0	2	0	2	0	0	2	2	4	0	0	2	2	4	2
了	3	0	8	0	0	4	2	0	2	1	8	1	0	6	6	2	4	3	0	6	3	0	0	0	0	2	0	0	5	0	1	8	0	0	0	0	0	10	8	8
虱	0	0	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	2	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	0
故	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	2	1	0	0	1	1	1	2	1	3	0	1	1	3	1
向	1	0	2	3	1	0	0	1	2	0	1	0	0	0	1	1	0	1	1	0	0	3	1	0	2	1	0	0	0	0	0	1	0	2	2	1	0	1	2	1
小	1	1	0	2	0	2	2	0	2	2	3	0	5	1	0	0	1	0	0	3	3	2	0	5	2	0	3	0	3	0	0	2	0	0	0	0	0	1	1	4
柿	1	0	0	1	0	0	2	0	0	1	3	1	2	0	3	0	0	1	0	2	1	0	0	0	0	1	2	0	2	0	0	1	1	1	1	0	1	2	2	2
饨	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1
高	0	3	2	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	2	1	0	1	1	1	1	1	0
心	0	0	2	0	0	1	0	2	1	0	1	0	1	0	0	0	1	0	0	0	1	2	0	1	0	2	1	1	2	1	2	2	1	0	0	0	2	1	1	0
刮	1	0	3	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	2	1
先	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	2	0	0	1	3	1	1	1	1	0	1	1	0	0	1	1	1
所	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	2	1	1	0	0	1
这	6	0	2	1	0	2	2	0	0	0	3	0	8	2	5	0	0	4	0	1	2	0	0	0	0	0	2	2	2	0	0	3	4	2	0	0	0	0	5	2
的	4	2	6	0	0	5	4	0	0	5	5	0	9	0	4	0	0	6	0	4	5	0	0	0	0	0	5	0	6	0	0	6	0	5	3	0	1	7	5	0
阿	0	0	0	0	7	0	0	13	3	0	0	3	0	0	1	11	2	2	7	0	0	3	13	1	3	8	0	7	0	0	13	1	0	0	9	6	0	11	0	0
脑	5	2	1	0	0	1	3	0	0	2	2	0	1	2	0	0	1	1	0	2	0	0	0	1	0	0	2	0	3	0	0	1	0	0	0	0	3	3	2	1
灶	0	1	4	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	2	2	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1
冻	0	0	0	0	1	0	1	0	0	0	3	0	2	0	2	0	0	1	1	2	2	0	0	1	0	0	2	0	1	1	2	0	1	1	0	1	0	1	1	1
夫	1	0	0	4	0	0	2	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	3	1	0	1	0	0	1	1	1	3	0	0	1	2	3
不	0	0	2	0	0	2	0	0	0	3	0	0	4	2	1	0	1	2	0	2	1	0	0	3	0	0	1	0	3	1	0	2	1	1	0	0	0	0	2	3
己	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	2	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	3	1
驼	0	3	3	0	1	1	0	1	1	1	0	1	0	0	0	1	2	2	1	0	0	2	0	4	1	0	0	0	0	2	0	2	0	0	0	1	2	0	0	0
红	1	1	1	0	0	0	0	1	0	0	2	0	1	0	3	0	1	1	0	1	0	0	0	0	0	0	2	0	0	1	0	2	1	1	0	0	1	2	2	2
傅	1	2	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	1	1	1	1
拉	1	0	2	1	0	1	8	0	0	0	1	0	5	2	0	0	0	2	0	0	1	3	0	0	0	0	1	0	3	1	0	2	2	0	0	0	0	4	1	1
筒	1	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	2	0	0	1
脏	1	0	2	0	0	1	0	0	0	1	2	0	1	2	1	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	0	0	1	2	1
虫	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	1	2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	2
锅	1	0	0	0	0	0	1	0	0	1	1	0	3	1	1	0	0	1	0	2	1	0	0	1	0	0	2	0	1	0	0	0	1	1	0	0	0	2	2	2
口	1	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	2	0	0	0	0	0	3	0	0	1	1	0	1	0	0	1	2	1
芋	0	3	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	2	0	0	0	2	0	4	0	0	0	0	1	2	2	0	1	1	0	0	1	1	2	0
脚	0	3	1	0	2	2	0	3	2	0	0	0	0	2	0	1	2	0	0	0	1	4	0	4	3	0	0	2	0	4	3	0	0	0	0	2	4	0	0	0
光	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	2	0	3	4	1	0	1	0	1	1	1	0	1
着	1	0	0	0	0	0	0	0	0	0	2	2	1	1	3	0	0	0	1	1	1	0	1	0	0	0	0	0	0	3	2	0	0	1	1	0	1	4	1	1
白	2	0	2	0	0	3	0	5	0	0	1	1	2	2	0	1	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	1	1	0	0	0	1	3	1
清	0	0	0	1	0	0	0	0	1	1	0	3	0	1	1	0	1	0	0	0	1	1	2	0	0	1	2	0	0	0	0	0	1	0	1	0	0	1	2	1
妗	0	0	0	2	1	0	0	1	0	0	3	1	1	0	0	0	0	0	1	1	1	0	1	0	0	1	2	0	0	0	2	0	0	1	1	1	0	0	0	1
馍	0	0	2	2	0	0	0	0	0	1	3	0	2	0	2	0	3	0	0	0	0	0	0	2	0	0	2	0	0	2	0	2	2	1	0	0	3	4	5	1
旧	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	0
位	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	3	1	0	0	1	0	0	0	1	0	2	0	1
坎	1	1	0	0	1	1	2	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
脖	2	0	0	0	0	1	1	0	0	0	2	0	2	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	3	3	2
要	1	0	1	0	0	1	2	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	1	2	1
盖	1	0	0	0	0	0	2	0	0	1	1	0	4	0	2	0	0	0	0	0	3	1	0	0	0	0	1	0	5	0	0	0	1	1	0	0	1	1	3	2
跟	1	1	2	0	0	0	0	0	0	1	0	0	1	0	1	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	2
土	1	1	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1
么	4	1	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	2	0	0	2	0	0	2	0	0	0	2	1	1	0	2	1	0	0	0	1	0	1	0
晌	1	0	1	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	1	1	2
瘸	1	0	0	0	0	0	1	1	0	1	0	1	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	3	1	1
凉	1	0	2	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	2	1
朝	0	4	0	0	0	0	0	0	2	0	0	2	1	1	0	2	0	0	0	1	1	4	0	6	2	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0
啥	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	1	0	1	0	0	0	2	1	1	2	0	0	3	2	2
户	1	0	1	0	0	0	1	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1
羹	0	0	2	0	2	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	2	0	0	0	0	0	1	0	0	0	1	2	0	0	0	2	1	1	1	0
谁	1	0	0	0	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	2	3	1
部	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0
帮	0	1	1	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	2	0	1	0	2	0	3	1	1	0	0
和	2	0	1	0	0	2	1	0	0	0	1	0	1	1	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0
响	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0
囱	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1
伙	0	0	0	0	0	1	0	0	0	0	1	4	4	1	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	1	0	1	0	0	2	1	0
妇	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	1	1	2
稀	1	0	3	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	2	0	0	0	0	1	1	0
壳	0	2	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	1	1	0	0	0
叫	1	2	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0
辆	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1
拐	0	0	2	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0	1	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	1	1	1	0
咱	1	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	2	0	0	0	0	1	1
肥	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0
槛	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	3	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1
邋	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0
电	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	1	0	0
西	1	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	1	1
遢	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0
来	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	1	1
宿	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1
汉	0	0	1	0	0	1	0	0	0	0	7	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	3	0	0	1	0	0	2	2	0	0	1	1	2	0
对	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	1	3	2	0	0	0	0	1	1	2	0	0	0	0	0	0	3	1	0	0	0	0
才	0	3	1	0	0	2	0	0	0	1	0	0	1	2	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0
角	0	0	0	2	0	1	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
咋	0	0	1	0	0	2	1	5	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1
在	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1
调	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0
姑	0	1	1	0	0	3	1	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0
父	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2	0	0	1	0	0	6	0	0	1	2	0	0	0	0
山	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	2	0	2	2	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1
莲	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	1	1	0	0	1	0	1	0
木	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0
媳	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2
得	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1
跑	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0
牙	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1
挂	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0
马	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0
点	1	0	0	0	2	3	0	0	0	0	0	0	1	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2	1	0	4	0
泻	0	1	0	2	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0
娃	0	0	7	0	0	11	0	0	0	0	0	0	0	4	3	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	3	0	0	0	9	7	0
乞	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0
壮	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0
爱	0	2	0	0	0	0	2	2	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2
饺	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
讨	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	1	2	1	0	0	0	0	0	0	1	0
屎	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0
时	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	1	2
阵	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0
廿	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	1	0	0	0	2	2	0	1	0	0
草	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1
特	0	0	0	2	1	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0
仔	0	0	0	0	4	0	0	2	0	0	0	12	0	0	0	1	0	0	4	0	0	0	0	0	0	19	0	11	0	0	0	0	0	0	28	4	0	0	0	0
屙	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
半	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
什	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
姨	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
姥	3	0	0	0	0	0	4	0	0	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	2	0	3	0	0	0	0	0	0	0	0	3
昼	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	2	0	0	0	1	0	0	0	0	0
黑	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	1	2	0
世	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
后	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	2	1
吃	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	4	0	0	0	0	0	0	3	1	0
郎	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
给	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1
顶	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	2	0	0
地	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0
寒	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0
哥	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
走	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0
会	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1
反	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
将	0	0	0	0	0	3	0	0	0	3	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	4	0	5
夕	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1
闺	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1
食	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	2	0	0	0	0	0
耗	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
罗	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	2
丫	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0
化	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
怎	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0
有	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
架	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
块	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	5	0	0	3	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0
瓢	0	1	4	3	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
