Character	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guiyang	Haerbin	Haikou	Hangzhou	Hefei	Huhehaote	Jian_ou	Jinan	Kunming	Lanzhou	Meixian	Nanchang	Nanjing	Nanning	Pingyao	Qingdao	Shanghai	Shantou	Shexian	Suzhou	Taibei	Taiyuan	Taoyuan	Tianjin	Tunxi	Wenzhou	Wuhan	Wulumuqi	Xi_an	Xiamen	Xianggang	Xiangtan	Xining	Yinchuan	Zhengzhou
两	1	2	2	4	2	2	1	3	2	1	2	2	2	2	3	3	2	2	2	1	2	2	4	3	3	4	1	3	1	4	4	4	2	1	3	2	2	2	2	2
六	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1
公	2	5	4	3	6	5	1	12	3	2	1	5	2	4	1	6	7	4	7	1	2	5	2	5	1	4	2	6	2	6	3	6	2	1	5	6	8	1	2	2
一	7	4	5	4	6	5	5	8	6	5	4	8	5	4	7	4	4	7	4	6	5	5	4	6	4	7	4	4	5	5	5	5	4	5	9	6	5	6	5	5
手	3	6	10	7	5	6	4	6	8	2	4	6	5	5	2	4	2	4	6	2	2	6	5	4	3	4	4	3	5	6	5	6	5	3	10	5	6	3	3	3
中	1	4	4	2	3	3	0	1	4	3	4	3	3	5	2	2	6	3	2	1	2	5	2	4	4	3	2	1	1	4	4	4	4	1	5	2	5	3	4	2
梯	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
热	1	1	1	1	2	1	1	0	1	1	1	1	1	4	1	1	1	1	2	1	1	2	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
咸	1	1	1	0	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	1	2	1	1	2	1	2	1	1	2	2	1	1	1	1	1	1	1
窗	1	1	2	0	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	2	2	2	1	1	2	2	3	2	2
妈	5	5	6	4	2	4	4	6	6	2	3	3	2	2	1	0	3	4	1	1	1	4	3	1	2	2	1	2	6	1	1	4	3	5	5	2	4	7	8	1
猪	3	5	4	3	4	6	3	5	6	5	5	0	6	4	5	3	3	5	5	3	4	4	3	4	3	3	3	3	3	4	4	4	3	3	3	3	5	4	6	6
菜	2	2	1	3	2	1	2	1	2	2	2	1	4	1	2	3	3	2	2	1	2	2	0	2	2	2	2	3	3	3	2	2	2	1	2	2	4	2	4	3
里	5	11	4	2	1	2	3	1	8	2	2	4	13	1	9	2	12	6	2	3	3	8	1	5	3	1	7	2	5	6	3	8	6	4	6	0	7	9	10	4
雷	1	1	2	0	1	2	1	3	1	1	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	2
生	1	1	1	2	3	7	1	2	5	1	2	1	1	1	1	1	1	3	3	3	1	5	5	2	1	2	3	4	1	3	3	3	0	1	4	3	1	1	2	3
第	2	2	2	2	2	2	2	2	2	5	2	2	2	2	0	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
包	1	2	1	2	1	2	1	1	1	2	1	1	3	2	1	2	3	2	2	1	1	0	1	2	2	1	1	2	1	3	1	1	3	1	2	1	3	1	5	2
醋	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	2	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1
厨	2	2	2	1	1	2	1	1	2	1	3	1	3	2	2	2	1	3	2	1	1	1	2	0	0	1	2	1	2	1	7	1	2	2	3	2	3	3	2	2
门	3	1	3	1	2	5	4	1	4	1	2	2	2	2	1	1	1	1	1	1	1	2	2	1	1	0	1	2	1	1	2	3	1	1	0	2	2	1	3	3
指	2	3	7	2	1	4	2	0	2	1	3	1	5	2	2	2	2	4	2	2	2	2	2	1	0	3	2	2	2	6	3	4	2	2	2	2	4	2	2	3
烟	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	2	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2
外	4	4	6	4	0	3	1	7	3	3	1	3	3	3	4	3	2	2	3	2	1	4	4	3	3	3	1	1	2	5	5	4	3	4	4	0	4	4	5	3
瓜	4	3	1	1	2	1	3	1	1	1	2	1	2	1	1	1	3	2	2	2	2	2	1	2	1	1	1	0	3	2	2	2	0	1	2	3	1	1	1	1
今	2	6	3	2	3	3	2	4	0	1	4	2	3	2	4	2	3	5	2	2	2	3	2	2	2	2	3	2	2	2	0	3	3	2	2	2	3	2	3	3
