ID	TAXA	TAXA_WITH_TONES	CHINESE_TAXA	GLOSS	PINYIN	NUMBER	READING	IPA	TOKENS	ALIGNMENT	PROTO	PROTO_TOKENS	BAXTER	ZGYY	COGID
7886	Qingdao	Qīngdǎo	青岛	疫	yì	239	i⁴²	i⁴²	i ⁴²	- - i - ⁴²	jwek⁴	j w e k ⁴	ywek	梗合三入昔以	239
7887	Xianggang	Xiānggǎng	香港	疫	yì	239	jik²	jik²	j i k ²	j - i k ²	jwek⁴	j w e k ⁴	ywek	梗合三入昔以	239
7888	Shanghai	Shànghǎi	上海	扑	báo	241	p‘o？⁵	pʰoʔ⁵	pʰ o ʔ ⁵	pʰ - o ʔ ⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7889	Wulumuqi	Wūlǔmùqí	乌鲁木齐	扑	báo	241	p'u⁴⁴	pʰu⁴⁴	pʰ u ⁴⁴	pʰ - u - ⁴⁴	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7890	Lanzhou	Lánzhōu	兰州	扑	báo	241	p'u¹³	pʰu¹³	pʰ u ¹³	pʰ - u - ¹³	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7891	Beijing	Běijīng	北京	扑	báo	241	p'u⁵⁵	pʰu⁵⁵	pʰ u ⁵⁵	pʰ - u - ⁵⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7892	Nanjing	Nánjīng	南京	扑	báo	241	p'u?⁵	pʰuʔ⁵	pʰ u ʔ ⁵	pʰ - u ʔ ⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7893	Nanning	Nánníng	南宁	扑	báo	241	p'uk⁵⁵	pʰuk⁵⁵	pʰ u k ⁵⁵	pʰ - u k ⁵⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7894	Nanchang	Nánchāng	南昌	扑	báo	241	p'u？⁵	pʰuʔ⁵	pʰ u ʔ ⁵	pʰ - u ʔ ⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7895	Xiamen	Xiàmén	厦门	扑	báo	241	p'ɔk³²	pʰɔk³²	pʰ ɔ k ³²	pʰ - ɔ k ³²	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7896	Taibei	Táiběi	台北	扑	báo	241	p'ok³²p'ak³²	pʰok³²	pʰ o k ³²	pʰ - o k ³²	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7897	Hefei	Héféi	合肥	扑	báo	241	p'ə?⁵	pʰəʔ⁵	pʰ ə ʔ ⁵	pʰ - ə ʔ ⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7898	Huhehaote	Hūhèhàotè	呼和浩特	扑	báo	241	p'a?⁴³	pʰaʔ⁴³	pʰ a ʔ ⁴³	pʰ - a ʔ ⁴³	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7899	Haerbin	Hāěrbīn	哈尔滨	扑	báo	241	p'u⁴⁴~腾p'u²⁴〜搂①	pʰu⁴⁴	pʰ u ⁴⁴	pʰ - u - ⁴⁴	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7900	Tianjin	Tiānjīn	天津	扑	báo	241	p'u²¹	pʰu²¹	pʰ u ²¹	pʰ - u - ²¹	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7901	Taiyuan	Tàiyuán	太原	扑	báo	241	p'a?²	pʰaʔ²	pʰ a ʔ ²	pʰ - a ʔ ²	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7902	Tunxi	Tūnxī	屯溪	扑	báo	241	p'u⁵	pʰu⁵	pʰ u ⁵	pʰ - u - ⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7903	Pingyao	Píngyáo	平遥	扑	báo	241	p'ʌ?⁵³	pʰʌʔ⁵³	pʰ ʌ ʔ ⁵³	pʰ - ʌ ʔ ⁵³	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7904	Guangzhou	Guǎngzhōu	广州	扑	báo	241	p'ɔk³	pʰɔk³	pʰ ɔ k ³	pʰ - ɔ k ³	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7905	Jianou	Jiànōu	建瓯	扑	báo	241	p'u²⁴	pʰu²⁴	pʰ u ²⁴	pʰ - u - ²⁴	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7906	Chengdu	Chéngdū	成都	扑	báo	241	p'u⁵⁵pu¹³	pʰu⁵⁵	pʰ u ⁵⁵	pʰ - u - ⁵⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7907	Kunming	Kūnmíng	昆明	扑	báo	241	p'u³¹	pʰu³¹	pʰ u ³¹	pʰ - u - ³¹	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7908	Hangzhou	Hángzhōu	杭州	扑	báo	241	p‘o？⁵	pʰoʔ⁵	pʰ o ʔ ⁵	pʰ - o ʔ ⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7909	Taoyuan	Táoyuán	桃园	扑	báo	241	p'uk⁵⁵	pʰuk⁵⁵	pʰ u k ⁵⁵	pʰ - u k ⁵⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7910	Meixian	Méixiàn	梅县	扑	báo	241	p'uk¹	pʰuk¹	pʰ u k ¹	pʰ - u k ¹	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7911	Shexian	Shèxiàn	歙县	扑	báo	241	p'ɔ？²¹	pʰɔʔ²¹	pʰ ɔ ʔ ²¹	pʰ - ɔ ʔ ²¹	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7912	Wuhan	Wǔhàn	武汉	扑	báo	241	p'u²¹³	pʰu²¹³	pʰ u ²¹³	pʰ - u - ²¹³	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7913	Shantou	Shàntóu	汕头	扑	báo	241	p'ok²	pʰok²	pʰ o k ²	pʰ - o k ²	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7914	Jinan	Jìnán	济南	扑	báo	241	p'u²¹³	pʰu²¹³	pʰ u ²¹³	pʰ - u - ²¹³	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7915	Haikou	Hǎikǒu	海口	扑	báo	241	？bɔk⁵	ˀbɔk⁵	ˀb ɔ k ⁵	ˀb - ɔ k ⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7916	Wenzhou	Wēnzhōu	温州	扑	báo	241	p‘o²¹³	pʰo²¹³	pʰ o ²¹³	pʰ - o - ²¹³	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7917	Xiangtan	Xiāngtán	湘潭	扑	báo	241	p'u²⁴	pʰu²⁴	pʰ u ²⁴	pʰ - u - ²⁴	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7918	Fuzhou	Fúzhōu	福州	扑	báo	241	p'ou？²³	pʰouʔ²³	pʰ o u ʔ ²³	pʰ o u ʔ ²³	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7919	Suzhou	Sūzhōu	苏州	扑	báo	241	p‘o？⁵	pʰoʔ⁵	pʰ o ʔ ⁵	pʰ - o ʔ ⁵	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7920	Xian	Xīān	西安	扑	báo	241	p'u²¹	pʰu²¹	pʰ u ²¹	pʰ - u - ²¹	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7921	Guiyang	Guìyáng	贵阳	扑	báo	241	p'u²¹	pʰu²¹	pʰ u ²¹	pʰ - u - ²¹	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7922	Zhengzhou	Zhèngzhōu	郑州	扑	báo	241	p'u²⁴	pʰu²⁴	pʰ u ²⁴	pʰ - u - ²⁴	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7923	Yinchuan	Yínchuān	银川	扑	báo	241	p'u¹³	pʰu¹³	pʰ u ¹³	pʰ - u - ¹³	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7924	Changsha	Chángshā	长沙	扑	báo	241	p'u²⁴	pʰu²⁴	pʰ u ²⁴	pʰ - u - ²⁴	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7925	Qingdao	Qīngdǎo	青岛	扑	báo	241	p'u⁴²	pʰu⁴²	pʰ u ⁴²	pʰ - u - ⁴²	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7926	Xianggang	Xiānggǎng	香港	扑	báo	241	p'ɔk³	pʰɔk³	pʰ ɔ k ³	pʰ - ɔ k ³	pʰuwk⁴	pʰ - uw k ⁴	phuwk	通合一入屋滂	241
7927	Shanghai	Shànghǎi	上海	母	mǔ	242	mu¹³m¹³	mu¹³	m u ¹³	m - u - ¹³	muw²	m - u w ²	muwX	流开一上厚明	242
7928	Wulumuqi	Wūlǔmùqí	乌鲁木齐	母	mǔ	242	mu⁵¹	mu⁵¹	m u ⁵¹	m - u - ⁵¹	muw²	m - u w ²	muwX	流开一上厚明	242
7929	Lanzhou	Lánzhōu	兰州	母	mǔ	242	mu⁴⁴²	mu⁴⁴²	m u ⁴⁴²	m - u - ⁴⁴²	muw²	m - u w ²	muwX	流开一上厚明	242
7930	Beijing	Běijīng	北京	母	mǔ	242	mu²¹⁴	mu²¹⁴	m u ²¹⁴	m - u - ²¹⁴	muw²	m - u w ²	muwX	流开一上厚明	242
7931	Nanjing	Nánjīng	南京	母	mǔ	242	mu²¹²	mu²¹²	m u ²¹²	m - u - ²¹²	muw²	m - u w ²	muwX	流开一上厚明	242
7932	Nanning	Nánníng	南宁	母	mǔ	242	mu²⁴	mu²⁴	m u ²⁴	m - u - ²⁴	muw²	m - u w ²	muwX	流开一上厚明	242
7933	Nanchang	Nánchāng	南昌	母	mǔ	242	mu²¹³	mu²¹³	m u ²¹³	m - u - ²¹³	muw²	m - u w ²	muwX	流开一上厚明	242
7934	Xiamen	Xiàmén	厦门	母	mǔ	242	bɔ⁵³bu⁵³	bɔ⁵³	b ɔ ⁵³	b - ɔ - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7935	Taibei	Táiběi	台北	母	mǔ	242	bɔ⁵³bu⁵³bo⁵³	bɔ⁵³	b ɔ ⁵³	b - ɔ - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7936	Hefei	Héféi	合肥	母	mǔ	242	mʊ²⁴məŋ²⁴	mʊ²⁴	m ʊ ²⁴	m - ʊ - ²⁴	muw²	m - u w ²	muwX	流开一上厚明	242
7937	Huhehaote	Hūhèhàotè	呼和浩特	母	mǔ	242	mu⁵³~的mə?0外〜娘	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7938	Haerbin	Hāěrbīn	哈尔滨	母	mǔ	242	mu²¹³	mu²¹³	m u ²¹³	m - u - ²¹³	muw²	m - u w ²	muwX	流开一上厚明	242
7939	Tianjin	Tiānjīn	天津	母	mǔ	242	mu¹³	mu¹³	m u ¹³	m - u - ¹³	muw²	m - u w ²	muwX	流开一上厚明	242
7940	Taiyuan	Tàiyuán	太原	母	mǔ	242	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7941	Tunxi	Tūnxī	屯溪	母	mǔ	242	m²⁴	m²⁴	m ²⁴	- - m - ²⁴	muw²	m - u w ²	muwX	流开一上厚明	242
7942	Pingyao	Píngyáo	平遥	母	mǔ	242	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7943	Guangzhou	Guǎngzhōu	广州	母	mǔ	242	mou²³	mou²³	m o u ²³	m - o u ²³	muw²	m - u w ²	muwX	流开一上厚明	242
7944	Jianou	Jiànōu	建瓯	母	mǔ	242	mu²¹	mu²¹	m u ²¹	m - u - ²¹	muw²	m - u w ²	muwX	流开一上厚明	242
7945	Chengdu	Chéngdū	成都	母	mǔ	242	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7946	Kunming	Kūnmíng	昆明	母	mǔ	242	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7947	Hangzhou	Hángzhōu	杭州	母	mǔ	242	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7948	Taoyuan	Táoyuán	桃园	母	mǔ	242	mu²⁴	mu²⁴	m u ²⁴	m - u - ²⁴	muw²	m - u w ²	muwX	流开一上厚明	242
7949	Meixian	Méixiàn	梅县	母	mǔ	242	mu⁴⁴	mu⁴⁴	m u ⁴⁴	m - u - ⁴⁴	muw²	m - u w ²	muwX	流开一上厚明	242
7950	Shexian	Shèxiàn	歙县	母	mǔ	242	mɔ³⁵m³⁵	mɔ³⁵	m ɔ ³⁵	m - ɔ - ³⁵	muw²	m - u w ²	muwX	流开一上厚明	242
7951	Wuhan	Wǔhàn	武汉	母	mǔ	242	mu⁴²moŋ⁴²	mu⁴²	m u ⁴²	m - u - ⁴²	muw²	m - u w ²	muwX	流开一上厚明	242
7952	Shantou	Shàntóu	汕头	母	mǔ	242	bo⁵³	bo⁵³	b o ⁵³	b - o - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7953	Jinan	Jìnán	济南	母	mǔ	242	mu⁵⁵	mu⁵⁵	m u ⁵⁵	m - u - ⁵⁵	muw²	m - u w ²	muwX	流开一上厚明	242
7954	Haikou	Hǎikǒu	海口	母	mǔ	242	mu²¹³mai²¹³俗	mu²¹³	m u ²¹³	m - u - ²¹³	muw²	m - u w ²	muwX	流开一上厚明	242
7955	Wenzhou	Wēnzhōu	温州	母	mǔ	242	mu³⁵	mu³⁵	m u ³⁵	m - u - ³⁵	muw²	m - u w ²	muwX	流开一上厚明	242
7956	Xiangtan	Xiāngtán	湘潭	母	mǔ	242	mo⁴²	mo⁴²	m o ⁴²	m - o - ⁴²	muw²	m - u w ²	muwX	流开一上厚明	242
7957	Fuzhou	Fúzhōu	福州	母	mǔ	242	mo³²	mo³²	m o ³²	m - o - ³²	muw²	m - u w ²	muwX	流开一上厚明	242
7958	Suzhou	Sūzhōu	苏州	母	mǔ	242	mo⁵⁵	mo⁵⁵	m o ⁵⁵	m - o - ⁵⁵	muw²	m - u w ²	muwX	流开一上厚明	242
7959	Xian	Xīān	西安	母	mǔ	242	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7960	Guiyang	Guìyáng	贵阳	母	mǔ	242	mu⁴²	mu⁴²	m u ⁴²	m - u - ⁴²	muw²	m - u w ²	muwX	流开一上厚明	242
7961	Zhengzhou	Zhèngzhōu	郑州	母	mǔ	242	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7962	Yinchuan	Yínchuān	银川	母	mǔ	242	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	242
7963	Changsha	Chángshā	长沙	母	mǔ	242	mo⁴¹	mo⁴¹	m o ⁴¹	m - o - ⁴¹	muw²	m - u w ²	muwX	流开一上厚明	242
7964	Qingdao	Qīngdǎo	青岛	母	mǔ	242	mu⁵⁵	mu⁵⁵	m u ⁵⁵	m - u - ⁵⁵	muw²	m - u w ²	muwX	流开一上厚明	242
7965	Xianggang	Xiānggǎng	香港	母	mǔ	242	mou¹³	mou¹³	m o u ¹³	m - o u ¹³	muw²	m - u w ²	muwX	流开一上厚明	242
7966	Shanghai	Shànghǎi	上海	亩	delendum	243	mɤ¹³m¹³	mɤ¹³	m ɤ ¹³	m - ɤ - ¹³	muw²	m - u w ²	muwX	流开一上厚明	243
7967	Wulumuqi	Wūlǔmùqí	乌鲁木齐	亩	delendum	243	mu⁵¹	mu⁵¹	m u ⁵¹	m - u - ⁵¹	muw²	m - u w ²	muwX	流开一上厚明	243
7968	Lanzhou	Lánzhōu	兰州	亩	delendum	243	mu⁴⁴²	mu⁴⁴²	m u ⁴⁴²	m - u - ⁴⁴²	muw²	m - u w ²	muwX	流开一上厚明	243
7969	Beijing	Běijīng	北京	亩	delendum	243	mu²¹⁴	mu²¹⁴	m u ²¹⁴	m - u - ²¹⁴	muw²	m - u w ²	muwX	流开一上厚明	243
7970	Nanjing	Nánjīng	南京	亩	delendum	243	mu²¹²	mu²¹²	m u ²¹²	m - u - ²¹²	muw²	m - u w ²	muwX	流开一上厚明	243
7971	Nanning	Nánníng	南宁	亩	delendum	243	mɐu²⁴	mɐu²⁴	m ɐ u ²⁴	m - ɐ u ²⁴	muw²	m - u w ²	muwX	流开一上厚明	243
7972	Nanchang	Nánchāng	南昌	亩	delendum	243	mɛu²¹³	mɛu²¹³	m ɛ u ²¹³	m - ɛ u ²¹³	muw²	m - u w ²	muwX	流开一上厚明	243
7973	Xiamen	Xiàmén	厦门	亩	delendum	243	bɔ⁵³	bɔ⁵³	b ɔ ⁵³	b - ɔ - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
7974	Taibei	Táiběi	台北	亩	delendum	243	bɔ⁵³	bɔ⁵³	b ɔ ⁵³	b - ɔ - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
7975	Hefei	Héféi	合肥	亩	delendum	243	mʊ²⁴məŋ²⁴	mʊ²⁴	m ʊ ²⁴	m - ʊ - ²⁴	muw²	m - u w ²	muwX	流开一上厚明	243
7976	Huhehaote	Hūhèhàotè	呼和浩特	亩	delendum	243	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
7977	Haerbin	Hāěrbīn	哈尔滨	亩	delendum	243	mu²¹³	mu²¹³	m u ²¹³	m - u - ²¹³	muw²	m - u w ²	muwX	流开一上厚明	243
7978	Tianjin	Tiānjīn	天津	亩	delendum	243	mu¹³	mu¹³	m u ¹³	m - u - ¹³	muw²	m - u w ²	muwX	流开一上厚明	243
7979	Taiyuan	Tàiyuán	太原	亩	delendum	243	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
7980	Tunxi	Tūnxī	屯溪	亩	delendum	243	mo³¹miu³¹	mo³¹	m o ³¹	m - o - ³¹	muw²	m - u w ²	muwX	流开一上厚明	243
7981	Pingyao	Píngyáo	平遥	亩	delendum	243	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
7982	Guangzhou	Guǎngzhōu	广州	亩	delendum	243	mɐu²³	mɐu²³	m ɐ u ²³	m - ɐ u ²³	muw²	m - u w ²	muwX	流开一上厚明	243
7983	Jianou	Jiànōu	建瓯	亩	delendum	243	me²¹	me²¹	m e ²¹	m - e - ²¹	muw²	m - u w ²	muwX	流开一上厚明	243
7984	Chengdu	Chéngdū	成都	亩	delendum	243	moŋ⁵³	moŋ⁵³	m o ŋ ⁵³	m - o ŋ ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
7985	Kunming	Kūnmíng	昆明	亩	delendum	243	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
7986	Hangzhou	Hángzhōu	杭州	亩	delendum	243	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
7987	Taoyuan	Táoyuán	桃园	亩	delendum	243	meu⁵⁵	meu⁵⁵	m e u ⁵⁵	m - e u ⁵⁵	muw²	m - u w ²	muwX	流开一上厚明	243
7988	Meixian	Méixiàn	梅县	亩	delendum	243	meu⁴⁴	meu⁴⁴	m e u ⁴⁴	m - e u ⁴⁴	muw²	m - u w ²	muwX	流开一上厚明	243
7989	Shexian	Shèxiàn	歙县	亩	delendum	243	mɔ³⁵m³⁵	mɔ³⁵	m ɔ ³⁵	m - ɔ - ³⁵	muw²	m - u w ²	muwX	流开一上厚明	243
7990	Wuhan	Wǔhàn	武汉	亩	delendum	243	məu⁴²	məu⁴²	m ə u ⁴²	m - ə u ⁴²	muw²	m - u w ²	muwX	流开一上厚明	243
7991	Shantou	Shàntóu	汕头	亩	delendum	243	bou⁵³	bou⁵³	b o u ⁵³	b - o u ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
7992	Jinan	Jìnán	济南	亩	delendum	243	mu⁵⁵	mu⁵⁵	m u ⁵⁵	m - u - ⁵⁵	muw²	m - u w ²	muwX	流开一上厚明	243
7993	Haikou	Hǎikǒu	海口	亩	delendum	243	mɔu²¹³	mɔu²¹³	m ɔ u ²¹³	m - ɔ u ²¹³	muw²	m - u w ²	muwX	流开一上厚明	243
7994	Wenzhou	Wēnzhōu	温州	亩	delendum	243	mɜ³⁵	mɜ³⁵	m ɜ ³⁵	m - ɜ - ³⁵	muw²	m - u w ²	muwX	流开一上厚明	243
7995	Xiangtan	Xiāngtán	湘潭	亩	delendum	243	məɯ⁴²	məɯ⁴²	m ə ɯ ⁴²	m - ə ɯ ⁴²	muw²	m - u w ²	muwX	流开一上厚明	243
7996	Fuzhou	Fúzhōu	福州	亩	delendum	243	mu³²	mu³²	m u ³²	m - u - ³²	muw²	m - u w ²	muwX	流开一上厚明	243
7997	Suzhou	Sūzhōu	苏州	亩	delendum	243	mʏ³¹m³¹	mʏ³¹	m ʏ ³¹	m - ʏ - ³¹	muw²	m - u w ²	muwX	流开一上厚明	243
7998	Xian	Xīān	西安	亩	delendum	243	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
7999	Guiyang	Guìyáng	贵阳	亩	delendum	243	moŋ⁴²	moŋ⁴²	m o ŋ ⁴²	m - o ŋ ⁴²	muw²	m - u w ²	muwX	流开一上厚明	243
8000	Zhengzhou	Zhèngzhōu	郑州	亩	delendum	243	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
8001	Yinchuan	Yínchuān	银川	亩	delendum	243	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	muw²	m - u w ²	muwX	流开一上厚明	243
8002	Changsha	Chángshā	长沙	亩	delendum	243	məu⁴¹	məu⁴¹	m ə u ⁴¹	m - ə u ⁴¹	muw²	m - u w ²	muwX	流开一上厚明	243
8003	Qingdao	Qīngdǎo	青岛	亩	delendum	243	mu⁵⁵	mu⁵⁵	m u ⁵⁵	m - u - ⁵⁵	muw²	m - u w ²	muwX	流开一上厚明	243
8004	Xianggang	Xiānggǎng	香港	亩	delendum	243	mɐu¹³	mɐu¹³	m ɐ u ¹³	m - ɐ u ¹³	muw²	m - u w ²	muwX	流开一上厚明	243
8005	Shanghai	Shànghǎi	上海	木	mù	244	mo？¹	moʔ¹	m o ʔ ¹	m - o ʔ ¹	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8006	Wulumuqi	Wūlǔmùqí	乌鲁木齐	木	mù	244	mu²¹³	mu²¹³	m u ²¹³	m - u - ²¹³	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8007	Lanzhou	Lánzhōu	兰州	木	mù	244	mu¹³	mu¹³	m u ¹³	m - u - ¹³	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8008	Beijing	Běijīng	北京	木	mù	244	mu⁵¹	mu⁵¹	m u ⁵¹	m - u - ⁵¹	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8009	Nanjing	Nánjīng	南京	木	mù	244	mu?⁵	muʔ⁵	m u ʔ ⁵	m - u ʔ ⁵	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8010	Nanning	Nánníng	南宁	木	mù	244	muk²²	muk²²	m u k ²²	m - u k ²²	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8011	Nanchang	Nánchāng	南昌	木	mù	244	mu？⁵	muʔ⁵	m u ʔ ⁵	m - u ʔ ⁵	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8012	Xiamen	Xiàmén	厦门	木	mù	244	bɔk⁵bak⁵	bɔk⁵	b ɔ k ⁵	b - ɔ k ⁵	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8013	Taibei	Táiběi	台北	木	mù	244	bak⁴⁴bɔk⁴⁴	bak⁴⁴	b a k ⁴⁴	b - a k ⁴⁴	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8014	Hefei	Héféi	合肥	木	mù	244	mə?⁵	məʔ⁵	m ə ʔ ⁵	m - ə ʔ ⁵	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8015	Huhehaote	Hūhèhàotè	呼和浩特	木	mù	244	mu⁵⁵	mu⁵⁵	m u ⁵⁵	m - u - ⁵⁵	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8016	Haerbin	Hāěrbīn	哈尔滨	木	mù	244	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8017	Tianjin	Tiānjīn	天津	木	mù	244	mu⁵³	mu⁵³	m u ⁵³	m - u - ⁵³	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8018	Taiyuan	Tàiyuán	太原	木	mù	244	mə?²	məʔ²	m ə ʔ ²	m - ə ʔ ²	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8019	Tunxi	Tūnxī	屯溪	木	mù	244	mo¹¹	mo¹¹	m o ¹¹	m - o - ¹¹	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8020	Pingyao	Píngyáo	平遥	木	mù	244	mʌ?⁵³	mʌʔ⁵³	m ʌ ʔ ⁵³	m - ʌ ʔ ⁵³	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8021	Guangzhou	Guǎngzhōu	广州	木	mù	244	mok²	mok²	m o k ²	m - o k ²	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8022	Jianou	Jiànōu	建瓯	木	mù	244	mu⁴²	mu⁴²	m u ⁴²	m - u - ⁴²	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8023	Chengdu	Chéngdū	成都	木	mù	244	mu³¹mu¹³	mu³¹	m u ³¹	m - u - ³¹	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8024	Kunming	Kūnmíng	昆明	木	mù	244	mu³¹	mu³¹	m u ³¹	m - u - ³¹	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8025	Hangzhou	Hángzhōu	杭州	木	mù	244	mo？²	moʔ²	m o ʔ ²	m - o ʔ ²	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8026	Taoyuan	Táoyuán	桃园	木	mù	244	muk²²	muk²²	m u k ²²	m - u k ²²	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8027	Meixian	Méixiàn	梅县	木	mù	244	muk¹	muk¹	m u k ¹	m - u k ¹	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
8028	Shexian	Shèxiàn	歙县	木	mù	244	mɔ²²	mɔ²²	m ɔ ²²	m - ɔ - ²²	buwk⁴	b - uw k ⁴	buwk	通合一入屋明	244
