ID	TAXA	TAXA_WITH_TONES	CHINESE_TAXA	GLOSS	PINYIN	NUMBER	READING	IPA	TOKENS	ALIGNMENT	PROTO	PROTO_TOKENS	BAXTER	ZGYY	COGID
29	Wenzhou	Wēnzhōu	温州	巴	bā	1	ɕo³³	ɕo³³	ɕ o ³³	ɕ - o - ³³	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
30	Xiangtan	Xiāngtán	湘潭	巴	bā	1	pɒ³³	pɒ³³	p ɒ ³³	p - ɒ - ³³	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
31	Fuzhou	Fúzhōu	福州	巴	bā	1	pa⁴⁴	pa⁴⁴	p a ⁴⁴	p - a - ⁴⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
32	Suzhou	Sūzhōu	苏州	巴	bā	1	po⁵⁵	po⁵⁵	p o ⁵⁵	p - o - ⁵⁵	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
33	Xining	Xīníng	西宁	巴	bā	1	pa⁴⁴	pa⁴⁴	p a ⁴⁴	p - a - ⁴⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
34	Xian	Xīān	西安	巴	bā	1	pa²¹	pa²¹	p a ²¹	p - a - ²¹	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
35	Guiyang	Guìyáng	贵阳	巴	bā	1	pa⁵⁵	pa⁵⁵	p a ⁵⁵	p - a - ⁵⁵	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
36	Zhengzhou	Zhèngzhōu	郑州	巴	bā	1	pa²⁴	pa²⁴	p a ²⁴	p - a - ²⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
37	Yinchuan	Yínchuān	银川	巴	bā	1	pa⁴⁴	pa⁴⁴	p a ⁴⁴	p - a - ⁴⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
38	Changsha	Chángshā	长沙	巴	bā	1	pa³³	pa³³	p a ³³	p - a - ³³	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
39	Qingdao	Qīngdǎo	青岛	巴	bā	1	pa²¹³	pa²¹³	p a ²¹³	p - a - ²¹³	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
40	Xianggang	Xiānggǎng	香港	巴	bā	1	pa⁵⁵	pa⁵⁵	p a ⁵⁵	p - a - ⁵⁵	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
41	Shanghai	Shànghǎi	上海	拔	fá	2	baɁ¹	baʔ¹	b a ʔ ¹	b - a ʔ ¹	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
42	Wulumuqi	Wūlǔmùqí	乌鲁木齐	拔	fá	2	pa⁵¹	pa⁵¹	p a ⁵¹	p - a - ⁵¹	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
43	Lanzhou	Lánzhōu	兰州	拔	fá	2	pa⁵³	pa⁵³	p a ⁵³	p - a - ⁵³	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
