# EDICTOR
@modified: 2015-11-25 16:1
@source: Hamed and Wang (2006)
#
ID	DOCULECT	CONCEPT	IPA	WANGID	PARTIAL
2676	Changsha	back	背[心]	0	背
2677	Changsha	back	背[心]	0a	背心
2678	Shuangfeng	back	背[心]	0	背
2679	Shuangfeng	back	背[心]	0a	背心
#
2680	Guangzhou	bad	衰	3	衰
2681	Guangzhou	bad	坏	1	坏
2682	Guangzhou	bad	弊	4	弊
2683	Suzhou	bad	坏	1	坏
2684	Suzhou	bad	愀	5	愀
2685	Meixian	bad	坏	1	坏
2686	Meixian	bad	歪	6	歪
2687	Nanchang	bad	坏	1	坏
2688	Fuzhou	bad	呆*	7	呆
2689	Fuzhou	bad	否（指人品）	4	弊
2690	Ningxia	bad	坏	1	坏
2691	Lianchang	bad	坏	1	坏
2692	Ningbo	bad	坏	1	坏
2693	Yingshan	bad	拐*	2	拐
2694	Chengdu	bad	坏	1	坏
2695	Zhanping	bad	歹：读be3	8	A
2696	Shanghai	bad	坏	1	坏
2697	Shanghai_B	bad	坏	1	坏
2698	Xiamen	bad	否phai~51坏	9	B
2699	Anyi	bad	坏	1	坏
2700	Anyi	bad	so2	10	C
2701	Beijing	bad	坏	1	坏
2702	Beijing	bad	赖	11	坏坏
2703	Wenzhou	bad	毛*	12	坏拐
2704	Taibei	bad	phai53[禾黑]?鄙?	13	坏衰
2705	Wuhan	bad	坏	1	坏
2706	Wuhan	bad	拐*	2	拐
2707	Taiyuan	bad	赖	11	坏坏
2708	Taiyuan	bad	怀	1	坏
2709	Yuci	bad	赖	11	坏坏
2710	Yuci	bad	怀	1	坏
2711	Changsha	bad	坏	1	坏
2712	Changsha	bad	拐*	2	拐
2713	Shuangfeng	bad	坏	1	坏
2714	Shuangfeng	bad	拐*	2	拐
#
53	Guangzhou	bark	树皮	0	树皮
54	Suzhou	bark	树皮	0	树皮
55	Meixian	bark	树皮	0	树皮
56	Nanchang	bark	树皮	0	树皮
57	Fuzhou	bark	树皮	0	树皮
58	Ningxia	bark	树皮	0	树皮
59	Lianchang	bark	树皮	0	树皮
60	Ningbo	bark	树皮	0	树皮
61	Yingshan	bark	树皮	0	树皮
62	Chengdu	bark	树皮	0	树皮
63	Zhanping	bark	树皮	0	树皮
64	Shanghai	bark	树皮	0	树皮
65	Shanghai_B	bark	树皮	0	树皮
66	Xiamen	bark	树皮	0	树皮
67	Anyi	bark	树皮	0	树皮
68	Beijing	bark	树皮	0	树皮
69	Wenzhou	bark	树皮	0	树皮
70	Taibei	bark	tshiu33 phue13樹皮	0	树皮
71	Wuhan	bark	树皮	0	树皮
72	Taiyuan	bark	树皮	0	树皮
73	Yuci	bark	树皮	0	树皮
74	Changsha	bark	树皮	0	树皮
75	Shuangfeng	bark	树皮	0	树皮
#
2715	Guangzhou	because	因为	2	因为
2716	Guangzhou	because	为因	4	为因
2717	Suzhou	because	因为	2	因为
2718	Fuzhou	because	因为	2	因为
2719	Ningbo	because	因为	2	因为
2720	Yingshan	because	为	1	为
2721	Chengdu	because	因为	2	因为
2722	Zhanping	because	因为	2	因为
2723	Shanghai	because	因为	2	因为
2724	Shanghai_B	because	因为	2	因为
2725	Xiamen	because	因为	2	因为
2726	Anyi	because	因为	2	因为
2727	Beijing	because	因（yong1)为（wei）	2	因为
2728	Wenzhou	because	为	1	为
2729	Wenzhou	because	因	3	因
2730	Taibei	because	in44 ui31因為	2	因为
2731	Wuhan	because	因为	2	因为
2732	Taiyuan	because	因为	2	因为
2733	Yuci	because	因为	2	因为
2734	Changsha	because	因为	2	因为
2735	Shuangfeng	because	因为	2	因为
#
76	Guangzhou	belly	肚	1	肚
77	Suzhou	belly	肚皮	1a	肚皮
78	Meixian	belly	肚屎	1b	肚屎
79	Nanchang	belly	肚子	1c	肚子
80	Fuzhou	belly	腹老	0d	腹老
81	Ningxia	belly	肚子	1c	肚子
82	Lianchang	belly	腹屎	0b	腹皮
83	Ningbo	belly	肚皮	1a	肚皮
84	Yingshan	belly	肚子	1c	肚子
85	Chengdu	belly	肚子	1c	肚子
86	Zhanping	belly	腹肚	{01}	腹肚
87	Shanghai	belly	肚皮	1b	肚皮
88	Shanghai_B	belly	肚皮	1b	肚皮
89	Xiamen	belly	腹肚	{01}	腹肚
90	Anyi	belly	肚哩	1e	肚哩
91	Anyi	belly	肚子	1c	肚子
92	Beijing	belly	肚子	1c	肚子
93	Wenzhou	belly	肚	1	肚
94	Taibei	belly	pak32腹	0	腹
95	Wuhan	belly	肚子	1c	肚子
96	Taiyuan	belly	肚子	1c	肚子
97	Yuci	belly	肚	1	肚
98	Changsha	belly	肚子	1c	肚子
99	Shuangfeng	belly	肚子	1c	肚子
#
100	Guangzhou	big	大	0	大
101	Suzhou	big	大	0	大
102	Meixian	big	大	0	大
103	Nanchang	big	大	0	大
104	Fuzhou	big	大	0	大
105	Ningxia	big	大	0	大
106	Lianchang	big	大	0	大
107	Lianchang	big	篓[同音字]	2	A
108	Ningbo	big	大	0	大
109	Yingshan	big	大	0	大
110	Chengdu	big	大	0	大
111	Zhanping	big	大	0	大
112	Shanghai	big	du	1	B
113	Shanghai_B	big	du	1	B
114	Xiamen	big	大	0	大
115	Anyi	big	大	0	大
116	Beijing	big	大	0	大
117	Wenzhou	big	大	0	大
118	Taibei	big	tua33大	0	大
119	Wuhan	big	大	0	大
120	Taiyuan	big	大	0	大
121	Yuci	big	大	0	大
122	Changsha	big	大	0	大
123	Shuangfeng	big	大	0	大
#
124	Guangzhou	bird	雀（仔）[小鸟]	2	雀
125	Guangzhou	bird	雀（仔）[小鸟]	2c	雀子
126	Guangzhou	bird	鸟[大鸟]	1	鸟
127	Suzhou	bird	鸟	1	鸟
128	Meixian	bird	鸟子	1c	鸟子
129	Nanchang	bird	鸟	1	鸟
130	Fuzhou	bird	鸟	1	鸟
131	Ningxia	bird	鸟、雀	1	鸟
132	Lianchang	bird	鸟	1	鸟
133	Ningbo	bird	鸟	1	鸟
134	Yingshan	bird	雀（娃儿）	2b	雀儿
135	Chengdu	bird	雀	2	雀
136	Zhanping	bird	隻仔：读tsi6 a6	3c	隻子
137	Shanghai	bird	鸟	1	鸟
138	Shanghai_B	bird	鸟	1	鸟
139	Xiamen	bird	tsiau51	4	B
140	Anyi	bird	雀哩	2a	雀哩
141	Beijing	bird	鸟儿	1b	鸟儿
142	Wenzhou	bird	鸟儿[ti«3 N2]	1b	鸟儿
143	Taibei	bird	tsiau53?	4	B
144	Wuhan	bird	鸟	1	鸟
145	Taiyuan	bird	鸟	1	鸟
146	Yuci	bird	鸟	1	鸟
147	Changsha	bird	鸟	1	鸟
148	Shuangfeng	bird	鸟即	1d	鸟即
#
149	Guangzhou	bite	咬	1	咬
150	Suzhou	bite	咬	1	咬
151	Meixian	bite	咬	1	咬
152	Meixian	bite	啮	0	啮
153	Nanchang	bite	咬	1	咬
154	Fuzhou	bite	咬	1	咬
155	Ningxia	bite	咬	1	咬
156	Lianchang	bite	咬	1	咬
157	Ningbo	bite	咬	1	咬
158	Yingshan	bite	咬	1	咬
159	Chengdu	bite	咬	1	咬
160	Zhanping	bite	咬	1	咬
161	Shanghai	bite	咬	1	咬
162	Shanghai_B	bite	咬	1	咬
163	Xiamen	bite	咬	1	咬
164	Anyi	bite	啮(ngat8)	0	啮
165	Beijing	bite	咬	1	咬
166	Wenzhou	bite	咬	1	咬
167	Wuhan	bite	咬	1	咬
168	Taiyuan	bite	咬	1	咬
169	Yuci	bite	咬	1	咬
170	Changsha	bite	[]nga35	1	咬
171	Shuangfeng	bite	[]nga#~35	1	咬
#
172	Guangzhou	black	黑	0	黑
173	Suzhou	black	黑	0	黑
174	Meixian	black	乌	2	乌
175	Nanchang	black	乌（乌猫、乌狗）、青（布）、黑	0	黑
176	Fuzhou	black	乌	2	乌
177	Fuzhou	black	青	1	青
178	Ningxia	black	黑	0	黑
179	Lianchang	black	乌	2	乌
180	Ningbo	black	黑	0	黑
181	Yingshan	black	黑	0	黑
182	Chengdu	black	黑	0	黑
183	Zhanping	black	乌	2	乌
184	Shanghai	black	黑	0	黑
185	Shanghai_B	black	黑	0	黑
186	Xiamen	black	乌	2	乌
187	Anyi	black	黑	1	青
188	Beijing	black	黑	1	青
189	Wenzhou	black	黑	0	黑
190	Wenzhou	black	乌	2	乌
191	Wenzhou	black	青	1	青
192	Taibei	black	oo44烏	2	乌
193	Wuhan	black	黑	0	黑
194	Wuhan	black	乌	2	乌
195	Wuhan	black	青（“青”不同于“黑”）	1	青
196	Taiyuan	black	黑	0	黑
197	Yuci	black	黑	0	黑
198	Changsha	black	黑	0	黑
199	Changsha	black	青	1	青
200	Shuangfeng	black	黑	0	黑
201	Shuangfeng	black	青	1	青
#
202	Guangzhou	blood	血	0	血
203	Guangzhou	blood	猪红	1	猪红
204	Suzhou	blood	血	0	血
205	Meixian	blood	血	0	血
206	Nanchang	blood	血	0	血
207	Fuzhou	blood	血	0	血
208	Ningxia	blood	血	0	血
209	Lianchang	blood	血	0	血
210	Ningbo	blood	血	0	血
211	Yingshan	blood	血	0	血
212	Chengdu	blood	血	0	血
213	Zhanping	blood	血	0	血
214	Shanghai	blood	血	0	血
215	Shanghai_B	blood	血	0	血
216	Xiamen	blood	血	0	血
217	Anyi	blood	血	0	血
218	Beijing	blood	血	0	血
219	Wenzhou	blood	血	0	血
220	Taibei	blood	hueh32血	0	血
221	Wuhan	blood	血	0	血
222	Taiyuan	blood	血	0	血
223	Yuci	blood	血	0	血
224	Changsha	blood	血	0	血
225	Shuangfeng	blood	血	0	血
#
2736	Guangzhou	blow	吹	0	吹
2737	Suzhou	blow	吹	0	吹
2738	Meixian	blow	吹[风]	0	吹
2739	Meixian	blow	歕[人]	1	歕
2740	Nanchang	blow	吹	0	吹
2741	Fuzhou	blow	吹	0	吹
2742	Fuzhou	blow	歕	1	歕
2743	Ningxia	blow	吹	0	吹
2744	Lianchang	blow	吹[风]	0	吹
2745	Lianchang	blow	[]pha33气	1	歕
2746	Ningbo	blow	吹	0	吹
2747	Yingshan	blow	吹	0	吹
2748	Chengdu	blow	吹	0	吹
2749	Zhanping	blow	歕	1	歕
2750	Shanghai	blow	吹	0	吹
2751	Shanghai_B	blow	吹	0	吹
2752	Xiamen	blow	歕	1	歕
2753	Anyi	blow	吹	0	吹
2754	Beijing	blow	吹	0	吹
2755	Wenzhou	blow	吹	0	吹
2756	Taibei	blow	pun13[口盆]	1	歕
2757	Wuhan	blow	吹	0	吹
2758	Taiyuan	blow	吹	0	吹
2759	Yuci	blow	吹	0	吹
2760	Changsha	blow	吹	0	吹
2761	Shuangfeng	blow	吹	0	吹
#
226	Guangzhou	bone	骨	0	骨
227	Suzhou	bone	骨头	0a	骨头
228	Meixian	bone	骨头	0a	骨头
229	Nanchang	bone	骨头	0a	骨头
230	Fuzhou	bone	骨	0	骨
231	Ningxia	bone	骨头	0a	骨头
232	Lianchang	bone	骨头	0a	骨头
233	Ningbo	bone	骨	0	骨
234	Yingshan	bone	骨头	0a	骨头
235	Chengdu	bone	骨	0	骨
236	Zhanping	bone	骨	0	骨
237	Shanghai	bone	骨	0	骨
238	Shanghai_B	bone	骨	0	骨
239	Xiamen	bone	骨	0	骨
240	Anyi	bone	骨頭	0a	骨头
241	Beijing	bone	骨头	0a	骨头
242	Wenzhou	bone	骨	0	骨
243	Wenzhou	bone	骨头	0a	骨头
244	Taibei	bone	kut32 thau13骨頭	0a	骨头
245	Wuhan	bone	骨头	0a	骨头
