# EDICTOR
@modified: 2015-11-25 16:1
@source: Hamed and Wang (2006)
#
ID	DOCULECT	CONCEPT	IPA	WANGID	PARTIAL
4150	Taiyuan	correct	对	1	对
4151	Yuci	correct	对	1	对
4152	Changsha	correct	对	1	对
4153	Shuangfeng	correct	对	1	对
4154	Shuangfeng	correct	是	0	是
#
2824	Guangzhou	count	数	0	数
2825	Suzhou	count	点	2	点
2826	Meixian	count	点	2	点
2827	Meixian	count	算	1	算
2828	Nanchang	count	算	1	算
2829	Fuzhou	count	数	0	数
2830	Ningxia	count	数	0	数
2831	Lianchang	count	算	1	算
2832	Ningbo	count	数	0	数
2833	Yingshan	count	数	0	数
2834	Chengdu	count	数	0	数
2835	Zhanping	count	算	1	算
2836	Shanghai	count	数	0	数
2837	Shanghai_B	count	数	0	数
2838	Xiamen	count	数	0	数
2839	Anyi	count	数	0	数
2840	Beijing	count	数	0	数
2841	Wenzhou	count	数	0	数
2842	Taibei	count	sng31算	1	算
2843	Wuhan	count	数	0	数
2844	Taiyuan	count	数数	0	数数
2845	Yuci	count	数数	0	数
2846	Changsha	count	数	0	数
2847	Shuangfeng	count	数	0	数
#
2848	Guangzhou	cut	斩	2	斩
2849	Suzhou	cut	劓	11	劓
2850	Meixian	cut	斩	2	斩
2851	Meixian	cut	斫	7	斫
2852	Nanchang	cut	砍	1	砍
2853	Nanchang	cut	剁	3	剁
2854	Fuzhou	cut	剉	5	剉
2855	Fuzhou	cut	铡	10	铡
2856	Ningxia	cut	砍	1	砍
2857	Lianchang	cut	刿	9	刿
2858	Ningbo	cut	劈	4	劈
2859	Yingshan	cut	砍	1	砍
2860	Chengdu	cut	砍	1	砍
2861	Zhanping	cut	tsien3：与“剪”同音	8	剪
2862	Shanghai	cut	劈?	4	劈
2863	Shanghai_B	cut	劈?	4	劈
2864	Xiamen	cut	[]tsam33	1	砍
2865	Xiamen	cut	砍	2	斩
2866	Xiamen	cut	tai~51	12	A
2867	Anyi	cut	砍	1	砍
2868	Anyi	cut	斬	2	斩
2869	Anyi	cut	斲	7	斫
2870	Beijing	cut	砍	1	砍
2871	Wenzhou	cut	剉	5	剉
2872	Wenzhou	cut	剁	3	剁
2873	Taibei	cut	tsho31剉	5	剉
2874	Taibei	cut	莝	6	莝
2875	Wuhan	cut	砍	1	砍
2876	Wuhan	cut	剁	3	剁
2877	Taiyuan	cut	砍	1	砍
2878	Yuci	cut	砍	1	砍
2879	Changsha	cut	砍	1	砍
2880	Changsha	cut	剁	3	剁
2881	Shuangfeng	cut	剁	3	剁
2882	Shuangfeng	cut	砍	1	砍
#
2883	Guangzhou	day	日子	1a	日子
2884	Suzhou	day	日脚	1b	日脚
2885	Meixian	day	日	1	日
2886	Nanchang	day	日子	1a	日子
2887	Fuzhou	day	日	1	日
2888	Ningxia	day	天	0	天
2889	Lianchang	day	日	1	日
2890	Ningbo	day	日	1	日
2891	Yingshan	day	天	0	天
2892	Chengdu	day	天	0	天
2893	Zhanping	day	日子	1a	日子
2894	Zhanping	day	工*	2	工
2895	Shanghai	day	日	1	日
2896	Shanghai_B	day	日	1	日
2897	Xiamen	day	日子	1a	日子
2898	Anyi	day	日	1	日
2899	Beijing	day	日子	1a	日子
2900	Wenzhou	day	日子	1a	日子
2901	Wenzhou	day	日	1	日
2902	Taibei	day	kang44工	2	工
2903	Taibei	day	dzit日	1	日
2904	Wuhan	day	日子	1a	日子
2905	Taiyuan	day	日子	1a	日子
2906	Yuci	day	日子	1a	日子
2907	Changsha	day	日子	1a	日子
2908	Shuangfeng	day	日子	1a	日子
#
408	Guangzhou	die	死	0	死
409	Suzhou	die	死	0	死
410	Meixian	die	死	0	死
411	Nanchang	die	死	0	死
412	Fuzhou	die	死	0	死
413	Ningxia	die	死	0	死
414	Lianchang	die	死	0	死
415	Ningbo	die	死	0	死
416	Yingshan	die	死	0	死
417	Chengdu	die	死	0	死
418	Zhanping	die	死	0	死
419	Shanghai	die	死(xi)	0	死
420	Shanghai_B	die	死(xi)	0	死
421	Xiamen	die	死	0	死
422	Anyi	die	死	0	死
423	Beijing	die	死	0	死
424	Wenzhou	die	死	0	死
425	Taibei	die	si31死	0	死
426	Wuhan	die	死	0	死
427	Taiyuan	die	死	0	死
428	Yuci	die	死	0	死
429	Changsha	die	死	0	死
430	Shuangfeng	die	死	0	死
#
2909	Guangzhou	dig	挖	1	挖
2910	Suzhou	dig	挖	1	挖
2911	Meixian	dig	挖	1	挖
2912	Nanchang	dig	挖	1	挖
2913	Fuzhou	dig	挖	1	挖
2914	Fuzhou	dig	娄-刀	3	娄刀
2915	Ningxia	dig	挖	1	挖
2916	Lianchang	dig	挖	1	挖
2917	Ningbo	dig	挖	1	挖
2918	Yingshan	dig	挖	1	挖
2919	Chengdu	dig	挖	1	挖
2920	Zhanping	dig	iu3	5	A
2921	Shanghai	dig	挖, 掘	1	挖
2922	Shanghai_B	dig	挖, 掘	1	挖
2923	Xiamen	dig	挖	1	挖
2924	Xiamen	dig	手-乌	4	手乌
2925	Anyi	dig	挖	1	挖
2926	Beijing	dig	挖	1	挖
2927	Wenzhou	dig	娄-刀	3	娄刀
2928	Wuhan	dig	挖	1	挖
2929	Taiyuan	dig	挖	1	挖
2930	Yuci	dig	扣	2	扣
2931	Changsha	dig	挖	1	挖
2932	Shuangfeng	dig	挖	1	挖
#
2933	Guangzhou	dirty	污糟	17	污糟
2934	Guangzhou	dirty	邋遢	18	邋遢
2935	Guangzhou	dirty	腌臜[-p]	2	腌臜
2936	Suzhou	dirty	龌龊	1	龌龊
2937	Meixian	dirty	屙糟	16	屙糟
2938	Nanchang	dirty	腌臜[Na42 tsa]	2	腌臜
2939	Fuzhou	dirty	拉渣	15	拉渣
2940	Ningxia	dirty	脏	8	脏
2941	Lianchang	dirty	腌臢	2	腌臢
2942	Ningbo	dirty	*泥*腥	14	泥腥
2943	Yingshan	dirty	lei55tei31	12	CD
2944	Chengdu	dirty	脏	8	脏
2945	Zhanping	dirty	la?8  sa?7	3	流疡
2946	Shanghai	dirty	龌龊	1	龌龊
2947	Shanghai_B	dirty	龌龊	1	龌龊
2948	Xiamen	dirty	流疡	3	流疡
2949	Anyi	dirty	腌臜	2	腌臜
2950	Beijing	dirty	脏	8	脏
2951	Wenzhou	dirty	鏖糟	11	鏖糟
2952	Wenzhou	dirty	腌糟	10	腌糟
2953	Taibei	dirty	lah32 sap32??	3	流疡
2954	Wuhan	dirty	脏	8	脏
2955	Wuhan	dirty	邋*瓜*	9	邋瓜
2956	Taiyuan	dirty	日脏	6	日脏
2957	Taiyuan	dirty	腌脏	7	腌脏
2958	Yuci	dirty	日脏	6	日脏
2959	Changsha	dirty	拿他	5	拿他
2960	Shuangfeng	dirty	妈*糊*	4	妈糊
#
431	Guangzhou	dog	狗	1	狗
432	Suzhou	dog	狗	1	狗
433	Meixian	dog	狗	1	狗
434	Nanchang	dog	狗	1	狗
435	Fuzhou	dog	犬	0	犬
436	Ningxia	dog	狗	1	狗
437	Lianchang	dog	狗	1	狗
438	Ningbo	dog	狗	1	狗
439	Yingshan	dog	狗子	1b	狗子
440	Yingshan	dog	狗娃儿	1c	狗娃儿
441	Chengdu	dog	狗	1	狗
442	Zhanping	dog	狗	1	狗
443	Shanghai	dog	狗	1	狗
444	Shanghai_B	dog	狗	1	狗
445	Xiamen	dog	狗	1	狗
446	Anyi	dog	狗	1	狗
447	Beijing	dog	狗	1	狗
448	Wenzhou	dog	狗	1	狗
449	Taibei	dog	kau53狗	1	狗
450	Wuhan	dog	狗子	1b	狗子
451	Wuhan	dog	来*富*	2	AB
452	Taiyuan	dog	狗[儿]	1	狗
453	Taiyuan	dog	狗[儿]	1a	狗儿
454	Yuci	dog	狗[儿]	1	狗
455	Yuci	dog	狗[儿]	1a	狗儿
456	Changsha	dog	狗	1	狗
457	Shuangfeng	dog	狗	1	狗
#
458	Guangzhou	drink	饮	0	饮
459	Suzhou	drink	吃	1	吃
460	Meixian	drink	食	5	食
461	Nanchang	drink	吃	1	吃
462	Fuzhou	drink	啜	7	啜
463	Ningxia	drink	喝	3	喝
464	Lianchang	drink	食	5	食
465	Ningbo	drink	喝	3	喝
466	Yingshan	drink	喝	3	喝
467	Chengdu	drink	喝	3	喝
468	Zhanping	drink	啉	6	啉
469	Zhanping	drink	啜tshuui5	7	啜
470	Zhanping	drink	食	5	食
471	Shanghai	drink	吃	1	吃
472	Shanghai_B	drink	吃	1	吃
473	Xiamen	drink	啉	6	啉
474	Xiamen	drink	啜[“啉”，和液体相搭配，如啉茶；啜，一般是连吃带喝，如啜糜]	7	啜
475	Anyi	drink	喫	1	吃
476	Beijing	drink	喝	3	喝
477	Wenzhou	drink	呷	4	呷
478	Wenzhou	drink	吃	1	吃
479	Taibei	drink	lim44?	5	啉
480	Wuhan	drink	喝	3	喝
481	Wuhan	drink	呵	2	呵
482	Taiyuan	drink	喝	3	喝
483	Yuci	drink	喝	3	喝
484	Changsha	drink	吃	1	吃
485	Shuangfeng	drink	吃	1	吃
486	Shuangfeng	drink	呵	2	呵
#
487	Guangzhou	dry	干	1	干
488	Suzhou	dry	干	1	干
489	Suzhou	dry	燥	0	燥
490	Meixian	dry	火曹	2	火曹
491	Nanchang	dry	干	1	干
492	Fuzhou	dry	干	1	干
493	Fuzhou	dry	焦	3	焦
494	Ningxia	dry	干	1	干
495	Lianchang	dry	燥[可疑]	0	燥
496	Ningbo	dry	燥	0	燥
497	Yingshan	dry	干	1	干
498	Chengdu	dry	干燥	{10}	干燥
499	Zhanping	dry	焦	3	焦
500	Shanghai	dry	干	1	干
501	Shanghai_B	dry	干	1	干
502	Xiamen	dry	焦	3	焦
503	Anyi	dry	干	1	干
504	Anyi	dry	火曹	2	火曹
505	Beijing	dry	干	1	干
506	Wenzhou	dry	燥	0	燥
507	Taibei	dry	ta44焦	3	焦
508	Wuhan	dry	干[燥]	{1(0)}	干燥
509	Wuhan	dry	干[燥]	{10}	干燥
510	Taiyuan	dry	干	1	干
511	Yuci	dry	干	1	干
512	Changsha	dry	干	1	干
513	Shuangfeng	dry	干	1	干
514	Shuangfeng	dry	火-曹	2	火-曹
#
2961	Guangzhou	dull	蠢	1	蠢
2962	Guangzhou	dull	笨	2	笨
2963	Guangzhou	dull	钝	6	钝
2964	Suzhou	dull	笨	2	笨
2965	Suzhou	dull	戆	4	戆
2966	Meixian	dull	憨	4	戆
2967	Meixian	dull	蠢	1	蠢
2968	Nanchang	dull	木	5	木
2969	Nanchang	dull	笨	2	笨
2970	Fuzhou	dull	愚	0	愚
2971	Fuzhou	dull	笨	2	笨
2972	Ningxia	dull	tx!e=ng53	12	B
2973	Ningxia	dull	傻	13	C
2974	Lianchang	dull	[]ngau3	9	E
2975	Ningbo	dull	笨	2	笨
2976	Yingshan	dull	憨	4	戆
2977	Yingshan	dull	苕*	3	苕
2978	Yingshan	dull	蠢	1	蠢
2979	Chengdu	dull	kua55	11	D
2980	Zhanping	dull	笨	2	笨
2981	Zhanping	dull	(空)gong6	10	A
2982	Shanghai	dull	戆	4	戆
2983	Shanghai_B	dull	戆	4	戆
2984	Xiamen	dull	勘-心	8	勘心
2985	Xiamen	dull	戆	4	戆
2986	Xiamen	dull	呆	7	呆
2987	Anyi	dull	蠢	1	蠢
2988	Beijing	dull	笨	2	笨
2989	Beijing	dull	木	5	木
2990	Wenzhou	dull	呆	7	呆
2991	Wenzhou	dull	笨	2	笨
2992	Wenzhou	dull	拙	8	拙
2993	Taibei	dull	gong33?	10	A
2994	Wuhan	dull	笨	2	笨
2995	Wuhan	dull	苕	3	苕
2996	Taiyuan	dull	笨	2	笨
2997	Yuci	dull	笨	2	笨
2998	Changsha	dull	蠢	1	蠢
2999	Shuangfeng	dull	蠢	1	蠢
#
3000	Guangzhou	dust	灰尘	{10}	灰尘
3001	Guangzhou	dust	烟尘	{30}	烟尘
3002	Suzhou	dust	灰尘	{10}	灰尘
3003	Suzhou	dust	土-奉尘	{40}	奉尘
3004	Meixian	dust	尘灰	{01}	尘灰
3005	Nanchang	dust	灰	1	灰
3006	Fuzhou	dust	塕尘	{40}	塕尘
3007	Ningxia	dust	灰	1	灰
3008	Lianchang	dust	尘灰[指灰土]	{01}	尘灰
3009	Ningbo	dust	灰尘	{10}	灰尘
3010	Yingshan	dust	灰	1	灰
3011	Chengdu	dust	灰尘	{10}	灰尘
3012	Zhanping	dust	涂粉	6	涂粉
3013	Zhanping	dust	塕埃	{45}	塕埃
3014	Shanghai	dust	灰尘	{10}	灰尘
3015	Shanghai_B	dust	灰尘	{10}	灰尘
3016	Xiamen	dust	涂粉	6	涂粉
3017	Anyi	dust	灰	1	灰
3018	Beijing	dust	[尘]土	{(0)2}	尘土
3019	Beijing	dust	[尘]土	{02}	土
3020	Wenzhou	dust	分-土尘	{70}	分尘
3021	Wenzhou	dust	分-土塕	{74}	分塕
3022	Taibei	dust	thoo13 塗	6	塗
3023	Wuhan	dust	灰	1	灰
3024	Taiyuan	dust	[尘]土	{(0)2}	尘土
3025	Taiyuan	dust	[尘]土	{02}	土
3026	Yuci	dust	灰尘	{10}	灰尘
3027	Changsha	dust	灰	1	灰
3028	Shuangfeng	dust	灰	1	灰
#
515	Guangzhou	ear	耳仔	0d	耳仔
516	Suzhou	ear	耳朵	0b	耳朵
517	Meixian	ear	耳公	0g	耳公
518	Nanchang	ear	耳朵	0b	耳朵
519	Fuzhou	ear	耳囝	0f	耳囝
520	Fuzhou	ear	耳	0	耳
521	Ningxia	ear	耳朵	0b	耳朵
522	Lianchang	ear	耳菇*	0e	耳菇
523	Ningbo	ear	耳朵	0b	耳朵
524	Yingshan	ear	耳冻*	0a	耳冻
525	Chengdu	ear	耳	0	耳
526	Zhanping	ear	耳（仔）	0	耳
527	Zhanping	ear	耳（仔）	0d	耳仔
528	Shanghai	ear	耳朵	0b	耳朵
529	Shanghai_B	ear	耳朵	0b	耳朵
530	Xiamen	ear	耳 a51	0	耳
531	Anyi	ear	耳到	0c	耳到
532	Beijing	ear	耳朵	0b	耳朵
533	Wenzhou	ear	耳朵	0b	耳朵
534	Taibei	ear	hiN33耳	0	耳
535	Wuhan	ear	耳冻*	0a	耳冻
536	Taiyuan	ear	耳朵	0b	耳朵
537	Yuci	ear	耳朵	0b	耳朵
538	Changsha	ear	耳朵	0b	耳朵
539	Shuangfeng	ear	耳冻*	0a	耳冻
#
540	Guangzhou	earth	地	0	地
541	Suzhou	earth	地	0	地
542	Meixian	earth	地泥	0d	地泥
543	Nanchang	earth	地	0	地
544	Fuzhou	earth	地	0	地
545	Ningxia	earth	田	2	田
546	Lianchang	earth	地下	0b	地下
547	Ningbo	earth	地	0	地
548	Yingshan	earth	地下	0b	地下
549	Chengdu	earth	地	0	地
550	Zhanping	earth	涂*	1	涂
551	Zhanping	earth	地	0	地
552	Shanghai	earth	地lang	0	地
553	Shanghai_B	earth	地	0	地
554	Xiamen	earth	（天）地[涂，多指泥土]	0	地
555	Xiamen	earth	（天）地[涂，多指泥土]	c0	涂
556	Anyi	earth	地	0	地
557	Beijing	earth	地	0	地
558	Wenzhou	earth	地	0	地
559	Wenzhou	earth	地下	0a	地下
560	Taibei	earth	te33地	0	地
561	Wuhan	earth	地	0	地
562	Taiyuan	earth	地	0	地
563	Yuci	earth	地	0	地
564	Changsha	earth	地下	0a	地下
565	Shuangfeng	earth	地	0	地
#
566	Guangzhou	eat	食[很土的说法是“喫”[ja:k33]]	0	食
567	Suzhou	eat	吃	1	吃
568	Meixian	eat	食	0	食
569	Nanchang	eat	吃	1	吃
570	Fuzhou	eat	食	0	食
571	Ningxia	eat	吃	1	吃
572	Lianchang	eat	食	0	食
573	Ningbo	eat	吃	1	吃
574	Yingshan	eat	吃	1	吃
575	Chengdu	eat	吃	1	吃
576	Zhanping	eat	食	0	食
577	Shanghai	eat	吃	1	吃
578	Shanghai_B	eat	吃	1	吃
579	Xiamen	eat	食	0	食
580	Anyi	eat	喫	1	吃
581	Beijing	eat	吃	1	吃
582	Wenzhou	eat	吃	1	吃
583	Taibei	eat	tsiah33食	0	食
584	Wuhan	eat	吃	1	吃
585	Taiyuan	eat	吃	1	吃
586	Yuci	eat	吃	1	吃
587	Changsha	eat	吃	1	吃
588	Shuangfeng	eat	吃	1	吃
#
589	Guangzhou	egg	春*	3	春
590	Suzhou	egg	蛋	1	蛋
591	Meixian	egg	卵	0	卵
592	Nanchang	egg	蛋	1	蛋
593	Fuzhou	egg	卵	0	卵
594	Ningxia	egg	蛋	1	蛋
595	Lianchang	egg	卵	0	卵
596	Ningbo	egg	蛋	1	蛋
597	Yingshan	egg	蛋	1	蛋
598	Chengdu	egg	蛋	1	蛋
599	Zhanping	egg	卵	0	卵
600	Shanghai	egg	蛋	1	蛋
601	Shanghai_B	egg	蛋	1	蛋
602	Xiamen	egg	卵	0	卵
603	Anyi	egg	蛋	1	蛋
604	Beijing	egg	鸡子儿，鸡蛋	a2	鸡蛋
605	Wenzhou	egg	卵	0	卵
606	Taibei	egg	lng33卵	0	卵
607	Wuhan	egg	蛋	1	蛋
608	Taiyuan	egg	蛋	1	蛋
609	Yuci	egg	鸡蛋	a1	鸡蛋
610	Changsha	egg	蛋	1	蛋
611	Shuangfeng	egg	蛋	1	蛋
#
612	Guangzhou	eye	眼	1	眼
613	Suzhou	eye	眼睛	1b	眼睛
614	Suzhou	eye	眼乌珠	1ca	眼乌珠
615	Meixian	eye	目珠	0a	目珠
616	Nanchang	eye	眼睛	1b	眼睛
617	Fuzhou	eye	目珠	0a	目珠
618	Fuzhou	eye	目	0	目
619	Ningxia	eye	眼睛	1b	眼睛
620	Lianchang	eye	目珠	0a	目珠
621	Ningbo	eye	眼	1	眼
622	Yingshan	eye	眼睛	1b	眼睛
623	Chengdu	eye	眼	1	眼
624	Zhanping	eye	目（tsiu1）	0	目
625	Zhanping	eye	目（tsiu1）	0f	目瞅
626	Shanghai	eye	眼睛	1b	眼睛
627	Shanghai_B	eye	眼睛	1b	眼睛
628	Xiamen	eye	目瞅	0f	目瞅
629	Anyi	eye	眼睛	1b	眼睛
630	Beijing	eye	眼睛	1b	眼睛
631	Wenzhou	eye	眼乌珠	1ca	眼乌珠
632	Wenzhou	eye	眼[灵*珠]	1(da)	眼
633	Wenzhou	eye	眼[灵*珠]	1da	眼灵珠
634	Taibei	eye	bak33 tsiu44目珠	0a	目珠
635	Wuhan	eye	眼睛	1b	眼睛
636	Taiyuan	eye	眼[睛]	1	眼
637	Taiyuan	eye	眼[睛]	1b	眼睛
638	Yuci	eye	眼[睛]	1	眼
639	Yuci	eye	眼[睛]	1b	眼睛
640	Changsha	eye	眼睛	1b	眼睛
641	Shuangfeng	eye	眼珠	1a	眼珠
#
3029	Guangzhou	fall	跌	2	跌
3030	Guangzhou	fall	手-耷	6	耷
3031	Suzhou	fall	夺*	5	夺
3032	Meixian	fall	跌	2	跌
3033	Nanchang	fall	跌	2	跌
3034	Fuzhou	fall	逿	4	逿
3035	Ningxia	fall	掉	3	掉
3036	Lianchang	fall	跌	2	跌
3037	Ningbo	fall	掉落	{31}	掉落
3038	Yingshan	fall	掉	3	掉
3039	Chengdu	fall	掉	3	掉
3040	Zhanping	fall	ko2	10	A
3041	Shanghai	fall	落	1	落
3042	Shanghai_B	fall	落	1	落
3043	Xiamen	fall	落	1	落
3044	Xiamen	fall	[交*]落	1	落
3045	Xiamen	fall	[交*]落	a1	落
3046	Anyi	fall	跌	2	跌
3047	Anyi	fall	落	1	落
3048	Beijing	fall	掉	3	掉
3049	Wenzhou	fall	遁*	7	遁
3050	Taibei	fall	lak33落	{81}	落
3051	Wuhan	fall	掉	3	掉
3052	Taiyuan	fall	跌	2	跌
3053	Yuci	fall	跌	2	跌
3054	Changsha	fall	跌	2	跌
3055	Changsha	fall	落	1	落
3056	Shuangfeng	fall	绊	9	绊
#
3057	Guangzhou	far	远	1	远
3058	Suzhou	far	远	1	远
3059	Meixian	far	远	1	远
3060	Nanchang	far	远	1	远
3061	Fuzhou	far	远	1	远
3062	Ningxia	far	远	1	远
3063	Lianchang	far	远	1	远
3064	Ningbo	far	远	1	远
3065	Yingshan	far	远	1	远
3066	Chengdu	far	远	1	远
3067	Zhanping	far	远	1	远
3068	Shanghai	far	远	1	远
3069	Shanghai_B	far	远	1	远
3070	Xiamen	far	远	1	远
3071	Anyi	far	远	1	远
3072	Beijing	far	远	1	远
3073	Wenzhou	far	远	1	远
3074	Taibei	far	hng33遠	1	远
3075	Wuhan	far	远	1	远
3076	Taiyuan	far	远	1	远
3077	Yuci	far	远	1	远
3078	Changsha	far	远	1	远
3079	Shuangfeng	far	远	1	远
#
3080	Guangzhou	father	老豆*	a7	老豆
3081	Guangzhou	father	阿爸	b3	阿爸
3082	Guangzhou	father	爸爸	3e	爸爸
3083	Suzhou	father	爷	1	爷
3084	Suzhou	father	爹爹	2b	爹阿
3085	Meixian	father	爷子	1a	爷子
3086	Meixian	father	阿爸	b2	阿爸
3087	Nanchang	father	爸爸	3e	爸爸
3088	Nanchang	father	爷（背称）	1	爷
3089	Fuzhou	father	郎爸	c3	爹爸
3090	Fuzhou	father	依*爹	d2	依爹
3091	Fuzhou	father	依*爷	d1	依爷
3092	Ningxia	father	爹	2	爹
3093	Lianchang	father	爷[背称]	1	爷
3094	Ningbo	father	阿爸	b3	阿爸
3095	Yingshan	father	伯伯	5	伯
3096	Chengdu	father	爸[爸]	3(3)	爸
3097	Chengdu	father	爸[爸]	33	爸爸
3098	Zhanping	father	老siaɫ	a4	老A
3099	Zhanping	father	阿父	b0	阿父
3100	Zhanping	father	阿爹	b2	阿爹
3101	Zhanping	father	阿爸	b3	阿爸
3102	Shanghai	father	爷	1	爷
3103	Shanghai_B	father	爷	1	爷
3104	Xiamen	father	老父	a0	老父
3105	Xiamen	father	阿爸	b3	阿爸
3106	Anyi	father	爷(背稱)	1	爷
3107	Anyi	father	爹嘚(面稱)	2c	爹嘚
3108	Anyi	father	爸爸(面稱)	3e	爸爸
3109	Beijing	father	爸[爸]	3e	爸爸
3110	Beijing	father	爹	2	爹
3111	Wenzhou	father	阿伯	b5	阿伯
3112	Wenzhou	father	阿爸	b3	阿爸
3113	Wenzhou	father	阿大	b6	阿大
3114	Taibei	father	lan33 pe33老父	a0	老父
3115	Wuhan	father	爸爸	3e	爸爸
3116	Taiyuan	father	爸爸	3e	爸爸
3117	Yuci	father	大大	6e	大大
3118	Changsha	father	爷老倌	1d	爷老倌
3119	Changsha	father	爹爹	2c	爹爹
3120	Shuangfeng	father	爹爹	2c	爹爹
3121	Shuangfeng	father	爷	1	爷
#
3122	Guangzhou	fear	怕	3	怕
3123	Guangzhou	fear	惊	4	惊
3124	Guangzhou	fear	慌	7	慌
3125	Suzhou	fear	怕	3	怕
3126	Meixian	fear	畏	0	畏
3127	Meixian	fear	惊	4	惊
3128	Meixian	fear	怕	3	怕
3129	Nanchang	fear	怕	3	怕
3130	Fuzhou	fear	惊	4	惊
3131	Ningxia	fear	怕	3	怕
3132	Lianchang	fear	吓	8	吓
3133	Ningbo	fear	怕	3	怕
3134	Yingshan	fear	怕	3	怕
3135	Chengdu	fear	怕	3	怕
3136	Zhanping	fear	惊	4	惊
3137	Shanghai	fear	吓	8	吓
3138	Shanghai_B	fear	怕[吓指使人怕]	3	怕
3139	Xiamen	fear	惊	4	惊
3140	Xiamen	fear	慑	9	慑
3141	Anyi	fear	怕	3	怕
3142	Anyi	fear	着吓	a8	着吓
3143	Beijing	fear	怕	3	怕
3144	Beijing	fear	怵	6	怵
3145	Wenzhou	fear	怕	3	怕
3146	Wenzhou	fear	惊	4	惊
3147	Taibei	fear	kiaN44驚	4	惊
3148	Wuhan	fear	怕	3	怕
3149	Taiyuan	fear	[害]怕	{(5)3}	怕
3150	Taiyuan	fear	[害]怕	{53}	害怕
3151	Yuci	fear	[害]怕	{(5)3}	怕
3152	Yuci	fear	[害]怕	{53}	害怕
3153	Changsha	fear	怕	3	怕
3154	Shuangfeng	fear	怕	3	怕
#
642	Guangzhou	feather	毛	1	毛
643	Suzhou	feather	羽毛	{01}	羽毛
644	Meixian	feather	毛	1	毛
645	Nanchang	feather	毛	1	毛
646	Fuzhou	feather	[毛]毛	1	毛
647	Fuzhou	feather	[毛]毛	b1	毛毛
648	Ningxia	feather	毛	1	毛
649	Lianchang	feather	毛	1	毛
650	Ningbo	feather	羽毛	{01}	羽毛
651	Yingshan	feather	毛	1	毛
652	Chengdu	feather	毛	1	毛
653	Zhanping	feather	毛	1	毛
654	Shanghai	feather	毛	1	毛
655	Shanghai_B	feather	毛	1	毛
656	Xiamen	feather	毛	1	毛
657	Anyi	feather	毛	1	毛
658	Beijing	feather	毛儿	1a	毛儿
659	Wenzhou	feather	毛羽	{10}	毛羽
660	Taibei	feather	boN44毛，mng13毛?	c1	毛
661	Wuhan	feather	毛	1	毛
662	Taiyuan	feather	羽毛	{01}	羽毛
663	Yuci	feather	羽毛	{01}	羽毛
664	Changsha	feather	毛	1	毛
665	Shuangfeng	feather	毛	1	毛
#
3155	Guangzhou	few	少	0	少
3156	Suzhou	few	少	0	少
3157	Meixian	few	少	0	少
3158	Nanchang	few	少	0	少
3159	Fuzhou	few	少	0	少
3160	Ningxia	few	少	0	少
3161	Lianchang	few	少	0	少
3162	Ningbo	few	缺	1	缺
3163	Yingshan	few	少	0	少
3164	Chengdu	few	少	0	少
3165	Zhanping	few	少	0	少
3166	Shanghai	few	少	0	少
3167	Shanghai_B	few	少	0	少
3168	Xiamen	few	少	0	少
3169	Anyi	few	少	0	少
3170	Beijing	few	少	0	少
3171	Wenzhou	few	少	0	少
3172	Taibei	few	tsio53少	0	少
3173	Wuhan	few	少	0	少
3174	Taiyuan	few	少	0	少
3175	Yuci	few	少	0	少
3176	Changsha	few	少	0	少
3177	Shuangfeng	few	少	0	少
#
3178	Guangzhou	fight	打交	6	打交
3179	Suzhou	fight	相打	4	相打
3180	Suzhou	fight	打相打	5	打相打
3181	Meixian	fight	相打	4	相打
3182	Meixian	fight	打交子	6a	打交子
3183	Nanchang	fight	打架	1	打架
3184	Fuzhou	fight	相拍	a3	相拍
3185	Ningxia	fight	打锤	7	打锤
3186	Lianchang	fight	打tuɫɨ	8	打
3187	Ningbo	fight	打相打	5	打相打
3188	Yingshan	fight	打架	1	打架
3189	Chengdu	fight	打架	1	打架
3190	Zhanping	fight	相拍	a3	相拍
3191	Shanghai	fight	打相打	5	打相打
3192	Shanghai_B	fight	打相打	5	打相打
3193	Xiamen	fight	相拍	a3	相拍
3194	Anyi	fight	打架	1	打架
3195	Beijing	fight	打架	1	打架
3196	Beijing	fight	掐架	9	掐架
3197	Beijing	fight	茬*架	10	茬架
3198	Wenzhou	fight	相打	4	相打
3199	Wenzhou	fight	打起	11	打起
3200	Taibei	fight	phah32拍	3	拍
3201	Wuhan	fight	打架	1	打架
3202	Taiyuan	fight	打架	1	打架
3203	Yuci	fight	打架	1	打架
3204	Changsha	fight	打架	1	打架
3205	Shuangfeng	fight	打架	1	打架
3206	Shuangfeng	fight	斗打	2	斗打
#
666	Guangzhou	fire	火	0	火
667	Suzhou	fire	火	0	火
668	Meixian	fire	火	0	火
669	Nanchang	fire	火	0	火
670	Fuzhou	fire	火	0	火
671	Ningxia	fire	火	0	火
672	Lianchang	fire	火	0	火
673	Ningbo	fire	火	0	火
674	Yingshan	fire	火	0	火
675	Chengdu	fire	火	0	火
676	Zhanping	fire	火	0	火
677	Shanghai	fire	火	0	火
678	Shanghai_B	fire	火	0	火
679	Xiamen	fire	火	0	火
680	Anyi	fire	火	0	火
681	Beijing	fire	火	0	火
682	Wenzhou	fire	火种	0a	火种
683	Taibei	fire	hue53火	0	火
684	Wuhan	fire	火	0	火
685	Taiyuan	fire	火	0	火
686	Yuci	fire	火	0	火
687	Changsha	fire	火	0	火
