all	80	全部	tc\_hyan21-55 pu213-21
all	80	全部	tc\_hyen13 pu44
all	80	全部	tc\_hye~44-35 p_hu31
all	80	全部	ziI13 bu231-21
all	80	全部	jy341-24 bu24-22
all	80	全部	tc\_hye~13 pu11
all	80	全部	dzui~13 bu11
all	80	全部	tc\_hyon24 pu0
all	80	全部	tc\_hien11 p_hu53
all	80	全部	tc\ya~22 pu21
all	80	全部	ts_hyn21 pou22
all	80	個郎下	ko212-21 louN53-21 Na242
all	80	全部	tsuan24-22 pO22
hot	80	熱	z`751
hot	80	熱	z`y53
hot	80	熱	z`y31
hot	80	熱	iE214
hot	80	熱	z@?2
hot	80	熱	z`721
hot	80	熱	ze21
hot	80	熱	z`e?5
hot	80	熱	n`ia?32_
hot	80	熱	n`iE?23_
hot	80	熱	n`i21
hot	80	熱	ye24
hot	80	熱	ie13
hot	80	熱	lEt5
hot	80	熱	sau33
hot	80	熱	lie55
hot	80	熱	it2
hot	80	熱	ie?5
hot	80	熱	liat5
person	81	人	z`@n35
person	81	人	in24
person	81	人	z`e~53
person	81	人	in52
person	81	人	z@N21
person	81	人	z`e~24
person	81	人	z@n21
person	81	人	z`En13
person	81	人	iA~44
person	81	人	n`in13
person	81	人	naN341
person	81	人	z`@n13
person	81	人	nin13
person	81	人	l1n45
person	81	人	Nin11
person	81	人	liN22
person	81	人	i6n21
person	81	人	n2yN53
person	81	人	laN24
throw	81	仍	z`@N55
throw	81	仍	z`@N44
throw	81	仍	l@N214
throw	81	撂	liau334
throw	81	仍	z@N53
throw	81	撂	liAu44
throw	81	仍,甩	(1) z@n45, (2) suai53
throw	81	摔	su@31
throw	81	拋	p_h755
throw	81	?to?	to?4
throw	81	掼	ga22
throw	81	仍,甩	(1) z`@n13, (2) c\uai41
throw	81	撂,囗	(1) li711, (2) iO35
throw	81	仍,丟	(1) l1n21, (2) tiu42
throw	81	丟	tiu33
throw	81	丟	tiou42
throw	81	丟	tiu55
throw	81	丟,囗,抾	(1) lieu55, k9?5, (3) k_h932
throw	81	仍	liN55
white	32	白	pE35
white	32	白	pai24
white	32	白	pei53
white	32	白	pE334
white	32	白～,白～	(1) pai21, (2) pi@54_ 
white	32	白	pei24
white	32	白	pe21
white	32	白	p@?5
white	32	白	pha?32_
white	32	白	bA?23_
white	32	白	ba21
white	32	白	p@24
white	32	白	p_hO35
white	32	白	p_ha?5
white	32	白	p_hak5
white	32	白	piA`22
white	32	白	pak2
white	32	白	pa?5
white	32	白	pe?5
back	32	背 	pei51
back	32	背	pei53
back	32	背	pei31
back	32	背	pei52
back	32	背	pei45
back	32	脊背,背	(1) tc\i21 pei24, (2) pei24
back	32	背	pei213
back	32	背	pei44
back	32	背	pa35
back	32	背	pE`412
back	32	背骶身	pai42-3 dz\i24-44 saN44-21
back	32	背	pei55
back	32	背	pe35
back	32	背脊	pei45 tc\ia?0
back	32	背	poi53
back	32	背	pei25
back	32	背	pui33
back	32	背	p_hiaN55
back	32	胛脊	ka55-22 tsia?32_
nose	33	鼻子	pi35 tsi_z0
nose	33	鼻子	pi24 tsi_z0
nose	33	鼻子	pi53-45 tsi_z0
nose	33	鼻子	pi35 tsi_z0
nose	33	鼻,鼻子	(1) pi@?54_, (2) pi@?54_ ts@?0
nose	33	鼻子	pi24 tsi_z0
nose	33	鼻子	pi21-55 tsi_z53
nose	33	鼻子	pi?5 tsi_z0
nose	33	鼻孔	p_hi_z35-53 k_hA~213
nose	33	鼻頭	b@?23_ dY13-31
nose	33	鼻頭	bei21-31 d7u341-21
nose	33	鼻,鼻子	(1) pi24, (2) pi24 tsi_z0
nose	33	鼻子	p_hi11 di713-33
nose	33	鼻子	p_hit21_ tsi_z0
nose	33	鼻公	p_hi53 kuN33
nose	33	鼻孔	pi22 k_h7N23-33
nose	33	鼻歌	pei22 kO55
nose	33	鼻	p_hEi212
nose	33	鼻仔,鼻	(1) p_hi~22-21 ia~53, (2) p_hi~22
ice	33	冰 	piN55
ice	33	冰	piN44
ice	33	冰	piN214
ice	33	冰	piN52
ice	33	冰	piN21
ice	33	冰	piN21
ice	33	冰	pin45
ice	33	冰	pin31
ice	33	冰	piA~55
ice	33	冰	pin44
ice	33	冰	p@N44
ice	33	冰,凌冰	(1) pin33, (2) lin13 pin33
ice	33	構棱子	k735 niO~13-33 tsi_z0
ice	33	冰	pin42
ice	33	冰	pen33
ice	33	冰	piN42
