21f	tone	42	yinping	445
21f	tone	24	yangping
21f	tone	213	shang
21f	tone	45	yangqu
21f	tone	21	yinqu
21f	tone	5	yinru
21f	tone	21_	yangru
21f	final	i_z
21f	final	i
21f	final	u
21f	final	y
21f	final	8
21f	final	a
21f	final	ia
21f	final	ua
21f	final	o
21f	final	uo
21f	final	e
21f	final	ie
21f	final	ue	ø
21f	final	ye
21f	final	ai
21f	final	uai
21f	final	oi	ø
21f	final	ei
21f	final	1i
21f	final	ui
21f	final	au
21f	final	iEu
21f	final	Eu
21f	final	1u
21f	final	iu
21f	final	an
21f	final	uan
21f	final	on
21f	final	uon
21f	final	yon
21f	final	En
21f	final	iEn
21f	final	1n
21f	final	in
21f	final	uon
21f	final	yn
21f	final	aN
21f	final	iaN
21f	final	uaN
21f	final	ObN
21f	final	iON
21f	final	uON
21f	final	iuN
21f	final	uN
21f	final	at
21f	final	uat
21f	final	ot
21f	final	uot
21f	final	yot	yet
21f	final	Et
21f	final	iEt
21f	final	uEt
21f	final	1t
21f	final	it
21f	final	ut
21f	final	yt
21f	final	a?
21f	final	ia?
21f	final	ua?	Ø
21f	final	O?
21f	final	iO?	Ø
21f	final	uo?
21f	final	u?
21f	final	iu?
21f	final	m=	Ø
21f	final	n=
21f	final	N=
21f	initial	p
21f	initial	p_h
21f	initial	m
21f	initial	f
21f	initial	t
21f	initial	t_h
21f	initial	l
21f	initial	ts
21f	initial	ts_h
21f	initial	s
21f	initial	tc\
21f	initial	tc\_h
21f	initial	n\
21f	initial	c\
21f	initial	k
21f	initial	k_h
21f	initial	N
21f	initial	h
21f	initial	Ø
